satellite, 1316 OPS 4682 DEB / US
catalogue, 1 NORAD
track, 10306917
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1090
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2016-03-02,18:11:28.198000,6.031,6.66364,Clear,0,1409.608,83.571,3
2016-03-02,18:11:28.298000,5.928,6.55953,Clear,0,1409.291,83.559,3
2016-03-02,18:11:28.398000,5.966,6.59699,Clear,0,1408.974,83.548,3
2016-03-02,18:11:28.498000,5.852,6.48245,Clear,0,1408.658,83.536,3
2016-03-02,18:11:28.598000,5.983,6.61245,Clear,0,1408.341,83.524,3
2016-03-02,18:11:28.698000,5.924,6.55285,Clear,0,1408.025,83.512,3
2016-03-02,18:11:28.798000,5.831,6.45992,Clear,0,1407.71,83.501,3
2016-03-02,18:11:28.898000,5.82,6.44797,Clear,0,1407.394,83.489,3
2016-03-02,18:11:28.998000,5.912,6.53868,Clear,0,1407.079,83.477,3
2016-03-02,18:11:29.098000,5.909,6.53643,Clear,0,1406.764,83.465,3
2016-03-02,18:11:29.198000,5.802,6.42802,Clear,0,1406.449,83.453,3
2016-03-02,18:11:29.298000,5.802,6.42725,Clear,0,1406.135,83.442,3
2016-03-02,18:11:29.398000,5.869,6.49367,Clear,0,1405.82,83.43,3
2016-03-02,18:11:29.498000,5.942,6.56585,Clear,0,1405.506,83.418,3
2016-03-02,18:11:29.598000,5.758,6.38119,Clear,0,1405.193,83.406,3
2016-03-02,18:11:29.698000,5.861,6.48414,Clear,0,1404.879,83.395,3
2016-03-02,18:11:29.798000,5.864,6.48635,Clear,0,1404.566,83.383,3
2016-03-02,18:11:29.898000,5.778,6.39941,Clear,0,1404.253,83.371,3
2016-03-02,18:11:29.998000,5.788,6.40856,Clear,0,1403.94,83.359,3
2016-03-02,18:11:30.098000,5.781,6.40135,Clear,0,1403.627,83.347,3
2016-03-02,18:11:30.198000,5.919,6.53801,Clear,0,1403.315,83.336,3
2016-03-02,18:11:30.298000,5.878,6.49567,Clear,0,1403.003,83.324,3
2016-03-02,18:11:30.398000,5.724,6.34159,Clear,0,1402.691,83.312,3
2016-03-02,18:11:30.498000,5.739,6.35565,Clear,0,1402.38,83.3,3
2016-03-02,18:11:30.598000,5.808,6.42393,Clear,0,1402.068,83.288,3
2016-03-02,18:11:30.698000,5.76,6.37576,Clear,0,1401.757,83.276,3
2016-03-02,18:11:30.798000,5.754,6.36877,Clear,0,1401.447,83.265,3
2016-03-02,18:11:30.898000,5.673,6.28673,Clear,0,1401.136,83.253,3
2016-03-02,18:11:30.998000,5.717,6.33129,Clear,0,1400.826,83.241,3
2016-03-02,18:11:31.098000,5.797,6.41027,Clear,0,1400.516,83.229,3
2016-03-02,18:11:31.198000,5.599,6.21098,Clear,0,1400.206,83.217,3
2016-03-02,18:11:31.298000,5.744,6.35585,Clear,0,1399.896,83.205,3
