satellite, 3510 OPS 4078 (DMSP 4B F2) / US
catalogue, 1 NORAD
track, 10348192
variability, 1 Aperiodic
variability_period, 0.0
npoints, 697
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2016-03-31,18:33:04.598000,7.8,8.60191,Clear,0,1271.984,103.033,1
2016-03-31,18:33:04.798000,8.15,8.94963,Clear,0,1270.922,103.015,1
2016-03-31,18:33:04.897000,7.994,8.79259,Clear,0,1270.396,103.006,1
2016-03-31,18:33:04.997000,7.975,8.77303,Clear,0,1269.865,102.996,1
2016-03-31,18:33:05.097000,7.934,8.73064,Clear,0,1269.334,102.987,1
2016-03-31,18:33:05.397000,8.29,9.08323,Clear,0,1267.743,102.959,1
2016-03-31,18:33:05.497000,8.163,8.95491,Clear,0,1267.213,102.95,1
2016-03-31,18:33:05.597000,7.844,8.63466,Clear,0,1266.684,102.941,1
2016-03-31,18:33:05.797000,7.766,8.55498,Clear,0,1265.625,102.922,1
2016-03-31,18:33:05.897000,7.97,8.75774,Clear,0,1265.095,102.912,1
2016-03-31,18:33:05.997000,8.041,8.82755,Clear,0,1264.566,102.903,1
2016-03-31,18:33:06.097000,7.821,8.60659,Clear,0,1264.037,102.894,1
2016-03-31,18:33:06.197000,7.867,8.65052,Clear,0,1263.509,102.884,1
2016-03-31,18:33:06.297000,8.04,8.82337,Clear,0,1262.98,102.875,1
2016-03-31,18:33:06.897000,7.792,8.56765,Clear,0,1259.813,102.818,1
2016-03-31,18:33:07.097000,7.871,8.64476,Clear,0,1258.758,102.799,1
2016-03-31,18:33:07.197000,7.649,8.42164,Clear,0,1258.231,102.79,1
2016-03-31,18:33:07.297000,7.926,8.69769,Clear,0,1257.705,102.781,1
2016-03-31,18:33:07.397000,7.652,8.42299,Clear,0,1257.178,102.771,1
2016-03-31,18:33:07.497000,8.123,8.89253,Clear,0,1256.652,102.762,1
2016-03-31,18:33:07.597000,7.838,8.60652,Clear,0,1256.126,102.752,1
2016-03-31,18:33:07.697000,7.404,8.17141,Clear,0,1255.6,102.743,1
2016-03-31,18:33:07.797000,8.067,8.83327,Clear,0,1255.074,102.733,1
2016-03-31,18:33:07.897000,7.806,8.57136,Clear,0,1254.548,102.724,1
2016-03-31,18:33:07.997000,8.022,8.78558,Clear,0,1254.023,102.714,1
2016-03-31,18:33:08.097000,7.634,8.39707,Clear,0,1253.497,102.704,1
2016-03-31,18:33:08.197000,7.789,8.55055,Clear,0,1252.972,102.695,1
2016-03-31,18:33:08.297000,7.73,8.49119,Clear,0,1252.447,102.685,1
2016-03-31,18:33:08.397000,8.052,8.81045,Clear,0,1251.923,102.676,1
2016-03-31,18:33:08.497000,7.681,8.43891,Clear,0,1251.398,102.666,1
2016-03-31,18:33:08.597000,7.995,8.75199,Clear,0,1250.874,102.657,1
2016-03-31,18:33:08.697000,8.105,8.86088,Clear,0,1250.35,102.647,1
2016-03-31,18:33:08.797000,7.73,8.48509,Clear,0,1249.826,102.637,1
2016-03-31,18:33:08.897000,7.842,8.59636,Clear,0,1249.302,102.628,1
2016-03-31,18:33:08.997000,8.09,8.84275,Clear,0,1248.778,102.618,1
2016-03-31,18:33:09.097000,7.875,8.62584,Clear,0,1248.255,102.609,1
2016-03-31,18:33:09.197000,7.339,8.08859,Clear,0,1247.732,102.599,1
2016-03-31,18:33:09.297000,7.766,8.51517,Clear,0,1247.209,102.589,1
2016-03-31,18:33:09.397000,7.843,8.59131,Clear,0,1246.686,102.58,1
2016-03-31,18:33:09.497000,7.816,8.56315,Clear,0,1246.163,102.57,1
2016-03-31,18:33:09.597000,7.792,8.5381,Clear,0,1245.641,102.56,1
2016-03-31,18:33:09.697000,7.604,8.34904,Clear,0,1245.118,102.551,1
2016-03-31,18:33:09.797000,7.898,8.64154,Clear,0,1244.596,102.541,1
2016-03-31,18:33:09.897000,7.625,8.36731,Clear,0,1244.074,102.531,1
2016-03-31,18:33:09.997000,7.838,8.57921,Clear,0,1243.552,102.522,1
2016-03-31,18:33:10.097000,7.409,8.14885,Clear,0,1243.031,102.512,1
2016-03-31,18:33:10.197000,7.694,8.43273,Clear,0,1242.51,102.502,1
2016-03-31,18:33:10.297000,7.992,8.72984,Clear,0,1241.988,102.493,1
2016-03-31,18:33:10.397000,7.874,8.61078,Clear,0,1241.467,102.483,1
2016-03-31,18:33:10.497000,7.635,8.37073,Clear,0,1240.947,102.473,1
2016-03-31,18:33:10.597000,7.599,8.33271,Clear,0,1240.426,102.463,1
2016-03-31,18:33:10.697000,7.782,8.51478,Clear,0,1239.906,102.454,1
2016-03-31,18:33:10.797000,7.576,8.3082,Clear,0,1239.385,102.444,1
2016-03-31,18:33:10.897000,7.644,8.3745,Clear,0,1238.865,102.434,1
2016-03-31,18:33:10.997000,7.535,8.2651,Clear,0,1238.345,102.424,1
2016-03-31,18:33:11.097000,7.558,8.28739,Clear,0,1237.826,102.415,1
2016-03-31,18:33:11.197000,7.133,7.86142,Clear,0,1237.306,102.405,1
2016-03-31,18:33:11.297000,7.631,8.35678,Clear,0,1236.787,102.395,1
2016-03-31,18:33:11.397000,7.414,8.13885,Clear,0,1236.268,102.385,1
2016-03-31,18:33:11.497000,7.499,8.22306,Clear,0,1235.749,102.375,1
2016-03-31,18:33:11.597000,7.273,7.99601,Clear,0,1235.23,102.366,1
2016-03-31,18:33:11.697000,7.26,7.98228,Clear,0,1234.712,102.356,1
2016-03-31,18:33:11.797000,7.354,8.07494,Clear,0,1234.193,102.346,1
2016-03-31,18:33:11.897000,7.593,8.31338,Clear,0,1233.675,102.336,1
2016-03-31,18:33:11.997000,7.741,8.45878,Clear,0,1233.157,102.326,1
2016-03-31,18:33:12.097000,7.392,8.10857,Clear,0,1232.64,102.316,1
2016-03-31,18:33:12.197000,7.508,8.22395,Clear,0,1232.122,102.306,1
2016-03-31,18:33:12.297000,7.261,7.97583,Clear,0,1231.605,102.296,1
2016-03-31,18:33:12.397000,7.206,7.91994,Clear,0,1231.088,102.287,1
2016-03-31,18:33:12.497000,7.398,8.11046,Clear,0,1230.571,102.277,1
2016-03-31,18:33:12.597000,7.691,8.4034,Clear,0,1230.054,102.267,1
2016-03-31,18:33:12.697000,7.51,8.22007,Clear,0,1229.537,102.257,1
2016-03-31,18:33:12.797000,7.31,8.01929,Clear,0,1229.021,102.247,1
2016-03-31,18:33:12.897000,7.425,8.13305,Clear,0,1228.505,102.237,1
2016-03-31,18:33:12.997000,7.431,8.13774,Clear,0,1227.989,102.227,1
