satellite, 21610 ARIANE 40 R/B / FR
catalogue, 1 NORAD
track, 10355586
variability, 0 Not variable
variability_period, 0.0
npoints, 739
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2016-04-05,17:18:15.997000,5.091,4.29374,Clear,0,833.258,63.213,2
2016-04-05,17:18:16.097000,5.105,4.30665,Clear,0,832.975,63.238,2
2016-04-05,17:18:16.197000,5.097,4.2994,Clear,0,832.692,63.264,2
2016-04-05,17:18:16.297000,5.152,4.35314,Clear,0,832.41,63.289,2
2016-04-05,17:18:16.397000,5.085,4.28596,Clear,0,832.129,63.315,2
2016-04-05,17:18:16.497000,5.153,4.35247,Clear,0,831.848,63.341,2
2016-04-05,17:18:16.597000,5.115,4.31466,Clear,0,831.567,63.366,2
2016-04-05,17:18:16.697000,5.105,4.30412,Clear,0,831.287,63.392,2
2016-04-05,17:18:16.797000,5.104,4.30327,Clear,0,831.008,63.418,2
2016-04-05,17:18:16.897000,5.118,4.31703,Clear,0,830.729,63.444,2
2016-04-05,17:18:16.997000,5.109,4.30736,Clear,0,830.45,63.469,2
2016-04-05,17:18:17.097000,5.128,4.32593,Clear,0,830.172,63.495,2
2016-04-05,17:18:17.197000,5.118,4.31484,Clear,0,829.895,63.521,2
2016-04-05,17:18:17.297000,5.115,4.31148,Clear,0,829.618,63.547,2
2016-04-05,17:18:17.397000,5.121,4.31842,Clear,0,829.342,63.573,2
2016-04-05,17:18:17.497000,5.122,4.31763,Clear,0,829.066,63.599,2
2016-04-05,17:18:17.597000,5.138,4.3344,Clear,0,828.791,63.625,2
2016-04-05,17:18:17.697000,5.096,4.29125,Clear,0,828.516,63.651,2
2016-04-05,17:18:17.797000,5.155,4.35015,Clear,0,828.242,63.677,2
2016-04-05,17:18:17.897000,5.127,4.32141,Clear,0,827.968,63.703,2
2016-04-05,17:18:17.997000,5.169,4.3625,Clear,0,827.695,63.729,2
2016-04-05,17:18:18.097000,5.164,4.35812,Clear,0,827.422,63.755,2
2016-04-05,17:18:18.197000,5.179,4.37175,Clear,0,827.15,63.781,2
2016-04-05,17:18:18.297000,5.112,4.3052,Clear,0,826.879,63.807,2
2016-04-05,17:18:18.397000,5.113,4.30535,Clear,0,826.608,63.834,2
2016-04-05,17:18:18.497000,5.136,4.32804,Clear,0,826.337,63.86,2
2016-04-05,17:18:18.597000,5.127,4.3187,Clear,0,826.067,63.886,2
2016-04-05,17:18:18.697000,5.158,4.34938,Clear,0,825.798,63.912,2
2016-04-05,17:18:18.797000,5.162,4.35275,Clear,0,825.529,63.939,2
2016-04-05,17:18:18.897000,5.135,4.32539,Clear,0,825.26,63.965,2
2016-04-05,17:18:18.997000,5.178,4.36786,Clear,0,824.992,63.992,2
2016-04-05,17:18:19.097000,5.066,4.25603,Clear,0,824.725,64.018,2
2016-04-05,17:18:19.197000,5.15,4.33897,Clear,0,824.458,64.044,2
2016-04-05,17:18:19.297000,5.128,4.31702,Clear,0,824.192,64.071,2
2016-04-05,17:18:19.397000,5.158,4.34555,Clear,0,823.926,64.097,2
2016-04-05,17:18:19.497000,5.164,4.35157,Clear,0,823.661,64.124,2
2016-04-05,17:18:19.597000,5.171,4.35924,Clear,0,823.396,64.151,2
2016-04-05,17:18:19.697000,5.175,4.36209,Clear,0,823.132,64.177,2
2016-04-05,17:18:19.797000,5.142,4.32901,Clear,0,822.868,64.204,2
2016-04-05,17:18:19.897000,5.169,4.35621,Clear,0,822.605,64.231,2
2016-04-05,17:18:19.997000,5.163,4.34885,Clear,0,822.343,64.257,2
2016-04-05,17:18:20.097000,5.148,4.33365,Clear,0,822.081,64.284,2
2016-04-05,17:18:20.197000,5.167,4.35147,Clear,0,821.819,64.311,2
2016-04-05,17:18:20.297000,5.114,4.29887,Clear,0,821.558,64.338,2
2016-04-05,17:18:20.397000,5.24,4.4247,Clear,0,821.298,64.365,2
2016-04-05,17:18:20.497000,5.159,4.3433,Clear,0,821.038,64.391,2
2016-04-05,17:18:20.597000,5.187,4.37138,Clear,0,820.779,64.418,2
2016-04-05,17:18:20.697000,5.188,4.37149,Clear,0,820.52,64.445,2
2016-04-05,17:18:20.797000,5.219,4.40182,Clear,0,820.262,64.472,2
2016-04-05,17:18:20.897000,5.193,4.37598,Clear,0,820.004,64.499,2
2016-04-05,17:18:20.997000,5.214,4.39688,Clear,0,819.747,64.526,2
2016-04-05,17:18:21.097000,5.141,4.32327,Clear,0,819.49,64.553,2
2016-04-05,17:18:21.197000,5.203,4.38504,Clear,0,819.234,64.58,2
2016-04-05,17:18:21.297000,5.236,4.41726,Clear,0,818.979,64.607,2
2016-04-05,17:18:21.397000,5.2,4.38108,Clear,0,818.724,64.635,2
2016-04-05,17:18:21.497000,5.186,4.36703,Clear,0,818.469,64.662,2
2016-04-05,17:18:21.597000,5.244,4.42353,Clear,0,818.215,64.689,2
2016-04-05,17:18:21.697000,5.204,4.38356,Clear,0,817.962,64.716,2
2016-04-05,17:18:21.797000,5.201,4.3807,Clear,0,817.709,64.744,2
2016-04-05,17:18:21.897000,5.212,4.39087,Clear,0,817.457,64.771,2
2016-04-05,17:18:21.997000,5.25,4.4292,Clear,0,817.205,64.798,2
2016-04-05,17:18:22.097000,5.218,4.39736,Clear,0,816.954,64.826,2
2016-04-05,17:18:22.197000,5.185,4.36298,Clear,0,816.703,64.853,2
2016-04-05,17:18:22.297000,5.184,4.36241,Clear,0,816.453,64.88,2
2016-04-05,17:18:22.397000,5.251,4.42857,Clear,0,816.204,64.908,2
2016-04-05,17:18:22.497000,5.226,4.40299,Clear,0,815.955,64.935,2
2016-04-05,17:18:22.597000,5.184,4.36113,Clear,0,815.707,64.963,2
2016-04-05,17:18:22.697000,5.229,4.40549,Clear,0,815.459,64.99,2
2016-04-05,17:18:22.797000,5.23,4.40641,Clear,0,815.211,65.018,2
2016-04-05,17:18:22.897000,5.19,4.36595,Clear,0,814.965,65.046,2
2016-04-05,17:18:22.997000,5.23,4.40558,Clear,0,814.718,65.073,2
2016-04-05,17:18:23.097000,5.237,4.41237,Clear,0,814.473,65.101,2
2016-04-05,17:18:23.197000,5.228,4.40281,Clear,0,814.228,65.129,2
2016-04-05,17:18:23.297000,5.233,4.40751,Clear,0,813.983,65.156,2
2016-04-05,17:18:23.397000,5.254,4.4292,Clear,0,813.739,65.184,2
2016-04-05,17:18:23.497000,5.263,4.43663,Clear,0,813.495,65.212,2
