satellite, 6787 OPS 8364 (DMSP 5B F4) / US
catalogue, 1 NORAD
track, 10376276
variability, 2 Periodic
variability_period, 25.19244
npoints, 939
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
0.0,6.656,7.01896,Clear,0,1507.289,50.944,2
0.09999999999990905,6.129,6.4908,Clear,0,1506.706,50.937,2
0.1999999999998181,6.299,6.66013,Clear,0,1506.123,50.929,2
0.3000000000001819,6.536,6.89607,Clear,0,1505.54,50.922,2
0.40000000000009095,6.465,6.82362,Clear,0,1504.958,50.914,2
0.5,6.747,7.10503,Clear,0,1504.375,50.907,2
0.599999999999909,6.596,6.95361,Clear,0,1503.793,50.899,2
0.6999999999998181,6.468,6.82447,Clear,0,1503.211,50.891,2
0.8000000000001819,6.422,6.77811,Clear,0,1502.628,50.884,2
0.900000000000091,6.603,6.95806,Clear,0,1502.046,50.876,2
1.0,6.542,6.89607,Clear,0,1501.464,50.869,2
1.099999999999909,6.551,6.90371,Clear,0,1500.882,50.861,2
1.199999999999818,6.625,6.97675,Clear,0,1500.301,50.853,2
1.300000000000182,6.485,6.83581,Clear,0,1499.719,50.846,2
1.400000000000091,6.367,6.71694,Clear,0,1499.137,50.838,2
1.5,6.489,6.83753,Clear,0,1498.556,50.831,2
1.599999999999909,6.497,6.84488,Clear,0,1497.974,50.823,2
1.699999999999818,6.738,7.08618,Clear,0,1497.393,50.816,2
1.800000000000182,6.589,6.93601,Clear,0,1496.812,50.808,2
1.900000000000091,6.502,6.84803,Clear,0,1496.231,50.8,2
2.0,6.434,6.77931,Clear,0,1495.65,50.793,2
2.099999999999909,6.248,6.59189,Clear,0,1495.069,50.785,2
2.199999999999818,6.271,6.61429,Clear,0,1494.488,50.778,2
2.300000000000182,6.145,6.48649,Clear,0,1493.908,50.77,2
2.400000000000091,5.556,5.89697,Clear,0,1493.327,50.762,2
2.5,5.806,6.1462,Clear,0,1492.747,50.755,2
2.599999999999909,5.789,6.12767,Clear,0,1492.166,50.747,2
2.699999999999818,4.641,4.97909,Clear,0,1491.586,50.74,2
2.800000000000182,4.274,4.61204,Clear,0,1491.006,50.732,2
2.900000000000091,5.798,6.13518,Clear,0,1490.426,50.724,2
3.0,5.75,6.08568,Clear,0,1489.846,50.717,2
3.099999999999909,6.175,6.51005,Clear,0,1489.266,50.709,2
3.199999999999818,6.0,6.33411,Clear,0,1488.687,50.701,2
3.300000000000182,6.64,6.9729,Clear,0,1488.107,50.694,2
3.400000000000091,6.417,6.74852,Clear,0,1487.527,50.686,2
3.5,6.834,7.16498,Clear,0,1486.948,50.679,2
3.599999999999909,6.91,7.24008,Clear,0,1486.369,50.671,2
3.699999999999818,6.947,7.27613,Clear,0,1485.79,50.663,2
3.800000000000182,6.706,7.03392,Clear,0,1485.211,50.656,2
3.900000000000091,6.739,7.06576,Clear,0,1484.632,50.648,2
4.0,7.111,7.43828,Clear,0,1484.053,50.64,2
4.099999999999909,6.773,7.09911,Clear,0,1483.474,50.633,2
4.199999999999818,7.258,7.58259,Clear,0,1482.896,50.625,2
4.300000000000182,7.182,7.50546,Clear,0,1482.317,50.617,2
4.400000000000091,7.417,7.73967,Clear,0,1481.739,50.61,2
4.5,7.004,7.32562,Clear,0,1481.16,50.602,2
4.599999999999909,7.159,7.47975,Clear,0,1480.582,50.595,2
4.699999999999818,7.003,7.3231,Clear,0,1480.004,50.587,2
4.800000000000182,7.019,7.33764,Clear,0,1479.426,50.579,2
4.900000000000091,7.22,7.5377,Clear,0,1478.848,50.572,2
5.0,7.366,7.68256,Clear,0,1478.271,50.564,2
5.099999999999909,7.202,7.51804,Clear,0,1477.693,50.556,2
5.199999999999818,7.426,7.74238,Clear,0,1477.115,50.549,2
5.300000000000182,7.38,7.69502,Clear,0,1476.538,50.541,2
5.400000000000091,7.508,7.82152,Clear,0,1475.961,50.533,2
5.5,7.382,7.69526,Clear,0,1475.383,50.526,2
5.599999999999909,7.151,7.46339,Clear,0,1474.806,50.518,2
5.699999999999818,7.322,7.63344,Clear,0,1474.229,50.51,2
5.800000000000182,7.651,7.96078,Clear,0,1473.653,50.503,2
5.900000000000091,7.504,7.81252,Clear,0,1473.076,50.495,2
6.0,7.171,7.47878,Clear,0,1472.499,50.487,2
6.099999999999909,7.415,7.72232,Clear,0,1471.923,50.48,2
6.199999999999818,7.263,7.56925,Clear,0,1471.346,50.472,2
6.300000000000182,7.631,7.936,Clear,0,1470.77,50.464,2
6.400000000000091,7.496,7.80099,Clear,0,1470.194,50.457,2
6.5,7.276,7.57983,Clear,0,1469.618,50.449,2
6.599999999999909,7.141,7.44371,Clear,0,1469.042,50.441,2
6.699999999999818,7.424,7.7262,Clear,0,1468.466,50.434,2
6.800000000000182,7.226,7.52732,Clear,0,1467.89,50.426,2
6.900000000000091,6.935,7.23496,Clear,0,1467.314,50.418,2
7.0,6.827,7.12635,Clear,0,1466.739,50.411,2
7.099999999999909,7.069,7.36678,Clear,0,1466.163,50.403,2
7.199999999999818,6.856,7.15315,Clear,0,1465.588,50.395,2
7.300000000000182,6.62,6.91617,Clear,0,1465.013,50.387,2
7.400000000000091,6.694,6.98932,Clear,0,1464.438,50.38,2
7.5,6.565,6.85908,Clear,0,1463.863,50.372,2
7.599999999999909,6.179,6.47298,Clear,0,1463.288,50.364,2
7.699999999999818,6.872,7.16513,Clear,0,1462.713,50.357,2
7.800000000000182,6.498,6.78984,Clear,0,1462.139,50.349,2
7.900000000000091,6.303,6.59377,Clear,0,1461.564,50.341,2
8.0,5.968,6.2578,Clear,0,1460.99,50.334,2
8.099999999999909,6.354,6.64253,Clear,0,1460.415,50.326,2
8.199999999999818,6.21,6.49766,Clear,0,1459.841,50.318,2
8.300000000000182,6.164,6.45126,Clear,0,1459.267,50.31,2
8.400000000000091,6.078,6.36362,Clear,0,1458.693,50.303,2
8.5,5.87,6.15495,Clear,0,1458.119,50.295,2
8.599999999999909,5.893,6.17669,Clear,0,1457.546,50.287,2
8.699999999999818,5.719,6.00188,Clear,0,1456.972,50.28,2
8.800000000000182,5.714,5.99634,Clear,0,1456.398,50.272,2
8.900000000000091,5.27,5.55153,Clear,0,1455.825,50.264,2
9.0,5.115,5.39563,Clear,0,1455.252,50.256,2
9.099999999999909,5.141,5.42071,Clear,0,1454.679,50.249,2
9.199999999999818,5.686,5.96464,Clear,0,1454.106,50.241,2
9.300000000000182,5.891,6.16897,Clear,0,1453.533,50.233,2
9.400000000000091,5.771,6.04813,Clear,0,1452.96,50.226,2
9.5,6.063,6.33858,Clear,0,1452.387,50.218,2
9.599999999999909,5.999,6.27388,Clear,0,1451.815,50.21,2
9.699999999999818,5.959,6.2325,Clear,0,1451.242,50.202,2
9.800000000000182,6.153,6.42592,Clear,0,1450.67,50.195,2
9.900000000000091,6.112,6.38352,Clear,0,1450.098,50.187,2
10.0,5.986,6.25719,Clear,0,1449.525,50.179,2
10.099999999999909,6.241,6.51094,Clear,0,1448.953,50.172,2
10.199999999999818,6.197,6.46547,Clear,0,1448.382,50.164,2
10.300000000000182,6.267,6.53563,Clear,0,1447.81,50.156,2
10.400000000000091,6.295,6.56322,Clear,0,1447.238,50.148,2
10.5,6.728,6.9945,Clear,0,1446.667,50.141,2
10.599999999999909,6.829,7.09475,Clear,0,1446.095,50.133,2
10.699999999999818,6.502,6.76717,Clear,0,1445.524,50.125,2
10.800000000000182,6.77,7.03406,Clear,0,1444.953,50.117,2
10.900000000000091,6.702,6.96485,Clear,0,1444.382,50.11,2
11.0,7.21,7.47224,Clear,0,1443.811,50.102,2
11.099999999999909,7.045,7.30602,Clear,0,1443.24,50.094,2
11.199999999999818,6.982,7.24233,Clear,0,1442.669,50.086,2
11.300000000000182,7.414,7.67342,Clear,0,1442.099,50.079,2
11.400000000000091,7.346,7.60423,Clear,0,1441.528,50.071,2
11.5,7.08,7.33729,Clear,0,1440.958,50.063,2
11.599999999999909,7.625,7.88234,Clear,0,1440.388,50.055,2
11.699999999999818,7.167,7.42304,Clear,0,1439.818,50.048,2
11.800000000000182,7.485,7.73992,Clear,0,1439.248,50.04,2
11.900000000000091,7.251,7.5048,Clear,0,1438.678,50.032,2
12.0,7.127,7.38003,Clear,0,1438.108,50.024,2
12.099999999999909,6.995,7.247,Clear,0,1437.538,50.017,2
12.199999999999818,7.171,7.42231,Clear,0,1436.969,50.009,2
12.300000000000182,7.171,7.42047,Clear,0,1436.399,50.001,2
12.400000000000091,6.702,6.95133,Clear,0,1435.83,49.993,2
12.5,6.399,6.64704,Clear,0,1435.261,49.985,2
