satellite, 1001 TITAN 3A TRANSTAGE R/B / US
catalogue, 1 NORAD
track, 10439481
variability, 2 Periodic
variability_period, 45.75404736
npoints, 2760
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2016-06-10,20:44:28.896000,5.831,8.10331,Clear,0,3760.722,41.448,7
2016-06-10,20:44:28.996000,5.68,7.9513,Clear,0,3760.472,41.442,7
2016-06-10,20:44:29.096000,5.805,8.0757,Clear,0,3760.222,41.437,7
2016-06-10,20:44:29.196000,5.533,7.80408,Clear,0,3759.972,41.431,7
2016-06-10,20:44:29.296000,5.555,7.82615,Clear,0,3759.722,41.426,7
2016-06-10,20:44:29.396000,5.483,7.75374,Clear,0,3759.472,41.42,7
2016-06-10,20:44:29.496000,5.841,8.11149,Clear,0,3759.222,41.414,7
2016-06-10,20:44:29.596000,5.732,8.00178,Clear,0,3758.972,41.409,7
2016-06-10,20:44:29.696000,5.716,7.98583,Clear,0,3758.722,41.403,7
2016-06-10,20:44:29.796000,5.681,7.95106,Clear,0,3758.472,41.398,7
2016-06-10,20:44:29.896000,5.794,8.06386,Clear,0,3758.223,41.392,7
2016-06-10,20:44:29.996000,5.961,8.23048,Clear,0,3757.973,41.386,7
2016-06-10,20:44:30.096000,5.777,8.04568,Clear,0,3757.724,41.381,7
2016-06-10,20:44:30.196000,5.287,7.55621,Clear,0,3757.474,41.375,7
2016-06-10,20:44:30.296000,5.665,7.9342,Clear,0,3757.224,41.37,7
2016-06-10,20:44:30.396000,5.659,7.92818,Clear,0,3756.975,41.364,7
2016-06-10,20:44:30.496000,6.039,8.30829,Clear,0,3756.726,41.358,7
2016-06-10,20:44:30.596000,5.805,8.0728,Clear,0,3756.476,41.353,7
2016-06-10,20:44:30.696000,5.915,8.183,Clear,0,3756.227,41.347,7
2016-06-10,20:44:30.796000,5.73,7.99784,Clear,0,3755.978,41.341,7
2016-06-10,20:44:30.896000,5.403,7.67062,Clear,0,3755.729,41.336,7
2016-06-10,20:44:30.996000,5.71,7.9783,Clear,0,3755.479,41.33,7
2016-06-10,20:44:31.096000,5.471,7.73869,Clear,0,3755.23,41.325,7
2016-06-10,20:44:31.196000,5.613,7.8796,Clear,0,3754.981,41.319,7
2016-06-10,20:44:31.296000,5.464,7.73134,Clear,0,3754.732,41.313,7
2016-06-10,20:44:31.396000,5.555,7.82237,Clear,0,3754.483,41.308,7
2016-06-10,20:44:31.496000,5.41,7.67666,Clear,0,3754.234,41.302,7
2016-06-10,20:44:31.596000,5.329,7.5958,Clear,0,3753.986,41.297,7
2016-06-10,20:44:31.696000,5.731,7.9966,Clear,0,3753.737,41.291,7
2016-06-10,20:44:31.796000,5.564,7.82994,Clear,0,3753.488,41.285,7
2016-06-10,20:44:31.896000,5.282,7.54755,Clear,0,3753.239,41.28,7
2016-06-10,20:44:31.996000,5.375,7.64085,Clear,0,3752.991,41.274,7
2016-06-10,20:44:32.096000,4.931,7.19725,Clear,0,3752.742,41.269,7
2016-06-10,20:44:32.196000,4.818,7.08442,Clear,0,3752.493,41.263,7
2016-06-10,20:44:32.296000,5.341,7.60626,Clear,0,3752.245,41.257,7
2016-06-10,20:44:32.396000,5.173,7.43779,Clear,0,3751.996,41.252,7
2016-06-10,20:44:32.496000,4.882,7.147,Clear,0,3751.748,41.246,7
2016-06-10,20:44:32.596000,4.608,6.87303,Clear,0,3751.5,41.241,7
2016-06-10,20:44:32.696000,4.407,6.67234,Clear,0,3751.251,41.235,7
2016-06-10,20:44:32.796000,4.617,6.88137,Clear,0,3751.003,41.229,7
2016-06-10,20:44:32.896000,4.482,6.74592,Clear,0,3750.755,41.224,7
2016-06-10,20:44:32.996000,4.4,6.66422,Clear,0,3750.507,41.218,7
2016-06-10,20:44:33.096000,4.57,6.83359,Clear,0,3750.259,41.213,7
2016-06-10,20:44:33.196000,4.923,7.18692,Clear,0,3750.01,41.207,7
2016-06-10,20:44:33.296000,4.642,6.90572,Clear,0,3749.762,41.201,7
2016-06-10,20:44:33.396000,5.121,7.38408,Clear,0,3749.514,41.196,7
2016-06-10,20:44:33.496000,5.006,7.26906,Clear,0,3749.267,41.19,7
2016-06-10,20:44:33.596000,4.843,7.10633,Clear,0,3749.019,41.184,7
2016-06-10,20:44:33.696000,5.148,7.41132,Clear,0,3748.771,41.179,7
2016-06-10,20:44:33.796000,5.265,7.52752,Clear,0,3748.523,41.173,7
2016-06-10,20:44:33.896000,5.456,7.71789,Clear,0,3748.275,41.168,7
2016-06-10,20:44:33.996000,5.739,8.00128,Clear,0,3748.028,41.162,7
2016-06-10,20:44:34.096000,5.466,7.72842,Clear,0,3747.78,41.156,7
2016-06-10,20:44:34.196000,5.384,7.64637,Clear,0,3747.532,41.151,7
2016-06-10,20:44:34.296000,5.761,8.02302,Clear,0,3747.285,41.145,7
2016-06-10,20:44:34.396000,5.45,7.71105,Clear,0,3747.037,41.14,7
2016-06-10,20:44:34.496000,5.949,8.21042,Clear,0,3746.79,41.134,7
2016-06-10,20:44:34.596000,5.223,7.4838,Clear,0,3746.543,41.128,7
2016-06-10,20:44:34.696000,5.759,8.02025,Clear,0,3746.295,41.123,7
2016-06-10,20:44:34.796000,5.822,8.08294,Clear,0,3746.048,41.117,7
2016-06-10,20:44:34.896000,5.897,8.15745,Clear,0,3745.801,41.112,7
2016-06-10,20:44:34.996000,5.181,7.44059,Clear,0,3745.554,41.106,7
2016-06-10,20:44:35.096000,6.045,8.30533,Clear,0,3745.306,41.1,7
2016-06-10,20:44:35.196000,5.548,7.80783,Clear,0,3745.059,41.095,7
2016-06-10,20:44:35.296000,5.792,8.05244,Clear,0,3744.812,41.089,7
2016-06-10,20:44:35.396000,6.037,8.29653,Clear,0,3744.565,41.084,7
