satellite, 25273 IRIDIUM 57 / US
catalogue, 1 NORAD
track, 10440445
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1052
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2016-06-10,21:07:25.696000,6.631,7.90585,Clear,0,1237.937,121.697,3
2016-06-10,21:07:25.796000,6.541,7.8151,Clear,0,1237.395,121.673,3
2016-06-10,21:07:25.896000,6.256,7.52813,Clear,0,1236.853,121.65,3
2016-06-10,21:07:25.996000,6.128,7.3979,Clear,0,1236.311,121.626,3
2016-06-10,21:07:26.096000,5.954,7.22193,Clear,0,1235.769,121.603,3
2016-06-10,21:07:26.196000,6.395,7.66234,Clear,0,1235.228,121.579,3
2016-06-10,21:07:26.296000,6.328,7.59265,Clear,0,1234.686,121.555,3
2016-06-10,21:07:26.396000,6.348,7.61131,Clear,0,1234.145,121.532,3
2016-06-10,21:07:26.496000,6.326,7.58735,Clear,0,1233.604,121.508,3
2016-06-10,21:07:26.596000,6.268,7.5278,Clear,0,1233.063,121.484,3
2016-06-10,21:07:26.696000,6.187,7.44472,Clear,0,1232.522,121.46,3
2016-06-10,21:07:26.796000,6.311,7.56708,Clear,0,1231.981,121.437,3
2016-06-10,21:07:26.896000,6.16,7.41391,Clear,0,1231.441,121.413,3
2016-06-10,21:07:26.996000,6.024,7.27739,Clear,0,1230.901,121.389,3
2016-06-10,21:07:27.096000,6.124,7.37452,Clear,0,1230.36,121.365,3
2016-06-10,21:07:27.196000,5.462,6.71084,Clear,0,1229.82,121.342,3
2016-06-10,21:07:27.296000,5.531,6.77822,Clear,0,1229.28,121.318,3
2016-06-10,21:07:27.396000,5.862,7.10652,Clear,0,1228.741,121.294,3
2016-06-10,21:07:27.496000,5.601,6.84454,Clear,0,1228.201,121.27,3
2016-06-10,21:07:27.596000,5.976,7.21756,Clear,0,1227.662,121.246,3
2016-06-10,21:07:27.696000,5.879,7.11885,Clear,0,1227.123,121.222,3
2016-06-10,21:07:27.796000,5.753,6.99121,Clear,0,1226.584,121.198,3
2016-06-10,21:07:27.896000,5.525,6.76152,Clear,0,1226.045,121.174,3
2016-06-10,21:07:27.996000,5.772,7.00648,Clear,0,1225.506,121.15,3
2016-06-10,21:07:28.096000,5.502,6.73483,Clear,0,1224.967,121.127,3
2016-06-10,21:07:28.196000,5.671,6.90221,Clear,0,1224.429,121.103,3
2016-06-10,21:07:28.296000,5.777,7.00698,Clear,0,1223.891,121.079,3
2016-06-10,21:07:28.396000,5.831,7.05896,Clear,0,1223.353,121.054,3
2016-06-10,21:07:28.496000,5.813,7.03943,Clear,0,1222.815,121.03,3
2016-06-10,21:07:28.596000,5.718,6.94156,Clear,0,1222.277,121.006,3
