satellite, 40715 DMC 3-FM1 / UK
catalogue, 1 NORAD
track, 10468049
variability, 1 Aperiodic
variability_period, 0.0
npoints, 574
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2016-06-27,20:09:58.898000,8.241,8.0598,Clear,0,796.707,104.361,1
2016-06-27,20:09:58.998000,8.269,8.08455,Clear,0,796.292,104.323,1
2016-06-27,20:09:59.098000,8.427,8.24074,Clear,0,795.877,104.284,1
2016-06-27,20:09:59.198000,8.284,8.09626,Clear,0,795.463,104.245,1
2016-06-27,20:09:59.298000,8.403,8.21305,Clear,0,795.049,104.206,1
2016-06-27,20:09:59.398000,8.62,8.42764,Clear,0,794.636,104.167,1
2016-06-27,20:09:59.498000,8.384,8.19041,Clear,0,794.223,104.129,1
2016-06-27,20:09:59.598000,8.28,8.08356,Clear,0,793.811,104.09,1
2016-06-27,20:09:59.698000,8.062,7.86355,Clear,0,793.399,104.051,1
2016-06-27,20:09:59.798000,7.926,7.72551,Clear,0,792.988,104.012,1
2016-06-27,20:09:59.898000,7.992,7.7895,Clear,0,792.577,103.973,1
2016-06-27,20:09:59.998000,8.091,7.88705,Clear,0,792.166,103.934,1
2016-06-27,20:10:00.098000,8.452,8.24619,Clear,0,791.756,103.894,1
2016-06-27,20:10:00.198000,8.159,7.95087,Clear,0,791.347,103.855,1
2016-06-27,20:10:00.298000,8.023,7.8126,Clear,0,790.938,103.816,1
2016-06-27,20:10:00.398000,8.241,8.02829,Clear,0,790.529,103.777,1
2016-06-27,20:10:00.498000,8.389,8.1736,Clear,0,790.121,103.737,1
2016-06-27,20:10:00.598000,8.056,7.83915,Clear,0,789.713,103.698,1
2016-06-27,20:10:00.698000,7.922,7.70313,Clear,0,789.305,103.659,1
2016-06-27,20:10:00.798000,8.266,8.04465,Clear,0,788.899,103.619,1
2016-06-27,20:10:00.898000,8.062,7.83915,Clear,0,788.492,103.58,1
2016-06-27,20:10:00.998000,8.121,7.89555,Clear,0,788.086,103.54,1
2016-06-27,20:10:01.098000,8.062,7.83481,Clear,0,787.681,103.501,1
2016-06-27,20:10:01.198000,8.116,7.88719,Clear,0,787.276,103.461,1
2016-06-27,20:10:01.298000,8.142,7.91061,Clear,0,786.871,103.422,1
2016-06-27,20:10:01.398000,8.099,7.86608,Clear,0,786.467,103.382,1
2016-06-27,20:10:01.498000,8.05,7.81496,Clear,0,786.063,103.342,1
2016-06-27,20:10:01.598000,8.076,7.83864,Clear,0,785.66,103.303,1
2016-06-27,20:10:01.698000,8.071,7.83154,Clear,0,785.257,103.263,1
2016-06-27,20:10:01.798000,8.094,7.85297,Clear,0,784.855,103.223,1
2016-06-27,20:10:01.898000,8.092,7.84837,Clear,0,784.453,103.183,1
2016-06-27,20:10:01.998000,8.096,7.85017,Clear,0,784.052,103.143,1
2016-06-27,20:10:02.098000,8.003,7.75508,Clear,0,783.651,103.103,1
2016-06-27,20:10:02.198000,7.763,7.51292,Clear,0,783.251,103.063,1
2016-06-27,20:10:02.298000,7.988,7.73548,Clear,0,782.851,103.023,1
2016-06-27,20:10:02.398000,8.143,7.88864,Clear,0,782.451,102.983,1
2016-06-27,20:10:02.498000,7.957,7.70095,Clear,0,782.052,102.943,1
2016-06-27,20:10:02.598000,8.13,7.87239,Clear,0,781.654,102.903,1
2016-06-27,20:10:02.698000,8.073,7.81341,Clear,0,781.256,102.863,1
2016-06-27,20:10:02.798000,7.96,7.69782,Clear,0,780.858,102.823,1
2016-06-27,20:10:02.898000,8.061,7.7971,Clear,0,780.461,102.782,1
2016-06-27,20:10:02.998000,8.058,7.79216,Clear,0,780.064,102.742,1
2016-06-27,20:10:03.098000,8.002,7.73368,Clear,0,779.668,102.702,1
2016-06-27,20:10:03.198000,7.935,7.66529,Clear,0,779.272,102.661,1
2016-06-27,20:10:03.298000,7.993,7.721,Clear,0,778.877,102.621,1
2016-06-27,20:10:03.398000,8.002,7.72813,Clear,0,778.483,102.581,1
2016-06-27,20:10:03.498000,7.952,7.67478,Clear,0,778.088,102.54,1
2016-06-27,20:10:03.598000,7.974,7.69452,Clear,0,777.694,102.499,1
2016-06-27,20:10:03.698000,8.028,7.74651,Clear,0,777.301,102.459,1
2016-06-27,20:10:03.798000,7.891,7.60782,Clear,0,776.908,102.418,1
2016-06-27,20:10:03.898000,8.134,7.84937,Clear,0,776.516,102.378,1
2016-06-27,20:10:03.998000,7.97,7.68246,Clear,0,776.124,102.337,1
2016-06-27,20:10:04.098000,8.032,7.74288,Clear,0,775.733,102.296,1
2016-06-27,20:10:04.198000,7.864,7.57319,Clear,0,775.342,102.255,1
2016-06-27,20:10:04.298000,8.014,7.72136,Clear,0,774.951,102.215,1
2016-06-27,20:10:04.398000,7.842,7.54716,Clear,0,774.561,102.174,1
2016-06-27,20:10:04.498000,7.98,7.68246,Clear,0,774.172,102.133,1
2016-06-27,20:10:04.598000,7.97,7.67104,Clear,0,773.783,102.092,1
2016-06-27,20:10:04.698000,7.987,7.68589,Clear,0,773.395,102.051,1
2016-06-27,20:10:04.798000,8.085,7.78198,Clear,0,773.007,102.01,1
2016-06-27,20:10:04.898000,8.147,7.8424,Clear,0,772.619,101.969,1
2016-06-27,20:10:04.998000,8.202,7.89508,Clear,0,772.232,101.928,1
2016-06-27,20:10:05.098000,8.011,7.70165,Clear,0,771.846,101.886,1
2016-06-27,20:10:05.198000,8.067,7.75563,Clear,0,771.459,101.845,1
2016-06-27,20:10:05.298000,8.126,7.81302,Clear,0,771.074,101.804,1
2016-06-27,20:10:05.398000,8.037,7.721,Clear,0,770.689,101.763,1
2016-06-27,20:10:05.498000,8.197,7.87935,Clear,0,770.304,101.721,1
2016-06-27,20:10:05.598000,8.466,8.14572,Clear,0,769.92,101.68,1
2016-06-27,20:10:05.698000,8.28,7.95748,Clear,0,769.537,101.639,1
2016-06-27,20:10:05.798000,8.422,8.09821,Clear,0,769.154,101.597,1
2016-06-27,20:10:05.898000,8.216,7.89009,Clear,0,768.771,101.556,1
2016-06-27,20:10:05.998000,8.626,8.29762,Clear,0,768.389,101.514,1
2016-06-27,20:10:06.098000,8.545,8.21509,Clear,0,768.007,101.473,1
2016-06-27,20:10:06.198000,8.36,8.02792,Clear,0,767.626,101.431,1
2016-06-27,20:10:06.298000,8.142,7.8082,Clear,0,767.245,101.389,1
2016-06-27,20:10:06.398000,8.565,8.22861,Clear,0,766.865,101.348,1
2016-06-27,20:10:06.498000,8.292,7.95395,Clear,0,766.486,101.306,1
2016-06-27,20:10:06.698000,8.53,8.18801,Clear,0,765.728,101.222,1
2016-06-27,20:10:06.798000,8.631,8.28651,Clear,0,765.35,101.181,1
2016-06-27,20:10:06.898000,8.796,8.45005,Clear,0,764.972,101.139,1
2016-06-27,20:10:06.998000,8.374,8.02604,Clear,0,764.595,101.097,1
2016-06-27,20:10:07.098000,8.473,8.12338,Clear,0,764.219,101.055,1
2016-06-27,20:10:07.198000,8.365,8.01341,Clear,0,763.842,101.013,1
2016-06-27,20:10:07.298000,8.6,8.24574,Clear,0,763.467,100.971,1
2016-06-27,20:10:07.398000,8.711,8.35497,Clear,0,763.092,100.929,1
2016-06-27,20:10:07.498000,8.324,7.96545,Clear,0,762.717,100.886,1
2016-06-27,20:10:07.598000,8.538,8.17769,Clear,0,762.343,100.844,1
2016-06-27,20:10:07.698000,8.322,7.95947,Clear,0,761.97,100.802,1
2016-06-27,20:10:07.798000,8.359,7.99475,Clear,0,761.596,100.76,1
2016-06-27,20:10:07.898000,8.435,8.06847,Clear,0,761.224,100.718,1
2016-06-27,20:10:07.998000,8.437,8.0692,Clear,0,760.852,100.675,1
2016-06-27,20:10:08.098000,8.427,8.05607,Clear,0,760.48,100.633,1
2016-06-27,20:10:08.198000,8.417,8.04405,Clear,0,760.109,100.59,1
2016-06-27,20:10:08.298000,8.712,8.33729,Clear,0,759.739,100.548,1
2016-06-27,20:10:08.398000,8.781,8.40379,Clear,0,759.369,100.505,1
2016-06-27,20:10:08.498000,8.16,7.78122,Clear,0,758.999,100.463,1
2016-06-27,20:10:08.698000,8.61,8.22719,Clear,0,758.262,100.378,1
2016-06-27,20:10:08.798000,8.494,8.10856,Clear,0,757.894,100.335,1
2016-06-27,20:10:08.898000,8.594,8.20645,Clear,0,757.527,100.292,1
2016-06-27,20:10:08.998000,8.557,8.168,Clear,0,757.16,100.25,1
2016-06-27,20:10:09.098000,8.333,7.94192,Clear,0,756.793,100.207,1
2016-06-27,20:10:09.198000,8.516,8.12286,Clear,0,756.427,100.164,1
2016-06-27,20:10:09.298000,8.499,8.1035,Clear,0,756.062,100.121,1
2016-06-27,20:10:09.398000,8.738,8.34074,Clear,0,755.697,100.078,1
