satellite, 26065 ASUSAT / US
catalogue, 1 NORAD
track, 10514200
variability, 1 Aperiodic
variability_period, 0.0
npoints, 999
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
0.0,6.269,6.83434,Clear,0,1002.758,113.649,1
0.10000000000582077,6.104,6.66679,Clear,0,1002.286,113.617,1
0.19999999999708962,6.031,6.59196,Clear,0,1001.814,113.584,1
0.3000000000029104,5.996,6.55541,Clear,0,1001.342,113.551,1
0.39999999999417923,5.977,6.53407,Clear,0,1000.871,113.518,1
0.5,5.929,6.48351,Clear,0,1000.4,113.485,1
0.6000000000058208,5.824,6.3774,Clear,0,999.929,113.452,1
0.6999999999970896,5.656,6.20671,Clear,0,999.458,113.419,1
0.8000000000029104,5.764,6.3131,Clear,0,998.988,113.386,1
0.8999999999941792,5.591,6.1384,Clear,0,998.518,113.353,1
1.0,5.508,6.05349,Clear,0,998.049,113.32,1
1.1000000000058208,5.466,6.00998,Clear,0,997.58,113.287,1
1.1999999999970896,5.362,5.90381,Clear,0,997.111,113.254,1
1.3000000000029104,5.331,5.87067,Clear,0,996.642,113.221,1
1.3999999999941792,5.234,5.77169,Clear,0,996.174,113.187,1
1.5,5.133,5.66881,Clear,0,995.705,113.154,1
1.6000000000058208,4.991,5.5254,Clear,0,995.238,113.121,1
1.6999999999970896,4.892,5.42384,Clear,0,994.77,113.088,1
1.8000000000029104,4.732,5.26163,Clear,0,994.303,113.054,1
1.8999999999941792,4.718,5.24548,Clear,0,993.836,113.021,1
2.0,4.591,5.1174,Clear,0,993.369,112.988,1
2.1000000000058208,4.441,4.96497,Clear,0,992.903,112.954,1
2.1999999999970896,4.308,4.83044,Clear,0,992.437,112.921,1
2.3000000000029104,4.125,4.64447,Clear,0,991.971,112.887,1
2.3999999999941792,3.905,4.42326,Clear,0,991.506,112.854,1
2.5,3.641,4.15729,Clear,0,991.041,112.82,1
2.6000000000058208,3.291,3.80454,Clear,0,990.576,112.787,1
2.6999999999970896,3.036,3.54837,Clear,0,990.111,112.753,1
2.8000000000029104,2.854,3.36409,Clear,0,989.647,112.72,1
2.8999999999941792,2.701,3.20914,Clear,0,989.183,112.686,1
3.0,2.373,2.87864,Clear,0,988.719,112.653,1
3.1000000000058208,2.208,2.7118,Clear,0,988.256,112.619,1
3.1999999999970896,2.139,2.64052,Clear,0,987.793,112.585,1
3.3000000000029104,2.271,2.77063,Clear,0,987.33,112.551,1
3.3999999999941792,2.584,3.08214,Clear,0,986.868,112.518,1
3.5,3.077,3.5726,Clear,0,986.406,112.484,1
3.6000000000058208,3.469,3.96316,Clear,0,985.944,112.45,1
3.6999999999970896,3.668,4.16034,Clear,0,985.482,112.416,1
3.8000000000029104,3.862,4.3516,Clear,0,985.021,112.382,1
3.8999999999941792,4.056,4.54394,Clear,0,984.56,112.348,1
4.0,4.164,4.6497,Clear,0,984.1,112.314,1
4.100000000005821,4.284,4.76781,Clear,0,983.639,112.28,1
4.19999999999709,4.434,4.91546,Clear,0,983.179,112.246,1
4.30000000000291,4.589,5.06944,Clear,0,982.72,112.212,1
4.399999999994179,4.705,5.1825,Clear,0,982.26,112.178,1
4.5,4.779,5.25493,Clear,0,981.801,112.144,1
4.600000000005821,4.829,5.30288,Clear,0,981.342,112.11,1
