satellite, 2682 DIAMANT R/B / FR
catalogue, 1 NORAD
track, 10514671
variability, 0 Not variable
variability_period, 0.0
npoints, 1013
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2016-07-17,00:24:01.498000,7.668,7.92374,Clear,0,1418.287,53.605,6
2016-07-17,00:24:01.598000,7.778,8.03371,Clear,0,1418.163,53.622,6
2016-07-17,00:24:01.698000,7.771,8.02674,Clear,0,1418.038,53.64,6
2016-07-17,00:24:01.798000,7.667,7.92276,Clear,0,1417.914,53.657,6
2016-07-17,00:24:01.898000,7.624,7.88016,Clear,0,1417.791,53.675,6
2016-07-17,00:24:01.998000,7.676,7.93152,Clear,0,1417.667,53.692,6
2016-07-17,00:24:02.098000,7.709,7.96364,Clear,0,1417.544,53.709,6
2016-07-17,00:24:02.198000,7.742,7.9974,Clear,0,1417.421,53.727,6
2016-07-17,00:24:02.298000,7.629,7.88416,Clear,0,1417.298,53.744,6
2016-07-17,00:24:02.398000,7.67,7.92484,Clear,0,1417.175,53.761,6
2016-07-17,00:24:02.498000,7.604,7.85878,Clear,0,1417.053,53.779,6
2016-07-17,00:24:02.598000,7.582,7.83667,Clear,0,1416.931,53.796,6
2016-07-17,00:24:02.698000,7.534,7.78877,Clear,0,1416.809,53.814,6
2016-07-17,00:24:02.798000,7.583,7.83801,Clear,0,1416.687,53.831,6
2016-07-17,00:24:02.898000,7.59,7.84496,Clear,0,1416.566,53.849,6
2016-07-17,00:24:02.998000,7.666,7.9213,Clear,0,1416.445,53.866,6
2016-07-17,00:24:03.098000,7.664,7.91881,Clear,0,1416.324,53.883,6
2016-07-17,00:24:03.198000,7.744,7.99896,Clear,0,1416.204,53.901,6
2016-07-17,00:24:03.298000,7.645,7.90013,Clear,0,1416.084,53.918,6
2016-07-17,00:24:03.398000,7.701,7.95632,Clear,0,1415.963,53.936,6
2016-07-17,00:24:03.498000,7.679,7.93362,Clear,0,1415.844,53.953,6
2016-07-17,00:24:03.598000,7.583,7.83801,Clear,0,1415.724,53.971,6
2016-07-17,00:24:03.698000,7.64,7.89485,Clear,0,1415.605,53.988,6
2016-07-17,00:24:03.798000,7.784,8.03847,Clear,0,1415.486,54.006,6
2016-07-17,00:24:03.898000,7.696,7.95119,Clear,0,1415.367,54.023,6
2016-07-17,00:24:03.998000,7.697,7.95226,Clear,0,1415.249,54.041,6
2016-07-17,00:24:04.098000,7.622,7.87677,Clear,0,1415.13,54.058,6
2016-07-17,00:24:04.198000,7.668,7.92296,Clear,0,1415.012,54.076,6
2016-07-17,00:24:04.298000,7.801,8.05642,Clear,0,1414.895,54.093,6
2016-07-17,00:24:04.398000,7.569,7.8235,Clear,0,1414.777,54.111,6
2016-07-17,00:24:04.498000,7.648,7.90319,Clear,0,1414.66,54.128,6
2016-07-17,00:24:04.598000,7.727,7.98148,Clear,0,1414.543,54.146,6
2016-07-17,00:24:04.698000,7.522,7.77671,Clear,0,1414.426,54.164,6
2016-07-17,00:24:04.798000,7.598,7.85272,Clear,0,1414.31,54.181,6
2016-07-17,00:24:04.898000,7.596,7.85136,Clear,0,1414.193,54.199,6
2016-07-17,00:24:04.998000,7.606,7.86114,Clear,0,1414.077,54.216,6
2016-07-17,00:24:05.098000,7.699,7.95354,Clear,0,1413.962,54.234,6
2016-07-17,00:24:05.198000,7.658,7.91262,Clear,0,1413.846,54.252,6
2016-07-17,00:24:05.298000,7.686,7.94121,Clear,0,1413.731,54.269,6
2016-07-17,00:24:05.398000,7.63,7.88476,Clear,0,1413.616,54.287,6
2016-07-17,00:24:05.498000,7.643,7.8983,Clear,0,1413.501,54.304,6
2016-07-17,00:24:05.598000,7.531,7.78584,Clear,0,1413.387,54.322,6
2016-07-17,00:24:05.698000,7.682,7.93741,Clear,0,1413.273,54.34,6
2016-07-17,00:24:05.798000,7.595,7.84961,Clear,0,1413.159,54.357,6
2016-07-17,00:24:05.898000,7.589,7.8438,Clear,0,1413.045,54.375,6
2016-07-17,00:24:05.998000,7.766,8.02058,Clear,0,1412.932,54.393,6
2016-07-17,00:24:06.098000,7.572,7.82711,Clear,0,1412.818,54.41,6
2016-07-17,00:24:06.198000,7.566,7.82103,Clear,0,1412.705,54.428,6
