satellite, 4367 THORAD AGENA D R/B / US
catalogue, 1 NORAD
track, 10555942
variability, 0 Not variable
variability_period, 0.0
npoints, 1080
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2016-08-09,00:34:27.898000,7.089,7.14693,Clear,0,1093.357,82.19,1
2016-08-09,00:34:28.098000,7.034,7.09064,Clear,0,1093.341,82.127,1
2016-08-09,00:34:28.198000,6.991,7.04666,Clear,0,1093.334,82.096,1
2016-08-09,00:34:28.298000,7.161,7.21722,Clear,0,1093.327,82.065,1
2016-08-09,00:34:28.398000,7.095,7.15033,Clear,0,1093.32,82.033,1
2016-08-09,00:34:28.498000,7.06,7.11491,Clear,0,1093.314,82.002,1
2016-08-09,00:34:28.598000,7.01,7.06376,Clear,0,1093.308,81.971,1
2016-08-09,00:34:28.698000,6.962,7.01626,Clear,0,1093.303,81.94,1
2016-08-09,00:34:28.798000,6.94,6.99313,Clear,0,1093.298,81.908,1
2016-08-09,00:34:28.898000,6.948,7.00104,Clear,0,1093.294,81.877,1
2016-08-09,00:34:28.998000,6.989,7.04139,Clear,0,1093.29,81.846,1
2016-08-09,00:34:29.098000,6.934,6.98584,Clear,0,1093.287,81.815,1
2016-08-09,00:34:29.198000,6.869,6.92022,Clear,0,1093.283,81.783,1
2016-08-09,00:34:29.298000,6.908,6.95937,Clear,0,1093.281,81.752,1
2016-08-09,00:34:29.398000,6.979,7.02904,Clear,0,1093.279,81.721,1
2016-08-09,00:34:29.498000,6.955,7.00458,Clear,0,1093.277,81.69,1
2016-08-09,00:34:29.598000,6.993,7.04198,Clear,0,1093.275,81.659,1
2016-08-09,00:34:29.698000,6.945,6.99379,Clear,0,1093.275,81.627,1
2016-08-09,00:34:29.798000,7.016,7.06345,Clear,0,1093.274,81.596,1
2016-08-09,00:34:29.898000,6.935,6.98282,Clear,0,1093.274,81.565,1
2016-08-09,00:34:29.998000,6.833,6.87961,Clear,0,1093.274,81.534,1
2016-08-09,00:34:30.098000,6.925,6.97234,Clear,0,1093.275,81.503,1
2016-08-09,00:34:30.198000,6.868,6.91376,Clear,0,1093.276,81.471,1
2016-08-09,00:34:30.298000,6.964,7.00997,Clear,0,1093.278,81.44,1
2016-08-09,00:34:30.398000,6.92,6.96472,Clear,0,1093.28,81.409,1
2016-08-09,00:34:30.498000,6.93,6.97448,Clear,0,1093.283,81.378,1
2016-08-09,00:34:30.598000,6.904,6.9482,Clear,0,1093.286,81.346,1
2016-08-09,00:34:30.698000,6.898,6.94166,Clear,0,1093.289,81.315,1
2016-08-09,00:34:30.798000,6.879,6.92173,Clear,0,1093.293,81.284,1
2016-08-09,00:34:30.898000,6.892,6.93542,Clear,0,1093.297,81.253,1
2016-08-09,00:34:30.998000,6.953,6.99465,Clear,0,1093.302,81.222,1
