satellite, 11389 OPS 5390 / US
catalogue, 1 NORAD
track, 10769146
variability, 2 Periodic
variability_period, 45.5
npoints, 856
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2016-11-08,15:33:53.006000,5.242,4.80249,Clear,0,1129.74,23.481,2
2016-11-08,15:33:53.106000,5.353,4.91434,Clear,0,1129.636,23.49,2
2016-11-08,15:33:53.206000,5.335,4.89458,Clear,0,1129.533,23.499,2
2016-11-08,15:33:53.306000,5.404,4.96377,Clear,0,1129.429,23.509,2
2016-11-08,15:33:53.406000,5.304,4.86412,Clear,0,1129.327,23.518,2
2016-11-08,15:33:53.506000,5.151,4.71117,Clear,0,1129.224,23.528,2
2016-11-08,15:33:53.606000,5.085,4.64461,Clear,0,1129.122,23.537,2
2016-11-08,15:33:53.706000,5.174,4.73418,Clear,0,1129.021,23.547,2
2016-11-08,15:33:53.806000,5.246,4.80563,Clear,0,1128.92,23.557,2
2016-11-08,15:33:53.906000,5.025,4.58425,Clear,0,1128.819,23.567,2
2016-11-08,15:33:54.006000,4.831,4.39017,Clear,0,1128.719,23.576,2
2016-11-08,15:33:54.106000,5.015,4.57383,Clear,0,1128.619,23.586,2
2016-11-08,15:33:54.206000,4.81,4.36939,Clear,0,1128.52,23.596,2
2016-11-08,15:33:54.306000,4.921,4.47957,Clear,0,1128.421,23.606,2
2016-11-08,15:33:54.406000,4.803,4.36182,Clear,0,1128.323,23.616,2
2016-11-08,15:33:54.506000,4.722,4.27946,Clear,0,1128.225,23.626,2
2016-11-08,15:33:54.606000,4.639,4.19653,Clear,0,1128.128,23.636,2
2016-11-08,15:33:54.706000,4.605,4.16304,Clear,0,1128.031,23.646,2
2016-11-08,15:33:54.806000,4.274,3.83173,Clear,0,1127.934,23.657,2
2016-11-08,15:33:54.906000,4.259,3.81685,Clear,0,1127.838,23.667,2
2016-11-08,15:33:55.006000,4.437,3.99446,Clear,0,1127.742,23.677,2
2016-11-08,15:33:55.106000,4.639,4.19663,Clear,0,1127.647,23.688,2
2016-11-08,15:33:55.206000,4.612,4.16887,Clear,0,1127.552,23.698,2
2016-11-08,15:33:55.306000,4.775,4.33206,Clear,0,1127.458,23.709,2
2016-11-08,15:33:55.406000,5.037,4.59419,Clear,0,1127.364,23.719,2
2016-11-08,15:33:55.506000,4.848,4.40468,Clear,0,1127.27,23.73,2
2016-11-08,15:33:55.606000,4.741,4.29796,Clear,0,1127.177,23.74,2
2016-11-08,15:33:55.706000,4.931,4.48774,Clear,0,1127.085,23.751,2
2016-11-08,15:33:55.806000,4.93,4.48648,Clear,0,1126.992,23.762,2
