satellite, 22196 IRIS R/B / IT
catalogue, 1 NORAD
track, 10820597
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1024
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2016-11-21,01:39:58.600000,6.553,8.46543,Clear,0,3308.772,27.586,7
2016-11-21,01:39:58.700000,6.609,8.5212,Clear,0,3308.543,27.595,7
2016-11-21,01:39:58.800000,6.635,8.54706,Clear,0,3308.315,27.604,7
2016-11-21,01:39:58.900000,6.759,8.67066,Clear,0,3308.086,27.613,7
2016-11-21,01:39:59,6.616,8.52655,Clear,0,3307.857,27.622,7
2016-11-21,01:39:59.100000,6.781,8.69188,Clear,0,3307.629,27.631,7
2016-11-21,01:39:59.200000,6.596,8.50717,Clear,0,3307.4,27.64,7
2016-11-21,01:39:59.300000,6.577,8.48777,Clear,0,3307.172,27.649,7
2016-11-21,01:39:59.400000,6.669,8.57958,Clear,0,3306.943,27.658,7
2016-11-21,01:39:59.500000,6.702,8.61269,Clear,0,3306.715,27.667,7
2016-11-21,01:39:59.600000,6.485,8.39629,Clear,0,3306.486,27.676,7
2016-11-21,01:39:59.700000,6.616,8.52732,Clear,0,3306.258,27.685,7
2016-11-21,01:39:59.800000,6.482,8.39255,Clear,0,3306.03,27.694,7
2016-11-21,01:39:59.900000,6.756,8.66585,Clear,0,3305.801,27.703,7
2016-11-21,01:40:00,6.409,8.31855,Clear,0,3305.573,27.712,7
2016-11-21,01:40:00.100000,6.805,8.71489,Clear,0,3305.345,27.721,7
2016-11-21,01:40:00.200000,6.748,8.65787,Clear,0,3305.117,27.73,7
2016-11-21,01:40:00.300000,6.472,8.38179,Clear,0,3304.889,27.739,7
2016-11-21,01:40:00.400000,6.856,8.76599,Clear,0,3304.661,27.748,7
2016-11-21,01:40:00.500000,6.662,8.57146,Clear,0,3304.433,27.757,7
2016-11-21,01:40:00.600000,6.48,8.39021,Clear,0,3304.205,27.766,7
2016-11-21,01:40:00.700000,6.44,8.3504,Clear,0,3303.977,27.775,7
