satellite, 28654 NOAA 18 / US
catalogue, 1 NORAD
track, 10833317
variability, 1 Aperiodic
variability_period, 0.0
npoints, 761
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2016-11-23,14:45:19.706000,5.461,4.96518,Clear,0,1003.161,53.64,9
2016-11-23,14:45:19.806000,5.515,5.01817,Clear,0,1002.938,53.631,9
2016-11-23,14:45:19.906000,5.455,4.95836,Clear,0,1002.716,53.622,9
2016-11-23,14:45:20.006000,5.534,5.03574,Clear,0,1002.494,53.613,9
2016-11-23,14:45:20.106000,5.5,5.00226,Clear,0,1002.273,53.604,9
2016-11-23,14:45:20.206000,5.485,4.98627,Clear,0,1002.052,53.594,9
2016-11-23,14:45:20.306000,5.465,4.96608,Clear,0,1001.832,53.585,9
2016-11-23,14:45:20.406000,5.528,5.02794,Clear,0,1001.612,53.576,9
2016-11-23,14:45:20.506000,5.487,4.98592,Clear,0,1001.392,53.567,9
2016-11-23,14:45:20.606000,5.471,4.97013,Clear,0,1001.173,53.558,9
2016-11-23,14:45:20.706000,5.489,4.98706,Clear,0,1000.954,53.549,9
2016-11-23,14:45:20.806000,5.49,4.9875,Clear,0,1000.736,53.54,9
2016-11-23,14:45:20.906000,5.524,5.02073,Clear,0,1000.518,53.531,9
2016-11-23,14:45:21.006000,5.498,4.99505,Clear,0,1000.301,53.522,9
2016-11-23,14:45:21.106000,5.51,5.00606,Clear,0,1000.084,53.513,9
2016-11-23,14:45:21.206000,5.462,4.95801,Clear,0,999.868,53.504,9
2016-11-23,14:45:21.306000,5.554,5.04872,Clear,0,999.652,53.495,9
2016-11-23,14:45:21.406000,5.497,4.99087,Clear,0,999.437,53.486,9
2016-11-23,14:45:21.506000,5.497,4.99052,Clear,0,999.222,53.477,9
2016-11-23,14:45:21.606000,5.478,4.97103,Clear,0,999.007,53.468,9
2016-11-23,14:45:21.706000,5.516,5.00915,Clear,0,998.793,53.46,9
2016-11-23,14:45:21.806000,5.537,5.02853,Clear,0,998.579,53.451,9
2016-11-23,14:45:21.906000,5.493,4.98533,Clear,0,998.366,53.442,9
2016-11-23,14:45:22.006000,5.466,4.9573,Clear,0,998.153,53.433,9
2016-11-23,14:45:22.106000,5.468,4.95851,Clear,0,997.941,53.424,9
2016-11-23,14:45:22.206000,5.479,4.96889,Clear,0,997.729,53.415,9
2016-11-23,14:45:22.306000,5.518,5.00768,Clear,0,997.518,53.407,9
2016-11-23,14:45:22.406000,5.55,5.03927,Clear,0,997.307,53.398,9
2016-11-23,14:45:22.506000,5.524,5.01213,Clear,0,997.096,53.389,9
