satellite, 28095 USA 173 (NOSS 3-2 (A) ?) / US
catalogue, 3 McCants
track, 10880707
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1082
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2016-12-22,02:21:59.897000,3.72,5.263,Clear,0,2020.056,90.713,4
2016-12-22,02:21:59.997000,3.844,5.38684,Clear,0,2020.01,90.729,4
2016-12-22,02:22:00.097000,3.809,5.35272,Clear,0,2019.963,90.745,4
2016-12-22,02:22:00.197000,3.779,5.32258,Clear,0,2019.917,90.761,4
2016-12-22,02:22:00.297000,3.76,5.3039,Clear,0,2019.871,90.777,4
2016-12-22,02:22:00.397000,3.758,5.30198,Clear,0,2019.825,90.793,4
2016-12-22,02:22:00.497000,3.869,5.41383,Clear,0,2019.78,90.809,4
2016-12-22,02:22:00.597000,3.87,5.41489,Clear,0,2019.734,90.825,4
2016-12-22,02:22:00.697000,3.789,5.33346,Clear,0,2019.689,90.842,4
2016-12-22,02:22:00.797000,3.71,5.25508,Clear,0,2019.644,90.858,4
2016-12-22,02:22:00.897000,3.697,5.24263,Clear,0,2019.599,90.874,4
2016-12-22,02:22:00.997000,3.827,5.3734,Clear,0,2019.554,90.89,4
2016-12-22,02:22:01.097000,3.752,5.29775,Clear,0,2019.51,90.906,4
2016-12-22,02:22:01.197000,3.674,5.21968,Clear,0,2019.466,90.922,4
2016-12-22,02:22:01.297000,3.719,5.26587,Clear,0,2019.421,90.938,4
2016-12-22,02:22:01.397000,3.85,5.39689,Clear,0,2019.378,90.954,4
2016-12-22,02:22:01.497000,3.705,5.25178,Clear,0,2019.334,90.97,4
2016-12-22,02:22:01.597000,3.661,5.20805,Clear,0,2019.29,90.986,4
2016-12-22,02:22:01.697000,3.832,5.37981,Clear,0,2019.247,91.003,4
2016-12-22,02:22:01.797000,3.818,5.36622,Clear,0,2019.204,91.019,4
2016-12-22,02:22:01.897000,3.784,5.33177,Clear,0,2019.161,91.035,4
2016-12-22,02:22:01.997000,3.811,5.3586,Clear,0,2019.118,91.051,4
2016-12-22,02:22:02.097000,3.753,5.30161,Clear,0,2019.075,91.067,4
2016-12-22,02:22:02.197000,3.77,5.31894,Clear,0,2019.033,91.083,4
2016-12-22,02:22:02.297000,3.854,5.40255,Clear,0,2018.991,91.099,4
2016-12-22,02:22:02.397000,3.722,5.27196,Clear,0,2018.949,91.115,4
2016-12-22,02:22:02.497000,3.814,5.3636,Clear,0,2018.907,91.132,4
