satellite, 25854 GLOBALSTAR M030 / GLOB
catalogue, 1 NORAD
track, 1150049
variability, 2 Periodic
variability_period, 38.7623145
npoints, 717
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
0.0,3.645,5.61161,Clear,0,2634.28,82.13,9
0.10000000000582077,3.677,5.64372,Clear,0,2634.363,82.144,9
0.20000000001164153,3.696,5.66265,Clear,0,2634.446,82.158,9
0.3000000000029104,3.8,5.76689,Clear,0,2634.53,82.172,9
0.40000000000873115,3.781,5.74851,Clear,0,2634.613,82.187,9
0.5,3.734,5.70214,Clear,0,2634.697,82.201,9
0.6000000000058208,3.774,5.74234,Clear,0,2634.781,82.215,9
0.7000000000116415,4.113,6.08222,Clear,0,2634.865,82.229,9
0.8000000000029104,4.05,6.01888,Clear,0,2634.949,82.244,9
0.9000000000087311,3.729,5.69803,Clear,0,2635.033,82.258,9
1.0,3.963,5.93342,Clear,0,2635.117,82.272,9
1.1000000000058208,3.868,5.83774,Clear,0,2635.202,82.286,9
1.2000000000116415,3.928,5.89757,Clear,0,2635.287,82.301,9
1.3000000000029104,3.92,5.89136,Clear,0,2635.371,82.315,9
1.4000000000087311,3.985,5.95635,Clear,0,2635.456,82.329,9
1.5,4.073,6.04432,Clear,0,2635.541,82.343,9
1.9660000000003492,4.181,6.15408,Clear,0,2635.939,82.41,9
2.06600000000617,4.037,6.0103,Clear,0,2636.024,82.424,9
2.166000000011991,3.898,5.87098,Clear,0,2636.11,82.438,9
2.2660000000032596,4.214,6.18728,Clear,0,2636.196,82.453,9
2.3660000000090804,4.06,6.03371,Clear,0,2636.282,82.467,9
2.4660000000003492,4.104,6.07833,Clear,0,2636.368,82.481,9
2.56600000000617,4.151,6.12517,Clear,0,2636.454,82.495,9
2.666000000011991,4.206,6.18052,Clear,0,2636.541,82.51,9
2.7660000000032596,4.257,6.23243,Clear,0,2636.627,82.524,9
2.8660000000090804,4.326,6.30079,Clear,0,2636.714,82.538,9
2.9660000000003492,4.416,6.39161,Clear,0,2636.801,82.552,9
3.06600000000617,4.341,6.31701,Clear,0,2636.888,82.567,9
3.166000000011991,4.129,6.10542,Clear,0,2636.975,82.581,9
3.2660000000032596,4.183,6.15998,Clear,0,2637.062,82.595,9
3.3660000000090804,4.324,6.30132,Clear,0,2637.149,82.609,9
3.4660000000003492,4.24,6.21671,Clear,0,2637.237,82.623,9
3.56600000000617,4.343,6.31996,Clear,0,2637.324,82.638,9
3.666000000011991,4.425,6.4032,Clear,0,2637.412,82.652,9
3.7660000000032596,4.242,6.22022,Clear,0,2637.499,82.666,9
3.8660000000090804,4.379,6.35739,Clear,0,2637.587,82.68,9
3.9660000000003492,4.621,6.59973,Clear,0,2637.675,82.695,9
4.06600000000617,4.501,6.48023,Clear,0,2637.763,82.709,9
4.166000000011991,4.481,6.45985,Clear,0,2637.852,82.723,9
4.26600000000326,4.452,6.43211,Clear,0,2637.94,82.737,9
4.36600000000908,4.427,6.40649,Clear,0,2638.029,82.752,9
4.466000000000349,4.4,6.37945,Clear,0,2638.117,82.766,9
4.56600000000617,4.605,6.58547,Clear,0,2638.206,82.78,9
4.666000000011991,4.746,6.72697,Clear,0,2638.295,82.794,9
4.76600000000326,4.337,6.31813,Clear,0,2638.384,82.809,9
4.86600000000908,4.359,6.34133,Clear,0,2638.473,82.823,9
4.966000000000349,4.575,6.55662,Clear,0,2638.562,82.837,9
5.06600000000617,4.446,6.42772,Clear,0,2638.652,82.851,9
5.166000000011991,4.574,6.5563,Clear,0,2638.741,82.865,9
5.26600000000326,4.521,6.50382,Clear,0,2638.831,82.88,9
5.36600000000908,4.537,6.5197,Clear,0,2638.92,82.894,9
5.466000000000349,4.619,6.60146,Clear,0,2639.01,82.908,9
5.56600000000617,4.634,6.61773,Clear,0,2639.1,82.922,9
5.666000000011991,4.636,6.62042,Clear,0,2639.19,82.937,9
5.76600000000326,4.719,6.70304,Clear,0,2639.281,82.951,9
5.86600000000908,4.789,6.77379,Clear,0,2639.371,82.965,9
5.966000000000349,4.559,6.54433,Clear,0,2639.461,82.979,9
6.06600000000617,4.613,6.5977,Clear,0,2639.552,82.993,9
6.166000000011991,4.701,6.68742,Clear,0,2639.643,83.008,9
6.26600000000326,4.547,6.53337,Clear,0,2639.734,83.022,9
6.36600000000908,4.509,6.49539,Clear,0,2639.824,83.036,9
6.466000000000349,4.438,6.42479,Clear,0,2639.916,83.05,9
6.56600000000617,4.882,6.86847,Clear,0,2640.007,83.065,9
6.666000000011991,4.626,6.61313,Clear,0,2640.098,83.079,9
6.76600000000326,4.532,6.51846,Clear,0,2640.19,83.093,9
6.86600000000908,5.018,7.00545,Clear,0,2640.281,83.107,9
6.966000000000349,4.538,6.5262,Clear,0,2640.373,83.121,9
7.06600000000617,4.747,6.73449,Clear,0,2640.465,83.136,9
7.166000000011991,4.983,6.97243,Clear,0,2640.557,83.15,9
7.26600000000326,4.792,6.78084,Clear,0,2640.649,83.164,9
7.36600000000908,4.896,6.88527,Clear,0,2640.741,83.178,9
7.466000000000349,4.828,6.81827,Clear,0,2640.833,83.192,9
7.56600000000617,4.768,6.75755,Clear,0,2640.926,83.207,9
7.666000000011991,4.646,6.63556,Clear,0,2641.018,83.221,9
7.76600000000326,4.709,6.70034,Clear,0,2641.111,83.235,9
7.86600000000908,4.679,6.67038,Clear,0,2641.204,83.249,9
7.966000000000349,4.706,6.697,Clear,0,2641.297,83.264,9
8.06600000000617,4.701,6.69257,Clear,0,2641.39,83.278,9
8.16600000001199,4.723,6.71504,Clear,0,2641.483,83.292,9
8.26600000000326,4.439,6.43086,Clear,0,2641.576,83.306,9
8.36600000000908,4.546,6.53759,Clear,0,2641.67,83.32,9
8.46600000000035,4.729,6.72159,Clear,0,2641.763,83.335,9
8.56600000000617,4.664,6.65718,Clear,0,2641.857,83.349,9
8.66600000001199,4.632,6.62464,Clear,0,2641.951,83.363,9
8.76600000000326,4.466,6.45988,Clear,0,2642.044,83.377,9
8.86600000000908,4.624,6.61754,Clear,0,2642.138,83.391,9
8.96600000000035,4.548,6.542,Clear,0,2642.233,83.406,9
9.06600000000617,4.626,6.62134,Clear,0,2642.327,83.42,9
9.16600000001199,4.743,6.73831,Clear,0,2642.421,83.434,9
9.26600000000326,4.426,6.42052,Clear,0,2642.516,83.448,9
9.36600000000908,4.37,6.36638,Clear,0,2642.61,83.462,9
9.46600000000035,4.314,6.31001,Clear,0,2642.705,83.477,9
9.56600000000617,4.2,6.1957,Clear,0,2642.8,83.491,9
9.66600000001199,4.206,6.20278,Clear,0,2642.895,83.505,9
9.76600000000326,4.163,6.15969,Clear,0,2642.99,83.519,9
9.86600000000908,4.592,6.58866,Clear,0,2643.086,83.533,9
9.96600000000035,4.589,6.58742,Clear,0,2643.181,83.548,9
10.06600000000617,4.369,6.36725,Clear,0,2643.276,83.562,9
10.16600000001199,4.69,6.68772,Clear,0,2643.372,83.576,9
10.26600000000326,4.775,6.77396,Clear,0,2643.468,83.59,9
10.36600000000908,4.714,6.71283,Clear,0,2643.564,83.604,9
10.46600000000035,4.791,6.79023,Clear,0,2643.66,83.618,9
10.56600000000617,4.386,6.38482,Clear,0,2643.756,83.633,9
10.66600000001199,4.583,6.58311,Clear,0,2643.852,83.647,9
10.76600000000326,4.506,6.50581,Clear,0,2643.948,83.661,9
10.86600000000908,4.709,6.70914,Clear,0,2644.045,83.675,9
10.96600000000035,4.718,6.71934,Clear,0,2644.142,83.689,9
11.06600000000617,4.59,6.59084,Clear,0,2644.238,83.704,9
11.16600000001199,4.677,6.67766,Clear,0,2644.335,83.718,9
11.26600000000326,4.653,6.65525,Clear,0,2644.432,83.732,9
11.36600000000908,4.617,6.61859,Clear,0,2644.529,83.746,9
11.46600000000035,4.65,6.65178,Clear,0,2644.626,83.76,9
11.56600000000617,4.621,6.6237,Clear,0,2644.724,83.775,9
11.66600000001199,4.866,6.86898,Clear,0,2644.821,83.789,9
11.76600000000326,4.826,6.8285,Clear,0,2644.919,83.803,9
11.86600000000908,4.751,6.75496,Clear,0,2645.016,83.817,9
11.96600000000035,4.751,6.75483,Clear,0,2645.114,83.831,9
12.06600000000617,4.657,6.66074,Clear,0,2645.212,83.845,9
12.16600000001199,4.578,6.58337,Clear,0,2645.31,83.86,9
12.26600000000326,4.576,6.5809,Clear,0,2645.409,83.874,9
12.36600000000908,4.877,6.88207,Clear,0,2645.507,83.888,9
12.46600000000035,4.958,6.96353,Clear,0,2645.605,83.902,9
12.56600000000617,4.732,6.73842,Clear,0,2645.704,83.916,9
12.66600000001199,4.432,6.43769,Clear,0,2645.803,83.931,9
12.76600000000326,4.765,6.77221,Clear,0,2645.901,83.945,9
12.86600000000908,4.693,6.70034,Clear,0,2646.0,83.959,9
12.96600000000035,4.726,6.73338,Clear,0,2646.099,83.973,9
13.06600000000617,4.614,6.62182,Clear,0,2646.199,83.987,9
13.16600000001199,4.604,6.61169,Clear,0,2646.298,84.001,9
13.26600000000326,4.74,6.74788,Clear,0,2646.397,84.016,9
13.36600000000908,4.503,6.51068,Clear,0,2646.497,84.03,9
13.46600000000035,4.853,6.86225,Clear,0,2646.596,84.044,9
13.56600000000617,4.374,6.38326,Clear,0,2646.696,84.058,9
13.66600000001199,4.591,6.60011,Clear,0,2646.796,84.072,9
13.76600000000326,4.609,6.61903,Clear,0,2646.896,84.086,9
13.86600000000908,4.615,6.62464,Clear,0,2646.996,84.101,9
13.96600000000035,4.416,6.42612,Clear,0,2647.097,84.115,9
14.06600000000617,4.504,6.51497,Clear,0,2647.197,84.129,9
14.16600000001199,4.404,6.41452,Clear,0,2647.297,84.143,9
14.26600000000326,4.464,6.47449,Clear,0,2647.398,84.157,9
14.36600000000908,4.113,6.12464,Clear,0,2647.499,84.171,9
14.46600000000035,4.638,6.64951,Clear,0,2647.6,84.186,9
14.56600000000617,4.48,6.4919,Clear,0,2647.701,84.2,9
14.66600000001199,4.581,6.59442,Clear,0,2647.802,84.214,9
14.76600000000326,4.635,6.64833,Clear,0,2647.903,84.228,9
14.86600000000908,4.403,6.41583,Clear,0,2648.005,84.242,9
14.96600000000035,4.578,6.59151,Clear,0,2648.106,84.256,9
15.06600000000617,4.591,6.60525,Clear,0,2648.208,84.27,9
15.16600000001199,4.432,6.44602,Clear,0,2648.309,84.285,9
15.26600000000326,4.173,6.1883,Clear,0,2648.411,84.299,9
15.36600000000908,4.072,6.08664,Clear,0,2648.513,84.313,9
15.46600000000035,4.237,6.25214,Clear,0,2648.615,84.327,9
15.56600000000617,4.083,6.09909,Clear,0,2648.718,84.341,9
15.66600000001199,4.462,6.47805,Clear,0,2648.82,84.355,9
15.76600000000326,4.047,6.06281,Clear,0,2648.922,84.37,9
15.86600000000908,4.266,6.28295,Clear,0,2649.025,84.384,9
15.96600000000035,4.158,6.17463,Clear,0,2649.128,84.398,9
16.06600000000617,4.354,6.37083,Clear,0,2649.23,84.412,9
16.16600000001199,4.343,6.36064,Clear,0,2649.333,84.426,9
16.26600000000326,4.339,6.35708,Clear,0,2649.436,84.44,9
16.36600000000908,4.155,6.17315,Clear,0,2649.54,84.454,9
16.46600000000035,4.101,6.12023,Clear,0,2649.643,84.469,9
16.56600000000617,4.018,6.03653,Clear,0,2649.746,84.483,9
16.66600000001199,4.297,6.31616,Clear,0,2649.85,84.497,9
16.76600000000326,4.078,6.09818,Clear,0,2649.954,84.511,9
16.86600000000908,3.91,5.93013,Clear,0,2650.057,84.525,9
16.96600000000035,4.036,6.05638,Clear,0,2650.161,84.539,9
17.06600000000617,4.176,6.19741,Clear,0,2650.265,84.553,9
17.16600000001199,3.955,5.97638,Clear,0,2650.37,84.568,9
17.26600000000326,3.864,5.88471,Clear,0,2650.474,84.582,9
17.36600000000908,4.046,6.06807,Clear,0,2650.578,84.596,9
17.46600000000035,3.793,5.81537,Clear,0,2650.683,84.61,9
17.56600000000617,4.059,6.08065,Clear,0,2650.787,84.624,9
17.66600000001199,3.947,5.97039,Clear,0,2650.892,84.638,9
17.76600000000326,3.94,5.9626,Clear,0,2650.997,84.652,9
17.86600000000908,3.967,5.98978,Clear,0,2651.102,84.667,9
17.96600000000035,3.792,5.81582,Clear,0,2651.207,84.681,9
18.06600000000617,3.809,5.83289,Clear,0,2651.313,84.695,9
18.16600000001199,3.739,5.76271,Clear,0,2651.418,84.709,9
18.26600000000326,3.675,5.70038,Clear,0,2651.523,84.723,9
18.36600000000908,3.655,5.67953,Clear,0,2651.629,84.737,9
18.46600000000035,3.6,5.62455,Clear,0,2651.735,84.751,9
