satellite, 25477 ORBCOMM FM 23 / ORB
catalogue, 1 NORAD
track, 12075464
variability, 1 Aperiodic
variability_period, 0.0
npoints, 543
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2017-03-01,02:48:27.898000,7.872,7.01268,Clear,0,817.533,61.486,3
2017-03-01,02:48:27.998000,7.958,7.09929,Clear,0,817.353,61.533,3
2017-03-01,02:48:28.098000,7.747,6.88777,Clear,0,817.174,61.579,3
2017-03-01,02:48:28.198000,7.696,6.83749,Clear,0,816.995,61.626,3
2017-03-01,02:48:28.298000,7.792,6.93429,Clear,0,816.817,61.672,3
2017-03-01,02:48:28.398000,7.763,6.90508,Clear,0,816.64,61.719,3
2017-03-01,02:48:28.498000,7.83,6.97165,Clear,0,816.463,61.765,3
2017-03-01,02:48:28.598000,7.726,6.86795,Clear,0,816.286,61.812,3
2017-03-01,02:48:28.698000,7.702,6.84435,Clear,0,816.11,61.858,3
2017-03-01,02:48:28.798000,7.531,6.67299,Clear,0,815.935,61.905,3
2017-03-01,02:48:28.898000,7.693,6.83504,Clear,0,815.76,61.951,3
2017-03-01,02:48:28.998000,7.594,6.73556,Clear,0,815.585,61.998,3
2017-03-01,02:48:29.098000,7.61,6.75159,Clear,0,815.411,62.045,3
2017-03-01,02:48:29.198000,7.623,6.7653,Clear,0,815.238,62.091,3
2017-03-01,02:48:29.298000,7.571,6.71333,Clear,0,815.065,62.138,3
2017-03-01,02:48:29.398000,7.489,6.63092,Clear,0,814.892,62.185,3
2017-03-01,02:48:29.498000,7.663,6.80498,Clear,0,814.72,62.231,3
2017-03-01,02:48:29.598000,7.644,6.78639,Clear,0,814.549,62.278,3
2017-03-01,02:48:29.698000,7.6,6.74277,Clear,0,814.378,62.325,3
2017-03-01,02:48:29.798000,7.489,6.63179,Clear,0,814.207,62.372,3
2017-03-01,02:48:29.898000,7.439,6.58156,Clear,0,814.038,62.418,3
2017-03-01,02:48:29.998000,7.503,6.64628,Clear,0,813.868,62.465,3
2017-03-01,02:48:30.098000,7.507,6.64985,Clear,0,813.699,62.512,3
2017-03-01,02:48:30.198000,7.401,6.54441,Clear,0,813.531,62.559,3
2017-03-01,02:48:30.298000,7.376,6.51905,Clear,0,813.363,62.606,3
2017-03-01,02:48:30.398000,7.438,6.58048,Clear,0,813.196,62.653,3
2017-03-01,02:48:30.498000,7.309,6.45226,Clear,0,813.029,62.7,3
2017-03-01,02:48:30.598000,7.393,6.53632,Clear,0,812.863,62.747,3
2017-03-01,02:48:30.698000,7.355,6.49774,Clear,0,812.697,62.794,3
2017-03-01,02:48:30.798000,7.265,6.40888,Clear,0,812.532,62.841,3
2017-03-01,02:48:30.898000,7.248,6.39224,Clear,0,812.367,62.888,3
2017-03-01,02:48:30.998000,7.345,6.48884,Clear,0,812.203,62.935,3
2017-03-01,02:48:31.098000,7.292,6.43611,Clear,0,812.039,62.982,3
2017-03-01,02:48:31.198000,7.446,6.59004,Clear,0,811.876,63.029,3
2017-03-01,02:48:31.298000,7.376,6.52008,Clear,0,811.714,63.076,3
2017-03-01,02:48:31.398000,7.352,6.49617,Clear,0,811.551,63.123,3
2017-03-01,02:48:31.498000,7.423,6.56726,Clear,0,811.39,63.17,3
2017-03-01,02:48:31.598000,7.309,6.45255,Clear,0,811.229,63.217,3
2017-03-01,02:48:31.698000,7.196,6.341,Clear,0,811.068,63.264,3
2017-03-01,02:48:31.798000,7.302,6.4468,Clear,0,810.908,63.311,3
2017-03-01,02:48:31.898000,7.13,6.27543,Clear,0,810.749,63.359,3
2017-03-01,02:48:31.998000,7.106,6.25056,Clear,0,810.59,63.406,3
2017-03-01,02:48:32.098000,7.102,6.24722,Clear,0,810.431,63.453,3
2017-03-01,02:48:32.198000,7.298,6.44324,Clear,0,810.273,63.5,3
2017-03-01,02:48:32.298000,7.109,6.2541,Clear,0,810.116,63.548,3
2017-03-01,02:48:32.398000,7.126,6.27085,Clear,0,809.959,63.595,3
2017-03-01,02:48:32.498000,7.084,6.23016,Clear,0,809.802,63.642,3
2017-03-01,02:48:32.598000,7.2,6.34589,Clear,0,809.647,63.689,3
2017-03-01,02:48:32.698000,7.108,6.25383,Clear,0,809.491,63.737,3
2017-03-01,02:48:32.798000,7.32,6.4657,Clear,0,809.336,63.784,3
2017-03-01,02:48:32.898000,7.14,6.28639,Clear,0,809.182,63.831,3
2017-03-01,02:48:32.998000,7.323,6.46939,Clear,0,809.028,63.879,3
2017-03-01,02:48:33.799000,7.355,6.50309,Clear,0,807.816,64.259,3
2017-03-01,02:48:33.899000,7.275,6.42247,Clear,0,807.667,64.307,3
2017-03-01,02:48:33.999000,7.382,6.52978,Clear,0,807.518,64.354,3
2017-03-01,02:48:34.099000,7.287,6.435,Clear,0,807.37,64.402,3
2017-03-01,02:48:34.199000,7.286,6.43358,Clear,0,807.223,64.45,3
2017-03-01,02:48:34.299000,7.397,6.5453,Clear,0,807.076,64.497,3
2017-03-01,02:48:34.399000,7.338,6.48706,Clear,0,806.93,64.545,3
