satellite, 38042 GLOBALSTAR M082 / GLOB
catalogue, 1 NORAD
track, 12234252
variability, 1 Aperiodic
variability_period, 0.0
npoints, 2029
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2017-04-16,21:20:31.596000,5.7,6.34802,Clear,0,1503.831,75.672,3
2017-04-16,21:20:31.696000,5.643,6.29101,Clear,0,1503.777,75.663,3
2017-04-16,21:20:31.796000,5.895,6.54333,Clear,0,1503.723,75.653,3
2017-04-16,21:20:31.896000,5.804,6.45188,Clear,0,1503.669,75.644,3
2017-04-16,21:20:31.996000,5.755,6.4027,Clear,0,1503.616,75.635,3
2017-04-16,21:20:32.096000,5.689,6.33587,Clear,0,1503.563,75.626,3
2017-04-16,21:20:32.196000,5.73,6.37682,Clear,0,1503.51,75.617,3
2017-04-16,21:20:32.296000,5.599,6.24575,Clear,0,1503.457,75.608,3
2017-04-16,21:20:32.396000,5.498,6.14446,Clear,0,1503.405,75.599,3
2017-04-16,21:20:32.496000,5.547,6.19403,Clear,0,1503.352,75.59,3
2017-04-16,21:20:32.596000,5.714,6.35949,Clear,0,1503.301,75.581,3
2017-04-16,21:20:32.696000,5.871,6.51727,Clear,0,1503.249,75.572,3
2017-04-16,21:20:32.796000,5.682,6.32781,Clear,0,1503.197,75.563,3
2017-04-16,21:20:32.896000,5.66,6.30612,Clear,0,1503.146,75.554,3
2017-04-16,21:20:32.996000,5.718,6.36393,Clear,0,1503.095,75.545,3
2017-04-16,21:20:33.096000,5.847,6.49223,Clear,0,1503.045,75.536,3
2017-04-16,21:20:33.196000,5.638,6.28257,Clear,0,1502.994,75.527,3
2017-04-16,21:20:33.296000,5.503,6.1481,Clear,0,1502.944,75.518,3
2017-04-16,21:20:33.396000,5.506,6.15117,Clear,0,1502.894,75.509,3
2017-04-16,21:20:33.496000,5.509,6.15376,Clear,0,1502.844,75.5,3
2017-04-16,21:20:33.596000,5.68,6.32377,Clear,0,1502.795,75.491,3
2017-04-16,21:20:33.696000,5.855,6.499,Clear,0,1502.746,75.482,3
2017-04-16,21:20:33.796000,5.734,6.37812,Clear,0,1502.697,75.473,3
2017-04-16,21:20:33.896000,5.697,6.34109,Clear,0,1502.648,75.464,3
2017-04-16,21:20:33.996000,5.809,6.45288,Clear,0,1502.599,75.455,3
2017-04-16,21:20:34.096000,5.688,6.33053,Clear,0,1502.551,75.446,3
2017-04-16,21:20:34.196000,5.65,6.29325,Clear,0,1502.503,75.437,3
2017-04-16,21:20:34.296000,5.637,6.2802,Clear,0,1502.456,75.428,3
2017-04-16,21:20:34.396000,5.735,6.37778,Clear,0,1502.408,75.419,3
2017-04-16,21:20:34.496000,5.581,6.22349,Clear,0,1502.361,75.41,3
2017-04-16,21:20:34.596000,5.639,6.28088,Clear,0,1502.314,75.401,3
2017-04-16,21:20:34.696000,5.444,6.0864,Clear,0,1502.267,75.392,3
2017-04-16,21:20:34.796000,5.736,6.37788,Clear,0,1502.221,75.383,3
2017-04-16,21:20:34.896000,5.991,6.63259,Clear,0,1502.174,75.374,3
2017-04-16,21:20:34.996000,5.726,6.36812,Clear,0,1502.128,75.365,3
2017-04-16,21:20:35.096000,5.688,6.32882,Clear,0,1502.083,75.356,3
2017-04-16,21:20:35.196000,5.744,6.3845,Clear,0,1502.037,75.347,3
2017-04-16,21:20:35.296000,5.786,6.42735,Clear,0,1501.992,75.338,3
2017-04-16,21:20:35.396000,5.799,6.43966,Clear,0,1501.947,75.329,3
2017-04-16,21:20:35.496000,5.792,6.43255,Clear,0,1501.902,75.32,3
2017-04-16,21:20:35.596000,5.518,6.15826,Clear,0,1501.858,75.311,3
2017-04-16,21:20:35.696000,5.729,6.3689,Clear,0,1501.814,75.303,3
2017-04-16,21:20:35.796000,5.623,6.26281,Clear,0,1501.77,75.294,3
2017-04-16,21:20:35.896000,5.649,6.28903,Clear,0,1501.726,75.285,3
2017-04-16,21:20:35.996000,5.674,6.3137,Clear,0,1501.682,75.276,3
2017-04-16,21:20:36.096000,5.64,6.27902,Clear,0,1501.639,75.267,3
2017-04-16,21:20:36.196000,5.662,6.3013,Clear,0,1501.596,75.258,3
2017-04-16,21:20:36.296000,5.731,6.37038,Clear,0,1501.553,75.249,3
2017-04-16,21:20:36.396000,5.467,6.10563,Clear,0,1501.511,75.24,3
2017-04-16,21:20:36.496000,5.644,6.28305,Clear,0,1501.469,75.231,3
2017-04-16,21:20:36.596000,5.638,6.27642,Clear,0,1501.427,75.222,3
2017-04-16,21:20:36.696000,5.543,6.1807,Clear,0,1501.385,75.213,3
2017-04-16,21:20:36.796000,5.502,6.13987,Clear,0,1501.343,75.204,3
2017-04-16,21:20:36.896000,5.809,6.44703,Clear,0,1501.302,75.195,3
2017-04-16,21:20:36.996000,5.655,6.29279,Clear,0,1501.261,75.187,3
2017-04-16,21:20:37.096000,5.587,6.22369,Clear,0,1501.22,75.178,3
2017-04-16,21:20:37.196000,5.67,6.30728,Clear,0,1501.18,75.169,3
