satellite, 730 SOLRAD 7A / US
catalogue, 1 NORAD
track, 12304312
variability, 1 Aperiodic
variability_period, 0.0
npoints, 835
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2017-04-27,01:02:27.197000,7.217,7.10913,Clear,0,1180.278,57.193,5
2017-04-27,01:02:27.296000,7.19,7.08263,Clear,0,1180.198,57.227,6
2017-04-27,01:02:27.297000,7.304,7.19726,Clear,0,1180.197,57.227,5
2017-04-27,01:02:27.396000,7.13,7.02256,Clear,0,1180.117,57.261,6
2017-04-27,01:02:27.397000,7.324,7.21668,Clear,0,1180.116,57.262,5
2017-04-27,01:02:27.496000,7.304,7.1969,Clear,0,1180.036,57.296,6
2017-04-27,01:02:27.497000,7.303,7.19552,Clear,0,1180.035,57.296,5
2017-04-27,01:02:27.596000,7.13,7.02313,Clear,0,1179.956,57.33,6
2017-04-27,01:02:27.597000,7.306,7.19879,Clear,0,1179.955,57.33,5
2017-04-27,01:02:27.696000,7.216,7.10851,Clear,0,1179.876,57.364,6
2017-04-27,01:02:27.697000,7.318,7.21116,Clear,0,1179.875,57.365,5
2017-04-27,01:02:27.896000,7.236,7.12999,Clear,0,1179.717,57.433,6
2017-04-27,01:02:27.897000,7.342,7.23598,Clear,0,1179.717,57.433,5
2017-04-27,01:02:27.996000,7.279,7.17264,Clear,0,1179.639,57.467,6
2017-04-27,01:02:27.997000,7.293,7.18666,Clear,0,1179.638,57.468,5
2017-04-27,01:02:28.096000,7.265,7.15915,Clear,0,1179.56,57.502,6
2017-04-27,01:02:28.097000,7.392,7.28585,Clear,0,1179.559,57.502,5
2017-04-27,01:02:28.196000,7.235,7.13016,Clear,0,1179.482,57.536,6
2017-04-27,01:02:28.197000,7.369,7.2641,Clear,0,1179.481,57.536,5
2017-04-27,01:02:28.296000,7.291,7.18619,Clear,0,1179.405,57.57,6
2017-04-27,01:02:28.297000,7.34,7.23517,Clear,0,1179.404,57.571,5
2017-04-27,01:02:28.396000,7.313,7.20751,Clear,0,1179.327,57.605,6
2017-04-27,01:02:28.397000,7.315,7.20948,Clear,0,1179.327,57.605,5
2017-04-27,01:02:28.496000,7.2,7.09501,Clear,0,1179.25,57.639,6
2017-04-27,01:02:28.497000,7.301,7.19584,Clear,0,1179.25,57.639,5
2017-04-27,01:02:28.596000,7.174,7.06864,Clear,0,1179.174,57.673,6
2017-04-27,01:02:28.597000,7.291,7.18555,Clear,0,1179.173,57.674,5
2017-04-27,01:02:28.696000,7.161,7.05647,Clear,0,1179.098,57.708,6
2017-04-27,01:02:28.697000,7.178,7.07414,Clear,0,1179.097,57.708,5
2017-04-27,01:02:28.796000,7.144,7.03998,Clear,0,1179.022,57.742,6
2017-04-27,01:02:28.797000,7.277,7.17276,Clear,0,1179.021,57.743,5
2017-04-27,01:02:28.896000,7.116,7.01161,Clear,0,1178.947,57.777,6
2017-04-27,01:02:28.897000,7.248,7.144,Clear,0,1178.946,57.777,5
2017-04-27,01:02:28.996000,7.074,6.96971,Clear,0,1178.872,57.811,6
2017-04-27,01:02:28.997000,7.191,7.08697,Clear,0,1178.871,57.811,5
2017-04-27,01:02:29.096000,7.043,6.93894,Clear,0,1178.797,57.845,6
2017-04-27,01:02:29.097000,7.167,7.06339,Clear,0,1178.796,57.846,5
2017-04-27,01:02:29.196000,7.138,7.03452,Clear,0,1178.723,57.88,6
2017-04-27,01:02:29.197000,7.064,6.96126,Clear,0,1178.722,57.88,5
2017-04-27,01:02:29.296000,7.02,6.91727,Clear,0,1178.649,57.914,6
2017-04-27,01:02:29.297000,7.055,6.95196,Clear,0,1178.648,57.915,5
2017-04-27,01:02:29.396000,7.065,6.96215,Clear,0,1178.575,57.949,6
2017-04-27,01:02:29.397000,7.034,6.9305,Clear,0,1178.575,57.949,5
2017-04-27,01:02:29.496000,7.144,7.04062,Clear,0,1178.502,57.983,6
2017-04-27,01:02:29.497000,7.061,6.95785,Clear,0,1178.502,57.983,5
2017-04-27,01:02:29.596000,7.002,6.90034,Clear,0,1178.43,58.017,6
2017-04-27,01:02:29.597000,7.083,6.98123,Clear,0,1178.429,58.018,5
2017-04-27,01:02:29.696000,7.028,6.92625,Clear,0,1178.357,58.052,6
2017-04-27,01:02:29.697000,7.015,6.91294,Clear,0,1178.357,58.052,5
2017-04-27,01:02:29.796000,6.982,6.87969,Clear,0,1178.285,58.086,6
2017-04-27,01:02:29.797000,7.038,6.93617,Clear,0,1178.285,58.087,5
2017-04-27,01:02:29.896000,6.844,6.74157,Clear,0,1178.214,58.121,6
2017-04-27,01:02:29.897000,6.947,6.8449,Clear,0,1178.213,58.121,5
