satellite, 41898 TANSAT / PRC
catalogue, 1 NORAD
track, 12341058
variability, 0 Not variable
variability_period, 0.0
npoints, 591
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
0.0,5.5,5.59556,Clear,0,892.92,105.571,1
0.09999999999126885,5.491,5.58454,Clear,0,892.579,105.532,1
0.19999999999708962,5.41,5.50151,Clear,0,892.239,105.493,1
0.29999999998835847,5.601,5.69244,Clear,0,891.9,105.454,1
0.39999999999417923,5.497,5.58567,Clear,0,891.561,105.414,1
0.5,5.582,5.66884,Clear,0,891.222,105.375,1
0.5999999999912689,5.661,5.74623,Clear,0,890.884,105.336,1
0.6999999999970896,5.642,5.72506,Clear,0,890.546,105.297,1
0.7999999999883585,5.528,5.60963,Clear,0,890.209,105.258,1
0.8999999999941792,5.433,5.51249,Clear,0,889.872,105.218,1
1.0,5.611,5.68928,Clear,0,889.535,105.179,1
1.0999999999912689,5.563,5.6391,Clear,0,889.199,105.14,1
1.1999999999970896,5.374,5.44756,Clear,0,888.864,105.101,1
1.2999999999883585,5.761,5.83372,Clear,0,888.529,105.061,1
1.3999999999941792,5.67,5.74076,Clear,0,888.194,105.022,1
1.5,5.628,5.69713,Clear,0,887.86,104.982,1
1.5999999999912689,5.573,5.64031,Clear,0,887.526,104.943,1
1.6999999999970896,5.456,5.52105,Clear,0,887.193,104.903,1
1.7999999999883585,5.526,5.58976,Clear,0,886.86,104.864,1
1.8999999999941792,5.445,5.50717,Clear,0,886.528,104.824,1
2.0,5.537,5.59725,Clear,0,886.196,104.785,1
2.099999999991269,5.521,5.57888,Clear,0,885.865,104.745,1
2.1999999999970896,5.604,5.66102,Clear,0,885.534,104.706,1
2.2919999999867287,5.833,5.88784,Clear,0,885.23,104.669,4
2.2999999999883585,5.518,5.57249,Clear,0,885.204,104.666,1
2.3919999999925494,5.649,5.70179,Clear,0,884.9,104.63,4
2.3999999999941792,5.637,5.68962,Clear,0,884.874,104.626,1
2.49199999999837,5.622,5.67249,Clear,0,884.57,104.59,4
2.5,5.594,5.64514,Clear,0,884.544,104.587,1
2.591999999989639,5.756,5.80556,Clear,0,884.241,104.55,4
2.599999999991269,5.688,5.73744,Clear,0,884.215,104.547,1
2.69199999999546,5.605,5.65283,Clear,0,883.913,104.51,4
2.6999999999970896,5.777,5.82542,Clear,0,883.886,104.507,1
2.7919999999867287,5.671,5.71672,Clear,0,883.584,104.471,4
2.7999999999883585,5.454,5.49978,Clear,0,883.558,104.467,1
2.8919999999925494,5.698,5.7424,Clear,0,883.257,104.431,4
2.8999999999941792,5.58,5.62402,Clear,0,883.23,104.428,1
2.99199999999837,5.767,5.80855,Clear,0,882.929,104.391,4
3.0,5.643,5.68481,Clear,0,882.903,104.388,1
3.091999999989639,5.768,5.80881,Clear,0,882.603,104.351,4
3.099999999991269,5.45,5.49131,Clear,0,882.576,104.348,1
3.19199999999546,5.72,5.75937,Clear,0,882.276,104.311,4
3.1999999999970896,5.817,5.85599,Clear,0,882.25,104.308,1
3.2919999999867287,5.739,5.77644,Clear,0,881.95,104.271,4
3.2999999999883585,5.46,5.49712,Clear,0,881.924,104.268,1
3.3919999999925494,5.59,5.62501,Clear,0,881.625,104.231,4
3.3999999999941792,5.542,5.5765,Clear,0,881.599,104.228,1
3.49199999999837,5.822,5.85644,Clear,0,881.3,104.191,4
3.5,5.618,5.65084,Clear,0,881.274,104.188,1
3.591999999989639,5.68,5.71202,Clear,0,880.976,104.151,4
3.599999999991269,5.735,5.76657,Clear,0,880.95,104.148,1
3.69199999999546,5.657,5.68733,Clear,0,880.651,104.111,4
3.6999999999970896,5.622,5.65154,Clear,0,880.626,104.108,1
3.7919999999867287,5.708,5.73584,Clear,0,880.328,104.071,4
3.7999999999883585,5.669,5.69645,Clear,0,880.302,104.068,1
3.8919999999925494,5.686,5.71191,Clear,0,880.005,104.031,4
3.8999999999941792,5.474,5.49962,Clear,0,879.979,104.028,1
3.99199999999837,5.723,5.74788,Clear,0,879.682,103.991,4
4.0,5.679,5.70383,Clear,0,879.656,103.988,1
4.091999999989639,5.577,5.59955,Clear,0,879.36,103.951,4
4.099999999991269,5.439,5.4619,Clear,0,879.334,103.948,1
4.19199999999546,5.81,5.83119,Clear,0,879.038,103.911,4
4.19999999999709,5.496,5.51699,Clear,0,879.013,103.907,1
4.291999999986729,5.638,5.65675,Clear,0,878.717,103.87,4
4.2999999999883585,5.902,5.92061,Clear,0,878.692,103.867,1
4.391999999992549,5.897,5.91497,Clear,0,878.397,103.83,4
4.399999999994179,5.638,5.65543,Clear,0,878.371,103.827,1
4.49199999999837,5.732,5.74794,Clear,0,878.076,103.79,4
4.5,5.778,5.79425,Clear,0,878.051,103.787,1
4.591999999989639,5.906,5.91993,Clear,0,877.757,103.75,4
4.69199999999546,5.832,5.84431,Clear,0,877.437,103.709,4
4.69999999999709,5.779,5.79058,Clear,0,877.412,103.706,1
4.791999999986729,5.591,5.60239,Clear,0,877.118,103.669,4
4.7999999999883585,5.716,5.72557,Clear,0,877.093,103.666,1
4.891999999992549,5.887,5.89588,Clear,0,876.8,103.628,4
4.99199999999837,5.837,5.84363,Clear,0,876.482,103.588,4
5.091999999989639,5.73,5.7346,Clear,0,876.165,103.548,4
5.19199999999546,5.741,5.74492,Clear,0,875.848,103.507,4
5.291999999986729,5.678,5.67994,Clear,0,875.531,103.467,4
5.391999999992549,5.875,5.87467,Clear,0,875.215,103.426,4
5.49199999999837,5.897,5.89528,Clear,0,874.9,103.386,4
5.591999999989639,5.768,5.76449,Clear,0,874.585,103.345,4
5.791999999986729,5.709,5.70211,Clear,0,873.956,103.264,4
5.891999999992549,5.788,5.7788,Clear,0,873.643,103.223,4
5.99199999999837,5.76,5.74906,Clear,0,873.329,103.182,4
6.091999999989639,5.944,5.93219,Clear,0,873.017,103.142,4
6.19199999999546,5.744,5.7301,Clear,0,872.705,103.101,4
6.291999999986729,5.78,5.76428,Clear,0,872.393,103.06,4
6.391999999992549,5.878,5.86015,Clear,0,872.082,103.019,4
6.49199999999837,5.689,5.66962,Clear,0,871.771,102.979,4
6.591999999989639,5.938,5.91668,Clear,0,871.461,102.938,4
6.69199999999546,5.967,5.94428,Clear,0,871.151,102.897,4
6.791999999986729,5.592,5.5682,Clear,0,870.842,102.856,4
6.891999999992549,5.97,5.94421,Clear,0,870.533,102.815,4
6.99199999999837,5.785,5.75654,Clear,0,870.225,102.774,4
7.091999999989639,5.849,5.81867,Clear,0,869.917,102.733,4
7.19199999999546,5.914,5.88282,Clear,0,869.609,102.692,4
7.291999999986729,5.676,5.64335,Clear,0,869.303,102.651,4
7.391999999992549,5.956,5.92136,Clear,0,868.996,102.61,4
7.49199999999837,5.929,5.89234,Clear,0,868.69,102.569,4
7.591999999989639,6.041,6.00305,Clear,0,868.385,102.528,4
7.69199999999546,5.998,5.95777,Clear,0,868.08,102.486,4
7.791999999986729,6.073,6.03121,Clear,0,867.776,102.445,4
7.891999999992549,5.912,5.86747,Clear,0,867.472,102.404,4
7.99199999999837,6.008,5.96254,Clear,0,867.168,102.363,4
8.091999999989639,5.983,5.93599,Clear,0,866.865,102.321,4
8.19199999999546,6.059,6.01013,Clear,0,866.563,102.28,4
8.291999999986729,5.983,5.93216,Clear,0,866.261,102.239,4
8.39199999999255,5.841,5.7894,Clear,0,865.96,102.197,4
8.49199999999837,5.747,5.69334,Clear,0,865.659,102.156,4
8.591999999989639,6.0,5.94382,Clear,0,865.358,102.115,4
8.791999999986729,5.789,5.72964,Clear,0,864.759,102.032,4
8.89199999999255,5.886,5.82513,Clear,0,864.46,101.99,4
8.99199999999837,5.944,5.88111,Clear,0,864.161,101.949,4
9.19199999999546,6.037,5.97063,Clear,0,863.566,101.866,4
9.291999999986729,5.767,5.69862,Clear,0,863.269,101.824,4
9.49199999999837,5.841,5.76976,Clear,0,862.676,101.741,4
9.591999999989639,5.831,5.75753,Clear,0,862.38,101.699,4
9.69199999999546,5.923,5.84823,Clear,0,862.085,101.657,4
9.791999999986729,5.997,5.92144,Clear,0,861.791,101.615,4
9.99199999999837,5.98,5.89966,Clear,0,861.203,101.532,4
10.19199999999546,6.051,5.96756,Clear,0,860.618,101.448,4
10.291999999986729,5.95,5.8651,Clear,0,860.326,101.406,4
10.39199999999255,5.857,5.77003,Clear,0,860.034,101.364,4
10.49199999999837,5.781,5.69287,Clear,0,859.743,101.322,4
10.591999999989639,5.984,5.89388,Clear,0,859.453,101.281,4
10.69199999999546,5.811,5.7193,Clear,0,859.163,101.239,4
10.791999999986729,5.989,5.89626,Clear,0,858.873,101.197,4
10.89199999999255,5.813,5.71779,Clear,0,858.584,101.154,4
11.091999999989639,6.272,6.17406,Clear,0,858.008,101.07,4
11.19199999999546,5.793,5.69291,Clear,0,857.72,101.028,4
11.291999999986729,5.922,5.8195,Clear,0,857.433,100.986,4
11.49199999999837,5.836,5.73134,Clear,0,856.861,100.902,4
11.591999999989639,6.034,5.92704,Clear,0,856.575,100.859,4
11.69199999999546,5.876,5.76674,Clear,0,856.29,100.817,4
11.791999999986729,5.817,5.70722,Clear,0,856.006,100.775,4
11.89199999999255,5.899,5.78736,Clear,0,855.722,100.733,4
11.99199999999837,5.784,5.66976,Clear,0,855.438,100.69,4
12.091999999989639,5.902,5.78686,Clear,0,855.156,100.648,4
12.19199999999546,5.82,5.70286,Clear,0,854.873,100.605,4
12.291999999986729,5.919,5.79994,Clear,0,854.591,100.563,4
12.39199999999255,5.966,5.84625,Clear,0,854.31,100.521,4
12.49199999999837,5.987,5.86536,Clear,0,854.029,100.478,4
12.591999999989639,6.087,5.96323,Clear,0,853.749,100.436,4
12.69199999999546,5.871,5.7459,Clear,0,853.469,100.393,4
12.791999999986729,5.908,5.78103,Clear,0,853.189,100.351,4
12.89199999999255,6.096,5.96725,Clear,0,852.911,100.308,4
12.99199999999837,5.881,5.74971,Clear,0,852.632,100.265,4
13.091999999989639,5.959,5.8272,Clear,0,852.355,100.223,4
13.19199999999546,5.835,5.70123,Clear,0,852.077,100.18,4
13.291999999986729,5.841,5.70451,Clear,0,851.801,100.137,4
13.39199999999255,5.992,5.85447,Clear,0,851.524,100.095,4
13.49199999999837,5.973,5.83373,Clear,0,851.249,100.052,4
13.591999999989639,5.757,5.61547,Clear,0,850.973,100.009,4
13.69199999999546,6.074,5.93177,Clear,0,850.699,99.966,4
13.791999999986729,6.054,5.91018,Clear,0,850.425,99.924,4
13.89199999999255,5.964,5.81751,Clear,0,850.151,99.881,4
13.99199999999837,5.761,5.61441,Clear,0,849.878,99.838,4
14.091999999989639,5.704,5.55491,Clear,0,849.605,99.795,4
14.19199999999546,5.952,5.80144,Clear,0,849.333,99.752,4
14.291999999986729,6.13,5.97781,Clear,0,849.062,99.709,4
14.39199999999255,5.778,5.62393,Clear,0,848.791,99.666,4
14.49199999999837,6.049,5.89267,Clear,0,848.52,99.623,4
14.591999999989639,6.075,5.91775,Clear,0,848.25,99.58,4
14.69199999999546,5.911,5.75187,Clear,0,847.981,99.537,4
14.791999999986729,5.816,5.6556,Clear,0,847.712,99.494,4
14.89199999999255,5.813,5.65109,Clear,0,847.443,99.451,4
14.99199999999837,5.833,5.66847,Clear,0,847.175,99.408,4
15.091999999989639,5.906,5.7414,Clear,0,846.908,99.364,4
15.19199999999546,5.795,5.62749,Clear,0,846.641,99.321,4
15.291999999986729,5.784,5.61487,Clear,0,846.375,99.278,4
15.39199999999255,5.833,5.66246,Clear,0,846.109,99.235,4
15.49199999999837,5.89,5.71793,Clear,0,845.844,99.192,4
15.591999999989639,6.231,6.05713,Clear,0,845.579,99.148,4
15.69199999999546,5.951,5.77568,Clear,0,845.315,99.105,4
15.791999999986729,5.984,5.80662,Clear,0,845.051,99.062,4
15.89199999999255,5.865,5.68615,Clear,0,844.788,99.018,4
15.99199999999837,5.874,5.69421,Clear,0,844.526,98.975,4
16.09199999998964,6.077,5.89492,Clear,0,844.263,98.931,4
16.19199999999546,5.998,5.81445,Clear,0,844.002,98.888,4
16.29199999998673,5.938,5.7534,Clear,0,843.741,98.845,4
16.39199999999255,5.991,5.80396,Clear,0,843.48,98.801,4
16.49199999999837,5.927,5.73861,Clear,0,843.22,98.758,4
16.59199999998964,6.105,5.91455,Clear,0,842.961,98.714,4
16.69199999999546,5.976,5.7836,Clear,0,842.702,98.67,4
16.79199999998673,5.862,5.66934,Clear,0,842.444,98.627,4
16.89199999999255,6.157,5.96191,Clear,0,842.186,98.583,4
16.99199999999837,6.059,5.86209,Clear,0,841.929,98.54,4
17.09199999998964,5.948,5.75041,Clear,0,841.672,98.496,4
17.19199999999546,5.99,5.78959,Clear,0,841.416,98.452,4
17.29199999998673,6.014,5.81327,Clear,0,841.16,98.408,4
17.39199999999255,5.888,5.68496,Clear,0,840.905,98.365,4
17.49199999999837,5.917,5.71178,Clear,0,840.65,98.321,4
17.59199999998964,5.958,5.75238,Clear,0,840.396,98.277,4
17.69199999999546,5.781,5.57312,Clear,0,840.143,98.233,4
17.79199999998673,5.814,5.60541,Clear,0,839.89,98.189,4
17.89199999999255,6.057,5.84584,Clear,0,839.637,98.146,4
17.99199999999837,6.184,5.97104,Clear,0,839.386,98.102,4
18.09199999998964,5.977,5.7626,Clear,0,839.134,98.058,4
18.19199999999546,5.736,5.51997,Clear,0,838.883,98.014,4
18.29199999998673,5.859,5.64094,Clear,0,838.633,97.97,4
18.39199999999255,6.03,5.81123,Clear,0,838.383,97.926,4
18.49199999999837,6.073,5.85181,Clear,0,838.134,97.882,4
18.59199999998964,5.875,5.65308,Clear,0,837.886,97.838,4
18.69199999999546,5.95,5.72556,Clear,0,837.637,97.794,4
18.79199999998673,5.943,5.71738,Clear,0,837.39,97.75,4
18.89199999999255,5.873,5.64556,Clear,0,837.143,97.706,4
18.99199999999837,5.929,5.70004,Clear,0,836.896,97.661,4
19.09199999998964,6.075,5.84496,Clear,0,836.65,97.617,4
19.19199999999546,5.762,5.52951,Clear,0,836.405,97.573,4
19.29199999998673,5.867,5.63409,Clear,0,836.16,97.529,4
19.39199999999255,5.949,5.71405,Clear,0,835.916,97.485,4
19.49199999999837,5.89,5.65281,Clear,0,835.672,97.44,4
19.59199999998964,5.872,5.63354,Clear,0,835.429,97.396,4
19.69199999999546,5.991,5.75105,Clear,0,835.186,97.352,4
19.79199999998673,5.795,5.55358,Clear,0,834.944,97.307,4
19.89199999999255,5.959,5.71571,Clear,0,834.703,97.263,4
19.99199999999837,5.854,5.60848,Clear,0,834.462,97.219,4
20.09199999998964,5.861,5.61487,Clear,0,834.221,97.174,4
20.19199999999546,6.071,5.82284,Clear,0,833.981,97.13,4
20.29199999998673,5.937,5.68795,Clear,0,833.742,97.085,4
20.39199999999255,5.944,5.69259,Clear,0,833.503,97.041,4
20.49199999999837,5.992,5.74044,Clear,0,833.265,96.996,4
20.59199999998964,5.839,5.58524,Clear,0,833.027,96.952,4
20.69199999999546,5.784,5.52841,Clear,0,832.79,96.907,4
20.79199999998673,5.976,5.71915,Clear,0,832.554,96.863,4
20.89199999999255,5.872,5.61341,Clear,0,832.318,96.818,4
20.99199999999837,6.031,5.7711,Clear,0,832.082,96.773,4
21.09199999998964,6.13,5.86747,Clear,0,831.847,96.729,4
21.19199999999546,5.933,5.66965,Clear,0,831.613,96.684,4
21.29199999998673,5.798,5.53327,Clear,0,831.379,96.639,4
21.39199999999255,5.735,5.46815,Clear,0,831.146,96.595,4
21.49199999999837,5.76,5.49154,Clear,0,830.913,96.55,4
21.59199999998964,6.13,5.86007,Clear,0,830.681,96.505,4
21.690999999991618,5.984,5.71344,Clear,0,830.452,96.461,4
21.79099999999744,5.898,5.6252,Clear,0,830.221,96.416,4
21.890999999988708,5.907,5.63303,Clear,0,829.99,96.371,4
21.99099999999453,5.837,5.56064,Clear,0,829.761,96.326,4
22.09100000000035,6.07,5.7932,Clear,0,829.531,96.281,4
22.190999999991618,5.914,5.63536,Clear,0,829.302,96.236,4
22.29199999998673,5.861,5.58,Clear,0,829.072,96.191,4
22.39199999999255,5.989,5.70649,Clear,0,828.844,96.146,4
22.49199999999837,5.947,5.66327,Clear,0,828.617,96.101,4
22.59199999998964,5.84,5.55539,Clear,0,828.391,96.056,4
22.69199999999546,5.841,5.55381,Clear,0,828.165,96.011,4
22.79099999999744,6.018,5.73002,Clear,0,827.942,95.966,4
22.890999999988708,5.984,5.69372,Clear,0,827.717,95.921,4
22.99099999999453,6.011,5.72035,Clear,0,827.493,95.876,4
23.09100000000035,5.906,5.61284,Clear,0,827.269,95.831,4
23.190999999991618,5.838,5.54371,Clear,0,827.046,95.786,4
23.29099999999744,5.927,5.63144,Clear,0,826.823,95.741,4
23.390999999988708,6.184,5.88738,Clear,0,826.601,95.696,4
23.49099999999453,6.009,5.7097,Clear,0,826.38,95.65,4
23.59100000000035,6.097,5.79591,Clear,0,826.159,95.605,4
23.690999999991618,5.944,5.64237,Clear,0,825.938,95.56,4
23.79099999999744,6.082,5.77804,Clear,0,825.719,95.515,4
23.890999999988708,5.864,5.55872,Clear,0,825.499,95.469,4
23.99099999999453,5.787,5.48033,Clear,0,825.281,95.424,4
24.09100000000035,5.955,5.64647,Clear,0,825.063,95.379,4
24.190999999991618,6.07,5.76023,Clear,0,824.845,95.333,4
24.29099999999744,5.881,5.57039,Clear,0,824.628,95.288,4
24.390999999988708,5.986,5.67254,Clear,0,824.412,95.242,4
24.49099999999453,5.914,5.60001,Clear,0,824.196,95.197,4
24.59100000000035,5.977,5.6608,Clear,0,823.981,95.152,4
24.690999999991618,5.958,5.64049,Clear,0,823.767,95.106,4
24.79099999999744,6.03,5.71046,Clear,0,823.553,95.061,4
24.890999999988708,6.042,5.72239,Clear,0,823.339,95.015,4
24.99099999999453,6.115,5.79253,Clear,0,823.126,94.97,4
25.09100000000035,6.224,5.90117,Clear,0,822.914,94.924,4
25.190999999991618,6.0,5.67544,Clear,0,822.702,94.878,4
25.29099999999744,6.031,5.70478,Clear,0,822.491,94.833,4
25.390999999988708,5.951,5.62304,Clear,0,822.28,94.787,4
25.49099999999453,6.026,5.69651,Clear,0,822.07,94.741,4
25.59100000000035,5.892,5.56114,Clear,0,821.861,94.696,4
25.690999999991618,5.873,5.54045,Clear,0,821.652,94.65,4
25.79099999999744,5.869,5.5345,Clear,0,821.444,94.604,4
25.890999999988708,6.168,5.83334,Clear,0,821.236,94.559,4
25.99099999999453,6.128,5.79128,Clear,0,821.029,94.513,4
26.09100000000035,6.05,5.7118,Clear,0,820.822,94.467,4
26.190999999991618,6.025,5.68544,Clear,0,820.616,94.421,4
26.29099999999744,5.969,5.62827,Clear,0,820.411,94.375,4
26.390999999988708,6.0,5.6565,Clear,0,820.206,94.33,4
26.49099999999453,6.026,5.68151,Clear,0,820.002,94.284,4
26.59100000000035,5.994,5.6478,Clear,0,819.798,94.238,4
26.690999999991618,5.966,5.61868,Clear,0,819.595,94.192,4
26.79099999999744,6.038,5.69011,Clear,0,819.393,94.146,4
26.890999999988708,6.009,5.65862,Clear,0,819.191,94.1,4
26.99099999999453,6.154,5.80271,Clear,0,818.989,94.054,4
27.09100000000035,6.013,5.66033,Clear,0,818.789,94.008,4
