satellite, 1244 GGSE 2 / US
catalogue, 1 NORAD
track, 12424405
variability, 1 Aperiodic
variability_period, 0.0
npoints, 830
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
0.0,9.133,8.66802,Clear,0,968.943,63.638,2
0.10000000000582077,9.186,8.72096,Clear,0,968.837,63.68,2
0.19999999999708962,8.936,8.47168,Clear,0,968.732,63.723,2
0.3000000000029104,9.25,8.78556,Clear,0,968.628,63.765,2
0.39999999999417923,9.05,8.58581,Clear,0,968.524,63.807,2
0.5,8.586,8.12164,Clear,0,968.42,63.85,2
0.6000000000058208,9.032,8.56913,Clear,0,968.317,63.892,2
0.6999999999970896,8.677,8.21368,Clear,0,968.214,63.935,2
0.8000000000029104,8.851,8.38834,Clear,0,968.112,63.977,2
0.8999999999941792,8.6,8.13819,Clear,0,968.01,64.019,2
1.0,8.751,8.28853,Clear,0,967.909,64.062,2
1.1000000000058208,8.485,8.02284,Clear,0,967.808,64.104,2
1.1999999999970896,8.636,8.17348,Clear,0,967.708,64.147,2
1.3000000000029104,8.521,8.05959,Clear,0,967.608,64.189,2
1.3999999999941792,8.603,8.14154,Clear,0,967.509,64.232,2
1.5,8.556,8.0949,Clear,0,967.41,64.274,2
1.6000000000058208,8.314,7.85265,Clear,0,967.311,64.316,2
1.6999999999970896,8.565,8.10512,Clear,0,967.213,64.359,2
1.8000000000029104,8.612,8.15204,Clear,0,967.116,64.401,2
1.8999999999941792,8.43,7.96988,Clear,0,967.018,64.444,2
2.0,8.544,8.08494,Clear,0,966.922,64.486,2
2.1000000000058208,8.476,8.01688,Clear,0,966.826,64.529,2
2.1990000000078,8.488,8.02939,Clear,0,966.731,64.571,2
2.2989999999990687,8.557,8.09938,Clear,0,966.635,64.613,2
2.3990000000048894,8.796,8.33816,Clear,0,966.541,64.656,2
2.4989999999961583,9.283,8.82477,Clear,0,966.446,64.699,2
2.599000000001979,8.855,8.39716,Clear,0,966.352,64.741,2
2.6990000000078,8.87,8.41292,Clear,0,966.259,64.784,2
2.7989999999990687,8.832,8.37452,Clear,0,966.166,64.826,2
2.8990000000048894,8.9,8.44337,Clear,0,966.074,64.869,2
2.9989999999961583,8.984,8.52835,Clear,0,965.982,64.911,2
3.099000000001979,8.914,8.45831,Clear,0,965.89,64.954,2
3.1990000000078,9.057,8.60056,Clear,0,965.799,64.996,2
3.2989999999990687,9.329,8.87365,Clear,0,965.708,65.039,2
3.3990000000048894,9.263,8.80755,Clear,0,965.618,65.082,2
3.4989999999961583,8.782,8.32713,Clear,0,965.528,65.124,2
3.599000000001979,9.201,8.74546,Clear,0,965.439,65.167,2
3.6990000000078,8.974,8.52002,Clear,0,965.35,65.21,2
3.7989999999990687,9.211,8.75723,Clear,0,965.262,65.252,2
3.8990000000048894,8.986,8.53213,Clear,0,965.174,65.295,2
3.9989999999961583,9.21,8.75686,Clear,0,965.087,65.337,2
4.099000000001979,8.73,8.27681,Clear,0,965.0,65.38,2
4.1990000000078,9.234,8.78128,Clear,0,964.913,65.423,2
4.298999999999069,8.757,8.30497,Clear,0,964.827,65.465,2
4.399000000004889,9.194,8.74193,Clear,0,964.742,65.508,2
4.498999999996158,8.812,8.35999,Clear,0,964.657,65.551,2
4.599000000001979,9.014,8.56341,Clear,0,964.572,65.593,2
4.6990000000078,8.965,8.5143,Clear,0,964.488,65.636,2
4.798999999999069,9.012,8.56085,Clear,0,964.404,65.679,2
4.899000000004889,9.216,8.76571,Clear,0,964.321,65.722,2
4.998999999996158,9.08,8.63006,Clear,0,964.238,65.764,2
5.099000000001979,9.321,8.87094,Clear,0,964.156,65.807,2
5.1990000000078,9.077,8.62779,Clear,0,964.074,65.85,2
5.298999999999069,9.618,9.1686,Clear,0,963.993,65.892,2
5.399000000004889,9.456,9.00684,Clear,0,963.912,65.935,2
5.498999999996158,9.096,8.64768,Clear,0,963.832,65.978,2
5.599000000001979,9.317,8.8693,Clear,0,963.752,66.021,2
5.6990000000078,9.362,8.9141,Clear,0,963.672,66.063,2
5.798999999999069,9.16,8.7127,Clear,0,963.593,66.106,2
5.899000000004889,9.051,8.60418,Clear,0,963.515,66.149,2
6.099000000001979,9.512,9.06549,Clear,0,963.359,66.234,2
6.1990000000078,8.979,8.53315,Clear,0,963.282,66.277,2
6.298999999999069,9.112,8.66651,Clear,0,963.205,66.32,2
6.399000000004889,9.152,8.70721,Clear,0,963.129,66.363,2
6.498999999996158,8.999,8.55383,Clear,0,963.053,66.406,2
6.6990000000078,9.31,8.86561,Clear,0,962.903,66.491,2
6.798999999999069,9.468,9.02412,Clear,0,962.829,66.534,2
6.899000000004889,9.295,8.85178,Clear,0,962.755,66.577,2
6.998999999996158,9.091,8.64843,Clear,0,962.682,66.62,2
7.099000000001979,9.441,8.99797,Clear,0,962.609,66.663,2
7.1990000000078,8.876,8.4339,Clear,0,962.537,66.706,2
7.298999999999069,9.274,8.83211,Clear,0,962.465,66.748,2
7.399000000004889,9.688,9.24662,Clear,0,962.393,66.791,2
7.599000000001979,8.992,8.55075,Clear,0,962.251,66.877,2
7.6990000000078,9.714,9.27393,Clear,0,962.181,66.92,2
7.798999999999069,9.523,9.08245,Clear,0,962.112,66.963,2
7.899000000004889,9.173,8.73351,Clear,0,962.043,67.006,2
7.998999999996158,9.331,8.89199,Clear,0,961.974,67.049,2
8.099000000001979,9.644,9.20518,Clear,0,961.906,67.091,2
8.298999999999069,9.097,8.65897,Clear,0,961.771,67.177,2
8.39900000000489,9.207,8.76911,Clear,0,961.704,67.22,2
8.498999999996158,9.618,9.18127,Clear,0,961.638,67.263,2
8.599000000001979,9.289,8.85168,Clear,0,961.572,67.306,2
8.6990000000078,9.367,8.93113,Clear,0,961.506,67.349,2
8.798999999999069,9.155,8.71898,Clear,0,961.441,67.392,2
8.89900000000489,9.235,8.7986,Clear,0,961.377,67.435,2
8.998999999996158,9.294,8.85877,Clear,0,961.313,67.478,2
9.099000000001979,9.322,8.88711,Clear,0,961.249,67.521,2
9.1990000000078,9.303,8.86889,Clear,0,961.186,67.564,2
9.298999999999069,9.156,8.72174,Clear,0,961.124,67.607,2
9.498999999996158,9.288,8.85516,Clear,0,961.0,67.693,2
9.599000000001979,9.078,8.64524,Clear,0,960.939,67.736,2
9.6990000000078,9.204,8.77174,Clear,0,960.878,67.779,2
9.798999999999069,9.61,9.17759,Clear,0,960.818,67.822,2
9.89900000000489,9.31,8.87796,Clear,0,960.758,67.865,2
9.998999999996158,9.109,8.67802,Clear,0,960.699,67.908,2
10.1990000000078,9.576,9.14615,Clear,0,960.582,67.994,2
10.298999999999069,9.722,9.2918,Clear,0,960.524,68.037,2
10.498999999996158,9.248,8.81892,Clear,0,960.41,68.123,2
10.599000000001979,9.534,9.10529,Clear,0,960.353,68.166,2
10.6990000000078,9.096,8.66827,Clear,0,960.297,68.209,2
10.798999999999069,9.489,9.06113,Clear,0,960.242,68.252,2
10.89900000000489,9.589,9.16228,Clear,0,960.187,68.295,2
10.998999999996158,9.158,8.73104,Clear,0,960.132,68.338,2
11.099000000001979,9.176,8.75004,Clear,0,960.078,68.381,2
11.1990000000078,9.289,8.86282,Clear,0,960.024,68.424,2
11.39900000000489,9.043,8.61829,Clear,0,959.919,68.51,2
11.498999999996158,9.233,8.80805,Clear,0,959.866,68.553,2
11.599000000001979,9.426,9.00242,Clear,0,959.815,68.596,2
11.6990000000078,9.433,9.00922,Clear,0,959.764,68.639,2
11.798999999999069,8.852,8.42877,Clear,0,959.713,68.683,2
11.998999999996158,9.701,9.27895,Clear,0,959.613,68.769,2
12.099000000001979,9.002,8.58044,Clear,0,959.563,68.812,2
12.298999999999069,9.328,8.90709,Clear,0,959.466,68.898,2
12.498999999996158,9.213,8.79341,Clear,0,959.371,68.984,2
12.599000000001979,9.349,8.92934,Clear,0,959.324,69.027,2
12.6990000000078,9.421,9.00222,Clear,0,959.277,69.071,2
12.798999999999069,8.876,8.45693,Clear,0,959.231,69.114,2
12.89900000000489,9.153,8.73497,Clear,0,959.186,69.157,2
12.998999999996158,9.422,9.00352,Clear,0,959.14,69.2,2
13.099000000001979,9.334,8.91739,Clear,0,959.096,69.243,2
13.1990000000078,8.91,8.4934,Clear,0,959.052,69.286,2
13.298999999999069,8.997,8.58004,Clear,0,959.008,69.329,2
13.39900000000489,8.687,8.27121,Clear,0,958.965,69.373,2
13.498999999996158,9.382,8.96613,Clear,0,958.922,69.416,2
13.599000000001979,8.728,8.31322,Clear,0,958.88,69.459,2
13.6990000000078,8.478,8.06249,Clear,0,958.838,69.502,2
13.798999999999069,8.336,7.92196,Clear,0,958.797,69.545,2
13.89900000000489,7.719,7.30488,Clear,0,958.756,69.588,2
13.998999999996158,7.286,6.87253,Clear,0,958.716,69.631,2
14.099000000001979,6.921,6.50842,Clear,0,958.676,69.675,2
14.1990000000078,6.762,6.34965,Clear,0,958.636,69.718,2
14.298999999999069,6.713,6.3009,Clear,0,958.597,69.761,2
14.39900000000489,6.708,6.29661,Clear,0,958.559,69.804,2
14.498999999996158,6.832,6.42049,Clear,0,958.521,69.847,2
14.599000000001979,7.17,6.75985,Clear,0,958.484,69.891,2
14.6990000000078,7.457,7.04664,Clear,0,958.446,69.934,2
14.798999999999069,7.747,7.33767,Clear,0,958.41,69.977,2
14.89900000000489,8.06,7.65116,Clear,0,958.374,70.02,2
14.998999999996158,8.425,8.01695,Clear,0,958.338,70.063,2
15.099000000001979,8.431,8.02296,Clear,0,958.303,70.107,2
15.1990000000078,8.493,8.08621,Clear,0,958.268,70.15,2
15.298999999999069,8.586,8.17933,Clear,0,958.234,70.193,2
15.498999999996158,8.49,8.08376,Clear,0,958.167,70.279,2
15.599000000001979,8.648,8.24296,Clear,0,958.135,70.323,2
15.6990000000078,8.928,8.52255,Clear,0,958.102,70.366,2
15.798999999999069,8.985,8.58109,Clear,0,958.071,70.409,2
15.89900000000489,9.034,8.62989,Clear,0,958.039,70.452,2
15.998999999996158,9.1,8.69665,Clear,0,958.008,70.496,2
16.09900000000198,9.235,8.83201,Clear,0,957.978,70.539,2
16.1990000000078,8.589,8.1868,Clear,0,957.948,70.582,2
16.29899999999907,9.276,8.87421,Clear,0,957.919,70.625,2
16.39900000000489,8.766,8.36542,Clear,0,957.89,70.668,2
16.49899999999616,8.799,8.39801,Clear,0,957.861,70.712,2
16.59900000000198,9.003,8.60271,Clear,0,957.833,70.755,2
16.6990000000078,9.22,8.81957,Clear,0,957.806,70.798,2
16.79899999999907,9.423,9.02437,Clear,0,957.779,70.841,2
16.89900000000489,8.889,8.48977,Clear,0,957.752,70.885,2
16.99899999999616,9.163,8.76515,Clear,0,957.726,70.928,2
17.09900000000198,9.182,8.78418,Clear,0,957.701,70.971,2
17.1990000000078,9.7,9.30303,Clear,0,957.675,71.014,2
17.29899999999907,9.121,8.72419,Clear,0,957.651,71.058,2
17.39900000000489,8.855,8.45882,Clear,0,957.627,71.101,2
17.49899999999616,9.257,8.86069,Clear,0,957.603,71.144,2
17.59900000000198,9.593,9.19775,Clear,0,957.58,71.188,2
17.6990000000078,9.494,9.09962,Clear,0,957.557,71.231,2
17.79899999999907,9.095,8.70136,Clear,0,957.535,71.274,2
17.89900000000489,9.357,8.96348,Clear,0,957.513,71.317,2
17.99899999999616,9.471,9.07837,Clear,0,957.491,71.361,2
18.09900000000198,9.426,9.03387,Clear,0,957.471,71.404,2
18.29899999999907,9.749,9.35812,Clear,0,957.43,71.49,2
18.49899999999616,9.381,8.99067,Clear,0,957.392,71.577,2
18.79899999999907,9.426,9.03783,Clear,0,957.338,71.707,2
18.89900000000489,9.308,8.92013,Clear,0,957.321,71.75,2
