satellite, 1520 CALSPHERE 4(A) / US
catalogue, 1 NORAD
track, 12597699
variability, 0 Not variable
variability_period, 0.0
npoints, 785
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2017-08-30,18:52:03.899000,8.589,8.84143,Clear,0,1189.735,82.843,8
2017-08-30,18:52:03.999000,8.403,8.65428,Clear,0,1189.455,82.818,8
2017-08-30,18:52:04.099000,8.541,8.79087,Clear,0,1189.174,82.792,8
2017-08-30,18:52:04.199000,8.62,8.87036,Clear,0,1188.894,82.767,8
2017-08-30,18:52:04.799000,8.689,8.93307,Clear,0,1187.22,82.614,8
2017-08-30,18:52:04.898000,8.399,8.64238,Clear,0,1186.945,82.588,8
2017-08-30,18:52:05.098000,8.792,9.03266,Clear,0,1186.391,82.537,8
2017-08-30,18:52:05.398000,8.481,8.71938,Clear,0,1185.561,82.46,8
2017-08-30,18:52:05.598000,8.688,8.92352,Clear,0,1185.01,82.409,8
2017-08-30,18:52:05.998000,8.391,8.62439,Clear,0,1183.911,82.307,8
2017-08-30,18:52:06.098000,8.531,8.76265,Clear,0,1183.637,82.281,8
2017-08-30,18:52:06.198000,8.474,8.70486,Clear,0,1183.363,82.255,8
2017-08-30,18:52:06.398000,8.584,8.81325,Clear,0,1182.817,82.204,8
2017-08-30,18:52:06.498000,8.859,9.08733,Clear,0,1182.544,82.178,8
2017-08-30,18:52:06.598000,8.901,9.12815,Clear,0,1182.272,82.152,8
2017-08-30,18:52:06.698000,8.244,8.46978,Clear,0,1182.0,82.127,8
2017-08-30,18:52:06.898000,8.472,8.69636,Clear,0,1181.457,82.075,8
2017-08-30,18:52:06.998000,8.363,8.58648,Clear,0,1181.186,82.049,8
2017-08-30,18:52:07.098000,8.287,8.50988,Clear,0,1180.915,82.024,8
2017-08-30,18:52:07.198000,8.861,9.08264,Clear,0,1180.645,81.998,8
2017-08-30,18:52:07.298000,8.901,9.12219,Clear,0,1180.375,81.972,8
2017-08-30,18:52:07.398000,8.164,8.38353,Clear,0,1180.105,81.946,8
2017-08-30,18:52:07.598000,8.621,8.83929,Clear,0,1179.567,81.895,8
2017-08-30,18:52:07.698000,8.863,9.07961,Clear,0,1179.298,81.869,8
2017-08-30,18:52:07.798000,8.857,9.07337,Clear,0,1179.03,81.843,8
2017-08-30,18:52:07.898000,8.476,8.69066,Clear,0,1178.762,81.817,8
2017-08-30,18:52:07.998000,8.873,9.08682,Clear,0,1178.494,81.791,8
2017-08-30,18:52:08.098000,8.832,9.0454,Clear,0,1178.227,81.765,8
2017-08-30,18:52:08.198000,8.591,8.80321,Clear,0,1177.96,81.739,8
2017-08-30,18:52:08.298000,8.544,8.75598,Clear,0,1177.693,81.714,8
2017-08-30,18:52:08.398000,8.304,8.5152,Clear,0,1177.427,81.688,8
2017-08-30,18:52:08.498000,8.922,9.1321,Clear,0,1177.161,81.662,8
2017-08-30,18:52:08.698000,8.844,9.05194,Clear,0,1176.629,81.61,8
2017-08-30,18:52:08.798000,8.668,8.87515,Clear,0,1176.364,81.584,8
2017-08-30,18:52:08.998000,8.948,9.15249,Clear,0,1175.835,81.532,8
2017-08-30,18:52:09.098000,8.43,8.63394,Clear,0,1175.571,81.506,8
2017-08-30,18:52:09.198000,8.382,8.58532,Clear,0,1175.308,81.48,8
2017-08-30,18:52:09.298000,8.731,8.93331,Clear,0,1175.044,81.454,8
