satellite, 4953 OPS 5268 (DMSP 5A F3) / US
catalogue, 1 NORAD
track, 12702381
variability, 1 Aperiodic
variability_period, 0.0
npoints, 639
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2017-09-18,00:37:42.302000,8.532,7.7448,Clear,0,802.094,70.628,9
2017-09-18,00:37:42.402000,8.996,8.20869,Clear,0,801.981,70.637,9
2017-09-18,00:37:42.502000,8.652,7.86432,Clear,0,801.868,70.647,9
2017-09-18,00:37:42.602000,9.06,8.27192,Clear,0,801.756,70.656,9
2017-09-18,00:37:42.702000,9.099,8.31076,Clear,0,801.644,70.665,9
2017-09-18,00:37:42.802000,8.794,8.00627,Clear,0,801.533,70.674,9
2017-09-18,00:37:42.902000,8.756,7.96827,Clear,0,801.423,70.684,9
2017-09-18,00:37:43.002000,8.706,7.91651,Clear,0,801.313,70.693,9
2017-09-18,00:37:43.102000,8.546,7.75664,Clear,0,801.204,70.703,9
2017-09-18,00:37:43.202000,8.636,7.84707,Clear,0,801.096,70.712,9
2017-09-18,00:37:43.302000,8.913,8.12394,Clear,0,800.988,70.721,9
2017-09-18,00:37:43.402000,8.887,8.0978,Clear,0,800.881,70.731,9
2017-09-18,00:37:43.502000,8.949,8.16006,Clear,0,800.774,70.74,9
2017-09-18,00:37:43.602000,8.399,7.60854,Clear,0,800.668,70.75,9
2017-09-18,00:37:43.702000,8.913,8.1225,Clear,0,800.563,70.759,9
2017-09-18,00:37:43.802000,8.535,7.7451,Clear,0,800.458,70.769,9
2017-09-18,00:37:43.902000,8.658,7.86785,Clear,0,800.354,70.778,9
2017-09-18,00:37:44.002000,8.696,7.90565,Clear,0,800.25,70.788,9
2017-09-18,00:37:44.102000,8.733,7.94324,Clear,0,800.147,70.797,9
2017-09-18,00:37:44.202000,8.914,8.12442,Clear,0,800.045,70.807,9
2017-09-18,00:37:44.302000,8.613,7.82174,Clear,0,799.943,70.816,9
2017-09-18,00:37:44.402000,8.773,7.98212,Clear,0,799.842,70.826,9
2017-09-18,00:37:44.502000,8.578,7.78724,Clear,0,799.742,70.836,9
2017-09-18,00:37:44.602000,8.747,7.95641,Clear,0,799.642,70.845,9
2017-09-18,00:37:44.702000,8.857,8.06563,Clear,0,799.543,70.855,9
2017-09-18,00:37:44.802000,8.424,7.63261,Clear,0,799.444,70.865,9
2017-09-18,00:37:44.902000,8.589,7.79768,Clear,0,799.346,70.874,9
2017-09-18,00:37:45.002000,8.402,7.60967,Clear,0,799.249,70.884,9
2017-09-18,00:37:45.102000,8.545,7.7528,Clear,0,799.152,70.894,9
2017-09-18,00:37:45.202000,8.46,7.66769,Clear,0,799.056,70.904,9
2017-09-18,00:37:45.302000,8.76,7.96836,Clear,0,798.961,70.913,9
2017-09-18,00:37:45.402000,8.449,7.65676,Clear,0,798.866,70.923,9
2017-09-18,00:37:45.502000,8.51,7.71807,Clear,0,798.771,70.933,9
2017-09-18,00:37:45.602000,8.393,7.60128,Clear,0,798.678,70.943,9
2017-09-18,00:37:45.702000,8.536,7.74425,Clear,0,798.585,70.953,9
2017-09-18,00:37:45.802000,8.8,8.00677,Clear,0,798.492,70.963,9
2017-09-18,00:37:45.902000,8.572,7.77883,Clear,0,798.401,70.972,9
2017-09-18,00:37:46.002000,8.354,7.5607,Clear,0,798.31,70.982,9
2017-09-18,00:37:46.102000,8.5,7.70664,Clear,0,798.219,70.992,9
