satellite, 4954 THOR BURNER 2 R/B / US
catalogue, 1 NORAD
track, 12789116
variability, 0 Not variable
variability_period, 0.0
npoints, 703
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2017-10-23,15:58:52.401000,8.048,7.20572,Clear,0,821.091,62.099,1
2017-10-23,15:58:52.501000,7.713,6.8704,Clear,0,820.93,62.104,1
2017-10-23,15:58:52.601000,7.982,7.13895,Clear,0,820.77,62.109,1
2017-10-23,15:58:52.701000,7.928,7.08494,Clear,0,820.61,62.114,1
2017-10-23,15:58:52.801000,8.076,7.23204,Clear,0,820.451,62.119,1
2017-10-23,15:58:53.001000,7.584,6.7401,Clear,0,820.134,62.129,1
2017-10-23,15:58:53.101000,7.88,7.03474,Clear,0,819.976,62.134,1
2017-10-23,15:58:53.201000,7.923,7.07808,Clear,0,819.819,62.139,1
2017-10-23,15:58:53.301000,7.845,6.99936,Clear,0,819.663,62.144,1
2017-10-23,15:58:53.401000,8.144,7.29749,Clear,0,819.507,62.149,1
2017-10-23,15:58:53.501000,8.036,7.18974,Clear,0,819.352,62.154,1
2017-10-23,15:58:53.601000,7.893,7.04599,Clear,0,819.197,62.159,1
2017-10-23,15:58:53.701000,7.924,7.077,Clear,0,819.043,62.165,1
2017-10-23,15:58:53.801000,7.95,7.10318,Clear,0,818.89,62.17,1
2017-10-23,15:58:53.901000,7.944,7.0956,Clear,0,818.737,62.175,1
2017-10-23,15:58:54.001000,7.806,6.95839,Clear,0,818.584,62.18,1
2017-10-23,15:58:54.101000,7.832,6.98425,Clear,0,818.433,62.186,1
2017-10-23,15:58:54.201000,7.817,6.96788,Clear,0,818.282,62.191,1
2017-10-23,15:58:54.301000,7.804,6.95458,Clear,0,818.131,62.196,1
2017-10-23,15:58:54.401000,7.774,6.92488,Clear,0,817.981,62.202,1
2017-10-23,15:58:54.501000,7.867,7.01692,Clear,0,817.832,62.207,1
2017-10-23,15:58:54.601000,7.786,6.93586,Clear,0,817.683,62.213,1
2017-10-23,15:58:54.701000,7.993,7.14331,Clear,0,817.535,62.218,1
2017-10-23,15:58:54.801000,7.681,6.83033,Clear,0,817.387,62.223,1
2017-10-23,15:58:54.901000,7.699,6.848,Clear,0,817.24,62.229,1
2017-10-23,15:58:55.001000,7.842,6.99067,Clear,0,817.094,62.234,1
2017-10-23,15:58:55.101000,8.057,7.20529,Clear,0,816.948,62.24,1
2017-10-23,15:58:55.201000,7.977,7.12494,Clear,0,816.803,62.246,1
2017-10-23,15:58:55.301000,8.048,7.19594,Clear,0,816.658,62.251,1
2017-10-23,15:58:55.401000,7.838,6.98484,Clear,0,816.514,62.257,1
2017-10-23,15:58:55.501000,7.972,7.11851,Clear,0,816.371,62.263,1
2017-10-23,15:58:55.601000,7.77,6.91654,Clear,0,816.228,62.268,1
2017-10-23,15:58:55.701000,7.92,7.06589,Clear,0,816.086,62.274,1
2017-10-23,15:58:55.801000,8.031,7.17667,Clear,0,815.944,62.28,1
2017-10-23,15:58:55.901000,7.99,7.13567,Clear,0,815.803,62.285,1
2017-10-23,15:58:56.001000,7.732,6.87826,Clear,0,815.662,62.291,1
2017-10-23,15:58:56.101000,8.065,7.21004,Clear,0,815.522,62.297,1
2017-10-23,15:58:56.201000,7.677,6.82168,Clear,0,815.383,62.303,1
2017-10-23,15:58:56.301000,7.889,7.03418,Clear,0,815.244,62.309,1
2017-10-23,15:58:56.401000,8.0,7.14396,Clear,0,815.106,62.315,1
2017-10-23,15:58:56.501000,7.858,7.00155,Clear,0,814.969,62.321,1
2017-10-23,15:58:56.601000,7.972,7.11568,Clear,0,814.832,62.327,1
2017-10-23,15:58:56.701000,7.904,7.04683,Clear,0,814.695,62.332,1
2017-10-23,15:58:56.801000,7.896,7.03911,Clear,0,814.56,62.338,1
2017-10-23,15:58:56.901000,7.844,6.98684,Clear,0,814.425,62.345,1
2017-10-23,15:58:57.001000,7.984,7.12714,Clear,0,814.29,62.351,1
2017-10-23,15:58:57.101000,7.911,7.05289,Clear,0,814.156,62.357,1
2017-10-23,15:58:57.201000,7.694,6.83581,Clear,0,814.023,62.363,1
2017-10-23,15:58:57.301000,7.893,7.03473,Clear,0,813.89,62.369,1
2017-10-23,15:58:57.401000,7.781,6.92147,Clear,0,813.758,62.375,1
2017-10-23,15:58:57.501000,7.973,7.11377,Clear,0,813.626,62.381,1
2017-10-23,15:58:57.601000,7.901,7.04215,Clear,0,813.495,62.387,1
2017-10-23,15:58:57.701000,8.029,7.17032,Clear,0,813.365,62.394,1
2017-10-23,15:58:57.801000,7.875,7.0145,Clear,0,813.235,62.4,1
2017-10-23,15:58:57.901000,7.91,7.04953,Clear,0,813.106,62.406,1
2017-10-23,15:58:58.001000,7.836,6.97576,Clear,0,812.977,62.412,1
2017-10-23,15:58:58.101000,7.968,7.10811,Clear,0,812.849,62.419,1
2017-10-23,15:58:58.201000,7.713,6.852,Clear,0,812.722,62.425,1
2017-10-23,15:58:58.301000,8.022,7.16127,Clear,0,812.595,62.432,1
2017-10-23,15:58:58.401000,7.691,6.82957,Clear,0,812.469,62.438,1
2017-10-23,15:58:58.501000,8.02,7.15796,Clear,0,812.343,62.444,1
2017-10-23,15:58:58.601000,7.824,6.96149,Clear,0,812.218,62.451,1
2017-10-23,15:58:58.701000,7.778,6.91587,Clear,0,812.094,62.457,1
