satellite, 2807 OPS 7218 (TRANSIT 16) / US
catalogue, 1 NORAD
track, 12987470
variability, 1 Aperiodic
variability_period, 0.0
npoints, 837
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2018-02-22,18:14:13.084000,7.558,8.72768,Clear,0,1505.751,103.079,2
2018-02-22,18:14:13.184000,7.596,8.7661,Clear,0,1505.877,103.085,2
2018-02-22,18:14:13.284000,7.362,8.53259,Clear,0,1506.003,103.091,2
2018-02-22,18:14:13.384000,7.156,8.32721,Clear,0,1506.129,103.098,2
2018-02-22,18:14:13.484000,7.738,8.90899,Clear,0,1506.256,103.104,2
2018-02-22,18:14:13.584000,7.08,8.25176,Clear,0,1506.383,103.11,2
2018-02-22,18:14:13.684000,7.708,8.88033,Clear,0,1506.51,103.117,2
2018-02-22,18:14:13.784000,7.36,8.53159,Clear,0,1506.638,103.123,2
2018-02-22,18:14:13.884000,7.472,8.64453,Clear,0,1506.766,103.129,2
2018-02-22,18:14:13.984000,7.112,8.28539,Clear,0,1506.894,103.135,2
2018-02-22,18:14:14.184000,7.926,9.10023,Clear,0,1507.151,103.148,2
2018-02-22,18:14:14.284000,7.442,8.61632,Clear,0,1507.28,103.154,2
2018-02-22,18:14:14.384000,7.159,8.33279,Clear,0,1507.409,103.16,2
2018-02-22,18:14:14.484000,7.691,8.86607,Clear,0,1507.538,103.167,2
2018-02-22,18:14:14.584000,7.296,8.47074,Clear,0,1507.668,103.173,2
2018-02-22,18:14:14.684000,7.849,9.02359,Clear,0,1507.798,103.179,2
2018-02-22,18:14:14.884000,7.232,8.4077,Clear,0,1508.059,103.192,2
2018-02-22,18:14:14.984000,7.171,8.34695,Clear,0,1508.19,103.198,2
2018-02-22,18:14:15.084000,7.062,8.2388,Clear,0,1508.322,103.204,2
2018-02-22,18:14:15.184000,7.953,9.12985,Clear,0,1508.453,103.21,2
2018-02-22,18:14:15.284000,7.4,8.57676,Clear,0,1508.585,103.217,2
2018-02-22,18:14:15.484000,7.086,8.26375,Clear,0,1508.85,103.229,2
2018-02-22,18:14:15.584000,7.211,8.38866,Clear,0,1508.982,103.235,2
2018-02-22,18:14:15.684000,6.957,8.13551,Clear,0,1509.115,103.241,2
2018-02-22,18:14:15.984000,7.56,8.73958,Clear,0,1509.516,103.26,2
2018-02-22,18:14:16.084000,8.048,9.22752,Clear,0,1509.65,103.266,2
2018-02-22,18:14:16.184000,7.106,8.2861,Clear,0,1509.784,103.273,2
2018-02-22,18:14:16.284000,7.545,8.72644,Clear,0,1509.919,103.279,2
2018-02-22,18:14:16.484000,7.414,8.59515,Clear,0,1510.189,103.291,2
2018-02-22,18:14:16.684000,7.775,8.95663,Clear,0,1510.461,103.304,2
2018-02-22,18:14:16.784000,7.586,8.76812,Clear,0,1510.597,103.31,2
2018-02-22,18:14:16.884000,7.236,8.41914,Clear,0,1510.733,103.316,2
2018-02-22,18:14:16.984000,6.984,8.16656,Clear,0,1510.87,103.322,2
2018-02-22,18:14:17.084000,7.262,8.4447,Clear,0,1511.007,103.328,2
2018-02-22,18:14:17.184000,7.122,8.3056,Clear,0,1511.144,103.335,2
2018-02-22,18:14:17.284000,7.758,8.94229,Clear,0,1511.281,103.341,2
2018-02-22,18:14:17.384000,7.273,8.45649,Clear,0,1511.419,103.347,2
2018-02-22,18:14:17.484000,7.022,8.20649,Clear,0,1511.557,103.353,2
2018-02-22,18:14:17.584000,7.169,8.354,Clear,0,1511.696,103.359,2
2018-02-22,18:14:17.684000,7.148,8.33441,Clear,0,1511.834,103.366,2
2018-02-22,18:14:17.784000,7.608,8.79348,Clear,0,1511.973,103.372,2
2018-02-22,18:14:17.884000,7.478,8.66408,Clear,0,1512.113,103.378,2
2018-02-22,18:14:17.984000,7.574,8.76113,Clear,0,1512.252,103.384,2
2018-02-22,18:14:18.084000,7.359,8.54602,Clear,0,1512.392,103.39,2
2018-02-22,18:14:18.184000,6.933,8.12023,Clear,0,1512.532,103.396,2
2018-02-22,18:14:18.284000,7.513,8.70059,Clear,0,1512.672,103.403,2
2018-02-22,18:14:18.384000,7.304,8.49234,Clear,0,1512.813,103.409,2
2018-02-22,18:14:18.484000,7.35,8.538,Clear,0,1512.954,103.415,2
2018-02-22,18:14:18.584000,7.152,8.34074,Clear,0,1513.095,103.421,2
2018-02-22,18:14:18.684000,7.298,8.48744,Clear,0,1513.237,103.427,2
2018-02-22,18:14:18.784000,7.674,8.86262,Clear,0,1513.378,103.433,2
2018-02-22,18:14:18.884000,7.223,8.41308,Clear,0,1513.52,103.44,2
