satellite, 43010 FENGYUN 3D / PRC
catalogue, 1 NORAD
track, 13169157
variability, 2 Periodic
variability_period, 1.79895
npoints, 1044
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2018-05-01,23:18:02.896000,3.635,4.59736,Clear,0,1199.286,113.921,1
2018-05-01,23:18:02.996000,3.814,4.77383,Clear,0,1198.777,113.897,1
2018-05-01,23:18:03.096000,3.839,4.79831,Clear,0,1198.269,113.872,1
2018-05-01,23:18:03.698000,4.0,4.94883,Clear,0,1195.212,113.725,1
2018-05-01,23:18:03.798000,4.056,5.00257,Clear,0,1194.705,113.7,1
2018-05-01,23:18:03.898000,4.02,4.96511,Clear,0,1194.198,113.675,1
2018-05-01,23:18:03.998000,3.979,4.92283,Clear,0,1193.692,113.651,1
2018-05-01,23:18:04.098000,3.961,4.90278,Clear,0,1193.185,113.626,1
2018-05-01,23:18:04.198000,3.949,4.8885,Clear,0,1192.679,113.601,1
2018-05-01,23:18:04.298000,3.902,4.84095,Clear,0,1192.173,113.576,1
2018-05-01,23:18:04.398000,3.833,4.76988,Clear,0,1191.667,113.552,1
2018-05-01,23:18:04.498000,3.658,4.59415,Clear,0,1191.161,113.527,1
2018-05-01,23:18:04.598000,3.546,4.47965,Clear,0,1190.656,113.502,1
2018-05-01,23:18:04.698000,3.618,4.5504,Clear,0,1190.151,113.477,1
2018-05-01,23:18:04.798000,3.731,4.66197,Clear,0,1189.646,113.452,1
2018-05-01,23:18:04.898000,3.972,4.90125,Clear,0,1189.141,113.428,1
2018-05-01,23:18:04.998000,3.919,4.8459,Clear,0,1188.636,113.403,1
2018-05-01,23:18:05.098000,4.034,4.96006,Clear,0,1188.132,113.378,1
2018-05-01,23:18:05.198000,3.975,4.89919,Clear,0,1187.628,113.353,1
2018-05-01,23:18:05.298000,4.013,4.9354,Clear,0,1187.124,113.328,1
2018-05-01,23:18:05.398000,4.016,4.93647,Clear,0,1186.62,113.303,1
2018-05-01,23:18:05.498000,4.008,4.92704,Clear,0,1186.116,113.278,1
2018-05-01,23:18:05.598000,3.971,4.88903,Clear,0,1185.613,113.253,1
2018-05-01,23:18:05.698000,3.982,4.89787,Clear,0,1185.11,113.228,1
2018-05-01,23:18:05.798000,3.979,4.89307,Clear,0,1184.607,113.203,1
2018-05-01,23:18:05.898000,3.965,4.87797,Clear,0,1184.104,113.178,1
2018-05-01,23:18:05.998000,3.967,4.87837,Clear,0,1183.601,113.153,1
2018-05-01,23:18:06.098000,3.888,4.79717,Clear,0,1183.099,113.128,1
2018-05-01,23:18:06.198000,3.826,4.73369,Clear,0,1182.597,113.103,1
2018-05-01,23:18:06.298000,3.676,4.58185,Clear,0,1182.095,113.078,1
2018-05-01,23:18:06.398000,3.549,4.45265,Clear,0,1181.593,113.052,1
2018-05-01,23:18:06.498000,3.645,4.548,Clear,0,1181.092,113.027,1
2018-05-01,23:18:06.598000,3.819,4.71969,Clear,0,1180.59,113.002,1
2018-05-01,23:18:06.798000,3.912,4.80988,Clear,0,1179.588,112.952,1
2018-05-01,23:18:06.898000,3.936,4.83219,Clear,0,1179.088,112.926,1
2018-05-01,23:18:06.998000,4.005,4.89972,Clear,0,1178.587,112.901,1
2018-05-01,23:18:07.098000,3.937,4.8299,Clear,0,1178.087,112.876,1
2018-05-01,23:18:07.198000,4.014,4.90543,Clear,0,1177.587,112.851,1
2018-05-01,23:18:07.298000,3.975,4.86511,Clear,0,1177.087,112.825,1
2018-05-01,23:18:07.398000,4.036,4.92349,Clear,0,1176.587,112.8,1
2018-05-01,23:18:07.498000,3.952,4.8376,Clear,0,1176.088,112.774,1
2018-05-01,23:18:07.598000,4.014,4.8987,Clear,0,1175.589,112.749,1
2018-05-01,23:18:07.698000,4.025,4.90747,Clear,0,1175.09,112.724,1
2018-05-01,23:18:07.798000,3.991,4.87224,Clear,0,1174.591,112.698,1
2018-05-01,23:18:07.898000,3.965,4.84508,Clear,0,1174.092,112.673,1
2018-05-01,23:18:07.998000,3.823,4.70122,Clear,0,1173.594,112.647,1
2018-05-01,23:18:08.098000,3.688,4.56387,Clear,0,1173.096,112.622,1
2018-05-01,23:18:08.198000,3.592,4.46705,Clear,0,1172.598,112.596,1
2018-05-01,23:18:08.298000,3.681,4.55435,Clear,0,1172.1,112.571,1
2018-05-01,23:18:08.398000,3.776,4.64718,Clear,0,1171.602,112.545,1
2018-05-01,23:18:08.498000,3.994,4.86367,Clear,0,1171.105,112.52,1
2018-05-01,23:18:08.598000,4.019,4.88738,Clear,0,1170.608,112.494,1
2018-05-01,23:18:08.698000,4.037,4.90422,Clear,0,1170.111,112.469,1
2018-05-01,23:18:08.798000,4.028,4.89287,Clear,0,1169.614,112.443,1
2018-05-01,23:18:08.898000,4.014,4.87713,Clear,0,1169.118,112.417,1
2018-05-01,23:18:08.998000,4.061,4.92281,Clear,0,1168.622,112.392,1
2018-05-01,23:18:09.098000,4.004,4.86439,Clear,0,1168.126,112.366,1
2018-05-01,23:18:09.198000,4.073,4.93123,Clear,0,1167.63,112.34,1
2018-05-01,23:18:09.298000,4.037,4.89391,Clear,0,1167.134,112.314,1
2018-05-01,23:18:09.398000,4.103,4.95762,Clear,0,1166.639,112.289,1
2018-05-01,23:18:09.498000,4.027,4.88018,Clear,0,1166.144,112.263,1
2018-05-01,23:18:09.598000,3.953,4.80512,Clear,0,1165.649,112.237,1
2018-05-01,23:18:09.698000,3.937,4.78738,Clear,0,1165.154,112.211,1
2018-05-01,23:18:09.798000,3.919,4.7665,Clear,0,1164.659,112.186,1
2018-05-01,23:18:09.898000,3.725,4.57169,Clear,0,1164.165,112.16,1
2018-05-01,23:18:09.998000,3.563,4.40832,Clear,0,1163.671,112.134,1
2018-05-01,23:18:10.098000,3.678,4.52056,Clear,0,1163.177,112.108,1
2018-05-01,23:18:10.198000,3.843,4.6845,Clear,0,1162.684,112.082,1
2018-05-01,23:18:10.298000,4.002,4.84147,Clear,0,1162.19,112.056,1
2018-05-01,23:18:10.398000,3.999,4.8376,Clear,0,1161.697,112.03,1
2018-05-01,23:18:10.498000,4.023,4.85996,Clear,0,1161.204,112.004,1
2018-05-01,23:18:10.598000,4.058,4.89315,Clear,0,1160.711,111.978,1
2018-05-01,23:18:10.698000,4.059,4.89344,Clear,0,1160.219,111.952,1
2018-05-01,23:18:10.798000,4.016,4.84791,Clear,0,1159.726,111.926,1
2018-05-01,23:18:10.898000,4.021,4.85077,Clear,0,1159.234,111.9,1
2018-05-01,23:18:10.998000,4.077,4.9061,Clear,0,1158.742,111.874,1
2018-05-01,23:18:11.098000,4.005,4.83152,Clear,0,1158.251,111.848,1
2018-05-01,23:18:11.198000,3.944,4.76912,Clear,0,1157.759,111.822,1
2018-05-01,23:18:11.298000,3.98,4.80377,Clear,0,1157.268,111.796,1
2018-05-01,23:18:11.398000,3.932,4.75441,Clear,0,1156.777,111.77,1
2018-05-01,23:18:11.498000,3.957,4.77675,Clear,0,1156.286,111.743,1
2018-05-01,23:18:11.598000,3.85,4.66933,Clear,0,1155.795,111.717,1
2018-05-01,23:18:11.698000,3.721,4.53832,Clear,0,1155.305,111.691,1
2018-05-01,23:18:11.798000,3.586,4.40083,Clear,0,1154.815,111.665,1
2018-05-01,23:18:11.898000,3.716,4.52965,Clear,0,1154.325,111.638,1
2018-05-01,23:18:11.998000,3.941,4.75304,Clear,0,1153.835,111.612,1
2018-05-01,23:18:12.098000,3.959,4.76934,Clear,0,1153.346,111.586,1
2018-05-01,23:18:12.198000,4.064,4.87253,Clear,0,1152.857,111.56,1
2018-05-01,23:18:12.298000,4.09,4.89743,Clear,0,1152.368,111.533,1
2018-05-01,23:18:12.398000,4.035,4.83973,Clear,0,1151.879,111.507,1
2018-05-01,23:18:12.498000,3.993,4.79706,Clear,0,1151.39,111.48,1
2018-05-01,23:18:12.598000,4.057,4.85853,Clear,0,1150.902,111.454,1
2018-05-01,23:18:12.698000,4.134,4.93435,Clear,0,1150.414,111.428,1
2018-05-01,23:18:12.798000,4.086,4.88514,Clear,0,1149.926,111.401,1
2018-05-01,23:18:12.898000,4.031,4.82749,Clear,0,1149.438,111.375,1
2018-05-01,23:18:12.998000,4.04,4.83522,Clear,0,1148.951,111.348,1
2018-05-01,23:18:13.098000,4.078,4.87232,Clear,0,1148.464,111.322,1
2018-05-01,23:18:13.198000,3.997,4.78867,Clear,0,1147.977,111.295,1
2018-05-01,23:18:13.298000,4.066,4.85699,Clear,0,1147.49,111.269,1
2018-05-01,23:18:13.398000,3.876,4.6654,Clear,0,1147.003,111.242,1
2018-05-01,23:18:13.498000,3.774,4.56112,Clear,0,1146.517,111.215,1
2018-05-01,23:18:13.598000,3.62,4.40623,Clear,0,1146.031,111.189,1
2018-05-01,23:18:13.698000,3.747,4.53096,Clear,0,1145.545,111.162,1
2018-05-01,23:18:13.798000,3.949,4.73062,Clear,0,1145.059,111.136,1
2018-05-01,23:18:13.898000,4.022,4.8025,Clear,0,1144.574,111.109,1
2018-05-01,23:18:13.998000,4.082,4.86045,Clear,0,1144.089,111.082,1
2018-05-01,23:18:14.098000,4.129,4.90598,Clear,0,1143.604,111.055,1
2018-05-01,23:18:14.198000,4.105,4.88127,Clear,0,1143.119,111.029,1
2018-05-01,23:18:14.298000,4.155,4.9288,Clear,0,1142.635,111.002,1
2018-05-01,23:18:14.398000,4.105,4.87655,Clear,0,1142.151,110.975,1
2018-05-01,23:18:14.498000,4.093,4.86372,Clear,0,1141.667,110.948,1
2018-05-01,23:18:14.598000,4.052,4.8212,Clear,0,1141.183,110.922,1
2018-05-01,23:18:14.698000,4.109,4.87585,Clear,0,1140.699,110.895,1
2018-05-01,23:18:14.798000,4.11,4.87572,Clear,0,1140.216,110.868,1
2018-05-01,23:18:14.898000,4.11,4.87394,Clear,0,1139.733,110.841,1
2018-05-01,23:18:14.998000,4.108,4.87019,Clear,0,1139.25,110.814,1
2018-05-01,23:18:15.098000,4.072,4.83327,Clear,0,1138.767,110.787,1
2018-05-01,23:18:15.198000,3.916,4.67471,Clear,0,1138.285,110.76,1
