satellite, 20344 USA 40 R/B / US
catalogue, 1 NORAD
track, 13173264
variability, 1 Aperiodic
variability_period, 0.0
npoints, 2435
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2018-05-02,23:18:52.799000,5.499,7.80655,Clear,0,3385.664,68.205,3
2018-05-02,23:18:52.899000,5.53,7.83791,Clear,0,3385.358,68.203,3
2018-05-02,23:18:52.999000,5.661,7.9689,Clear,0,3385.052,68.2,3
2018-05-02,23:18:53.099000,5.573,7.88041,Clear,0,3384.745,68.198,3
2018-05-02,23:18:53.199000,5.54,7.84686,Clear,0,3384.439,68.196,3
2018-05-02,23:18:53.299000,5.526,7.83287,Clear,0,3384.133,68.193,3
2018-05-02,23:18:53.399000,5.587,7.89398,Clear,0,3383.827,68.191,3
2018-05-02,23:18:53.499000,5.636,7.94158,Clear,0,3383.521,68.189,3
2018-05-02,23:18:53.599000,5.671,7.97736,Clear,0,3383.215,68.187,3
2018-05-02,23:18:53.699000,5.459,7.76468,Clear,0,3382.91,68.184,3
2018-05-02,23:18:53.799000,5.566,7.872,Clear,0,3382.604,68.182,3
2018-05-02,23:18:53.899000,5.482,7.78706,Clear,0,3382.298,68.18,3
2018-05-02,23:18:53.999000,5.63,7.93479,Clear,0,3381.993,68.177,3
2018-05-02,23:18:54.099000,5.491,7.79632,Clear,0,3381.687,68.175,3
2018-05-02,23:18:54.199000,5.565,7.86968,Clear,0,3381.381,68.173,3
2018-05-02,23:18:54.299000,5.585,7.88949,Clear,0,3381.076,68.17,3
2018-05-02,23:18:54.399000,5.669,7.97331,Clear,0,3380.77,68.168,3
2018-05-02,23:18:54.499000,5.649,7.95272,Clear,0,3380.465,68.166,3
2018-05-02,23:18:54.599000,5.639,7.94274,Clear,0,3380.16,68.164,3
2018-05-02,23:18:54.699000,5.482,7.78642,Clear,0,3379.854,68.161,3
2018-05-02,23:18:54.799000,5.472,7.77456,Clear,0,3379.549,68.159,3
2018-05-02,23:18:54.899000,5.649,7.95239,Clear,0,3379.244,68.157,3
2018-05-02,23:18:54.999000,5.861,8.16383,Clear,0,3378.939,68.154,3
2018-05-02,23:18:55.099000,5.626,7.92887,Clear,0,3378.634,68.152,3
2018-05-02,23:18:55.199000,5.567,7.86982,Clear,0,3378.329,68.15,3
2018-05-02,23:18:55.299000,5.698,7.99974,Clear,0,3378.024,68.147,3
2018-05-02,23:18:55.399000,5.746,8.04824,Clear,0,3377.719,68.145,3
2018-05-02,23:18:55.499000,5.872,8.17437,Clear,0,3377.414,68.143,3
2018-05-02,23:18:55.599000,5.591,7.89284,Clear,0,3377.109,68.141,3
2018-05-02,23:18:55.699000,5.505,7.80637,Clear,0,3376.804,68.138,3
2018-05-02,23:18:55.799000,5.652,7.95321,Clear,0,3376.5,68.136,3
2018-05-02,23:18:55.899000,5.675,7.9756,Clear,0,3376.195,68.134,3
2018-05-02,23:18:55.999000,5.647,7.94776,Clear,0,3375.891,68.131,3
2018-05-02,23:18:56.099000,5.766,8.06724,Clear,0,3375.586,68.129,3
2018-05-02,23:18:56.199000,5.77,8.07013,Clear,0,3375.282,68.127,3
2018-05-02,23:18:56.299000,5.577,7.87734,Clear,0,3374.977,68.125,3
2018-05-02,23:18:56.399000,5.67,7.96992,Clear,0,3374.673,68.122,3
2018-05-02,23:18:56.499000,5.549,7.8491,Clear,0,3374.368,68.12,3
2018-05-02,23:18:56.599000,5.653,7.95192,Clear,0,3374.064,68.118,3
2018-05-02,23:18:56.697000,5.84,8.13911,Clear,0,3373.766,68.115,8
2018-05-02,23:18:56.699000,5.732,8.03105,Clear,0,3373.76,68.115,3
2018-05-02,23:18:56.797000,5.805,8.10399,Clear,0,3373.462,68.113,8
2018-05-02,23:18:56.799000,5.718,8.01696,Clear,0,3373.456,68.113,3
2018-05-02,23:18:56.897000,5.861,8.16029,Clear,0,3373.158,68.111,8
2018-05-02,23:18:56.899000,5.573,7.87233,Clear,0,3373.152,68.111,3
2018-05-02,23:18:56.997000,5.775,8.0735,Clear,0,3372.854,68.109,8
2018-05-02,23:18:56.999000,5.701,8.00033,Clear,0,3372.848,68.109,3
2018-05-02,23:18:57.097000,5.566,7.86432,Clear,0,3372.55,68.106,8
2018-05-02,23:18:57.099000,5.725,8.02273,Clear,0,3372.544,68.106,3
2018-05-02,23:18:57.197000,5.583,7.88062,Clear,0,3372.246,68.104,8
2018-05-02,23:18:57.199000,5.639,7.93678,Clear,0,3372.24,68.104,3
2018-05-02,23:18:57.297000,5.837,8.13504,Clear,0,3371.942,68.102,8
2018-05-02,23:18:57.299000,5.651,7.94941,Clear,0,3371.936,68.102,3
2018-05-02,23:18:57.397000,5.578,7.87591,Clear,0,3371.638,68.099,8
2018-05-02,23:18:57.399000,5.561,7.85874,Clear,0,3371.632,68.099,3
2018-05-02,23:18:57.497000,5.671,7.96786,Clear,0,3371.334,68.097,8
2018-05-02,23:18:57.499000,5.687,7.98371,Clear,0,3371.328,68.097,3
2018-05-02,23:18:57.597000,5.612,7.90883,Clear,0,3371.031,68.095,8
2018-05-02,23:18:57.599000,5.666,7.9628,Clear,0,3371.025,68.095,3
2018-05-02,23:18:57.697000,5.632,7.92878,Clear,0,3370.727,68.093,8
2018-05-02,23:18:57.699000,5.511,7.80752,Clear,0,3370.721,68.092,3
2018-05-02,23:18:57.797000,5.623,7.92023,Clear,0,3370.423,68.09,8
2018-05-02,23:18:57.799000,5.495,7.79149,Clear,0,3370.417,68.09,3
2018-05-02,23:18:57.896000,5.704,7.99984,Clear,0,3370.123,68.088,8
2018-05-02,23:18:57.899000,5.58,7.87548,Clear,0,3370.114,68.088,3
2018-05-02,23:18:57.996000,5.759,8.05537,Clear,0,3369.819,68.086,8
2018-05-02,23:18:57.999000,5.53,7.82565,Clear,0,3369.81,68.086,3
2018-05-02,23:18:58.096000,5.51,7.80583,Clear,0,3369.516,68.083,8
2018-05-02,23:18:58.099000,5.603,7.89923,Clear,0,3369.507,68.083,3
2018-05-02,23:18:58.196000,5.858,8.15383,Clear,0,3369.212,68.081,8
2018-05-02,23:18:58.199000,5.646,7.94234,Clear,0,3369.203,68.081,3
2018-05-02,23:18:58.296000,5.669,7.96449,Clear,0,3368.909,68.079,8
2018-05-02,23:18:58.299000,5.614,7.90968,Clear,0,3368.9,68.079,3
2018-05-02,23:18:58.396000,5.518,7.81311,Clear,0,3368.606,68.077,8
2018-05-02,23:18:58.399000,5.632,7.92676,Clear,0,3368.597,68.076,3
2018-05-02,23:18:58.496000,5.605,7.89972,Clear,0,3368.303,68.074,8
2018-05-02,23:18:58.499000,5.587,7.88175,Clear,0,3368.294,68.074,3
2018-05-02,23:18:58.596000,5.452,7.74744,Clear,0,3367.999,68.072,8
2018-05-02,23:18:58.599000,5.358,7.65334,Clear,0,3367.99,68.072,3
2018-05-02,23:18:58.696000,5.57,7.86521,Clear,0,3367.696,68.07,8
2018-05-02,23:18:58.699000,5.428,7.72322,Clear,0,3367.687,68.07,3
2018-05-02,23:18:58.796000,5.628,7.92146,Clear,0,3367.393,68.067,8
2018-05-02,23:18:58.799000,5.544,7.83802,Clear,0,3367.384,68.067,3
2018-05-02,23:18:58.896000,5.534,7.82816,Clear,0,3367.09,68.065,8
2018-05-02,23:18:58.899000,5.421,7.71475,Clear,0,3367.081,68.065,3
2018-05-02,23:18:58.996000,5.461,7.75479,Clear,0,3366.787,68.063,8
2018-05-02,23:18:58.999000,5.649,7.94314,Clear,0,3366.778,68.063,3
2018-05-02,23:18:59.096000,5.318,7.61174,Clear,0,3366.484,68.061,8
2018-05-02,23:18:59.099000,5.457,7.75092,Clear,0,3366.475,68.06,3
2018-05-02,23:18:59.196000,5.407,7.70049,Clear,0,3366.182,68.058,8
2018-05-02,23:18:59.199000,5.522,7.81642,Clear,0,3366.172,68.058,3
2018-05-02,23:18:59.296000,5.417,7.71025,Clear,0,3365.879,68.056,8
2018-05-02,23:18:59.299000,5.437,7.7296,Clear,0,3365.87,68.056,3
2018-05-02,23:18:59.396000,5.461,7.75409,Clear,0,3365.576,68.054,8
2018-05-02,23:18:59.399000,5.252,7.54517,Clear,0,3365.567,68.054,3
2018-05-02,23:18:59.496000,5.284,7.57708,Clear,0,3365.273,68.051,8
2018-05-02,23:18:59.499000,5.379,7.67234,Clear,0,3365.264,68.051,3
2018-05-02,23:18:59.596000,5.341,7.63358,Clear,0,3364.971,68.049,8
2018-05-02,23:18:59.599000,5.218,7.51088,Clear,0,3364.962,68.049,3
2018-05-02,23:18:59.696000,5.562,7.85391,Clear,0,3364.668,68.047,8
2018-05-02,23:18:59.699000,5.258,7.54996,Clear,0,3364.659,68.047,3
2018-05-02,23:18:59.796000,5.282,7.57381,Clear,0,3364.366,68.045,8
2018-05-02,23:18:59.799000,5.308,7.59951,Clear,0,3364.357,68.044,3
2018-05-02,23:18:59.896000,5.495,7.78721,Clear,0,3364.063,68.042,8
2018-05-02,23:18:59.899000,5.311,7.60302,Clear,0,3364.054,68.042,3
2018-05-02,23:18:59.996000,5.468,7.76008,Clear,0,3363.761,68.04,8
2018-05-02,23:18:59.999000,5.369,7.66056,Clear,0,3363.752,68.04,3
2018-05-02,23:19:00.096000,5.445,7.7368,Clear,0,3363.458,68.038,8
2018-05-02,23:19:00.099000,5.471,7.76332,Clear,0,3363.449,68.038,3
2018-05-02,23:19:00.196000,5.412,7.70257,Clear,0,3363.156,68.035,8
2018-05-02,23:19:00.199000,5.327,7.61791,Clear,0,3363.147,68.035,3
2018-05-02,23:19:00.296000,5.491,7.7815,Clear,0,3362.854,68.033,8
2018-05-02,23:19:00.299000,5.446,7.73738,Clear,0,3362.845,68.033,3
2018-05-02,23:19:00.396000,5.388,7.67884,Clear,0,3362.552,68.031,8
2018-05-02,23:19:00.399000,5.29,7.58115,Clear,0,3362.543,68.031,3
2018-05-02,23:19:00.496000,5.372,7.66266,Clear,0,3362.25,68.029,8
