satellite, 25968 ATLAS 2A CENTAUR R/B / US
catalogue, 1 NORAD
track, 13407902
variability, 2 Periodic
variability_period, 63.19381875
npoints, 1613
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
0.0,5.004,8.36451,Clear,0,6211.155,41.382,9
0.10000000000582077,4.593,7.9536,Clear,0,6211.559,41.386,9
0.19999999999708962,4.366,7.72743,Clear,0,6211.963,41.39,9
0.3000000000029104,4.439,7.79947,Clear,0,6212.367,41.394,9
0.40000000000873115,4.555,7.91637,Clear,0,6212.771,41.398,9
0.5,4.657,8.01781,Clear,0,6213.175,41.403,9
0.6000000000058208,4.605,7.96706,Clear,0,6213.579,41.407,9
0.6999999999970896,4.32,7.68186,Clear,0,6213.984,41.411,9
0.8000000000029104,4.516,7.8779,Clear,0,6214.388,41.415,9
0.9000000000087311,4.459,7.82076,Clear,0,6214.792,41.42,9
1.0,4.607,7.96858,Clear,0,6215.196,41.424,9
1.1000000000058208,4.221,7.58426,Clear,0,6215.6,41.428,9
1.1999999999970896,4.78,8.14318,Clear,0,6216.005,41.432,9
1.3000000000029104,4.593,7.95559,Clear,0,6216.409,41.436,9
1.4000000000087311,4.591,7.95401,Clear,0,6216.813,41.441,9
1.5,4.676,8.03875,Clear,0,6217.217,41.445,9
1.6000000000058208,4.244,7.60718,Clear,0,6217.621,41.449,9
1.6999999999970896,4.657,8.02125,Clear,0,6218.026,41.453,9
1.8000000000029104,4.659,8.02338,Clear,0,6218.43,41.457,9
1.9000000000087311,4.553,7.91671,Clear,0,6218.834,41.462,9
2.0,5.157,8.52078,Clear,0,6219.238,41.466,9
2.1000000000058208,4.815,8.17861,Clear,0,6219.643,41.47,9
2.1999999999970896,5.055,8.41923,Clear,0,6220.047,41.474,9
2.3000000000029104,4.846,8.2113,Clear,0,6220.451,41.478,9
2.400000000008731,4.823,8.18798,Clear,0,6220.855,41.483,9
