satellite, 8311 THORAD DELTA 1 DEB / US
catalogue, 1 NORAD
track, 13697240
variability, 2 Periodic
variability_period, 36.51464232
npoints, 1644
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2018-10-18,01:58:39.082000,6.804,8.48693,Clear,0,2542.833,67.965,4
2018-10-18,01:58:39.182000,6.784,8.46715,Clear,0,2542.522,67.951,4
2018-10-18,01:58:39.282000,7.182,8.86415,Clear,0,2542.212,67.937,4
2018-10-18,01:58:39.382000,6.874,8.55625,Clear,0,2541.901,67.923,4
2018-10-18,01:58:39.482000,6.752,8.43292,Clear,0,2541.59,67.909,4
2018-10-18,01:58:39.582000,6.814,8.4945,Clear,0,2541.28,67.894,4
2018-10-18,01:58:39.682000,6.673,8.35367,Clear,0,2540.97,67.88,4
2018-10-18,01:58:39.782000,6.919,8.59909,Clear,0,2540.659,67.866,4
2018-10-18,01:58:39.882000,7.194,8.87387,Clear,0,2540.349,67.852,4
2018-10-18,01:58:39.982000,7.004,8.68268,Clear,0,2540.039,67.838,4
2018-10-18,01:58:40.082000,6.863,8.54164,Clear,0,2539.729,67.824,4
2018-10-18,01:58:40.182000,6.957,8.63454,Clear,0,2539.42,67.81,4
2018-10-18,01:58:40.282000,6.836,8.51416,Clear,0,2539.11,67.796,4
2018-10-18,01:58:40.382000,6.6,8.27659,Clear,0,2538.801,67.781,4
2018-10-18,01:58:40.482000,7.0,8.67703,Clear,0,2538.491,67.767,4
2018-10-18,01:58:40.582000,6.884,8.56089,Clear,0,2538.182,67.753,4
2018-10-18,01:58:40.682000,6.858,8.53419,Clear,0,2537.873,67.739,4
2018-10-18,01:58:40.782000,7.03,8.70623,Clear,0,2537.564,67.725,4
2018-10-18,01:58:40.882000,6.954,8.62871,Clear,0,2537.255,67.711,4
2018-10-18,01:58:40.982000,7.016,8.69136,Clear,0,2536.947,67.697,4
2018-10-18,01:58:41.082000,7.109,8.78321,Clear,0,2536.638,67.682,4
2018-10-18,01:58:41.182000,6.888,8.5616,Clear,0,2536.33,67.668,4
2018-10-18,01:58:41.382000,7.087,8.75988,Clear,0,2535.713,67.64,4
2018-10-18,01:58:41.482000,6.894,8.56724,Clear,0,2535.405,67.626,4
2018-10-18,01:58:41.582000,7.081,8.75328,Clear,0,2535.097,67.612,4
2018-10-18,01:58:41.682000,7.18,8.85241,Clear,0,2534.789,67.597,4
2018-10-18,01:58:41.782000,7.249,8.92024,Clear,0,2534.482,67.583,4
2018-10-18,01:58:41.882000,7.247,8.91824,Clear,0,2534.174,67.569,4
2018-10-18,01:58:41.982000,6.954,8.62376,Clear,0,2533.867,67.555,4
2018-10-18,01:58:42.082000,7.209,8.87931,Clear,0,2533.559,67.541,4
2018-10-18,01:58:42.182000,6.957,8.62593,Clear,0,2533.252,67.527,4
2018-10-18,01:58:42.282000,7.057,8.72571,Clear,0,2532.945,67.512,4
2018-10-18,01:58:42.382000,6.955,8.62361,Clear,0,2532.638,67.498,4
2018-10-18,01:58:42.482000,6.871,8.53888,Clear,0,2532.332,67.484,4
2018-10-18,01:58:42.582000,7.207,8.87536,Clear,0,2532.025,67.47,4
2018-10-18,01:58:42.682000,6.98,8.64655,Clear,0,2531.718,67.456,4
2018-10-18,01:58:42.782000,7.312,8.97892,Clear,0,2531.412,67.441,4
2018-10-18,01:58:42.882000,7.268,8.9339,Clear,0,2531.106,67.427,4
2018-10-18,01:58:42.982000,7.306,8.97212,Clear,0,2530.8,67.413,4
2018-10-18,01:58:43.082000,6.895,8.56109,Clear,0,2530.494,67.399,4
2018-10-18,01:58:43.182000,6.983,8.64784,Clear,0,2530.188,67.384,4
2018-10-18,01:58:43.282000,7.157,8.82188,Clear,0,2529.882,67.37,4
2018-10-18,01:58:43.382000,7.388,9.05166,Clear,0,2529.576,67.356,4
2018-10-18,01:58:43.482000,7.06,8.72357,Clear,0,2529.271,67.342,4
2018-10-18,01:58:43.582000,7.15,8.813,Clear,0,2528.965,67.328,4
2018-10-18,01:58:43.682000,6.93,8.59342,Clear,0,2528.66,67.313,4
2018-10-18,01:58:43.782000,6.993,8.65481,Clear,0,2528.355,67.299,4
2018-10-18,01:58:43.882000,7.394,9.05612,Clear,0,2528.05,67.285,4
2018-10-18,01:58:43.982000,7.049,8.71051,Clear,0,2527.745,67.271,4
2018-10-18,01:58:44.082000,7.183,8.84367,Clear,0,2527.441,67.256,4
2018-10-18,01:58:44.182000,7.177,8.83757,Clear,0,2527.136,67.242,4
2018-10-18,01:58:44.282000,7.28,8.94017,Clear,0,2526.832,67.228,4
2018-10-18,01:58:44.382000,7.093,8.75249,Clear,0,2526.527,67.214,4
2018-10-18,01:58:44.482000,7.302,8.96079,Clear,0,2526.223,67.199,4
2018-10-18,01:58:44.582000,7.036,8.6945,Clear,0,2525.919,67.185,4
2018-10-18,01:58:44.682000,6.948,8.60563,Clear,0,2525.615,67.171,4
2018-10-18,01:58:44.782000,7.215,8.87269,Clear,0,2525.311,67.157,4
2018-10-18,01:58:44.882000,6.826,8.48387,Clear,0,2525.007,67.142,4
2018-10-18,01:58:44.982000,6.718,8.37475,Clear,0,2524.704,67.128,4
2018-10-18,01:58:45.082000,6.908,8.56541,Clear,0,2524.4,67.114,4
2018-10-18,01:58:45.182000,7.287,8.94342,Clear,0,2524.097,67.099,4
2018-10-18,01:58:45.282000,6.995,8.65102,Clear,0,2523.794,67.085,4
2018-10-18,01:58:45.382000,7.158,8.81295,Clear,0,2523.491,67.071,4
2018-10-18,01:58:45.482000,6.81,8.46505,Clear,0,2523.188,67.057,4
2018-10-18,01:58:45.582000,7.106,8.75998,Clear,0,2522.885,67.042,4
2018-10-18,01:58:45.682000,6.948,8.60215,Clear,0,2522.583,67.028,4
2018-10-18,01:58:45.782000,7.428,9.08167,Clear,0,2522.28,67.014,4
2018-10-18,01:58:45.882000,7.24,8.89334,Clear,0,2521.978,66.999,4
