satellite, 20479 DEBUT (ORIZURU) / JPN
catalogue, 1 NORAD
track, 14125306
variability, 0 Not variable
variability_period, 0.0
npoints, 785
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
0.0,8.248,8.94112,Clear,0,1848.857,35.948,2
0.09999999999854481,8.373,9.06623,Clear,0,1848.807,35.955,2
0.20000000000436557,8.495,9.18767,Clear,0,1848.757,35.962,2
0.3000000000029104,8.144,8.83717,Clear,0,1848.708,35.968,2
0.5,8.672,9.36508,Clear,0,1848.609,35.981,2
0.7000000000043656,8.407,9.09997,Clear,0,1848.511,35.994,2
0.9000000000014552,8.213,8.90611,Clear,0,1848.414,36.008,2
1.0,8.849,9.54173,Clear,0,1848.366,36.014,2
1.0999999999985448,8.158,8.8514,Clear,0,1848.318,36.021,2
1.2000000000043656,8.454,9.14662,Clear,0,1848.27,36.027,2
1.3000000000029104,8.43,9.1229,Clear,0,1848.223,36.034,2
1.4000000000014552,8.264,8.95675,Clear,0,1848.175,36.041,2
1.5,8.241,8.93432,Clear,0,1848.128,36.047,2
1.5999999999985448,8.517,9.2096,Clear,0,1848.081,36.054,2
1.7000000000043656,8.466,9.15871,Clear,0,1848.034,36.061,2
1.8000000000029104,8.624,9.3169,Clear,0,1847.988,36.067,2
1.9000000000014552,8.467,9.16033,Clear,0,1847.941,36.074,2
2.0,8.583,9.27574,Clear,0,1847.895,36.081,2
2.099999999998545,8.371,9.06442,Clear,0,1847.849,36.088,2
2.2000000000043656,8.616,9.30938,Clear,0,1847.803,36.094,2
2.3000000000029104,8.577,9.27042,Clear,0,1847.758,36.101,2
2.400000000001455,8.344,9.03646,Clear,0,1847.713,36.108,2
2.599999999998545,8.358,9.0511,Clear,0,1847.622,36.121,2
2.7000000000043656,8.68,9.37312,Clear,0,1847.578,36.128,2
2.8000000000029104,8.669,9.36152,Clear,0,1847.533,36.135,2
2.900000000001455,8.301,8.99377,Clear,0,1847.489,36.142,2
3.0,8.583,9.27576,Clear,0,1847.445,36.149,2
3.099999999998545,8.231,8.92349,Clear,0,1847.401,36.155,2
3.2000000000043656,8.515,9.20815,Clear,0,1847.357,36.162,2
3.3000000000029104,8.731,9.42395,Clear,0,1847.313,36.169,2
3.400000000001455,8.441,9.13375,Clear,0,1847.27,36.176,2
3.5,8.545,9.23747,Clear,0,1847.227,36.183,2
3.599999999998545,8.762,9.45505,Clear,0,1847.184,36.19,2
3.7000000000043656,8.427,9.11974,Clear,0,1847.141,36.196,2
3.8000000000029104,8.767,9.46008,Clear,0,1847.098,36.203,2
4.0,8.272,8.96539,Clear,0,1847.014,36.217,2
4.099999999998545,8.574,9.26693,Clear,0,1846.972,36.224,2
4.200000000004366,8.411,9.1043,Clear,0,1846.93,36.231,2
4.30000000000291,8.82,9.51335,Clear,0,1846.889,36.238,2
4.400000000001455,8.526,9.21915,Clear,0,1846.847,36.245,2
4.5,8.424,9.11657,Clear,0,1846.806,36.252,2
4.599999999998545,8.38,9.07312,Clear,0,1846.765,36.259,2
4.700000000004366,8.448,9.14073,Clear,0,1846.725,36.266,2
4.80000000000291,8.572,9.26515,Clear,0,1846.684,36.273,2
4.900000000001455,8.648,9.34107,Clear,0,1846.644,36.28,2
5.0,8.572,9.26478,Clear,0,1846.604,36.287,2
5.099999999998545,8.565,9.25819,Clear,0,1846.564,36.294,2
5.200000000004366,8.572,9.26543,Clear,0,1846.524,36.301,2
5.30000000000291,8.52,9.21324,Clear,0,1846.484,36.308,2
5.400000000001455,8.137,8.83003,Clear,0,1846.445,36.315,2
5.5,8.844,9.53666,Clear,0,1846.406,36.322,2
5.599999999998545,8.976,9.66893,Clear,0,1846.367,36.329,2
5.700000000004366,8.327,9.01967,Clear,0,1846.328,36.336,2
5.80000000000291,8.78,9.47324,Clear,0,1846.29,36.343,2
5.900000000001455,8.457,9.14974,Clear,0,1846.251,36.35,2
6.0,8.614,9.307,Clear,0,1846.213,36.357,2
6.099999999998545,8.266,8.95922,Clear,0,1846.175,36.364,2
6.200000000004366,8.201,8.89394,Clear,0,1846.138,36.371,2
6.30000000000291,8.518,9.21143,Clear,0,1846.1,36.379,2
6.5,8.274,8.9672,Clear,0,1846.026,36.393,2
6.599999999998545,8.546,9.23923,Clear,0,1845.989,36.4,2
6.700000000004366,8.809,9.50228,Clear,0,1845.952,36.407,2
6.80000000000291,8.925,9.61811,Clear,0,1845.916,36.414,2
6.900000000001455,8.273,8.96619,Clear,0,1845.879,36.422,2
7.0,8.426,9.11938,Clear,0,1845.843,36.429,2
7.099999999998545,8.647,9.33994,Clear,0,1845.807,36.436,2
7.200000000004366,8.442,9.13498,Clear,0,1845.772,36.443,2
7.30000000000291,8.53,9.22268,Clear,0,1845.736,36.45,2
7.400000000001455,8.459,9.15228,Clear,0,1845.701,36.458,2
7.5,8.502,9.19524,Clear,0,1845.666,36.465,2
7.599999999998545,8.501,9.19376,Clear,0,1845.631,36.472,2
7.700000000004366,8.333,9.02613,Clear,0,1845.596,36.479,2
7.80000000000291,8.364,9.05659,Clear,0,1845.562,36.487,2
8.0,8.569,9.26219,Clear,0,1845.493,36.501,2
8.099999999998545,8.319,9.01218,Clear,0,1845.459,36.508,2
8.200000000004366,8.352,9.04483,Clear,0,1845.426,36.516,2
8.30000000000291,8.378,9.07125,Clear,0,1845.392,36.523,2
8.400000000001455,8.252,8.9451,Clear,0,1845.359,36.53,2
8.5,8.614,9.30699,Clear,0,1845.326,36.538,2
8.599999999998545,8.398,9.0906,Clear,0,1845.293,36.545,2
8.700000000004366,8.452,9.14475,Clear,0,1845.26,36.552,2
8.80000000000291,8.817,9.51043,Clear,0,1845.228,36.56,2
8.900000000001455,8.632,9.32497,Clear,0,1845.196,36.567,2
9.0,8.448,9.14088,Clear,0,1845.164,36.575,2
9.099999999998545,8.537,9.22997,Clear,0,1845.132,36.582,2
9.200000000004366,8.222,8.91542,Clear,0,1845.1,36.589,2
9.30000000000291,8.724,9.41692,Clear,0,1845.069,36.597,2
9.400000000001455,8.57,9.26278,Clear,0,1845.037,36.604,2
9.5,8.356,9.04872,Clear,0,1845.006,36.612,2
9.599999999998545,8.756,9.44872,Clear,0,1844.975,36.619,2
9.700000000004366,8.314,9.00652,Clear,0,1844.945,36.626,2
9.80000000000291,8.664,9.35734,Clear,0,1844.914,36.634,2
9.900000000001455,8.544,9.23675,Clear,0,1844.884,36.641,2
10.0,8.226,8.919,Clear,0,1844.854,36.649,2
10.099999999998545,8.615,9.30784,Clear,0,1844.824,36.656,2
10.200000000004366,8.342,9.03521,Clear,0,1844.795,36.664,2
10.30000000000291,8.466,9.15944,Clear,0,1844.765,36.671,2
10.400000000001455,8.266,8.95901,Clear,0,1844.736,36.679,2
10.5,8.867,9.55957,Clear,0,1844.707,36.686,2
10.599999999998545,8.705,9.39842,Clear,0,1844.678,36.694,2
10.700000000004366,8.68,9.37254,Clear,0,1844.649,36.701,2
10.80000000000291,8.706,9.39939,Clear,0,1844.621,36.709,2
10.900000000001455,8.846,9.53886,Clear,0,1844.593,36.716,2
11.0,8.453,9.14546,Clear,0,1844.565,36.724,2
11.099999999998545,8.177,8.87009,Clear,0,1844.537,36.732,2
11.200000000004366,8.501,9.19406,Clear,0,1844.509,36.739,2
11.30000000000291,8.474,9.16718,Clear,0,1844.482,36.747,2
11.400000000001455,8.498,9.1911,Clear,0,1844.455,36.754,2
11.5,8.534,9.22654,Clear,0,1844.428,36.762,2
11.599999999998545,8.61,9.30313,Clear,0,1844.401,36.77,2
11.700000000004366,8.711,9.40354,Clear,0,1844.374,36.777,2
11.80000000000291,8.827,9.51947,Clear,0,1844.348,36.785,2
11.900000000001455,8.379,9.07234,Clear,0,1844.322,36.793,2
12.0,8.328,9.02098,Clear,0,1844.296,36.8,2
12.099999999998545,8.865,9.55787,Clear,0,1844.27,36.808,2
