satellite, 43872 CZ-11 R/B / PRC
catalogue, 1 NORAD
track, 14216685
variability, 2 Periodic
variability_period, 2.062134
npoints, 311
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2019-01-19,03:15:38.397000,3.814,5.87193,Clear,0,1563.233,129.207,9
2019-01-19,03:15:38.497000,3.881,5.93969,Clear,0,1563.14,129.213,9
2019-01-19,03:15:38.597000,4.168,6.22693,Clear,0,1563.046,129.22,9
2019-01-19,03:15:38.697000,4.558,6.61688,Clear,0,1562.953,129.227,9
2019-01-19,03:15:38.797000,4.894,6.95297,Clear,0,1562.861,129.233,9
2019-01-19,03:15:38.897000,5.118,7.17674,Clear,0,1562.768,129.24,9
2019-01-19,03:15:38.997000,5.429,7.48783,Clear,0,1562.676,129.246,9
2019-01-19,03:15:39.097000,5.894,7.95329,Clear,0,1562.584,129.253,9
2019-01-19,03:15:39.197000,6.267,8.32722,Clear,0,1562.493,129.259,9
2019-01-19,03:15:39.797000,6.791,8.85074,Clear,0,1561.95,129.299,9
2019-01-19,03:15:39.897000,6.253,8.31251,Clear,0,1561.86,129.305,9
2019-01-19,03:15:39.997000,5.891,7.95178,Clear,0,1561.771,129.312,9
2019-01-19,03:15:40.097000,5.392,7.45317,Clear,0,1561.682,129.318,9
2019-01-19,03:15:40.197000,4.899,6.95962,Clear,0,1561.593,129.325,9
2019-01-19,03:15:40.297000,4.438,6.49879,Clear,0,1561.505,129.331,9
2019-01-19,03:15:40.397000,4.14,6.20123,Clear,0,1561.417,129.338,9
2019-01-19,03:15:40.497000,3.905,5.96557,Clear,0,1561.329,129.344,9
2019-01-19,03:15:40.597000,3.93,5.99065,Clear,0,1561.241,129.351,9
2019-01-19,03:15:40.697000,4.262,6.32402,Clear,0,1561.154,129.357,9
2019-01-19,03:15:40.797000,4.544,6.60631,Clear,0,1561.067,129.364,9
2019-01-19,03:15:40.897000,4.988,7.04969,Clear,0,1560.981,129.37,9
2019-01-19,03:15:40.997000,5.175,7.23681,Clear,0,1560.894,129.377,9
2019-01-19,03:15:41.097000,5.42,7.48203,Clear,0,1560.808,129.383,9
2019-01-19,03:15:41.197000,5.983,8.04544,Clear,0,1560.723,129.389,9
2019-01-19,03:15:41.297000,6.75,8.81179,Clear,0,1560.637,129.396,9
2019-01-19,03:15:41.797000,7.208,9.27129,Clear,0,1560.214,129.428,9
2019-01-19,03:15:41.897000,6.589,8.6518,Clear,0,1560.131,129.434,9
2019-01-19,03:15:41.997000,5.943,8.00643,Clear,0,1560.047,129.441,9
2019-01-19,03:15:42.097000,5.666,7.72853,Clear,0,1559.964,129.447,9
2019-01-19,03:15:42.197000,5.182,7.24616,Clear,0,1559.881,129.453,9
2019-01-19,03:15:42.297000,4.869,6.93266,Clear,0,1559.799,129.46,9
2019-01-19,03:15:42.397000,4.364,6.42755,Clear,0,1559.717,129.466,9
2019-01-19,03:15:42.497000,3.998,6.06188,Clear,0,1559.635,129.472,9
2019-01-19,03:15:42.597000,3.817,5.8805,Clear,0,1559.553,129.479,9
2019-01-19,03:15:42.697000,4.031,6.09475,Clear,0,1559.472,129.485,9
2019-01-19,03:15:42.797000,4.257,6.32139,Clear,0,1559.391,129.491,9
2019-01-19,03:15:42.897000,4.548,6.6129,Clear,0,1559.31,129.498,9
2019-01-19,03:15:42.997000,4.962,7.02709,Clear,0,1559.229,129.504,9
2019-01-19,03:15:43.097000,5.198,7.26274,Clear,0,1559.149,129.51,9
2019-01-19,03:15:43.197000,5.6,7.66503,Clear,0,1559.069,129.516,9
2019-01-19,03:15:43.297000,6.11,8.17457,Clear,0,1558.99,129.523,9
2019-01-19,03:15:43.397000,7.42,9.48515,Clear,0,1558.91,129.529,9
2019-01-19,03:15:43.897000,6.468,8.53429,Clear,0,1558.518,129.56,9
2019-01-19,03:15:43.996000,6.308,8.37381,Clear,0,1558.441,129.566,9
2019-01-19,03:15:44.096000,5.977,8.04313,Clear,0,1558.364,129.573,9
2019-01-19,03:15:44.196000,5.652,7.71809,Clear,0,1558.287,129.579,9
2019-01-19,03:15:44.296000,5.103,7.17036,Clear,0,1558.21,129.585,9
2019-01-19,03:15:44.396000,4.496,6.56282,Clear,0,1558.134,129.591,9
2019-01-19,03:15:44.496000,4.171,6.23802,Clear,0,1558.058,129.597,9
2019-01-19,03:15:44.596000,3.833,5.89969,Clear,0,1557.982,129.604,9
2019-01-19,03:15:44.696000,3.859,5.9262,Clear,0,1557.907,129.61,9
2019-01-19,03:15:44.796000,4.041,6.10816,Clear,0,1557.831,129.616,9
2019-01-19,03:15:44.896000,4.259,6.32612,Clear,0,1557.756,129.622,9
2019-01-19,03:15:44.996000,4.682,6.75002,Clear,0,1557.682,129.628,9
2019-01-19,03:15:45.096000,5.082,7.14989,Clear,0,1557.607,129.634,9
2019-01-19,03:15:45.196000,5.228,7.29611,Clear,0,1557.533,129.641,9
2019-01-19,03:15:45.296000,5.71,7.77758,Clear,0,1557.46,129.647,9
2019-01-19,03:15:45.396000,6.553,8.62111,Clear,0,1557.386,129.653,9
2019-01-19,03:15:45.896000,7.119,9.18777,Clear,0,1557.023,129.683,9
2019-01-19,03:15:45.996000,6.572,8.64094,Clear,0,1556.952,129.689,9
2019-01-19,03:15:46.096000,6.491,8.55993,Clear,0,1556.88,129.695,9
2019-01-19,03:15:46.196000,5.819,7.88842,Clear,0,1556.809,129.702,9
2019-01-19,03:15:46.296000,5.471,7.54021,Clear,0,1556.738,129.708,9
2019-01-19,03:15:46.396000,4.823,6.89253,Clear,0,1556.668,129.714,9
2019-01-19,03:15:46.496000,4.508,6.57752,Clear,0,1556.597,129.72,9
2019-01-19,03:15:46.596000,4.104,6.17359,Clear,0,1556.528,129.726,9
2019-01-19,03:15:46.696000,3.766,5.83548,Clear,0,1556.458,129.732,9
2019-01-19,03:15:46.796000,3.873,5.94324,Clear,0,1556.389,129.738,9
2019-01-19,03:15:46.896000,4.15,6.22019,Clear,0,1556.319,129.744,9
2019-01-19,03:15:46.996000,4.555,6.62562,Clear,0,1556.251,129.75,9
2019-01-19,03:15:47.096000,4.841,6.91186,Clear,0,1556.182,129.756,9
2019-01-19,03:15:47.196000,5.165,7.23606,Clear,0,1556.114,129.762,9
2019-01-19,03:15:47.296000,5.524,7.59507,Clear,0,1556.046,129.768,9
2019-01-19,03:15:47.396000,6.093,8.16399,Clear,0,1555.979,129.774,9
2019-01-19,03:15:47.496000,6.579,8.64949,Clear,0,1555.911,129.78,9
2019-01-19,03:15:47.996000,6.885,8.95726,Clear,0,1555.579,129.809,9
2019-01-19,03:15:48.096000,6.567,8.63924,Clear,0,1555.514,129.815,9
2019-01-19,03:15:48.196000,6.04,8.11216,Clear,0,1555.449,129.821,9
2019-01-19,03:15:48.296000,5.623,7.69464,Clear,0,1555.384,129.827,9
2019-01-19,03:15:48.396000,5.284,7.35661,Clear,0,1555.319,129.833,9
2019-01-19,03:15:48.496000,4.862,6.93516,Clear,0,1555.255,129.839,9
2019-01-19,03:15:48.596000,4.348,6.42092,Clear,0,1555.191,129.845,9
2019-01-19,03:15:48.696000,4.014,6.08682,Clear,0,1555.127,129.851,9
2019-01-19,03:15:48.796000,3.766,5.83867,Clear,0,1555.063,129.856,9
2019-01-19,03:15:48.896000,3.927,5.99968,Clear,0,1555.0,129.862,9
2019-01-19,03:15:48.996000,4.315,6.38754,Clear,0,1554.937,129.868,9
2019-01-19,03:15:49.096000,4.572,6.64633,Clear,0,1554.875,129.874,9
2019-01-19,03:15:49.196000,4.937,7.01045,Clear,0,1554.813,129.88,9
2019-01-19,03:15:49.296000,5.248,7.32213,Clear,0,1554.751,129.886,9
2019-01-19,03:15:49.396000,5.655,7.72895,Clear,0,1554.689,129.891,9
2019-01-19,03:15:49.496000,6.002,8.0761,Clear,0,1554.627,129.897,9
2019-01-19,03:15:49.596000,7.035,9.10904,Clear,0,1554.566,129.903,9
2019-01-19,03:15:49.696000,7.499,9.57355,Clear,0,1554.506,129.909,9
2019-01-19,03:15:49.996000,7.221,9.29637,Clear,0,1554.325,129.926,9
2019-01-19,03:15:50.096000,6.632,8.70676,Clear,0,1554.265,129.932,9
2019-01-19,03:15:50.196000,6.223,8.29823,Clear,0,1554.206,129.938,9
2019-01-19,03:15:50.296000,6.05,8.12467,Clear,0,1554.147,129.943,9
2019-01-19,03:15:50.396000,5.517,7.59279,Clear,0,1554.088,129.949,9
2019-01-19,03:15:50.496000,5.167,7.24253,Clear,0,1554.03,129.955,9
2019-01-19,03:15:50.596000,4.615,6.69066,Clear,0,1553.972,129.961,9
2019-01-19,03:15:50.696000,4.308,6.38352,Clear,0,1553.914,129.966,9
2019-01-19,03:15:50.796000,3.738,5.81378,Clear,0,1553.856,129.972,9
2019-01-19,03:15:50.896000,3.661,5.73665,Clear,0,1553.799,129.978,9
2019-01-19,03:15:50.996000,3.938,6.01366,Clear,0,1553.742,129.983,9
2019-01-19,03:15:51.096000,4.155,6.232,Clear,0,1553.685,129.989,9
2019-01-19,03:15:51.196000,4.75,6.82647,Clear,0,1553.629,129.995,9
2019-01-19,03:15:51.296000,5.078,7.15482,Clear,0,1553.573,130.0,9
2019-01-19,03:15:51.396000,5.417,7.49373,Clear,0,1553.517,130.006,9
2019-01-19,03:15:51.496000,5.703,7.77955,Clear,0,1553.462,130.012,9
2019-01-19,03:15:51.596000,6.679,8.75619,Clear,0,1553.407,130.017,9
2019-01-19,03:15:52.096000,7.264,9.34148,Clear,0,1553.135,130.046,9
2019-01-19,03:15:52.196000,6.616,8.69435,Clear,0,1553.082,130.051,9
2019-01-19,03:15:52.296000,6.331,8.40888,Clear,0,1553.029,130.057,9
2019-01-19,03:15:52.396000,5.889,7.96797,Clear,0,1552.976,130.062,9
2019-01-19,03:15:52.496000,5.416,7.49479,Clear,0,1552.923,130.068,9
2019-01-19,03:15:52.596000,5.148,7.22646,Clear,0,1552.871,130.073,9
2019-01-19,03:15:52.696000,4.583,6.66162,Clear,0,1552.819,130.079,9
2019-01-19,03:15:52.796000,4.164,6.24318,Clear,0,1552.767,130.084,9
2019-01-19,03:15:52.896000,3.684,5.76302,Clear,0,1552.716,130.09,9
2019-01-19,03:15:52.996000,3.855,5.93516,Clear,0,1552.665,130.096,9
2019-01-19,03:15:53.096000,4.072,6.15165,Clear,0,1552.614,130.101,9
2019-01-19,03:15:53.196000,4.559,6.6391,Clear,0,1552.564,130.107,9
2019-01-19,03:15:53.296000,4.867,6.94645,Clear,0,1552.514,130.112,9
2019-01-19,03:15:53.396000,5.085,7.16504,Clear,0,1552.464,130.118,9
2019-01-19,03:15:53.496000,5.692,7.77175,Clear,0,1552.414,130.123,9
2019-01-19,03:15:53.596000,5.978,8.05785,Clear,0,1552.365,130.129,9
2019-01-19,03:15:53.696000,6.605,8.68579,Clear,0,1552.316,130.134,9
2019-01-19,03:15:53.896000,7.623,9.70415,Clear,0,1552.219,130.145,9
2019-01-19,03:15:54.096000,7.453,9.53382,Clear,0,1552.123,130.156,9
2019-01-19,03:15:54.196000,6.605,8.68617,Clear,0,1552.076,130.161,9
2019-01-19,03:15:54.296000,6.301,8.38293,Clear,0,1552.029,130.167,9
2019-01-19,03:15:54.396000,6.103,8.18531,Clear,0,1551.982,130.172,9
2019-01-19,03:15:54.496000,5.652,7.7336,Clear,0,1551.935,130.178,9
2019-01-19,03:15:54.596000,5.233,7.31471,Clear,0,1551.889,130.183,9
2019-01-19,03:15:54.696000,4.901,6.98283,Clear,0,1551.843,130.188,9
2019-01-19,03:15:54.796000,4.441,6.52265,Clear,0,1551.797,130.194,9
2019-01-19,03:15:54.896000,4.042,6.12382,Clear,0,1551.752,130.199,9
2019-01-19,03:15:54.996000,3.765,5.84764,Clear,0,1551.707,130.204,9
2019-01-19,03:15:55.096000,3.766,5.84931,Clear,0,1551.662,130.21,9
2019-01-19,03:15:55.196000,4.126,6.20923,Clear,0,1551.617,130.215,9
2019-01-19,03:15:55.296000,4.457,6.5399,Clear,0,1551.573,130.221,9
2019-01-19,03:15:55.396000,4.96,7.04336,Clear,0,1551.529,130.226,9
2019-01-19,03:15:55.496000,5.258,7.34133,Clear,0,1551.486,130.231,9
2019-01-19,03:15:55.596000,5.634,7.71763,Clear,0,1551.442,130.236,9
2019-01-19,03:15:55.696000,6.29,8.37396,Clear,0,1551.399,130.242,9
2019-01-19,03:15:56.196000,7.29,9.37514,Clear,0,1551.189,130.268,9
2019-01-19,03:15:56.296000,6.466,8.55065,Clear,0,1551.147,130.273,9
2019-01-19,03:15:56.396000,6.253,8.33841,Clear,0,1551.107,130.279,9
2019-01-19,03:15:56.496000,6.085,8.16995,Clear,0,1551.066,130.284,9
2019-01-19,03:15:56.596000,5.613,7.69809,Clear,0,1551.026,130.289,9
2019-01-19,03:15:56.696000,5.211,7.29576,Clear,0,1550.985,130.294,9
2019-01-19,03:15:56.796000,4.773,6.85774,Clear,0,1550.946,130.3,9
2019-01-19,03:15:56.896000,4.335,6.42112,Clear,0,1550.906,130.305,9
2019-01-19,03:15:56.996000,3.908,5.99441,Clear,0,1550.867,130.31,9
2019-01-19,03:15:57.096000,3.793,5.87875,Clear,0,1550.828,130.315,9
2019-01-19,03:15:57.196000,3.816,5.90186,Clear,0,1550.79,130.32,9
2019-01-19,03:15:57.296000,4.284,6.37016,Clear,0,1550.751,130.326,9
2019-01-19,03:15:57.396000,4.675,6.76129,Clear,0,1550.714,130.331,9
2019-01-19,03:15:57.496000,4.934,7.02119,Clear,0,1550.676,130.336,9
2019-01-19,03:15:57.596000,5.411,7.4975,Clear,0,1550.638,130.341,9
2019-01-19,03:15:57.696000,5.673,7.76009,Clear,0,1550.601,130.346,9
2019-01-19,03:15:57.796000,6.596,8.68259,Clear,0,1550.565,130.351,9
2019-01-19,03:15:58.296000,7.105,9.19303,Clear,0,1550.385,130.377,9
