satellite, 40108 FALCON 9 R/B / US
catalogue, 1 NORAD
track, 1454934
variability, 2 Periodic
variability_period, 48.024603
npoints, 3671
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
0.0,2.225,6.49943,Clear,0,9871.456,25.101,1
0.19999999999708962,1.986,6.25982,Clear,0,9870.615,25.102,1
0.3000000000029104,1.804,6.07834,Clear,0,9870.195,25.102,1
0.40000000000873115,1.539,5.81341,Clear,0,9869.774,25.102,1
0.5,1.724,5.99778,Clear,0,9869.354,25.103,1
0.6000000000058208,1.952,6.22642,Clear,0,9868.933,25.103,1
0.6999999999970896,1.707,5.98059,Clear,0,9868.513,25.103,1
0.8000000000029104,1.606,5.88031,Clear,0,9868.092,25.103,1
0.9000000000087311,1.762,6.03633,Clear,0,9867.672,25.104,1
1.0,1.917,6.19056,Clear,0,9867.251,25.104,1
1.1000000000058208,1.683,5.95577,Clear,0,9866.83,25.104,1
1.1999999999970896,2.003,6.276,Clear,0,9866.41,25.104,1
1.3000000000029104,1.821,6.09364,Clear,0,9865.989,25.105,1
1.4000000000087311,1.925,6.19807,Clear,0,9865.569,25.105,1
1.5,1.676,5.94869,Clear,0,9865.148,25.105,1
1.6000000000058208,1.992,6.265,Clear,0,9864.728,25.106,1
1.6999999999970896,1.781,6.05379,Clear,0,9864.307,25.106,1
1.8000000000029104,1.843,6.11581,Clear,0,9863.887,25.106,1
1.9000000000087311,1.84,6.11341,Clear,0,9863.466,25.106,1
2.0,1.636,5.90882,Clear,0,9863.045,25.107,1
2.1000000000058208,1.68,5.95278,Clear,0,9862.625,25.107,1
2.1999999999970896,1.856,6.12778,Clear,0,9862.204,25.107,1
2.3000000000029104,1.745,6.0174,Clear,0,9861.784,25.107,1
2.400000000008731,1.751,6.02304,Clear,0,9861.363,25.108,1
2.5,1.727,5.99859,Clear,0,9860.943,25.108,1
2.6000000000058208,1.902,6.17394,Clear,0,9860.522,25.108,1
2.6999999999970896,1.643,5.91508,Clear,0,9860.101,25.108,1
2.8000000000029104,2.131,6.40284,Clear,0,9859.681,25.109,1
2.900000000008731,1.948,6.21979,Clear,0,9859.26,25.109,1
3.0,2.07,6.3421,Clear,0,9858.84,25.109,1
3.1000000000058208,1.88,6.15224,Clear,0,9858.419,25.11,1
3.1999999999970896,1.736,6.00703,Clear,0,9857.999,25.11,1
3.3000000000029104,1.897,6.16752,Clear,0,9857.578,25.11,1
3.400000000008731,1.829,6.10035,Clear,0,9857.157,25.11,1
3.5,1.778,6.04902,Clear,0,9856.737,25.111,1
3.6000000000058208,2.114,6.38503,Clear,0,9856.316,25.111,1
3.6999999999970896,2.356,6.62652,Clear,0,9855.896,25.111,1
3.8000000000029104,1.673,5.94367,Clear,0,9855.475,25.111,1
3.900000000008731,1.967,6.23786,Clear,0,9855.055,25.112,1
4.0,1.712,5.98326,Clear,0,9854.634,25.112,1
4.100000000005821,2.196,6.46681,Clear,0,9854.213,25.112,1
4.19999999999709,1.92,6.19096,Clear,0,9853.793,25.113,1
4.30000000000291,1.817,6.08692,Clear,0,9853.372,25.113,1
4.400000000008731,2.152,6.42241,Clear,0,9852.952,25.113,1
4.5,2.059,6.3294,Clear,0,9852.531,25.113,1
4.600000000005821,2.008,6.27814,Clear,0,9852.11,25.114,1
4.69999999999709,2.13,6.40035,Clear,0,9851.69,25.114,1
4.80000000000291,1.954,6.22346,Clear,0,9851.269,25.114,1
4.900000000008731,2.11,6.38042,Clear,0,9850.849,25.114,1
5.0,2.105,6.37481,Clear,0,9850.428,25.115,1
5.100000000005821,2.254,6.52385,Clear,0,9850.007,25.115,1
5.19999999999709,1.977,6.2469,Clear,0,9849.587,25.115,1
5.30000000000291,2.24,6.50963,Clear,0,9849.166,25.116,1
5.400000000008731,2.146,6.41522,Clear,0,9848.745,25.116,1
5.5,2.342,6.61095,Clear,0,9848.325,25.116,1
5.600000000005821,2.332,6.60089,Clear,0,9847.904,25.116,1
5.69999999999709,2.439,6.70801,Clear,0,9847.484,25.117,1
5.80000000000291,2.246,6.51473,Clear,0,9847.063,25.117,1
5.900000000008731,2.159,6.42776,Clear,0,9846.642,25.117,1
6.0,2.184,6.45261,Clear,0,9846.222,25.118,1
6.100000000005821,2.248,6.51724,Clear,0,9845.801,25.118,1
6.19999999999709,2.124,6.39279,Clear,0,9845.381,25.118,1
6.30000000000291,2.278,6.54697,Clear,0,9844.96,25.118,1
6.400000000008731,1.87,6.13909,Clear,0,9844.539,25.119,1
6.5,2.357,6.62493,Clear,0,9844.119,25.119,1
6.600000000005821,2.294,6.56236,Clear,0,9843.698,25.119,1
6.69999999999709,2.035,6.30343,Clear,0,9843.277,25.119,1
6.80000000000291,1.974,6.2419,Clear,0,9842.857,25.12,1
6.900000000008731,2.101,6.36904,Clear,0,9842.436,25.12,1
7.0,2.124,6.39181,Clear,0,9842.015,25.12,1
7.100000000005821,2.304,6.57191,Clear,0,9841.595,25.121,1
7.19999999999709,2.242,6.5097,Clear,0,9841.174,25.121,1
7.30000000000291,2.468,6.73642,Clear,0,9840.754,25.121,1
7.400000000008731,2.169,6.43733,Clear,0,9840.333,25.121,1
7.5,2.661,6.9287,Clear,0,9839.912,25.122,1
7.600000000005821,2.205,6.47148,Clear,0,9839.492,25.122,1
7.69999999999709,2.097,6.36407,Clear,0,9839.071,25.122,1
7.80000000000291,2.375,6.64215,Clear,0,9838.65,25.123,1
7.900000000008731,2.137,6.40381,Clear,0,9838.23,25.123,1
8.0,2.153,6.41965,Clear,0,9837.809,25.123,1
8.10000000000582,1.809,6.07611,Clear,0,9837.388,25.123,1
8.19999999999709,2.073,6.33994,Clear,0,9836.968,25.124,1
8.30000000000291,2.801,7.06748,Clear,0,9836.547,25.124,1
8.400000000008731,2.132,6.39937,Clear,0,9836.126,25.124,1
8.5,2.146,6.4127,Clear,0,9835.706,25.125,1
8.60000000000582,2.068,6.33498,Clear,0,9835.285,25.125,1
8.69999999999709,2.193,6.45925,Clear,0,9834.864,25.125,1
8.80000000000291,2.046,6.31211,Clear,0,9834.444,25.125,1
8.900000000008731,1.991,6.25661,Clear,0,9834.023,25.126,1
9.0,1.924,6.19003,Clear,0,9833.602,25.126,1
9.10000000000582,2.387,6.65331,Clear,0,9833.182,25.126,1
9.19999999999709,2.193,6.45942,Clear,0,9832.761,25.126,1
9.30000000000291,2.765,7.03069,Clear,0,9832.34,25.127,1
9.400000000008731,2.403,6.66886,Clear,0,9831.92,25.127,1
9.5,2.081,6.34675,Clear,0,9831.499,25.127,1
9.60000000000582,2.647,6.9134,Clear,0,9831.078,25.128,1
9.69999999999709,2.239,6.50458,Clear,0,9830.658,25.128,1
9.80000000000291,2.484,6.74849,Clear,0,9830.237,25.128,1
9.900000000008731,2.321,6.58607,Clear,0,9829.816,25.128,1
10.0,2.292,6.55707,Clear,0,9829.396,25.129,1
10.10000000000582,2.38,6.64512,Clear,0,9828.975,25.129,1
10.19999999999709,2.482,6.74674,Clear,0,9828.554,25.129,1
10.30000000000291,2.235,6.50004,Clear,0,9828.134,25.13,1
10.400000000008731,1.98,6.24543,Clear,0,9827.713,25.13,1
10.5,2.036,6.30141,Clear,0,9827.292,25.13,1
10.60000000000582,1.944,6.20908,Clear,0,9826.872,25.13,1
10.69999999999709,2.321,6.58565,Clear,0,9826.451,25.131,1
10.80000000000291,2.344,6.60916,Clear,0,9826.03,25.131,1
10.900000000008731,2.14,6.40368,Clear,0,9825.61,25.131,1
11.0,2.136,6.40036,Clear,0,9825.189,25.132,1
11.10000000000582,2.395,6.65887,Clear,0,9824.768,25.132,1
11.19999999999709,2.357,6.62102,Clear,0,9824.347,25.132,1
11.30000000000291,2.394,6.65816,Clear,0,9823.927,25.132,1
11.400000000008731,1.87,6.13409,Clear,0,9823.506,25.133,1
11.5,2.369,6.63258,Clear,0,9823.085,25.133,1
11.60000000000582,2.209,6.47259,Clear,0,9822.665,25.133,1
11.69999999999709,2.069,6.33341,Clear,0,9822.244,25.134,1
11.80000000000291,2.169,6.43252,Clear,0,9821.823,25.134,1
11.900000000008731,2.098,6.36176,Clear,0,9821.403,25.134,1
12.0,1.811,6.07412,Clear,0,9820.982,25.134,1
12.10000000000582,2.167,6.42998,Clear,0,9820.561,25.135,1
12.19999999999709,2.122,6.3852,Clear,0,9820.14,25.135,1
12.30000000000291,2.337,6.60042,Clear,0,9819.72,25.135,1
12.400000000008731,2.131,6.39346,Clear,0,9819.299,25.136,1
12.5,2.298,6.56097,Clear,0,9818.878,25.136,1
12.60000000000582,1.857,6.11945,Clear,0,9818.458,25.136,1
12.69999999999709,2.066,6.32872,Clear,0,9818.037,25.137,1
12.80000000000291,1.98,6.24262,Clear,0,9817.616,25.137,1
12.900000000008731,1.92,6.18247,Clear,0,9817.195,25.137,1
13.0,2.067,6.33012,Clear,0,9816.775,25.137,1
13.10000000000582,2.051,6.31339,Clear,0,9816.354,25.138,1
13.19999999999709,2.261,6.52247,Clear,0,9815.933,25.138,1
13.30000000000291,2.112,6.37368,Clear,0,9815.513,25.138,1
13.400000000008731,1.969,6.23069,Clear,0,9815.092,25.139,1
13.5,2.075,6.33725,Clear,0,9814.671,25.139,1
13.60000000000582,1.923,6.1854,Clear,0,9814.25,25.139,1
13.69999999999709,1.903,6.16529,Clear,0,9813.83,25.139,1
13.80000000000291,1.774,6.03638,Clear,0,9813.409,25.14,1
13.900000000008731,2.11,6.3723,Clear,0,9812.988,25.14,1
14.0,2.442,6.70346,Clear,0,9812.567,25.14,1
14.10000000000582,1.929,6.1905,Clear,0,9812.147,25.141,1
14.19999999999709,1.659,5.92009,Clear,0,9811.726,25.141,1
14.30000000000291,2.498,6.75907,Clear,0,9811.305,25.141,1
14.400000000008731,1.921,6.18231,Clear,0,9810.884,25.141,1
14.5,2.033,6.29409,Clear,0,9810.464,25.142,1
14.60000000000582,2.165,6.42584,Clear,0,9810.043,25.142,1
14.69999999999709,2.05,6.31124,Clear,0,9809.622,25.142,1
14.80000000000291,1.912,6.17247,Clear,0,9809.201,25.143,1
14.900000000008731,1.832,6.09248,Clear,0,9808.781,25.143,1
15.0,2.082,6.34306,Clear,0,9808.36,25.143,1
15.10000000000582,2.083,6.34372,Clear,0,9807.939,25.143,1
15.19999999999709,1.937,6.19671,Clear,0,9807.518,25.144,1
15.30000000000291,1.688,5.94792,Clear,0,9807.098,25.144,1
15.400000000008731,2.202,6.46161,Clear,0,9806.677,25.144,1
15.5,1.81,6.07012,Clear,0,9806.256,25.145,1
15.60000000000582,2.023,6.28343,Clear,0,9805.835,25.145,1
15.69999999999709,2.046,6.30596,Clear,0,9805.415,25.145,1
15.80000000000291,2.084,6.34383,Clear,0,9804.994,25.146,1
15.900000000008731,1.414,5.67363,Clear,0,9804.573,25.146,1
16.0,1.728,5.98808,Clear,0,9804.152,25.146,1
16.10000000000582,1.653,5.91276,Clear,0,9803.732,25.146,1
16.19999999999709,1.662,5.92153,Clear,0,9803.311,25.147,1
16.30000000000291,1.941,6.19952,Clear,0,9802.89,25.147,1
16.40000000000873,1.771,6.02974,Clear,0,9802.469,25.147,1
16.5,2.046,6.30533,Clear,0,9802.049,25.148,1
16.60000000000582,1.485,5.74416,Clear,0,9801.628,25.148,1
16.69999999999709,1.789,6.0475,Clear,0,9801.207,25.148,1
16.80000000000291,1.778,6.03734,Clear,0,9800.786,25.149,1
16.90000000000873,1.939,6.19792,Clear,0,9800.365,25.149,1
17.0,1.799,6.0582,Clear,0,9799.945,25.149,1
17.10000000000582,1.991,6.24977,Clear,0,9799.524,25.149,1
17.19999999999709,1.417,5.67589,Clear,0,9799.103,25.15,1
17.30000000000291,1.419,5.67753,Clear,0,9798.682,25.15,1
17.40000000000873,1.443,5.70131,Clear,0,9798.262,25.15,1
17.5,1.755,6.01248,Clear,0,9797.841,25.151,1
17.60000000000582,1.757,6.01537,Clear,0,9797.42,25.151,1
17.69999999999709,1.689,5.94706,Clear,0,9796.999,25.151,1
17.80000000000291,1.848,6.10643,Clear,0,9796.578,25.151,1
17.90000000000873,1.553,5.81067,Clear,0,9796.158,25.152,1
18.0,1.626,5.8843,Clear,0,9795.737,25.152,1
18.101000000009662,1.685,5.94344,Clear,0,9795.312,25.152,1
18.20100000000093,1.525,5.78342,Clear,0,9794.891,25.153,1
18.301000000006752,1.721,5.97907,Clear,0,9794.47,25.153,1
18.40099999999802,1.681,5.93856,Clear,0,9794.049,25.153,1
18.50100000000384,1.582,5.83876,Clear,0,9793.629,25.154,1
18.601000000009662,1.665,5.92165,Clear,0,9793.208,25.154,1
18.70100000000093,1.735,5.9922,Clear,0,9792.787,25.154,1
18.801000000006752,1.575,5.83226,Clear,0,9792.366,25.154,1
18.90099999999802,1.508,5.76509,Clear,0,9791.945,25.155,1
19.00100000000384,1.314,5.57088,Clear,0,9791.525,25.155,1
19.101000000009662,1.767,6.02369,Clear,0,9791.104,25.155,1
19.20100000000093,1.521,5.77769,Clear,0,9790.683,25.156,1
19.301000000006752,1.64,5.89687,Clear,0,9790.262,25.156,1
19.40099999999802,1.754,6.01067,Clear,0,9789.841,25.156,1
19.50100000000384,1.418,5.6748,Clear,0,9789.421,25.157,1
19.601000000009662,1.502,5.7579,Clear,0,9789.0,25.157,1
19.70100000000093,1.475,5.73059,Clear,0,9788.579,25.157,1
19.801000000006752,1.969,6.22494,Clear,0,9788.158,25.157,1
19.90099999999802,1.579,5.83521,Clear,0,9787.737,25.158,1
20.00100000000384,1.706,5.96205,Clear,0,9787.317,25.158,1
20.101000000009662,1.664,5.91978,Clear,0,9786.896,25.158,1
20.20100000000093,1.687,5.94324,Clear,0,9786.475,25.159,1
20.301000000006752,1.646,5.9015,Clear,0,9786.054,25.159,1
20.40099999999802,1.461,5.71737,Clear,0,9785.633,25.159,1
20.50100000000384,1.632,5.88806,Clear,0,9785.212,25.16,1
20.601000000009662,1.526,5.7822,Clear,0,9784.792,25.16,1
20.70100000000093,1.688,5.9427,Clear,0,9784.371,25.16,1
20.801000000006752,1.413,5.66775,Clear,0,9783.95,25.161,1
20.90099999999802,1.305,5.56027,Clear,0,9783.529,25.161,1
21.00100000000384,1.813,6.06754,Clear,0,9783.108,25.161,1
21.101000000009662,2.086,6.34143,Clear,0,9782.688,25.161,1
21.20100000000093,1.687,5.94239,Clear,0,9782.267,25.162,1
21.301000000006752,1.599,5.85362,Clear,0,9781.846,25.162,1
21.40099999999802,1.793,6.04804,Clear,0,9781.425,25.162,1
21.50100000000384,1.901,6.15603,Clear,0,9781.004,25.163,1
21.601000000009662,1.537,5.79194,Clear,0,9780.583,25.163,1
21.70100000000093,1.488,5.74281,Clear,0,9780.162,25.163,1
21.801000000006752,2.026,6.27992,Clear,0,9779.742,25.164,1
21.90099999999802,1.226,5.47974,Clear,0,9779.321,25.164,1
22.00100000000384,1.476,5.73006,Clear,0,9778.9,25.164,1
22.101000000009662,1.632,5.88565,Clear,0,9778.479,25.164,1
22.20100000000093,1.639,5.89267,Clear,0,9778.058,25.165,1
22.301000000006752,1.723,5.97709,Clear,0,9777.637,25.165,1
22.40099999999802,2.07,6.32349,Clear,0,9777.217,25.165,1
22.50100000000384,1.823,6.07665,Clear,0,9776.796,25.166,1
22.601000000009662,1.595,5.8489,Clear,0,9776.375,25.166,1
22.70100000000093,1.57,5.82398,Clear,0,9775.954,25.166,1
22.801000000006752,1.81,6.06333,Clear,0,9775.533,25.167,1
22.90099999999802,2.036,6.28857,Clear,0,9775.112,25.167,1
23.00100000000384,1.913,6.16585,Clear,0,9774.691,25.167,1
23.101000000009662,1.445,5.69822,Clear,0,9774.271,25.168,1
23.20100000000093,1.695,5.94762,Clear,0,9773.85,25.168,1
23.301000000006752,1.566,5.81907,Clear,0,9773.429,25.168,1
23.40099999999802,1.792,6.0445,Clear,0,9773.008,25.168,1
23.50100000000384,1.661,5.9142,Clear,0,9772.587,25.169,1
23.601000000009662,1.699,5.95214,Clear,0,9772.166,25.169,1
23.70100000000093,1.73,5.98304,Clear,0,9771.745,25.169,1
23.801000000006752,1.63,5.88247,Clear,0,9771.325,25.17,1
23.90099999999802,1.607,5.85908,Clear,0,9770.904,25.17,1
24.00100000000384,1.758,6.00992,Clear,0,9770.483,25.17,1
24.101000000009662,1.395,5.64704,Clear,0,9770.062,25.171,1
24.20100000000093,1.981,6.23337,Clear,0,9769.641,25.171,1
24.301000000006752,1.83,6.082,Clear,0,9769.22,25.171,1
24.40099999999802,1.448,5.70018,Clear,0,9768.799,25.172,1
24.50100000000384,2.023,6.27525,Clear,0,9768.378,25.172,1
24.601000000009662,1.514,5.7659,Clear,0,9767.958,25.172,1
24.70100000000093,1.558,5.80999,Clear,0,9767.537,25.172,1
24.801000000006752,1.564,5.81637,Clear,0,9767.116,25.173,1
24.90099999999802,1.626,5.87836,Clear,0,9766.695,25.173,1
25.00100000000384,1.818,6.06846,Clear,0,9766.274,25.173,1
25.101000000009662,2.086,6.33659,Clear,0,9765.853,25.174,1
25.20100000000093,1.684,5.93519,Clear,0,9765.432,25.174,1
25.301000000006752,1.83,6.08047,Clear,0,9765.011,25.174,1
25.40099999999802,1.912,6.16274,Clear,0,9764.591,25.175,1
25.50100000000384,1.78,6.03053,Clear,0,9764.17,25.175,1
25.601000000009662,1.926,6.1769,Clear,0,9763.749,25.175,1
25.70100000000093,1.92,6.17109,Clear,0,9763.328,25.176,1
25.801000000006752,2.017,6.26779,Clear,0,9762.907,25.176,1
25.90099999999802,2.052,6.30327,Clear,0,9762.486,25.176,1
26.00100000000384,1.985,6.23597,Clear,0,9762.065,25.177,1
26.101000000009662,1.925,6.17449,Clear,0,9761.644,25.177,1
26.20100000000093,1.835,6.08483,Clear,0,9761.223,25.177,1
26.301000000006752,2.101,6.35125,Clear,0,9760.802,25.177,1
26.40099999999802,1.613,5.86293,Clear,0,9760.382,25.178,1
26.50100000000384,1.967,6.21744,Clear,0,9759.961,25.178,1
