satellite, 38337 GCOM W1 / JPN
catalogue, 1 NORAD
track, 15917680
variability, 2 Periodic
variability_period, 1.4990976
npoints, 997
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2019-05-28,23:26:34.986000,4.257,4.74375,Clear,0,988.161,112.012,8
2019-05-28,23:26:35.086000,4.856,5.3411,Clear,0,987.677,111.979,8
2019-05-28,23:26:35.186000,5.334,5.81696,Clear,0,987.194,111.946,8
2019-05-28,23:26:35.286000,5.754,6.23469,Clear,0,986.711,111.913,8
2019-05-28,23:26:35.386000,5.771,6.24988,Clear,0,986.228,111.88,8
2019-05-28,23:26:35.486000,5.975,6.45223,Clear,0,985.746,111.847,8
2019-05-28,23:26:35.586000,6.129,6.60429,Clear,0,985.264,111.814,8
2019-05-28,23:26:35.686000,6.213,6.68577,Clear,0,984.782,111.781,8
2019-05-28,23:26:35.786000,6.313,6.78441,Clear,0,984.301,111.748,8
2019-05-28,23:26:35.886000,6.279,6.74745,Clear,0,983.819,111.715,8
2019-05-28,23:26:35.986000,6.407,6.87407,Clear,0,983.338,111.682,8
2019-05-28,23:26:36.086000,6.117,6.58181,Clear,0,982.858,111.648,8
2019-05-28,23:26:36.186000,5.053,5.51602,Clear,0,982.377,111.615,8
2019-05-28,23:26:36.286000,4.355,4.81569,Clear,0,981.897,111.582,8
2019-05-28,23:26:36.386000,4.038,4.49667,Clear,0,981.417,111.549,8
2019-05-28,23:26:36.486000,4.234,4.69078,Clear,0,980.938,111.515,8
2019-05-28,23:26:36.586000,4.835,5.28987,Clear,0,980.459,111.482,8
2019-05-28,23:26:36.686000,5.227,5.68011,Clear,0,979.98,111.449,8
2019-05-28,23:26:36.786000,5.652,6.10298,Clear,0,979.501,111.415,8
2019-05-28,23:26:36.886000,5.878,6.32696,Clear,0,979.023,111.382,8
2019-05-28,23:26:36.986000,5.974,6.42053,Clear,0,978.545,111.348,8
2019-05-28,23:26:37.086000,6.226,6.67081,Clear,0,978.067,111.315,8
2019-05-28,23:26:37.186000,6.231,6.67413,Clear,0,977.59,111.281,8
2019-05-28,23:26:37.286000,6.236,6.67695,Clear,0,977.112,111.248,8
2019-05-28,23:26:37.386000,6.485,6.92366,Clear,0,976.636,111.214,8
2019-05-28,23:26:37.486000,6.336,6.77249,Clear,0,976.159,111.18,8
2019-05-28,23:26:37.586000,6.206,6.64102,Clear,0,975.683,111.147,8
