satellite, 43915 YUNHAI 2 6 / PRC
catalogue, 1 NORAD
track, 15996606
variability, 1 Aperiodic
variability_period, 0.0
npoints, 669
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2019-06-24,22:16:18.494000,6.74,6.20374,Clear,0,823.321,83.53,7
2019-06-24,22:16:18.594000,6.78,6.24452,Clear,0,823.442,83.562,7
2019-06-24,22:16:18.694000,6.77,6.23637,Clear,0,823.564,83.594,7
2019-06-24,22:16:18.794000,6.71,6.17699,Clear,0,823.686,83.626,7
2019-06-24,22:16:18.894000,6.805,6.27259,Clear,0,823.809,83.658,7
2019-06-24,22:16:18.994000,6.727,6.19568,Clear,0,823.933,83.69,7
2019-06-24,22:16:19.094000,6.673,6.14251,Clear,0,824.057,83.722,7
2019-06-24,22:16:19.194000,6.756,6.22699,Clear,0,824.181,83.754,7
2019-06-24,22:16:19.294000,6.704,6.17447,Clear,0,824.307,83.786,7
2019-06-24,22:16:19.394000,6.781,6.25312,Clear,0,824.432,83.818,7
2019-06-24,22:16:19.494000,6.739,6.21156,Clear,0,824.558,83.85,7
2019-06-24,22:16:19.594000,6.766,6.24008,Clear,0,824.685,83.882,7
2019-06-24,22:16:19.694000,6.682,6.1573,Clear,0,824.812,83.914,7
2019-06-24,22:16:19.794000,6.696,6.17237,Clear,0,824.94,83.946,7
2019-06-24,22:16:19.894000,6.746,6.22311,Clear,0,825.068,83.978,7
2019-06-24,22:16:19.994000,6.683,6.16059,Clear,0,825.197,84.01,7
2019-06-24,22:16:20.094000,6.773,6.25073,Clear,0,825.326,84.042,7
2019-06-24,22:16:20.194000,6.681,6.16002,Clear,0,825.456,84.074,7
2019-06-24,22:16:20.294000,6.666,6.14644,Clear,0,825.587,84.105,7
2019-06-24,22:16:20.394000,6.729,6.21041,Clear,0,825.717,84.137,7
2019-06-24,22:16:20.494000,6.658,6.14015,Clear,0,825.849,84.169,7
2019-06-24,22:16:21.096000,6.669,6.15552,Clear,0,826.651,84.361,7
2019-06-24,22:16:21.196000,6.785,6.27282,Clear,0,826.786,84.393,7
2019-06-24,22:16:21.296000,6.695,6.18387,Clear,0,826.922,84.425,7
2019-06-24,22:16:21.396000,6.716,6.20597,Clear,0,827.058,84.457,7
2019-06-24,22:16:21.496000,6.83,6.32127,Clear,0,827.195,84.489,7
2019-06-24,22:16:21.596000,6.771,6.2628,Clear,0,827.332,84.52,7
2019-06-24,22:16:21.696000,6.729,6.22243,Clear,0,827.469,84.552,7
2019-06-24,22:16:21.796000,6.805,6.29901,Clear,0,827.608,84.584,7
2019-06-24,22:16:21.896000,6.749,6.24384,Clear,0,827.746,84.616,7
2019-06-24,22:16:21.996000,6.69,6.18613,Clear,0,827.886,84.648,7
2019-06-24,22:16:22.096000,6.829,6.32641,Clear,0,828.025,84.679,7
2019-06-24,22:16:22.196000,6.757,6.25413,Clear,0,828.166,84.711,7
2019-06-24,22:16:22.296000,6.693,6.1908,Clear,0,828.307,84.743,7
2019-06-24,22:16:22.396000,6.705,6.20387,Clear,0,828.448,84.775,7
2019-06-24,22:16:22.496000,6.787,6.2866,Clear,0,828.59,84.806,7
2019-06-24,22:16:22.596000,6.889,6.38963,Clear,0,828.732,84.838,7
2019-06-24,22:16:22.696000,6.83,6.33208,Clear,0,828.875,84.87,7
2019-06-24,22:16:22.796000,6.743,6.24545,Clear,0,829.018,84.902,7
2019-06-24,22:16:22.896000,6.752,6.25568,Clear,0,829.162,84.933,7
2019-06-24,22:16:22.996000,6.713,6.21773,Clear,0,829.307,84.965,7
2019-06-24,22:16:23.096000,6.723,6.22894,Clear,0,829.452,84.997,7
2019-06-24,22:16:23.196000,6.797,6.30396,Clear,0,829.597,85.029,7
2019-06-24,22:16:23.296000,6.812,6.32036,Clear,0,829.743,85.06,7
2019-06-24,22:16:23.396000,6.681,6.18955,Clear,0,829.89,85.092,7
2019-06-24,22:16:23.496000,6.563,6.07234,Clear,0,830.037,85.124,7
2019-06-24,22:16:23.596000,6.677,6.18677,Clear,0,830.184,85.155,7
2019-06-24,22:16:23.696000,6.825,6.33638,Clear,0,830.332,85.187,7
2019-06-24,22:16:23.796000,6.696,6.20815,Clear,0,830.481,85.219,7
2019-06-24,22:16:23.896000,6.65,6.16339,Clear,0,830.63,85.25,7
2019-06-24,22:16:23.996000,6.646,6.16014,Clear,0,830.78,85.282,7
2019-06-24,22:16:24.096000,6.66,6.175,Clear,0,830.93,85.314,7
2019-06-24,22:16:24.196000,6.683,6.19886,Clear,0,831.08,85.345,7
2019-06-24,22:16:24.296000,6.667,6.18384,Clear,0,831.232,85.377,7
2019-06-24,22:16:24.396000,6.763,6.28082,Clear,0,831.383,85.408,7
2019-06-24,22:16:24.496000,6.729,6.24813,Clear,0,831.535,85.44,7
2019-06-24,22:16:24.596000,6.718,6.23811,Clear,0,831.688,85.472,7
2019-06-24,22:16:24.696000,6.664,6.18512,Clear,0,831.841,85.503,7
