satellite, 41183 ORBCOMM FM 118 / US
catalogue, 1 NORAD
track, 16134776
variability, 0 Not variable
variability_period, 0.0
npoints, 500
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2019-08-15,00:42:14.195000,6.454,5.76023,Clear,0,962.596,40.48,7
2019-08-15,00:42:14.295000,6.436,5.74178,Clear,0,962.712,40.509,7
2019-08-15,00:42:14.395000,6.487,5.79439,Clear,0,962.828,40.538,7
2019-08-15,00:42:14.495000,6.451,5.75778,Clear,0,962.945,40.568,7
2019-08-15,00:42:14.595000,6.45,5.75664,Clear,0,963.063,40.597,7
2019-08-15,00:42:14.695000,6.436,5.74353,Clear,0,963.18,40.626,7
2019-08-15,00:42:14.795000,6.437,5.74486,Clear,0,963.299,40.656,7
2019-08-15,00:42:14.895000,6.466,5.77469,Clear,0,963.417,40.685,7
2019-08-15,00:42:14.995000,6.464,5.77305,Clear,0,963.537,40.714,7
2019-08-15,00:42:15.095000,6.438,5.74841,Clear,0,963.656,40.744,7
2019-08-15,00:42:15.195000,6.434,5.74355,Clear,0,963.776,40.773,7
2019-08-15,00:42:15.295000,6.407,5.71812,Clear,0,963.897,40.802,7
2019-08-15,00:42:15.395000,6.427,5.7384,Clear,0,964.018,40.832,7
2019-08-15,00:42:15.495000,6.457,5.76849,Clear,0,964.139,40.861,7
2019-08-15,00:42:15.595000,6.492,5.80364,Clear,0,964.261,40.89,7
2019-08-15,00:42:15.695000,6.494,5.80701,Clear,0,964.384,40.92,7
2019-08-15,00:42:15.795000,6.524,5.83652,Clear,0,964.507,40.949,7
2019-08-15,00:42:15.895000,6.558,5.87213,Clear,0,964.63,40.978,7
2019-08-15,00:42:15.995000,6.467,5.78093,Clear,0,964.754,41.008,7
2019-08-15,00:42:16.095000,6.503,5.81797,Clear,0,964.878,41.037,7
2019-08-15,00:42:16.195000,6.467,5.78239,Clear,0,965.003,41.067,7
