satellite, 43872 CZ-11 R/B / PRC
catalogue, 1 NORAD
track, 16339733
variability, 1 Aperiodic
variability_period, 0.0
npoints, 454
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2019-09-18,17:31:33.096000,6.395,5.74409,Clear,0,903.11,60.754,4
2019-09-18,17:31:33.196000,6.409,5.75794,Clear,0,902.869,60.778,4
2019-09-18,17:31:33.296000,6.326,5.67516,Clear,0,902.628,60.802,4
2019-09-18,17:31:33.396000,6.384,5.7321,Clear,0,902.388,60.827,4
2019-09-18,17:31:33.496000,6.189,5.53686,Clear,0,902.149,60.851,4
2019-09-18,17:31:33.596000,6.242,5.58955,Clear,0,901.91,60.875,4
2019-09-18,17:31:33.696000,6.242,5.59044,Clear,0,901.671,60.9,4
2019-09-18,17:31:33.796000,6.404,5.7514,Clear,0,901.433,60.924,4
2019-09-18,17:31:33.896000,6.372,5.71931,Clear,0,901.196,60.949,4
2019-09-18,17:31:33.996000,6.263,5.61004,Clear,0,900.958,60.973,4
2019-09-18,17:31:34.096000,6.172,5.51793,Clear,0,900.722,60.998,4
2019-09-18,17:31:34.196000,6.261,5.60709,Clear,0,900.486,61.023,4
2019-09-18,17:31:34.296000,6.243,5.58876,Clear,0,900.25,61.047,4
2019-09-18,17:31:34.396000,6.274,5.61847,Clear,0,900.015,61.072,4
2019-09-18,17:31:34.496000,6.346,5.69077,Clear,0,899.781,61.096,4
2019-09-18,17:31:34.596000,5.053,4.39836,Clear,0,899.547,61.121,4
2019-09-18,17:31:34.696000,5.598,4.94266,Clear,0,899.313,61.146,4
2019-09-18,17:31:34.796000,6.227,5.57111,Clear,0,899.08,61.171,4
2019-09-18,17:31:34.896000,6.205,5.54917,Clear,0,898.848,61.195,4
2019-09-18,17:31:34.996000,5.932,5.27612,Clear,0,898.616,61.22,4
2019-09-18,17:31:35.096000,5.72,5.06294,Clear,0,898.384,61.245,4
2019-09-18,17:31:35.196000,6.146,5.48936,Clear,0,898.153,61.27,4
2019-09-18,17:31:35.296000,6.326,5.66882,Clear,0,897.922,61.295,4
2019-09-18,17:31:35.396000,6.376,5.71845,Clear,0,897.692,61.32,4
2019-09-18,17:31:35.496000,6.206,5.54775,Clear,0,897.463,61.345,4
2019-09-18,17:31:35.596000,6.179,5.52089,Clear,0,897.234,61.37,4
2019-09-18,17:31:35.696000,6.327,5.6685,Clear,0,897.006,61.395,4
2019-09-18,17:31:35.796000,6.289,5.63122,Clear,0,896.778,61.42,4
2019-09-18,17:31:35.896000,5.979,5.31992,Clear,0,896.55,61.445,4
2019-09-18,17:31:35.996000,5.97,5.31085,Clear,0,896.323,61.47,4
2019-09-18,17:31:36.096000,5.809,5.15044,Clear,0,896.097,61.495,4
2019-09-18,17:31:36.196000,5.9,5.23982,Clear,0,895.871,61.52,4
2019-09-18,17:31:36.296000,5.966,5.30634,Clear,0,895.645,61.545,4
2019-09-18,17:31:36.396000,5.963,5.30273,Clear,0,895.42,61.57,4
2019-09-18,17:31:36.496000,5.74,5.08,Clear,0,895.196,61.595,4
2019-09-18,17:31:36.596000,5.373,4.71173,Clear,0,894.972,61.621,4
2019-09-18,17:31:36.696000,4.606,3.94541,Clear,0,894.749,61.646,4
2019-09-18,17:31:36.796000,4.578,3.91647,Clear,0,894.526,61.671,4
2019-09-18,17:31:36.896000,5.916,5.25475,Clear,0,894.304,61.697,4
2019-09-18,17:31:36.996000,5.879,5.21707,Clear,0,894.082,61.722,4
2019-09-18,17:31:37.096000,5.802,5.13955,Clear,0,893.86,61.747,4
2019-09-18,17:31:37.196000,5.968,5.30588,Clear,0,893.64,61.773,4
2019-09-18,17:31:37.296000,6.033,5.3713,Clear,0,893.419,61.798,4
2019-09-18,17:31:37.396000,6.286,5.62306,Clear,0,893.2,61.824,4
2019-09-18,17:31:37.496000,6.185,5.52244,Clear,0,892.98,61.849,4
2019-09-18,17:31:37.596000,6.254,5.591,Clear,0,892.762,61.875,4
2019-09-18,17:31:37.696000,6.027,5.3635,Clear,0,892.543,61.9,4
2019-09-18,17:31:37.796000,6.127,5.46312,Clear,0,892.326,61.926,4
2019-09-18,17:31:37.896000,6.421,5.75676,Clear,0,892.108,61.951,4
2019-09-18,17:31:37.996000,6.281,5.61738,Clear,0,891.892,61.977,4
2019-09-18,17:31:38.096000,6.456,5.79174,Clear,0,891.676,62.002,4
2019-09-18,17:31:38.196000,6.439,5.77514,Clear,0,891.46,62.028,4
2019-09-18,17:31:38.296000,6.466,5.80107,Clear,0,891.245,62.054,4
2019-09-18,17:31:38.396000,6.498,5.8327,Clear,0,891.03,62.079,4
2019-09-18,17:31:38.496000,6.458,5.7928,Clear,0,890.816,62.105,4
2019-09-18,17:31:38.596000,6.407,5.74239,Clear,0,890.603,62.131,4
2019-09-18,17:31:38.696000,6.414,5.74791,Clear,0,890.39,62.157,4
2019-09-18,17:31:38.796000,6.413,5.74725,Clear,0,890.177,62.183,4
2019-09-18,17:31:38.896000,6.461,5.79477,Clear,0,889.965,62.208,4
2019-09-18,17:31:38.996000,6.734,6.06764,Clear,0,889.754,62.234,4
2019-09-18,17:31:39.096000,6.612,5.94537,Clear,0,889.543,62.26,4
2019-09-18,17:31:39.196000,6.522,5.85526,Clear,0,889.332,62.286,4
2019-09-18,17:31:39.296000,6.703,6.03565,Clear,0,889.122,62.312,4
2019-09-18,17:31:39.396000,6.531,5.86443,Clear,0,888.913,62.338,4
2019-09-18,17:31:39.496000,6.646,5.97876,Clear,0,888.704,62.364,4
2019-09-18,17:31:39.596000,6.552,5.88443,Clear,0,888.496,62.39,4
2019-09-18,17:31:39.696000,6.627,5.95935,Clear,0,888.288,62.416,4
2019-09-18,17:31:39.796000,6.541,5.87315,Clear,0,888.08,62.442,4
2019-09-18,17:31:39.896000,6.812,6.14352,Clear,0,887.874,62.468,4
2019-09-18,17:31:39.996000,6.715,6.04686,Clear,0,887.667,62.494,4
2019-09-18,17:31:40.096000,6.496,5.82743,Clear,0,887.462,62.521,4
2019-09-18,17:31:40.196000,6.677,6.00832,Clear,0,887.256,62.547,4
2019-09-18,17:31:40.296000,6.595,5.92597,Clear,0,887.052,62.573,4
2019-09-18,17:31:40.396000,6.5,5.83084,Clear,0,886.848,62.599,4
2019-09-18,17:31:40.496000,6.526,5.85658,Clear,0,886.644,62.625,4
2019-09-18,17:31:40.596000,6.704,6.0335,Clear,0,886.441,62.652,4
2019-09-18,17:31:40.696000,6.723,6.05289,Clear,0,886.238,62.678,4
2019-09-18,17:31:40.796000,6.766,6.09572,Clear,0,886.036,62.704,4
2019-09-18,17:31:40.896000,6.719,6.04912,Clear,0,885.835,62.731,4
2019-09-18,17:31:40.996000,6.659,5.9888,Clear,0,885.634,62.757,4
2019-09-18,17:31:41.096000,6.715,6.0436,Clear,0,885.433,62.784,4
2019-09-18,17:31:41.196000,6.746,6.07463,Clear,0,885.233,62.81,4
2019-09-18,17:31:41.296000,6.701,6.02997,Clear,0,885.034,62.836,4
2019-09-18,17:31:41.396000,6.671,6.00001,Clear,0,884.835,62.863,4
2019-09-18,17:31:41.496000,6.648,5.97698,Clear,0,884.637,62.889,4
2019-09-18,17:31:41.596000,6.657,5.98576,Clear,0,884.439,62.916,4
2019-09-18,17:31:41.696000,6.848,6.1756,Clear,0,884.242,62.943,4
2019-09-18,17:31:41.796000,6.713,6.04067,Clear,0,884.045,62.969,4
2019-09-18,17:31:41.896000,6.646,5.97393,Clear,0,883.849,62.996,4
2019-09-18,17:31:41.996000,6.582,5.91018,Clear,0,883.653,63.022,4
2019-09-18,17:31:42.096000,6.697,6.02477,Clear,0,883.458,63.049,4
2019-09-18,17:31:42.698000,6.625,5.95223,Clear,0,882.294,63.21,4
2019-09-18,17:31:42.798000,6.443,5.7698,Clear,0,882.103,63.237,4
2019-09-18,17:31:42.898000,6.676,6.00157,Clear,0,881.912,63.264,4
2019-09-18,17:31:42.998000,6.706,6.03158,Clear,0,881.722,63.291,4
2019-09-18,17:31:43.098000,6.525,5.85132,Clear,0,881.532,63.318,4
2019-09-18,17:31:43.198000,6.734,6.06001,Clear,0,881.342,63.345,4
2019-09-18,17:31:43.298000,6.521,5.84721,Clear,0,881.154,63.372,4
2019-09-18,17:31:43.398000,6.447,5.7731,Clear,0,880.966,63.399,4
2019-09-18,17:31:43.498000,6.62,5.94467,Clear,0,880.778,63.426,4
2019-09-18,17:31:43.598000,6.323,5.6479,Clear,0,880.591,63.453,4
2019-09-18,17:31:43.698000,6.471,5.79592,Clear,0,880.404,63.48,4
2019-09-18,17:31:43.798000,6.441,5.76644,Clear,0,880.218,63.507,4
2019-09-18,17:31:43.898000,6.562,5.88708,Clear,0,880.033,63.534,4
2019-09-18,17:31:43.998000,6.389,5.71375,Clear,0,879.848,63.561,4
2019-09-18,17:31:44.098000,6.372,5.69673,Clear,0,879.663,63.588,4
2019-09-18,17:31:44.198000,6.456,5.78002,Clear,0,879.479,63.615,4
2019-09-18,17:31:44.298000,6.457,5.78087,Clear,0,879.296,63.643,4
2019-09-18,17:31:44.398000,6.457,5.78115,Clear,0,879.113,63.67,4
2019-09-18,17:31:44.498000,6.377,5.70127,Clear,0,878.931,63.697,4
2019-09-18,17:31:44.598000,6.321,5.64446,Clear,0,878.749,63.724,4
2019-09-18,17:31:44.698000,6.281,5.60541,Clear,0,878.568,63.752,4
2019-09-18,17:31:44.798000,6.216,5.53947,Clear,0,878.387,63.779,4
