satellite, 7147 DELTA 1 DEB / US
catalogue, 1 NORAD
track, 16924368
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1177
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2019-12-03,00:47:20.195000,7.208,8.69616,Clear,0,2025.708,87.453,4
2019-12-03,00:47:20.295000,6.935,8.42309,Clear,0,2025.342,87.445,4
2019-12-03,00:47:20.395000,7.106,8.59321,Clear,0,2024.975,87.437,4
2019-12-03,00:47:20.495000,7.335,8.82212,Clear,0,2024.609,87.43,4
2019-12-03,00:47:20.595000,7.212,8.69745,Clear,0,2024.243,87.422,4
2019-12-03,00:47:20.695000,7.211,8.69681,Clear,0,2023.877,87.414,4
2019-12-03,00:47:20.795000,7.024,8.50941,Clear,0,2023.511,87.406,4
2019-12-03,00:47:20.895000,6.841,8.32562,Clear,0,2023.145,87.398,4
2019-12-03,00:47:20.995000,7.206,8.69039,Clear,0,2022.78,87.391,4
2019-12-03,00:47:21.095000,7.028,8.51104,Clear,0,2022.414,87.383,4
2019-12-03,00:47:21.195000,6.91,8.39253,Clear,0,2022.049,87.375,4
2019-12-03,00:47:21.295000,6.945,8.42709,Clear,0,2021.683,87.367,4
2019-12-03,00:47:21.395000,7.088,8.57007,Clear,0,2021.318,87.36,4
2019-12-03,00:47:21.495000,6.555,8.03578,Clear,0,2020.953,87.352,4
2019-12-03,00:47:21.595000,6.645,8.12584,Clear,0,2020.589,87.344,4
2019-12-03,00:47:21.695000,6.845,8.32516,Clear,0,2020.224,87.336,4
2019-12-03,00:47:21.795000,7.181,8.66137,Clear,0,2019.859,87.329,4
2019-12-03,00:47:21.895000,6.724,8.20303,Clear,0,2019.495,87.321,4
2019-12-03,00:47:21.995000,6.867,8.34545,Clear,0,2019.131,87.313,4
2019-12-03,00:47:22.095000,6.852,8.32974,Clear,0,2018.766,87.305,4
2019-12-03,00:47:22.195000,6.714,8.19207,Clear,0,2018.402,87.297,4
2019-12-03,00:47:22.295000,6.692,8.16928,Clear,0,2018.039,87.29,4
2019-12-03,00:47:22.395000,6.778,8.25486,Clear,0,2017.675,87.282,4
2019-12-03,00:47:22.495000,6.524,8.00033,Clear,0,2017.311,87.274,4
2019-12-03,00:47:22.595000,6.682,8.15669,Clear,0,2016.948,87.266,4
