satellite, 44796 CZ-3B R/B / PRC
catalogue, 1 NORAD
track, 16929825
variability, 2 Periodic
variability_period, 24.68823795
npoints, 609
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2019-12-07,18:59:34.394000,4.369,8.43537,Clear,0,9030.6,21.176,3
2019-12-07,18:59:34.494000,4.307,8.37258,Clear,0,9030.305,21.176,3
2019-12-07,18:59:34.594000,4.609,8.67468,Clear,0,9030.011,21.175,3
2019-12-07,18:59:34.694000,4.531,8.59743,Clear,0,9029.716,21.175,3
2019-12-07,18:59:34.794000,4.312,8.378,Clear,0,9029.422,21.174,3
2019-12-07,18:59:34.894000,4.244,8.31031,Clear,0,9029.127,21.173,3
2019-12-07,18:59:34.994000,4.504,8.5693,Clear,0,9028.832,21.173,3
2019-12-07,18:59:35.094000,4.503,8.56791,Clear,0,9028.538,21.172,3
2019-12-07,18:59:35.194000,4.432,8.49723,Clear,0,9028.243,21.172,3
2019-12-07,18:59:35.294000,4.685,8.74962,Clear,0,9027.949,21.171,3
2019-12-07,18:59:35.394000,4.195,8.25973,Clear,0,9027.654,21.171,3
2019-12-07,18:59:35.494000,4.758,8.82309,Clear,0,9027.36,21.17,3
2019-12-07,18:59:35.594000,4.285,8.35041,Clear,0,9027.065,21.17,3
2019-12-07,18:59:35.694000,4.904,8.96932,Clear,0,9026.771,21.169,3
2019-12-07,18:59:35.794000,4.57,8.63463,Clear,0,9026.476,21.168,3
2019-12-07,18:59:35.894000,4.715,8.77954,Clear,0,9026.182,21.168,3
2019-12-07,18:59:35.994000,4.611,8.6757,Clear,0,9025.887,21.167,3
2019-12-07,18:59:36.094000,4.416,8.4809,Clear,0,9025.593,21.167,3
2019-12-07,18:59:36.194000,4.364,8.42925,Clear,0,9025.298,21.166,3
2019-12-07,18:59:36.294000,4.466,8.52976,Clear,0,9025.003,21.166,3
2019-12-07,18:59:36.394000,4.8,8.8642,Clear,0,9024.709,21.165,3
2019-12-07,18:59:36.494000,4.488,8.55231,Clear,0,9024.414,21.165,3
2019-12-07,18:59:36.594000,4.521,8.58468,Clear,0,9024.12,21.164,3
2019-12-07,18:59:36.694000,4.573,8.6366,Clear,0,9023.825,21.164,3
2019-12-07,18:59:36.794000,4.592,8.65597,Clear,0,9023.531,21.163,3
2019-12-07,18:59:36.894000,4.645,8.7094,Clear,0,9023.236,21.162,3
2019-12-07,18:59:36.994000,4.777,8.84077,Clear,0,9022.942,21.162,3
2019-12-07,18:59:37.094000,4.752,8.81552,Clear,0,9022.647,21.161,3
2019-12-07,18:59:37.194000,4.157,8.22077,Clear,0,9022.353,21.161,3
2019-12-07,18:59:37.294000,4.339,8.40273,Clear,0,9022.058,21.16,3
2019-12-07,18:59:37.394000,4.687,8.75072,Clear,0,9021.764,21.16,3
2019-12-07,18:59:37.494000,4.335,8.39876,Clear,0,9021.469,21.159,3
2019-12-07,18:59:37.594000,4.44,8.50418,Clear,0,9021.175,21.159,3
2019-12-07,18:59:37.694000,4.2,8.26287,Clear,0,9020.88,21.158,3
2019-12-07,18:59:37.794000,4.468,8.5311,Clear,0,9020.586,21.158,3
2019-12-07,18:59:37.894000,4.475,8.53828,Clear,0,9020.291,21.157,3
2019-12-07,18:59:37.994000,4.52,8.58327,Clear,0,9019.997,21.156,3
2019-12-07,18:59:38.094000,4.173,8.23564,Clear,0,9019.702,21.156,3
2019-12-07,18:59:38.194000,4.107,8.16994,Clear,0,9019.408,21.155,3
2019-12-07,18:59:38.294000,4.247,8.31031,Clear,0,9019.113,21.155,3
2019-12-07,18:59:38.394000,4.549,8.61177,Clear,0,9018.819,21.154,3
2019-12-07,18:59:38.494000,4.263,8.3261,Clear,0,9018.524,21.154,3
2019-12-07,18:59:38.594000,3.944,8.00665,Clear,0,9018.23,21.153,3
2019-12-07,18:59:38.694000,3.833,7.89591,Clear,0,9017.935,21.153,3
2019-12-07,18:59:38.794000,4.138,8.20081,Clear,0,9017.641,21.152,3
2019-12-07,18:59:38.894000,4.215,8.27833,Clear,0,9017.346,21.152,3
2019-12-07,18:59:38.994000,4.07,8.13247,Clear,0,9017.052,21.151,3
2019-12-07,18:59:39.094000,3.942,8.00363,Clear,0,9016.757,21.15,3
2019-12-07,18:59:39.194000,4.146,8.20775,Clear,0,9016.463,21.15,3
2019-12-07,18:59:39.294000,4.342,8.40352,Clear,0,9016.168,21.149,3
2019-12-07,18:59:39.394000,3.879,7.94114,Clear,0,9015.874,21.149,3
2019-12-07,18:59:39.494000,3.873,7.93519,Clear,0,9015.579,21.148,3
2019-12-07,18:59:39.594000,3.889,7.95052,Clear,0,9015.285,21.148,3
2019-12-07,18:59:39.694000,3.851,7.91271,Clear,0,9014.99,21.147,3
2019-12-07,18:59:39.794000,3.643,7.7049,Clear,0,9014.696,21.147,3
2019-12-07,18:59:39.894000,3.762,7.82369,Clear,0,9014.401,21.146,3
2019-12-07,18:59:39.994000,3.602,7.66434,Clear,0,9014.107,21.146,3
2019-12-07,18:59:40.094000,3.552,7.61346,Clear,0,9013.812,21.145,3
2019-12-07,18:59:40.194000,3.13,7.1922,Clear,0,9013.518,21.144,3
2019-12-07,18:59:40.294000,3.746,7.80751,Clear,0,9013.223,21.144,3
2019-12-07,18:59:40.394000,3.481,7.54307,Clear,0,9012.929,21.143,3
2019-12-07,18:59:40.494000,3.402,7.46317,Clear,0,9012.635,21.143,3
2019-12-07,18:59:40.594000,3.384,7.44478,Clear,0,9012.34,21.142,3
2019-12-07,18:59:40.694000,3.374,7.4348,Clear,0,9012.046,21.142,3
2019-12-07,18:59:40.794000,3.462,7.52275,Clear,0,9011.751,21.141,3
2019-12-07,18:59:40.894000,3.409,7.46971,Clear,0,9011.457,21.141,3
2019-12-07,18:59:40.994000,3.393,7.45369,Clear,0,9011.162,21.14,3
