satellite, 39475 ATLAS 5 CENTAUR R/B / US
catalogue, 1 NORAD
track, 1714209
variability, 2 Periodic
variability_period, 29.32356
npoints, 977
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-08-24,01:01:12.616000,1.538,2.10522,Clear,0,1094.6,106.732,9
2014-08-24,01:01:12.716000,1.615,2.18193,Clear,0,1094.265,106.724,9
2014-08-24,01:01:12.816000,1.687,2.25291,Clear,0,1093.931,106.716,9
2014-08-24,01:01:12.916000,1.789,2.35366,Clear,0,1093.598,106.708,9
2014-08-24,01:01:13.016000,1.692,2.2563,Clear,0,1093.264,106.7,9
2014-08-24,01:01:13.116000,1.842,2.40445,Clear,0,1092.931,106.692,9
2014-08-24,01:01:13.216000,1.852,2.41418,Clear,0,1092.599,106.685,9
2014-08-24,01:01:13.316000,1.969,2.53017,Clear,0,1092.267,106.677,9
2014-08-24,01:01:13.416000,2.032,2.59338,Clear,0,1091.935,106.669,9
2014-08-24,01:01:13.516000,1.97,2.52951,Clear,0,1091.603,106.661,9
2014-08-24,01:01:13.616000,1.928,2.48734,Clear,0,1091.272,106.653,9
2014-08-24,01:01:13.716000,2.152,2.7098,Clear,0,1090.941,106.645,9
2014-08-24,01:01:13.816000,2.135,2.69206,Clear,0,1090.611,106.637,9
2014-08-24,01:01:13.916000,2.072,2.62814,Clear,0,1090.281,106.629,9
2014-08-24,01:01:14.016000,2.197,2.75148,Clear,0,1089.951,106.621,9
2014-08-24,01:01:14.116000,2.261,2.81563,Clear,0,1089.622,106.613,9
2014-08-24,01:01:14.216000,2.261,2.81476,Clear,0,1089.293,106.606,9
2014-08-24,01:01:14.316000,2.126,2.67858,Clear,0,1088.964,106.598,9
2014-08-24,01:01:14.416000,2.33,2.88236,Clear,0,1088.636,106.59,9
2014-08-24,01:01:14.516000,2.327,2.87778,Clear,0,1088.308,106.582,9
2014-08-24,01:01:14.616000,2.358,2.90819,Clear,0,1087.981,106.574,9
2014-08-24,01:01:14.716000,2.38,2.92893,Clear,0,1087.654,106.566,9
2014-08-24,01:01:14.816000,2.332,2.88143,Clear,0,1087.327,106.558,9
2014-08-24,01:01:14.916000,2.314,2.86168,Clear,0,1087.0,106.55,9
2014-08-24,01:01:15.016000,2.377,2.92355,Clear,0,1086.674,106.542,9
2014-08-24,01:01:15.116000,2.428,2.9735,Clear,0,1086.349,106.534,9
2014-08-24,01:01:15.216000,2.292,2.83721,Clear,0,1086.023,106.526,9
2014-08-24,01:01:15.316000,2.38,2.92354,Clear,0,1085.698,106.517,9
2014-08-24,01:01:15.416000,2.385,2.92765,Clear,0,1085.374,106.509,9
2014-08-24,01:01:15.516000,2.361,2.90403,Clear,0,1085.05,106.501,9
2014-08-24,01:01:15.616000,2.28,2.82183,Clear,0,1084.726,106.493,9
2014-08-24,01:01:16.078000,2.38,2.91784,Clear,0,1083.234,106.456,9
