satellite, 6787 OPS 8364 (DMSP 5B F4) / US
catalogue, 1 NORAD
track, 17181278
variability, 2 Periodic
variability_period, 41.8
npoints, 861
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2020-01-17,15:31:33.795000,5.858,5.18801,Clear,0,824.352,74.789,3
2020-01-17,15:31:33.895000,5.924,5.25531,Clear,0,824.557,74.818,3
2020-01-17,15:31:33.995000,5.911,5.24332,Clear,0,824.764,74.847,3
2020-01-17,15:31:34.095000,5.889,5.22207,Clear,0,824.971,74.875,3
2020-01-17,15:31:34.195000,5.843,5.17744,Clear,0,825.178,74.904,3
2020-01-17,15:31:34.295000,5.854,5.18927,Clear,0,825.387,74.933,3
2020-01-17,15:31:34.395000,5.826,5.16145,Clear,0,825.595,74.962,3
2020-01-17,15:31:34.495000,5.842,5.17903,Clear,0,825.804,74.99,3
2020-01-17,15:31:34.595000,5.858,5.19605,Clear,0,826.014,75.019,3
2020-01-17,15:31:34.695000,5.878,5.21672,Clear,0,826.225,75.048,3
2020-01-17,15:31:34.795000,5.817,5.15666,Clear,0,826.436,75.076,3
2020-01-17,15:31:34.895000,5.855,5.19552,Clear,0,826.647,75.105,3
2020-01-17,15:31:34.995000,5.9,5.2421,Clear,0,826.859,75.134,3
2020-01-17,15:31:35.095000,5.856,5.1991,Clear,0,827.072,75.162,3
2020-01-17,15:31:35.195000,5.92,5.26361,Clear,0,827.285,75.191,3
2020-01-17,15:31:35.295000,5.873,5.21813,Clear,0,827.499,75.219,3
2020-01-17,15:31:35.395000,5.896,5.24192,Clear,0,827.713,75.248,3
2020-01-17,15:31:35.495000,5.874,5.22127,Clear,0,827.928,75.277,3
2020-01-17,15:31:35.595000,6.017,5.36476,Clear,0,828.143,75.305,3
2020-01-17,15:31:35.695000,5.864,5.21263,Clear,0,828.359,75.334,3
2020-01-17,15:31:35.795000,5.934,5.28393,Clear,0,828.576,75.363,3
2020-01-17,15:31:35.895000,5.896,5.24708,Clear,0,828.793,75.391,3
2020-01-17,15:31:35.995000,5.966,5.31837,Clear,0,829.01,75.42,3
2020-01-17,15:31:36.095000,5.928,5.28049,Clear,0,829.229,75.448,3
2020-01-17,15:31:36.195000,5.978,5.33151,Clear,0,829.447,75.477,3
2020-01-17,15:31:36.295000,5.888,5.24314,Clear,0,829.667,75.505,3
2020-01-17,15:31:36.395000,5.896,5.25216,Clear,0,829.886,75.534,3
2020-01-17,15:31:36.495000,5.93,5.28655,Clear,0,830.107,75.563,3
2020-01-17,15:31:36.595000,5.952,5.31003,Clear,0,830.328,75.591,3
2020-01-17,15:31:36.695000,6.072,5.43092,Clear,0,830.549,75.62,3
2020-01-17,15:31:36.795000,6.021,5.3813,Clear,0,830.771,75.648,3
2020-01-17,15:31:36.895000,5.963,5.32418,Clear,0,830.994,75.677,3
2020-01-17,15:31:36.995000,6.018,5.37948,Clear,0,831.217,75.705,3
2020-01-17,15:31:37.095000,6.03,5.39325,Clear,0,831.441,75.734,3
2020-01-17,15:31:37.195000,6.056,5.42019,Clear,0,831.665,75.762,3
2020-01-17,15:31:37.295000,6.05,5.41539,Clear,0,831.89,75.791,3
2020-01-17,15:31:37.395000,6.054,5.42017,Clear,0,832.115,75.819,3
2020-01-17,15:31:37.495000,6.03,5.39724,Clear,0,832.341,75.848,3
2020-01-17,15:31:37.595000,6.0,5.36813,Clear,0,832.568,75.876,3
2020-01-17,15:31:37.695000,6.09,5.45907,Clear,0,832.795,75.904,3
2020-01-17,15:31:37.795000,6.007,5.37687,Clear,0,833.023,75.933,3
2020-01-17,15:31:37.895000,6.054,5.42525,Clear,0,833.251,75.961,3
2020-01-17,15:31:37.995000,6.093,5.46505,Clear,0,833.479,75.99,3
2020-01-17,15:31:38.095000,6.077,5.44984,Clear,0,833.709,76.018,3
2020-01-17,15:31:38.195000,6.117,5.49101,Clear,0,833.938,76.047,3
2020-01-17,15:31:38.295000,6.087,5.46151,Clear,0,834.169,76.075,3
2020-01-17,15:31:38.395000,6.102,5.47786,Clear,0,834.399,76.103,3
2020-01-17,15:31:38.495000,6.122,5.49883,Clear,0,834.631,76.132,3
2020-01-17,15:31:38.595000,6.131,5.50931,Clear,0,834.863,76.16,3
2020-01-17,15:31:38.695000,6.092,5.47112,Clear,0,835.095,76.189,3
2020-01-17,15:31:38.795000,6.089,5.46863,Clear,0,835.328,76.217,3
2020-01-17,15:31:38.895000,6.053,5.43348,Clear,0,835.562,76.245,3
2020-01-17,15:31:38.995000,6.133,5.51543,Clear,0,835.796,76.274,3
2020-01-17,15:31:39.095000,6.089,5.47186,Clear,0,836.031,76.302,3
2020-01-17,15:31:39.195000,6.071,5.45507,Clear,0,836.266,76.33,3
2020-01-17,15:31:39.295000,6.12,5.50503,Clear,0,836.502,76.359,3
2020-01-17,15:31:39.395000,6.038,5.42444,Clear,0,836.738,76.387,3
2020-01-17,15:31:39.495000,6.145,5.53224,Clear,0,836.975,76.415,3
2020-01-17,15:31:39.595000,6.089,5.47689,Clear,0,837.212,76.443,3
2020-01-17,15:31:39.695000,6.147,5.5357,Clear,0,837.45,76.472,3
2020-01-17,15:31:39.795000,6.121,5.51088,Clear,0,837.689,76.5,3
2020-01-17,15:31:39.895000,6.199,5.59025,Clear,0,837.928,76.528,3
2020-01-17,15:31:39.995000,6.093,5.48539,Clear,0,838.167,76.557,3
2020-01-17,15:31:40.095000,6.183,5.57546,Clear,0,838.407,76.585,3
2020-01-17,15:31:40.195000,6.118,5.51164,Clear,0,838.648,76.613,3
2020-01-17,15:31:40.295000,6.114,5.50914,Clear,0,838.889,76.641,3
2020-01-17,15:31:40.395000,6.12,5.51601,Clear,0,839.131,76.669,3
2020-01-17,15:31:40.495000,6.14,5.53768,Clear,0,839.373,76.698,3
2020-01-17,15:31:40.595000,6.239,5.63835,Clear,0,839.616,76.726,3
2020-01-17,15:31:40.695000,6.209,5.60864,Clear,0,839.859,76.754,3
2020-01-17,15:31:40.795000,6.188,5.58851,Clear,0,840.103,76.782,3
2020-01-17,15:31:40.895000,6.117,5.51867,Clear,0,840.347,76.81,3
2020-01-17,15:31:40.995000,6.23,5.63284,Clear,0,840.592,76.839,3
2020-01-17,15:31:41.095000,6.239,5.64258,Clear,0,840.837,76.867,3
2020-01-17,15:31:41.195000,6.199,5.60383,Clear,0,841.083,76.895,3
2020-01-17,15:31:41.295000,6.211,5.61723,Clear,0,841.33,76.923,3
2020-01-17,15:31:41.395000,6.209,5.61607,Clear,0,841.577,76.951,3
2020-01-17,15:31:41.495000,6.197,5.60473,Clear,0,841.824,76.979,3
2020-01-17,15:31:41.595000,6.173,5.58239,Clear,0,842.072,77.007,3
2020-01-17,15:31:41.695000,6.337,5.74742,Clear,0,842.321,77.035,3
2020-01-17,15:31:41.795000,6.21,5.62116,Clear,0,842.57,77.063,3
2020-01-17,15:31:41.895000,6.2,5.61188,Clear,0,842.82,77.092,3
2020-01-17,15:31:41.995000,6.246,5.65879,Clear,0,843.07,77.12,3
2020-01-17,15:31:42.095000,6.131,5.54455,Clear,0,843.321,77.148,3
2020-01-17,15:31:42.195000,6.189,5.60529,Clear,0,843.572,77.176,3
2020-01-17,15:31:42.295000,6.113,5.53015,Clear,0,843.824,77.204,3
2020-01-17,15:31:42.395000,6.011,5.42941,Clear,0,844.076,77.232,3
2020-01-17,15:31:42.495000,5.811,5.22983,Clear,0,844.329,77.26,3
2020-01-17,15:31:42.595000,5.631,5.05127,Clear,0,844.582,77.288,3
2020-01-17,15:31:42.695000,5.347,4.76821,Clear,0,844.836,77.316,3
2020-01-17,15:31:42.795000,5.03,4.45193,Clear,0,845.091,77.344,3
2020-01-17,15:31:42.895000,4.738,4.16087,Clear,0,845.346,77.372,3
2020-01-17,15:31:42.995000,4.495,3.9189,Clear,0,845.601,77.4,3
2020-01-17,15:31:43.095000,4.303,3.72775,Clear,0,845.857,77.428,3
2020-01-17,15:31:43.195000,3.991,3.41714,Clear,0,846.114,77.456,3
2020-01-17,15:31:43.295000,3.95,3.37721,Clear,0,846.371,77.483,3
