satellite, 43437 SENTINEL 3B / ESA
catalogue, 1 NORAD
track, 17504834
variability, 1 Aperiodic
variability_period, 0.0
npoints, 553
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2020-05-13,18:24:21.992000,4.392,4.04951,Clear,0,918.931,80.796,4
2020-05-13,18:24:22.092000,4.481,4.14018,Clear,0,919.125,80.84,4
2020-05-13,18:24:22.192000,4.548,4.20799,Clear,0,919.32,80.884,4
2020-05-13,18:24:22.292000,4.441,4.10186,Clear,0,919.515,80.928,4
2020-05-13,18:24:22.392000,4.568,4.23079,Clear,0,919.711,80.972,4
2020-05-13,18:24:22.492000,4.553,4.21706,Clear,0,919.907,81.016,4
2020-05-13,18:24:22.592000,4.564,4.22894,Clear,0,920.104,81.061,4
2020-05-13,18:24:22.692000,4.544,4.21005,Clear,0,920.301,81.105,4
2020-05-13,18:24:22.792000,4.583,4.25005,Clear,0,920.499,81.149,4
2020-05-13,18:24:22.892000,4.608,4.27554,Clear,0,920.697,81.193,4
2020-05-13,18:24:22.992000,4.61,4.28019,Clear,0,920.895,81.237,4
2020-05-13,18:24:23.092000,4.689,4.36013,Clear,0,921.095,81.281,4
2020-05-13,18:24:23.192000,4.605,4.27681,Clear,0,921.294,81.325,4
2020-05-13,18:24:23.292000,4.755,4.42836,Clear,0,921.495,81.369,4
2020-05-13,18:24:23.392000,4.737,4.41076,Clear,0,921.695,81.413,4
2020-05-13,18:24:23.492000,4.688,4.36424,Clear,0,921.897,81.457,4
2020-05-13,18:24:23.592000,4.805,4.48172,Clear,0,922.099,81.501,4
2020-05-13,18:24:23.692000,4.817,4.49495,Clear,0,922.301,81.545,4
2020-05-13,18:24:23.792000,4.905,4.58384,Clear,0,922.504,81.589,4
2020-05-13,18:24:23.892000,4.863,4.54272,Clear,0,922.707,81.633,4
2020-05-13,18:24:23.992000,4.977,4.65886,Clear,0,922.911,81.677,4
2020-05-13,18:24:24.092000,4.993,4.67573,Clear,0,923.115,81.72,4
2020-05-13,18:24:24.192000,4.997,4.68107,Clear,0,923.32,81.764,4
2020-05-13,18:24:24.292000,5.047,4.73202,Clear,0,923.525,81.808,4
2020-05-13,18:24:24.392000,5.141,4.82657,Clear,0,923.731,81.852,4
2020-05-13,18:24:24.492000,5.138,4.82606,Clear,0,923.937,81.896,4
2020-05-13,18:24:24.592000,5.27,4.95943,Clear,0,924.144,81.939,4
2020-05-13,18:24:24.692000,5.238,4.92775,Clear,0,924.351,81.983,4
2020-05-13,18:24:24.792000,5.292,4.98326,Clear,0,924.559,82.027,4
2020-05-13,18:24:24.892000,5.266,4.95787,Clear,0,924.767,82.071,4
2020-05-13,18:24:24.992000,5.363,5.05676,Clear,0,924.976,82.114,4
2020-05-13,18:24:25.092000,5.358,5.05283,Clear,0,925.185,82.158,4
2020-05-13,18:24:25.192000,5.296,4.99157,Clear,0,925.395,82.202,4
2020-05-13,18:24:25.292000,5.358,5.05504,Clear,0,925.605,82.245,4
2020-05-13,18:24:25.392000,5.282,4.97977,Clear,0,925.816,82.289,4
2020-05-13,18:24:25.492000,5.191,4.89055,Clear,0,926.028,82.332,4
2020-05-13,18:24:25.592000,5.147,4.84791,Clear,0,926.239,82.376,4
2020-05-13,18:24:25.692000,4.975,4.67663,Clear,0,926.452,82.42,4
2020-05-13,18:24:25.792000,4.962,4.66474,Clear,0,926.664,82.463,4
2020-05-13,18:24:25.892000,4.91,4.61492,Clear,0,926.878,82.507,4
2020-05-13,18:24:25.992000,4.84,4.54596,Clear,0,927.092,82.55,4
2020-05-13,18:24:26.092000,4.84,4.54734,Clear,0,927.306,82.594,4
2020-05-13,18:24:26.192000,4.688,4.39612,Clear,0,927.521,82.637,4
2020-05-13,18:24:26.292000,4.641,4.35034,Clear,0,927.736,82.68,4
2020-05-13,18:24:26.392000,4.554,4.26536,Clear,0,927.952,82.724,4
2020-05-13,18:24:26.492000,4.51,4.2221,Clear,0,928.168,82.767,4
2020-05-13,18:24:26.592000,4.603,4.31633,Clear,0,928.385,82.811,4
2020-05-13,18:24:26.692000,4.526,4.24044,Clear,0,928.602,82.854,4
