satellite, 38109 USA 234 (FIA Radar 2 ?) / US
catalogue, 3 McCants
track, 1755927
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1131
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-08-24,23:31:16.832000,3.169,3.08308,Clear,0,1115.806,69.467,4
2014-08-24,23:31:16.932000,3.227,3.14141,Clear,0,1115.882,69.469,4
2014-08-24,23:31:17.032000,3.123,3.03695,Clear,0,1115.958,69.471,4
2014-08-24,23:31:17.132000,3.107,3.02152,Clear,0,1116.035,69.474,4
2014-08-24,23:31:17.232000,3.139,3.05444,Clear,0,1116.112,69.476,4
2014-08-24,23:31:17.332000,3.151,3.06582,Clear,0,1116.19,69.478,4
2014-08-24,23:31:17.432000,3.157,3.07167,Clear,0,1116.268,69.48,4
2014-08-24,23:31:17.532000,3.193,3.10791,Clear,0,1116.347,69.482,4
2014-08-24,23:31:17.632000,3.172,3.08812,Clear,0,1116.426,69.484,4
2014-08-24,23:31:17.732000,3.073,2.98916,Clear,0,1116.505,69.486,4
2014-08-24,23:31:17.832000,3.213,3.12888,Clear,0,1116.585,69.489,4
2014-08-24,23:31:17.932000,3.192,3.10775,Clear,0,1116.665,69.491,4
2014-08-24,23:31:18.032000,3.139,3.05501,Clear,0,1116.746,69.493,4
2014-08-24,23:31:18.132000,3.222,3.13767,Clear,0,1116.827,69.495,4
2014-08-24,23:31:18.232000,3.075,2.99172,Clear,0,1116.909,69.498,4
2014-08-24,23:31:18.332000,3.128,3.04476,Clear,0,1116.991,69.5,4
2014-08-24,23:31:18.432000,3.156,3.07277,Clear,0,1117.074,69.502,4
2014-08-24,23:31:18.532000,3.123,3.03965,Clear,0,1117.157,69.504,4
2014-08-24,23:31:18.632000,3.186,3.10275,Clear,0,1117.24,69.507,4
2014-08-24,23:31:18.732000,3.136,3.05441,Clear,0,1117.324,69.509,4
2014-08-24,23:31:18.832000,3.1,3.01793,Clear,0,1117.408,69.511,4
2014-08-24,23:31:18.932000,3.146,3.06347,Clear,0,1117.493,69.513,4
2014-08-24,23:31:19.032000,3.227,3.14471,Clear,0,1117.578,69.516,4
2014-08-24,23:31:19.132000,3.099,3.01724,Clear,0,1117.664,69.518,4
2014-08-24,23:31:19.232000,3.189,3.10785,Clear,0,1117.75,69.52,4
2014-08-24,23:31:19.332000,3.163,3.08215,Clear,0,1117.836,69.523,4
2014-08-24,23:31:19.432000,3.127,3.04627,Clear,0,1117.923,69.525,4
2014-08-24,23:31:19.532000,3.174,3.09306,Clear,0,1118.01,69.527,4
2014-08-24,23:31:19.632000,3.195,3.114,Clear,0,1118.098,69.53,4
2014-08-24,23:31:19.732000,3.181,3.10141,Clear,0,1118.186,69.532,4
2014-08-24,23:31:19.832000,3.088,3.00794,Clear,0,1118.275,69.535,4
2014-08-24,23:31:19.932000,3.096,3.01612,Clear,0,1118.364,69.537,4
2014-08-24,23:31:20.032000,3.184,3.10398,Clear,0,1118.453,69.539,4
2014-08-24,23:31:20.132000,3.118,3.0384,Clear,0,1118.543,69.542,4
2014-08-24,23:31:20.232000,3.138,3.05933,Clear,0,1118.634,69.544,4
2014-08-24,23:31:20.332000,3.1,3.02056,Clear,0,1118.724,69.547,4
2014-08-24,23:31:20.432000,3.011,2.93229,Clear,0,1118.816,69.549,4
2014-08-24,23:31:20.532000,3.098,3.01909,Clear,0,1118.907,69.551,4
2014-08-24,23:31:20.632000,3.119,3.03948,Clear,0,1118.999,69.554,4
2014-08-24,23:31:20.732000,3.179,3.10094,Clear,0,1119.092,69.556,4
2014-08-24,23:31:20.832000,3.188,3.10967,Clear,0,1119.185,69.559,4
2014-08-24,23:31:20.932000,3.193,3.11466,Clear,0,1119.278,69.561,4
2014-08-24,23:31:21.032000,3.067,2.98896,Clear,0,1119.372,69.564,4
2014-08-24,23:31:21.132000,3.1,3.02336,Clear,0,1119.467,69.566,4
2014-08-24,23:31:21.232000,3.012,2.9354,Clear,0,1119.561,69.569,4
2014-08-24,23:31:21.332000,3.147,3.07011,Clear,0,1119.656,69.571,4
2014-08-24,23:31:21.432000,3.061,2.98436,Clear,0,1119.752,69.574,4
2014-08-24,23:31:21.532000,3.055,2.97839,Clear,0,1119.848,69.576,4
2014-08-24,23:31:21.632000,3.069,2.99278,Clear,0,1119.944,69.579,4
2014-08-24,23:31:21.732000,3.158,3.0822,Clear,0,1120.041,69.582,4
2014-08-24,23:31:21.832000,3.158,3.08169,Clear,0,1120.139,69.584,4
2014-08-24,23:31:21.932000,3.142,3.0662,Clear,0,1120.236,69.587,4
2014-08-24,23:31:22.032000,3.123,3.04663,Clear,0,1120.334,69.589,4
2014-08-24,23:31:22.132000,3.055,2.98041,Clear,0,1120.433,69.592,4
2014-08-24,23:31:22.232000,3.059,2.98418,Clear,0,1120.532,69.595,4
2014-08-24,23:31:22.332000,3.178,3.10298,Clear,0,1120.632,69.597,4
2014-08-24,23:31:22.432000,3.245,3.17013,Clear,0,1120.731,69.6,4
2014-08-24,23:31:22.532000,3.238,3.16371,Clear,0,1120.832,69.602,4
2014-08-24,23:31:22.632000,3.117,3.04336,Clear,0,1120.933,69.605,4
2014-08-24,23:31:22.732000,3.156,3.08216,Clear,0,1121.034,69.608,4
2014-08-24,23:31:22.832000,3.144,3.06989,Clear,0,1121.135,69.61,4
2014-08-24,23:31:22.932000,3.146,3.07334,Clear,0,1121.237,69.613,4
2014-08-24,23:31:23.032000,3.074,3.00074,Clear,0,1121.34,69.616,4
2014-08-24,23:31:23.132000,3.183,3.1098,Clear,0,1121.443,69.619,4
2014-08-24,23:31:23.232000,3.183,3.10949,Clear,0,1121.546,69.621,4
2014-08-24,23:31:23.332000,3.152,3.07854,Clear,0,1121.65,69.624,4
2014-08-24,23:31:23.432000,3.102,3.02971,Clear,0,1121.754,69.627,4
2014-08-24,23:31:23.532000,3.088,3.01589,Clear,0,1121.859,69.629,4
2014-08-24,23:31:23.632000,3.185,3.11265,Clear,0,1121.964,69.632,4
2014-08-24,23:31:23.732000,3.152,3.07956,Clear,0,1122.069,69.635,4
2014-08-24,23:31:23.832000,3.087,3.01625,Clear,0,1122.175,69.638,4
