satellite, 43260 GAOFEN 1-03 / PRC
catalogue, 1 NORAD
track, 17598140
variability, 0 Not variable
variability_period, 0.0
npoints, 622
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2020-06-03,19:34:10.194000,6.413,5.12129,Clear,0,651.726,66.435,2
2020-06-03,19:34:10.294000,6.423,5.13103,Clear,0,651.668,66.499,2
2020-06-03,19:34:10.394000,6.431,5.14006,Clear,0,651.61,66.564,2
2020-06-03,19:34:10.494000,6.497,5.20702,Clear,0,651.553,66.628,2
2020-06-03,19:34:10.594000,6.392,5.10206,Clear,0,651.497,66.693,2
2020-06-03,19:34:10.694000,6.429,5.14027,Clear,0,651.442,66.758,2
2020-06-03,19:34:10.794000,6.395,5.10572,Clear,0,651.387,66.823,2
2020-06-03,19:34:10.894000,6.428,5.14033,Clear,0,651.334,66.887,2
2020-06-03,19:34:10.994000,6.506,5.21901,Clear,0,651.281,66.952,2
2020-06-03,19:34:11.094000,6.462,5.17536,Clear,0,651.229,67.017,2
2020-06-03,19:34:11.194000,6.486,5.20019,Clear,0,651.177,67.081,2
2020-06-03,19:34:11.294000,6.545,5.25985,Clear,0,651.127,67.146,2
2020-06-03,19:34:11.394000,6.494,5.20916,Clear,0,651.077,67.211,2
2020-06-03,19:34:11.494000,6.529,5.24514,Clear,0,651.028,67.276,2
2020-06-03,19:34:11.594000,6.462,5.17898,Clear,0,650.98,67.341,2
2020-06-03,19:34:11.694000,6.598,5.3147,Clear,0,650.933,67.405,2
2020-06-03,19:34:11.794000,6.621,5.33881,Clear,0,650.886,67.47,2
2020-06-03,19:34:11.894000,6.561,5.27976,Clear,0,650.841,67.535,2
2020-06-03,19:34:11.994000,6.481,5.20034,Clear,0,650.796,67.6,2
2020-06-03,19:34:12.094000,6.54,5.25952,Clear,0,650.752,67.665,2
2020-06-03,19:34:12.194000,6.563,5.28401,Clear,0,650.709,67.729,2
2020-06-03,19:34:12.294000,6.548,5.26896,Clear,0,650.666,67.794,2
2020-06-03,19:34:12.394000,6.531,5.25256,Clear,0,650.625,67.859,2
2020-06-03,19:34:12.494000,6.522,5.24496,Clear,0,650.584,67.924,2
2020-06-03,19:34:12.594000,6.539,5.26244,Clear,0,650.544,67.989,2
2020-06-03,19:34:12.694000,6.537,5.26068,Clear,0,650.505,68.054,2
2020-06-03,19:34:12.794000,6.488,5.21294,Clear,0,650.466,68.119,2
2020-06-03,19:34:12.894000,6.519,5.24405,Clear,0,650.429,68.184,2
2020-06-03,19:34:12.994000,6.56,5.28548,Clear,0,650.392,68.249,2
2020-06-03,19:34:13.094000,6.505,5.23226,Clear,0,650.356,68.314,2
2020-06-03,19:34:13.194000,6.485,5.21267,Clear,0,650.321,68.379,2
2020-06-03,19:34:13.294000,6.529,5.25689,Clear,0,650.286,68.444,2
2020-06-03,19:34:13.394000,6.536,5.26544,Clear,0,650.253,68.509,2
2020-06-03,19:34:13.494000,6.506,5.23551,Clear,0,650.22,68.574,2
2020-06-03,19:34:13.594000,6.478,5.20934,Clear,0,650.188,68.638,2
2020-06-03,19:34:13.694000,6.494,5.22526,Clear,0,650.157,68.703,2
2020-06-03,19:34:13.794000,6.533,5.26456,Clear,0,650.127,68.768,2
2020-06-03,19:34:13.894000,6.51,5.24316,Clear,0,650.097,68.833,2
2020-06-03,19:34:13.994000,6.544,5.27779,Clear,0,650.068,68.899,2
2020-06-03,19:34:14.094000,6.561,5.29512,Clear,0,650.04,68.964,2
2020-06-03,19:34:14.194000,6.499,5.23417,Clear,0,650.013,69.029,2
2020-06-03,19:34:14.294000,6.525,5.26068,Clear,0,649.987,69.094,2
2020-06-03,19:34:14.394000,6.545,5.28208,Clear,0,649.962,69.159,2
2020-06-03,19:34:14.494000,6.441,5.1781,Clear,0,649.937,69.224,2
2020-06-03,19:34:14.594000,6.496,5.23426,Clear,0,649.913,69.289,2
2020-06-03,19:34:14.694000,6.535,5.27349,Clear,0,649.89,69.354,2
2020-06-03,19:34:14.794000,6.498,5.23795,Clear,0,649.868,69.419,2
2020-06-03,19:34:14.894000,6.519,5.25862,Clear,0,649.846,69.484,2
2020-06-03,19:34:14.994000,6.518,5.25899,Clear,0,649.826,69.549,2
2020-06-03,19:34:15.094000,6.495,5.2373,Clear,0,649.806,69.614,2
2020-06-03,19:34:15.194000,6.559,5.30157,Clear,0,649.787,69.679,2
2020-06-03,19:34:15.294000,6.539,5.28323,Clear,0,649.769,69.744,2
2020-06-03,19:34:15.394000,6.41,5.15412,Clear,0,649.751,69.809,2
2020-06-03,19:34:15.494000,6.405,5.15018,Clear,0,649.735,69.875,2
2020-06-03,19:34:15.594000,6.459,5.20528,Clear,0,649.719,69.94,2
2020-06-03,19:34:15.694000,6.487,5.23352,Clear,0,649.704,70.005,2
2020-06-03,19:34:15.794000,6.444,5.19201,Clear,0,649.69,70.07,2
2020-06-03,19:34:15.894000,6.439,5.18719,Clear,0,649.677,70.135,2
2020-06-03,19:34:15.994000,6.439,5.18838,Clear,0,649.664,70.2,2
2020-06-03,19:34:16.094000,6.327,5.07712,Clear,0,649.652,70.265,2
2020-06-03,19:34:16.194000,6.355,5.1057,Clear,0,649.642,70.33,2
2020-06-03,19:34:16.294000,6.422,5.17392,Clear,0,649.632,70.396,2
2020-06-03,19:34:16.394000,6.48,5.23257,Clear,0,649.622,70.461,2
2020-06-03,19:34:16.494000,6.351,5.10352,Clear,0,649.614,70.526,2
2020-06-03,19:34:16.594000,6.378,5.13187,Clear,0,649.606,70.591,2
2020-06-03,19:34:16.694000,6.378,5.1331,Clear,0,649.599,70.656,2
2020-06-03,19:34:16.794000,6.332,5.08753,Clear,0,649.593,70.721,2
