satellite, 45154 ONEWEB-0049 / UK
catalogue, 1 NORAD
track, 17599975
variability, 1 Aperiodic
variability_period, 0.0
npoints, 595
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2020-06-04,00:26:41.196000,7.264,6.53121,Clear,0,718.177,89.125,8
2020-06-04,00:26:41.296000,7.305,6.57202,Clear,0,718.269,89.086,8
2020-06-04,00:26:41.396000,7.214,6.47971,Clear,0,718.362,89.047,8
2020-06-04,00:26:41.496000,7.149,6.41533,Clear,0,718.455,89.007,8
2020-06-04,00:26:41.596000,7.193,6.45815,Clear,0,718.549,88.968,8
2020-06-04,00:26:41.696000,7.018,6.28277,Clear,0,718.644,88.929,8
2020-06-04,00:26:41.796000,7.138,6.40293,Clear,0,718.74,88.89,8
2020-06-04,00:26:41.896000,7.177,6.44079,Clear,0,718.836,88.851,8
2020-06-04,00:26:41.996000,7.171,6.43482,Clear,0,718.933,88.811,8
2020-06-04,00:26:42.096000,7.014,6.27723,Clear,0,719.031,88.772,8
2020-06-04,00:26:42.196000,7.235,6.49802,Clear,0,719.129,88.733,8
2020-06-04,00:26:42.296000,7.063,6.32542,Clear,0,719.228,88.694,8
2020-06-04,00:26:42.396000,7.066,6.32785,Clear,0,719.328,88.655,8
2020-06-04,00:26:42.496000,7.052,6.31368,Clear,0,719.428,88.616,8
2020-06-04,00:26:42.596000,7.032,6.29272,Clear,0,719.53,88.576,8
2020-06-04,00:26:42.696000,7.077,6.33823,Clear,0,719.631,88.537,8
2020-06-04,00:26:42.796000,7.015,6.27472,Clear,0,719.734,88.498,8
2020-06-04,00:26:42.896000,7.013,6.27266,Clear,0,719.837,88.459,8
2020-06-04,00:26:42.996000,6.864,6.12416,Clear,0,719.941,88.42,8
2020-06-04,00:26:43.096000,6.908,6.16668,Clear,0,720.046,88.381,8
2020-06-04,00:26:43.196000,6.88,6.13865,Clear,0,720.151,88.342,8
2020-06-04,00:26:43.296000,6.92,6.17805,Clear,0,720.257,88.303,8
2020-06-04,00:26:43.396000,6.968,6.22572,Clear,0,720.364,88.264,8
2020-06-04,00:26:43.496000,6.709,5.96696,Clear,0,720.471,88.225,8
2020-06-04,00:26:43.596000,6.905,6.16189,Clear,0,720.579,88.186,8
2020-06-04,00:26:43.696000,6.848,6.1049,Clear,0,720.688,88.147,8
2020-06-04,00:26:43.796000,6.704,5.96034,Clear,0,720.797,88.108,8
2020-06-04,00:26:43.896000,6.809,6.06504,Clear,0,720.907,88.069,8
2020-06-04,00:26:43.996000,6.796,6.05163,Clear,0,721.018,88.03,8
2020-06-04,00:26:44.096000,6.732,5.98709,Clear,0,721.129,87.991,8
2020-06-04,00:26:44.196000,6.766,6.02138,Clear,0,721.242,87.952,8
2020-06-04,00:26:44.296000,6.776,6.02967,Clear,0,721.354,87.914,8
2020-06-04,00:26:44.396000,6.732,5.98599,Clear,0,721.468,87.875,8
2020-06-04,00:26:44.496000,6.835,6.08846,Clear,0,721.582,87.836,8
2020-06-04,00:26:44.596000,6.612,5.86516,Clear,0,721.697,87.797,8
2020-06-04,00:26:44.696000,6.786,6.03858,Clear,0,721.813,87.758,8
2020-06-04,00:26:44.796000,6.602,5.85463,Clear,0,721.929,87.719,8
2020-06-04,00:26:44.896000,6.654,5.90616,Clear,0,722.046,87.68,8
2020-06-04,00:26:44.996000,6.576,5.82843,Clear,0,722.164,87.642,8
2020-06-04,00:26:45.096000,6.561,5.81277,Clear,0,722.282,87.603,8
2020-06-04,00:26:45.196000,6.626,5.87727,Clear,0,722.401,87.564,8
2020-06-04,00:26:45.296000,6.569,5.81969,Clear,0,722.521,87.525,8
2020-06-04,00:26:45.396000,6.564,5.81448,Clear,0,722.641,87.487,8
2020-06-04,00:26:45.496000,6.586,5.83616,Clear,0,722.762,87.448,8
2020-06-04,00:26:45.596000,6.609,5.8585,Clear,0,722.884,87.409,8
2020-06-04,00:26:45.696000,6.626,5.87588,Clear,0,723.006,87.371,8
2020-06-04,00:26:45.796000,6.558,5.80658,Clear,0,723.129,87.332,8
