satellite, 1420 OPS 8480 (TRANSIT 5B-6) / US
catalogue, 1 NORAD
track, 17995903
variability, 0 Not variable
variability_period, 0.0
npoints, 569
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2020-08-05,20:36:51.798000,7.476,7.97946,Clear,0,1255.252,90.415,4
2020-08-05,20:36:51.898000,7.701,8.20605,Clear,0,1255.561,90.445,4
2020-08-05,20:36:51.998000,7.702,8.20844,Clear,0,1255.871,90.476,4
2020-08-05,20:36:52.098000,7.52,8.02685,Clear,0,1256.181,90.506,4
2020-08-05,20:36:52.198000,7.594,8.10266,Clear,0,1256.491,90.536,4
2020-08-05,20:36:52.298000,7.541,8.05134,Clear,0,1256.802,90.566,4
2020-08-05,20:36:52.498000,7.653,8.16469,Clear,0,1257.424,90.627,4
2020-08-05,20:36:52.598000,7.566,8.07912,Clear,0,1257.735,90.657,4
2020-08-05,20:36:52.698000,7.483,7.99699,Clear,0,1258.047,90.687,4
2020-08-05,20:36:52.798000,7.777,8.29236,Clear,0,1258.359,90.717,4
2020-08-05,20:36:52.898000,7.645,8.16109,Clear,0,1258.671,90.747,4
2020-08-05,20:36:52.998000,7.818,8.33632,Clear,0,1258.983,90.777,4
2020-08-05,20:36:53.098000,7.492,8.01139,Clear,0,1259.296,90.808,4
2020-08-05,20:36:53.198000,7.529,8.04869,Clear,0,1259.609,90.838,4
2020-08-05,20:36:53.298000,7.617,8.13753,Clear,0,1259.922,90.868,4
2020-08-05,20:36:53.398000,7.507,8.02887,Clear,0,1260.236,90.898,4
2020-08-05,20:36:53.498000,7.64,8.16338,Clear,0,1260.55,90.928,4
2020-08-05,20:36:53.598000,7.607,8.13085,Clear,0,1260.864,90.958,4
2020-08-05,20:36:53.698000,7.354,7.8791,Clear,0,1261.179,90.988,4
2020-08-05,20:36:53.798000,7.361,7.88718,Clear,0,1261.493,91.018,4
2020-08-05,20:36:53.898000,7.394,7.92169,Clear,0,1261.809,91.048,4
2020-08-05,20:36:53.998000,7.342,7.87133,Clear,0,1262.124,91.078,4
2020-08-05,20:36:54.098000,7.465,7.99447,Clear,0,1262.44,91.108,4
2020-08-05,20:36:54.198000,7.303,7.83376,Clear,0,1262.755,91.138,4
2020-08-05,20:36:54.298000,7.381,7.91283,Clear,0,1263.072,91.168,4
2020-08-05,20:36:54.398000,7.427,7.96032,Clear,0,1263.388,91.198,4
2020-08-05,20:36:54.498000,7.602,8.13562,Clear,0,1263.705,91.228,4
2020-08-05,20:36:54.598000,7.365,7.89967,Clear,0,1264.022,91.258,4
2020-08-05,20:36:54.698000,7.389,7.92615,Clear,0,1264.339,91.288,4
2020-08-05,20:36:54.798000,7.265,7.80307,Clear,0,1264.657,91.318,4
2020-08-05,20:36:54.898000,7.434,7.97286,Clear,0,1264.975,91.347,4
2020-08-05,20:36:54.998000,7.508,8.0484,Clear,0,1265.293,91.377,4
2020-08-05,20:36:55.098000,7.549,8.08976,Clear,0,1265.611,91.407,4
2020-08-05,20:36:55.198000,7.634,8.17587,Clear,0,1265.93,91.437,4
2020-08-05,20:36:55.298000,7.432,7.97478,Clear,0,1266.249,91.467,4
2020-08-05,20:36:55.398000,7.471,8.01481,Clear,0,1266.568,91.497,4
2020-08-05,20:36:55.498000,7.448,7.99363,Clear,0,1266.888,91.526,4
2020-08-05,20:36:55.598000,7.479,8.02599,Clear,0,1267.208,91.556,4
2020-08-05,20:36:55.698000,7.333,7.88086,Clear,0,1267.528,91.586,4
2020-08-05,20:36:55.798000,7.437,7.98611,Clear,0,1267.848,91.616,4
2020-08-05,20:36:55.898000,7.446,7.99643,Clear,0,1268.169,91.645,4
2020-08-05,20:36:55.998000,7.444,7.99447,Clear,0,1268.49,91.675,4
2020-08-05,20:36:56.098000,7.251,7.80307,Clear,0,1268.811,91.705,4
2020-08-05,20:36:56.198000,7.442,7.99503,Clear,0,1269.133,91.735,4
2020-08-05,20:36:56.298000,7.481,8.03611,Clear,0,1269.454,91.764,4
2020-08-05,20:36:56.398000,7.29,7.84614,Clear,0,1269.776,91.794,4
2020-08-05,20:36:56.498000,7.479,8.03553,Clear,0,1270.099,91.824,4
2020-08-05,20:36:56.598000,7.602,8.16044,Clear,0,1270.421,91.853,4
2020-08-05,20:36:56.698000,7.302,7.86113,Clear,0,1270.744,91.883,4
2020-08-05,20:36:56.798000,7.434,7.99419,Clear,0,1271.067,91.912,4
2020-08-05,20:36:56.898000,7.435,7.99615,Clear,0,1271.391,91.942,4
2020-08-05,20:36:56.998000,7.296,7.85866,Clear,0,1271.715,91.972,4
2020-08-05,20:36:57.098000,7.624,8.18784,Clear,0,1272.039,92.001,4
2020-08-05,20:36:57.198000,7.482,8.04722,Clear,0,1272.363,92.031,4
2020-08-05,20:36:57.298000,7.425,7.9914,Clear,0,1272.687,92.06,4
2020-08-05,20:36:57.398000,7.572,8.13913,Clear,0,1273.012,92.09,4
2020-08-05,20:36:57.498000,7.493,8.06141,Clear,0,1273.337,92.119,4
2020-08-05,20:36:57.598000,7.366,7.93486,Clear,0,1273.663,92.149,4
2020-08-05,20:36:57.698000,7.453,8.02253,Clear,0,1273.988,92.178,4
2020-08-05,20:36:57.798000,7.465,8.03728,Clear,0,1274.314,92.208,4
2020-08-05,20:36:57.898000,7.503,8.07579,Clear,0,1274.641,92.237,4
2020-08-05,20:36:57.998000,7.364,7.93777,Clear,0,1274.967,92.267,4
2020-08-05,20:36:58.098000,7.545,8.1198,Clear,0,1275.294,92.296,4
2020-08-05,20:36:58.198000,7.561,8.13721,Clear,0,1275.621,92.326,4
2020-08-05,20:36:58.298000,7.645,8.22215,Clear,0,1275.948,92.355,4
