satellite, 27942 UK-DMC / UK
catalogue, 1 NORAD
track, 18138510
variability, 0 Not variable
variability_period, 0.0
npoints, 707
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2020-08-26,00:44:38.599000,10.271,9.14061,Clear,0,700.875,66.816,2
2020-08-26,00:44:38.699000,9.832,8.70229,Clear,0,700.677,66.832,2
2020-08-26,00:44:38.799000,9.83,8.70038,Clear,0,700.479,66.847,2
2020-08-26,00:44:38.899000,9.965,8.83382,Clear,0,700.282,66.863,2
2020-08-26,00:44:39.099000,10.083,8.95056,Clear,0,699.891,66.895,2
2020-08-26,00:44:39.199000,9.951,8.81881,Clear,0,699.696,66.911,2
2020-08-26,00:44:39.299000,10.225,9.0916,Clear,0,699.502,66.927,2
2020-08-26,00:44:39.399000,10.013,8.88015,Clear,0,699.308,66.943,2
2020-08-26,00:44:39.499000,10.065,8.93208,Clear,0,699.116,66.959,2
2020-08-26,00:44:39.599000,10.209,9.07529,Clear,0,698.924,66.975,2
2020-08-26,00:44:39.799000,9.872,8.73778,Clear,0,698.542,67.007,2
2020-08-26,00:44:39.899000,10.057,8.92149,Clear,0,698.352,67.024,2
2020-08-26,00:44:39.999000,9.958,8.82308,Clear,0,698.163,67.04,2
2020-08-26,00:44:39.999000,9.922,8.78681,Clear,0,698.163,67.04,2
2020-08-26,00:44:40.099000,10.084,8.94756,Clear,0,697.974,67.056,2
2020-08-26,00:44:40.099000,9.521,8.38446,Clear,0,697.974,67.056,2
2020-08-26,00:44:40.199000,10.03,8.89433,Clear,0,697.786,67.072,2
2020-08-26,00:44:40.299000,9.99,8.85399,Clear,0,697.599,67.089,2
2020-08-26,00:44:40.399000,9.69,8.55283,Clear,0,697.413,67.105,2
2020-08-26,00:44:40.499000,9.872,8.73482,Clear,0,697.227,67.121,2
2020-08-26,00:44:40.599000,10.035,8.89661,Clear,0,697.042,67.138,2
2020-08-26,00:44:40.699000,10.074,8.93563,Clear,0,696.857,67.154,2
2020-08-26,00:44:40.799000,9.933,8.79459,Clear,0,696.674,67.171,2
2020-08-26,00:44:40.799000,10.228,9.08954,Clear,0,696.674,67.171,2
2020-08-26,00:44:40.899000,10.055,8.91566,Clear,0,696.491,67.187,2
2020-08-26,00:44:40.999000,10.131,8.99223,Clear,0,696.309,67.204,2
2020-08-26,00:44:41.099000,9.563,8.42407,Clear,0,696.127,67.22,2
2020-08-26,00:44:41.199000,9.687,8.5466,Clear,0,695.946,67.237,2
2020-08-26,00:44:41.299000,10.208,9.0679,Clear,0,695.766,67.254,2
2020-08-26,00:44:41.299000,9.962,8.82201,Clear,0,695.766,67.254,2
2020-08-26,00:44:41.399000,10.071,8.9309,Clear,0,695.586,67.27,2
2020-08-26,00:44:41.399000,10.252,9.11163,Clear,0,695.586,67.27,2
2020-08-26,00:44:41.499000,9.797,8.6564,Clear,0,695.408,67.287,2
2020-08-26,00:44:41.599000,9.464,8.32271,Clear,0,695.23,67.304,2
2020-08-26,00:44:41.699000,9.651,8.50993,Clear,0,695.052,67.321,2
2020-08-26,00:44:41.799000,10.03,8.88807,Clear,0,694.875,67.337,2
2020-08-26,00:44:41.799000,9.972,8.82951,Clear,0,694.875,67.337,2
2020-08-26,00:44:41.899000,9.482,8.33971,Clear,0,694.7,67.354,2
2020-08-26,00:44:41.999000,10.003,8.86061,Clear,0,694.524,67.371,2
2020-08-26,00:44:41.999000,9.42,8.27812,Clear,0,694.524,67.371,2
2020-08-26,00:44:42.099000,10.138,8.99536,Clear,0,694.35,67.388,2
2020-08-26,00:44:42.099000,10.194,9.05128,Clear,0,694.35,67.388,2
2020-08-26,00:44:42.199000,9.787,8.64409,Clear,0,694.176,67.405,2
2020-08-26,00:44:42.299000,9.852,8.70853,Clear,0,694.003,67.422,2
2020-08-26,00:44:42.399000,9.417,8.27328,Clear,0,693.83,67.439,2
2020-08-26,00:44:42.499000,10.113,8.96936,Clear,0,693.658,67.456,2
2020-08-26,00:44:42.599000,9.783,8.63866,Clear,0,693.487,67.473,2
2020-08-26,00:44:42.699000,9.596,8.45144,Clear,0,693.317,67.49,2
2020-08-26,00:44:42.699000,10.769,9.62431,Clear,0,693.317,67.49,2
2020-08-26,00:44:42.799000,10.448,9.3025,Clear,0,693.148,67.507,2
2020-08-26,00:44:42.799000,10.154,9.00859,Clear,0,693.148,67.507,2
2020-08-26,00:44:42.899000,9.941,8.79615,Clear,0,692.979,67.524,2
2020-08-26,00:44:42.899000,10.07,8.92501,Clear,0,692.979,67.524,2
2020-08-26,00:44:42.999000,10.231,9.08477,Clear,0,692.81,67.542,2
2020-08-26,00:44:42.999000,10.115,8.96936,Clear,0,692.81,67.542,2
2020-08-26,00:44:43.099000,10.101,8.95478,Clear,0,692.643,67.559,2
2020-08-26,00:44:43.099000,10.445,9.29918,Clear,0,692.643,67.559,2
2020-08-26,00:44:43.199000,9.755,8.609,Clear,0,692.476,67.576,2
2020-08-26,00:44:43.299000,9.662,8.5146,Clear,0,692.31,67.593,2
2020-08-26,00:44:43.399000,10.55,9.40313,Clear,0,692.145,67.611,2
2020-08-26,00:44:43.499000,10.359,9.21233,Clear,0,691.98,67.628,2
2020-08-26,00:44:43.599000,10.317,9.16963,Clear,0,691.816,67.646,2
2020-08-26,00:44:44.199000,9.478,8.32891,Clear,0,690.847,67.751,2
2020-08-26,00:44:44.299000,9.794,8.6451,Clear,0,690.689,67.768,2
2020-08-26,00:44:44.399000,9.581,8.43111,Clear,0,690.53,67.786,2
2020-08-26,00:44:44.499000,9.836,8.68573,Clear,0,690.373,67.804,2
2020-08-26,00:44:44.599000,9.895,8.74519,Clear,0,690.216,67.821,2
2020-08-26,00:44:44.699000,9.281,8.13045,Clear,0,690.06,67.839,2
2020-08-26,00:44:44.799000,10.457,9.30562,Clear,0,689.905,67.857,2
2020-08-26,00:44:44.899000,9.619,8.46781,Clear,0,689.75,67.875,2
2020-08-26,00:44:44.999000,9.891,8.73974,Clear,0,689.596,67.893,2
2020-08-26,00:44:45.099000,9.684,8.53202,Clear,0,689.443,67.91,2
