satellite, 25977 HELIOS 1B / FR
catalogue, 1 NORAD
track, 18240513
variability, 1 Aperiodic
variability_period, 0.0
npoints, 711
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
0.0,6.252,5.38678,Clear,0,674.122,89.382,7
0.1000000000003638,6.205,5.33994,Clear,0,674.105,89.397,7
0.20000000000027285,6.227,5.36195,Clear,0,674.088,89.412,7
0.3000000000001819,6.184,5.31846,Clear,0,674.073,89.427,7
0.40000000000009095,6.106,5.24238,Clear,0,674.058,89.442,7
0.5,6.091,5.2265,Clear,0,674.044,89.457,7
0.6000000000003638,6.176,5.31169,Clear,0,674.031,89.472,7
0.7000000000002728,6.107,5.24317,Clear,0,674.018,89.487,7
0.8000000000001819,6.145,5.28077,Clear,0,674.007,89.502,7
0.900000000000091,6.073,5.20987,Clear,0,673.996,89.517,7
1.0,6.037,5.17387,Clear,0,673.986,89.532,7
1.1000000000003638,6.031,5.16781,Clear,0,673.976,89.547,7
1.2000000000002728,6.007,5.14524,Clear,0,673.968,89.562,7
1.300000000000182,5.994,5.13179,Clear,0,673.96,89.577,7
1.400000000000091,5.883,5.02087,Clear,0,673.953,89.592,7
1.5,5.897,5.03483,Clear,0,673.947,89.607,7
1.6000000000003638,5.83,4.96937,Clear,0,673.942,89.623,7
1.7000000000002728,5.759,4.89804,Clear,0,673.937,89.638,7
1.800000000000182,5.754,4.89338,Clear,0,673.934,89.653,7
1.900000000000091,5.731,4.86986,Clear,0,673.931,89.668,7
2.0,5.689,4.82937,Clear,0,673.928,89.683,7
2.100000000000364,5.69,4.82987,Clear,0,673.927,89.698,7
2.200000000000273,5.636,4.77627,Clear,0,673.926,89.713,7
2.300000000000182,5.638,4.77784,Clear,0,673.927,89.728,7
2.400000000000091,5.615,4.75597,Clear,0,673.928,89.743,7
2.600000000000364,5.611,4.75169,Clear,0,673.932,89.773,7
2.700000000000273,5.59,4.73165,Clear,0,673.935,89.789,7
2.800000000000182,5.532,4.67349,Clear,0,673.939,89.804,7
2.900000000000091,5.431,4.57295,Clear,0,673.944,89.819,7
3.0,5.412,4.5549,Clear,0,673.95,89.834,7
3.100000000000364,5.443,4.58564,Clear,0,673.957,89.849,7
3.200000000000273,5.468,4.61122,Clear,0,673.964,89.864,7
3.300000000000182,5.53,4.67332,Clear,0,673.972,89.879,7
3.400000000000091,5.517,4.66071,Clear,0,673.981,89.894,7
3.5,5.464,4.60779,Clear,0,673.99,89.91,7
3.600000000000364,5.482,4.6263,Clear,0,674.001,89.925,7
3.700000000000273,5.525,4.66961,Clear,0,674.012,89.94,7
3.800000000000182,5.475,4.62034,Clear,0,674.024,89.955,7
3.900000000000091,5.471,4.61559,Clear,0,674.037,89.97,7
4.0,5.472,4.6182,Clear,0,674.051,89.985,7
4.100000000000364,5.511,4.65718,Clear,0,674.065,90.0,7
4.200000000000273,5.46,4.60554,Clear,0,674.08,90.016,7
4.400000000000091,5.417,4.56347,Clear,0,674.113,90.046,7
4.5,5.43,4.57707,Clear,0,674.131,90.061,7
4.700000000000273,5.375,4.52284,Clear,0,674.168,90.091,7
4.800000000000182,5.379,4.52741,Clear,0,674.188,90.106,7
4.900000000000091,5.389,4.53754,Clear,0,674.209,90.122,7
5.0,5.36,4.50857,Clear,0,674.23,90.137,7
5.100000000000364,5.32,4.46959,Clear,0,674.252,90.152,7
5.200000000000273,5.317,4.46648,Clear,0,674.276,90.167,7
5.300000000000182,5.279,4.42847,Clear,0,674.299,90.182,7
5.400000000000091,5.236,4.38724,Clear,0,674.324,90.197,7
5.5,5.222,4.37272,Clear,0,674.349,90.212,7
5.600000000000364,5.23,4.38097,Clear,0,674.376,90.228,7
5.700000000000273,5.225,4.37711,Clear,0,674.403,90.243,7
5.800000000000182,5.149,4.30083,Clear,0,674.431,90.258,7
5.900000000000091,5.156,4.30924,Clear,0,674.459,90.273,7
6.0,5.067,4.21949,Clear,0,674.488,90.288,7
6.100000000000364,5.055,4.20745,Clear,0,674.519,90.303,7
6.200000000000273,5.002,4.15546,Clear,0,674.55,90.319,7
6.300000000000182,4.979,4.13252,Clear,0,674.581,90.334,7
6.400000000000091,4.937,4.09109,Clear,0,674.614,90.349,7
6.5,4.923,4.07801,Clear,0,674.647,90.364,7
6.600000000000364,4.936,4.09143,Clear,0,674.681,90.379,7
6.700000000000273,4.902,4.05794,Clear,0,674.716,90.394,7
6.800000000000182,4.851,4.00709,Clear,0,674.752,90.41,7
6.900000000000091,4.784,3.93992,Clear,0,674.788,90.425,7
7.0,4.805,3.96217,Clear,0,674.826,90.44,7
7.100000000000364,4.706,3.86255,Clear,0,674.864,90.455,7
7.200000000000273,4.707,3.86455,Clear,0,674.902,90.47,7
7.300000000000182,4.641,3.79923,Clear,0,674.942,90.485,7
7.400000000000091,4.663,3.82197,Clear,0,674.982,90.501,7
7.5,4.584,3.74307,Clear,0,675.024,90.516,7
7.600000000000364,4.58,3.73868,Clear,0,675.066,90.531,7
7.700000000000273,4.583,3.7431,Clear,0,675.108,90.546,7
7.800000000000182,4.532,3.69182,Clear,0,675.152,90.561,7
7.900000000000091,4.452,3.6133,Clear,0,675.196,90.577,7
8.0,4.424,3.58536,Clear,0,675.241,90.592,7
8.100000000000364,4.386,3.54836,Clear,0,675.287,90.607,7
8.200000000000273,4.351,3.5133,Clear,0,675.334,90.622,7
8.300000000000182,4.361,3.52258,Clear,0,675.381,90.637,7
8.400000000000091,4.34,3.50297,Clear,0,675.43,90.652,7
8.5,4.337,3.4997,Clear,0,675.479,90.668,7
8.600000000000364,4.306,3.47024,Clear,0,675.528,90.683,7
8.700000000000273,4.263,3.42663,Clear,0,675.579,90.698,7
8.800000000000182,4.195,3.35993,Clear,0,675.63,90.713,7
8.900000000000091,4.125,3.28973,Clear,0,675.683,90.728,7
9.0,4.089,3.25488,Clear,0,675.735,90.743,7
9.100000000000364,3.985,3.15071,Clear,0,675.789,90.759,7
9.200000000000273,3.899,3.06622,Clear,0,675.844,90.774,7
9.300000000000182,3.718,2.88541,Clear,0,675.899,90.789,7
9.400000000000091,3.58,2.74813,Clear,0,675.955,90.804,7
9.5,3.612,2.77995,Clear,0,676.012,90.819,7
9.600000000000364,3.628,2.79613,Clear,0,676.07,90.834,7
9.700000000000273,3.647,2.81582,Clear,0,676.128,90.849,7
9.800000000000182,3.62,2.78932,Clear,0,676.187,90.865,7
9.900000000000091,3.585,2.75525,Clear,0,676.247,90.88,7
10.0,3.616,2.78595,Clear,0,676.308,90.895,7
10.100000000000364,3.564,2.73534,Clear,0,676.37,90.91,7
10.200000000000273,3.533,2.70378,Clear,0,676.432,90.925,7
10.300000000000182,3.472,2.644,Clear,0,676.495,90.94,7
10.400000000000091,3.451,2.62259,Clear,0,676.559,90.956,7
10.5,3.349,2.52168,Clear,0,676.624,90.971,7
10.600000000000364,3.31,2.48338,Clear,0,676.689,90.986,7
10.700000000000273,3.288,2.46243,Clear,0,676.755,91.001,7
10.800000000000182,3.242,2.41628,Clear,0,676.822,91.016,7
10.900000000000091,3.198,2.37256,Clear,0,676.89,91.031,7
11.0,3.109,2.28359,Clear,0,676.959,91.046,7
11.100000000000364,3.019,2.19523,Clear,0,677.028,91.062,7
11.200000000000273,2.947,2.12285,Clear,0,677.098,91.077,7
11.300000000000182,2.819,1.99589,Clear,0,677.169,91.092,7
11.400000000000091,2.677,1.8535,Clear,0,677.241,91.107,7
11.5,2.471,1.64924,Clear,0,677.313,91.122,7
11.600000000000364,2.25,1.42938,Clear,0,677.386,91.137,7
11.700000000000273,2.287,1.46634,Clear,0,677.46,91.152,7
11.800000000000182,2.406,1.5864,Clear,0,677.535,91.167,7
11.900000000000091,2.324,1.50419,Clear,0,677.611,91.183,7
12.0,2.322,1.50313,Clear,0,677.687,91.198,7
12.100000000000364,2.348,1.5293,Clear,0,677.764,91.213,7
12.200000000000273,2.329,1.51048,Clear,0,677.842,91.228,7
12.300000000000182,2.361,1.54287,Clear,0,677.921,91.243,7
12.400000000000091,2.361,1.54383,Clear,0,678.0,91.258,7
12.5,2.451,1.63345,Clear,0,678.08,91.273,7
12.600000000000364,2.455,1.63895,Clear,0,678.161,91.288,7
12.700000000000273,2.512,1.69578,Clear,0,678.243,91.303,7
12.800000000000182,2.679,1.86427,Clear,0,678.326,91.319,7
12.900000000000091,2.755,1.94106,Clear,0,678.409,91.334,7
13.0,2.826,2.0117,Clear,0,678.493,91.349,7
13.100000000000364,2.859,2.04612,Clear,0,678.578,91.364,7
13.200000000000273,2.913,2.10033,Clear,0,678.664,91.379,7
13.300000000000182,2.969,2.15657,Clear,0,678.75,91.394,7
13.400000000000091,2.983,2.17068,Clear,0,678.837,91.409,7
13.5,3.096,2.28522,Clear,0,678.925,91.424,7
13.600000000000364,3.137,2.32654,Clear,0,679.014,91.439,7
13.700000000000273,3.163,2.35292,Clear,0,679.104,91.454,7
13.800000000000182,3.184,2.37508,Clear,0,679.194,91.469,7
13.900000000000091,3.232,2.42277,Clear,0,679.285,91.484,7
14.0,3.261,2.4533,Clear,0,679.377,91.5,7
14.100000000000364,3.291,2.48398,Clear,0,679.469,91.515,7
14.200000000000273,3.364,2.55724,Clear,0,679.563,91.53,7
14.300000000000182,3.441,2.63535,Clear,0,679.657,91.545,7
14.400000000000091,3.471,2.66477,Clear,0,679.752,91.56,7
14.5,3.539,2.73405,Clear,0,679.847,91.575,7
14.502000000000407,3.465,2.65995,Clear,0,679.849,91.575,6
14.600000000000364,3.598,2.79281,Clear,0,679.944,91.59,7
14.602000000000317,3.551,2.74727,Clear,0,679.946,91.59,6
14.700000000000273,3.643,2.8391,Clear,0,680.041,91.605,7
14.702000000000226,3.578,2.77383,Clear,0,680.043,91.605,6
14.800000000000182,3.685,2.88204,Clear,0,680.139,91.62,7
14.802000000000135,3.597,2.79384,Clear,0,680.141,91.62,6
14.900000000000091,3.744,2.94144,Clear,0,680.238,91.635,7
14.902000000000044,3.72,2.9168,Clear,0,680.24,91.635,6
15.0,3.825,3.02337,Clear,0,680.337,91.65,7
15.002000000000407,3.706,2.90423,Clear,0,680.339,91.65,6
15.100000000000364,3.876,3.07461,Clear,0,680.438,91.665,7
15.102000000000317,3.798,2.99715,Clear,0,680.44,91.665,6
15.200000000000273,3.92,3.11873,Clear,0,680.539,91.68,7
15.202000000000226,3.868,3.06722,Clear,0,680.541,91.68,6
15.300000000000182,3.954,3.15391,Clear,0,680.64,91.695,7
15.302000000000135,3.882,3.08208,Clear,0,680.642,91.695,6
15.400000000000091,3.987,3.18714,Clear,0,680.743,91.71,7
15.402000000000044,3.956,3.15553,Clear,0,680.745,91.71,6
15.5,3.995,3.19583,Clear,0,680.846,91.725,7
15.502000000000407,3.973,3.17421,Clear,0,680.848,91.725,6
15.600000000000364,4.093,3.29462,Clear,0,680.95,91.74,7
15.602000000000317,4.003,3.205,Clear,0,680.953,91.74,6
15.700000000000273,4.116,3.31763,Clear,0,681.055,91.755,7
15.701000000000022,4.099,3.30055,Clear,0,681.056,91.755,2
15.702000000000226,4.118,3.32037,Clear,0,681.057,91.755,6
15.800000000000182,4.196,3.39927,Clear,0,681.161,91.77,7
15.801000000000386,4.101,3.3041,Clear,0,681.162,91.77,2
15.802000000000135,4.121,3.32355,Clear,0,681.163,91.77,6
15.900000000000091,4.234,3.43802,Clear,0,681.267,91.785,7
15.901000000000295,4.133,3.33686,Clear,0,681.268,91.785,2
15.902000000000044,4.182,3.38635,Clear,0,681.27,91.785,6
16.0,4.305,3.50854,Clear,0,681.375,91.8,7
16.001000000000204,4.192,3.39551,Clear,0,681.376,91.8,2
16.002000000000407,4.215,3.41864,Clear,0,681.377,91.8,6
16.100000000000364,4.264,3.46856,Clear,0,681.482,91.815,7
16.101000000000113,4.213,3.41831,Clear,0,681.484,91.815,2
16.102000000000317,4.271,3.47575,Clear,0,681.485,91.815,6
16.200000000000273,4.376,3.58048,Clear,0,681.591,91.83,7
16.201000000000022,4.282,3.48695,Clear,0,681.592,91.83,2
16.202000000000226,4.303,3.50802,Clear,0,681.593,91.83,6
16.300000000000182,4.445,3.65078,Clear,0,681.701,91.845,7
16.301000000000386,4.332,3.53792,Clear,0,681.702,91.845,2
16.302000000000135,4.365,3.57108,Clear,0,681.703,91.845,6
16.40000000000009,4.451,3.6577,Clear,0,681.811,91.86,7
16.401000000000295,4.358,3.56453,Clear,0,681.812,91.86,2
16.402000000000044,4.389,3.59593,Clear,0,681.813,91.86,6
16.5,4.47,3.67736,Clear,0,681.922,91.875,7
16.501000000000204,4.387,3.59414,Clear,0,681.923,91.875,2
16.502000000000407,4.431,3.63802,Clear,0,681.924,91.875,6
16.600000000000364,4.542,3.74969,Clear,0,682.034,91.89,7
16.601000000000113,4.416,3.62397,Clear,0,682.035,91.89,2
16.602000000000317,4.478,3.68556,Clear,0,682.036,91.89,6
16.700000000000273,4.569,3.77756,Clear,0,682.146,91.905,7
16.701000000000022,4.473,3.68147,Clear,0,682.147,91.905,2
16.702000000000226,4.495,3.70367,Clear,0,682.148,91.905,6
16.800000000000182,4.612,3.82117,Clear,0,682.259,91.92,7
16.801000000000386,4.515,3.72347,Clear,0,682.261,91.92,2
16.802000000000135,4.571,3.77985,Clear,0,682.262,91.92,6
16.90000000000009,4.642,3.85181,Clear,0,682.373,91.935,7
16.901000000000295,4.495,3.70491,Clear,0,682.375,91.935,2
16.902000000000044,4.575,3.7846,Clear,0,682.376,91.935,6
17.001000000000204,4.564,3.77485,Clear,0,682.489,91.95,2
17.002000000000407,4.583,3.79359,Clear,0,682.49,91.95,6
17.100000000000364,4.668,3.87884,Clear,0,682.604,91.965,7
17.101000000000113,4.55,3.76132,Clear,0,682.605,91.965,2
17.102000000000317,4.596,3.80696,Clear,0,682.606,91.965,6
17.200000000000273,4.718,3.93033,Clear,0,682.72,91.98,7
17.201000000000022,4.624,3.83633,Clear,0,682.721,91.98,2
17.202000000000226,4.66,3.87241,Clear,0,682.722,91.98,6
17.300000000000182,4.736,3.94884,Clear,0,682.837,91.995,7
17.301000000000386,4.642,3.85469,Clear,0,682.838,91.995,2
17.302000000000135,4.721,3.9342,Clear,0,682.839,91.995,6
17.401000000000295,4.654,3.86669,Clear,0,682.956,92.01,2
17.402000000000044,4.708,3.92089,Clear,0,682.957,92.01,6
17.501000000000204,4.683,3.89667,Clear,0,683.075,92.025,2
17.502000000000407,4.758,3.97229,Clear,0,683.076,92.025,6
17.601000000000113,4.759,3.97362,Clear,0,683.194,92.039,2
17.602000000000317,4.777,3.99186,Clear,0,683.195,92.04,6
17.701000000000022,4.779,3.99407,Clear,0,683.314,92.054,2
17.702000000000226,4.795,4.00981,Clear,0,683.315,92.054,6
17.801000000000386,4.834,4.05011,Clear,0,683.435,92.069,2
17.802000000000135,4.826,4.04183,Clear,0,683.436,92.069,6
17.901000000000295,4.827,4.04349,Clear,0,683.557,92.084,2
17.902000000000044,4.837,4.05413,Clear,0,683.558,92.084,6
18.001000000000204,4.863,4.08004,Clear,0,683.679,92.099,2
18.002000000000407,4.916,4.13292,Clear,0,683.68,92.099,6
18.101000000000113,4.867,4.08449,Clear,0,683.802,92.114,2
18.102000000000317,4.881,4.09915,Clear,0,683.803,92.114,6
18.201000000000022,4.887,4.10621,Clear,0,683.926,92.129,2
18.202000000000226,4.912,4.13084,Clear,0,683.927,92.129,6
18.301000000000386,4.862,4.08074,Clear,0,684.051,92.144,2
18.302000000000135,4.908,4.12741,Clear,0,684.052,92.144,6
18.401000000000295,4.936,4.15609,Clear,0,684.176,92.159,2
18.402000000000044,4.949,4.16916,Clear,0,684.177,92.159,6
18.501000000000204,4.945,4.16582,Clear,0,684.302,92.173,2
18.502000000000407,4.971,4.19149,Clear,0,684.304,92.174,6
18.601000000000113,4.996,4.21666,Clear,0,684.429,92.188,2
18.602000000000317,4.976,4.1973,Clear,0,684.43,92.188,6
18.702000000000226,5.023,4.24452,Clear,0,684.558,92.203,6
18.802000000000135,4.984,4.20696,Clear,0,684.687,92.218,6
18.902000000000044,4.962,4.18587,Clear,0,684.816,92.233,6
19.002000000000407,5.001,4.22457,Clear,0,684.946,92.248,6
19.102000000000317,5.048,4.2727,Clear,0,685.076,92.263,6
19.202000000000226,5.033,4.25883,Clear,0,685.208,92.278,6
19.302000000000135,5.055,4.28109,Clear,0,685.34,92.292,6
19.402000000000044,5.072,4.29911,Clear,0,685.473,92.307,6
19.502000000000407,5.045,4.2729,Clear,0,685.607,92.322,6
19.602000000000317,5.045,4.27354,Clear,0,685.741,92.337,6
19.702000000000226,5.146,4.37539,Clear,0,685.876,92.352,6
19.802000000000135,5.167,4.3965,Clear,0,686.012,92.366,6
19.902000000000044,5.248,4.47927,Clear,0,686.149,92.381,6
20.002000000000407,5.2,4.43119,Clear,0,686.286,92.396,6
20.101000000000113,5.288,4.52023,Clear,0,686.423,92.411,5
20.102000000000317,5.17,4.40206,Clear,0,686.424,92.411,6
20.201000000000022,5.336,4.56925,Clear,0,686.562,92.425,5
20.202000000000226,5.197,4.42989,Clear,0,686.563,92.425,6
20.301000000000386,5.338,4.57159,Clear,0,686.702,92.44,5
20.302000000000135,5.222,4.4561,Clear,0,686.703,92.44,6
20.401000000000295,5.293,4.52657,Clear,0,686.842,92.455,5
20.402000000000044,5.185,4.4189,Clear,0,686.843,92.455,6
20.501000000000204,5.272,4.5073,Clear,0,686.983,92.47,5
20.502000000000407,5.188,4.42247,Clear,0,686.985,92.47,6
20.601000000000113,5.305,4.54123,Clear,0,687.125,92.484,5
20.602000000000317,5.21,4.44615,Clear,0,687.126,92.485,6
20.701000000000022,5.24,4.47681,Clear,0,687.268,92.499,5
20.702000000000226,5.138,4.37541,Clear,0,687.269,92.499,6
20.801000000000386,5.215,4.45234,Clear,0,687.411,92.514,5
20.802000000000135,5.15,4.38668,Clear,0,687.413,92.514,6
20.901000000000295,5.247,4.48474,Clear,0,687.555,92.529,5
20.902000000000044,5.138,4.37576,Clear,0,687.557,92.529,6
21.001000000000204,5.259,4.49763,Clear,0,687.7,92.543,5
21.002000000000407,5.215,4.45364,Clear,0,687.702,92.543,6
21.101000000000113,5.27,4.51031,Clear,0,687.846,92.558,5
21.102000000000317,5.213,4.45279,Clear,0,687.847,92.558,6
21.201000000000022,5.292,4.53237,Clear,0,687.992,92.573,5
21.202000000000226,5.207,4.44661,Clear,0,687.994,92.573,6
21.301000000000386,5.314,4.55484,Clear,0,688.139,92.587,5
21.302000000000135,5.294,4.53495,Clear,0,688.141,92.588,6
21.401000000000295,5.263,4.50465,Clear,0,688.287,92.602,5
21.402000000000044,5.194,4.43554,Clear,0,688.289,92.602,6
21.501000000000204,5.259,4.50193,Clear,0,688.436,92.617,5
21.502000000000407,5.237,4.48013,Clear,0,688.437,92.617,6
21.601000000000113,5.351,4.59419,Clear,0,688.585,92.631,5
21.602000000000317,5.429,4.6723,Clear,0,688.586,92.632,6
21.701000000000022,5.394,4.63835,Clear,0,688.735,92.646,5
21.702000000000226,5.434,4.67782,Clear,0,688.736,92.646,6
21.801000000000386,5.5,4.7454,Clear,0,688.886,92.661,5
21.802000000000135,5.418,4.66314,Clear,0,688.887,92.661,6
21.901000000000295,5.542,4.78755,Clear,0,689.037,92.675,5
21.902000000000044,5.468,4.71347,Clear,0,689.039,92.676,6
22.001000000000204,5.556,4.80203,Clear,0,689.19,92.69,5
22.002000000000407,5.553,4.79872,Clear,0,689.191,92.69,6
22.101000000000113,5.541,4.78755,Clear,0,689.343,92.705,5
22.102000000000317,5.497,4.74348,Clear,0,689.344,92.705,6
22.201000000000022,5.567,4.81493,Clear,0,689.496,92.719,5
22.202000000000226,5.535,4.78294,Clear,0,689.498,92.72,6
22.301000000000386,5.529,4.77755,Clear,0,689.651,92.734,5
22.302000000000135,5.525,4.7738,Clear,0,689.652,92.734,6
22.401000000000295,5.567,4.81695,Clear,0,689.806,92.749,5
22.402000000000044,5.574,4.82425,Clear,0,689.808,92.749,6
22.501000000000204,5.636,4.88618,Clear,0,689.962,92.763,5
22.502000000000407,5.605,4.85507,Clear,0,689.964,92.763,6
22.601000000000113,5.662,4.91333,Clear,0,690.119,92.778,5
22.602000000000317,5.645,4.89547,Clear,0,690.12,92.778,6
22.701000000000022,5.688,4.93979,Clear,0,690.276,92.793,5
22.702000000000226,5.68,4.93235,Clear,0,690.278,92.793,6
22.801000000000386,5.718,4.97089,Clear,0,690.434,92.807,5
22.802000000000135,5.693,4.94588,Clear,0,690.436,92.807,6
22.901000000000295,5.749,5.002,Clear,0,690.593,92.822,5
22.902000000000044,5.728,4.98167,Clear,0,690.595,92.822,6
23.001000000000204,5.725,4.97901,Clear,0,690.753,92.836,5
23.002000000000407,5.753,5.0069,Clear,0,690.755,92.836,6
23.101000000000113,5.782,5.0365,Clear,0,690.913,92.851,5
23.102000000000317,5.778,5.03287,Clear,0,690.915,92.851,6
23.201000000000022,5.661,4.91727,Clear,0,691.074,92.865,5
23.202000000000226,5.752,5.00823,Clear,0,691.076,92.866,6
23.301000000000386,5.724,4.98136,Clear,0,691.236,92.88,5
23.302000000000135,5.73,4.9866,Clear,0,691.238,92.88,6
23.401000000000295,5.706,4.96341,Clear,0,691.399,92.895,5
23.402000000000044,5.676,4.93344,Clear,0,691.4,92.895,6
23.501000000000204,5.579,4.83678,Clear,0,691.562,92.909,5
23.502000000000407,5.601,4.85872,Clear,0,691.564,92.909,6
23.601000000000113,5.5,4.75943,Clear,0,691.726,92.924,5
23.602000000000317,5.512,4.77048,Clear,0,691.728,92.924,6
23.701000000000022,5.545,4.80465,Clear,0,691.891,92.938,5
23.702000000000226,5.565,4.8254,Clear,0,691.893,92.938,6
23.801000000000386,5.581,4.84182,Clear,0,692.056,92.953,5
23.802000000000135,5.571,4.83235,Clear,0,692.058,92.953,6
23.901000000000295,5.512,4.77409,Clear,0,692.223,92.967,5
23.902000000000044,5.502,4.76426,Clear,0,692.224,92.967,6
24.001000000000204,5.782,5.04439,Clear,0,692.39,92.982,5
24.002000000000407,5.767,5.0286,Clear,0,692.391,92.982,6
24.101000000000113,5.78,5.04312,Clear,0,692.557,92.996,5
24.102000000000317,5.86,5.12308,Clear,0,692.559,92.996,6
24.201000000000022,5.822,5.08643,Clear,0,692.726,93.011,5
24.202000000000226,5.841,5.10528,Clear,0,692.727,93.011,6
24.301000000000386,5.819,5.08431,Clear,0,692.895,93.025,5
24.302000000000135,5.863,5.12785,Clear,0,692.896,93.025,6
24.401000000000295,5.847,5.11326,Clear,0,693.065,93.04,5
24.402000000000044,5.895,5.16137,Clear,0,693.066,93.04,6
24.501000000000204,5.82,5.08619,Clear,0,693.235,93.054,5
24.502000000000407,5.88,5.14581,Clear,0,693.237,93.054,6
24.601000000000113,5.834,5.10106,Clear,0,693.406,93.069,5
24.602000000000317,5.883,5.14946,Clear,0,693.408,93.069,6
24.701000000000022,5.939,5.20731,Clear,0,693.578,93.083,5
24.702000000000226,6.017,5.28479,Clear,0,693.58,93.083,6
24.801000000000386,5.886,5.1552,Clear,0,693.751,93.098,5
24.802000000000135,6.002,5.27091,Clear,0,693.753,93.098,6
24.901000000000295,6.101,5.37069,Clear,0,693.925,93.112,5
24.902000000000044,6.105,5.37465,Clear,0,693.926,93.112,6
25.001000000000204,6.037,5.30813,Clear,0,694.099,93.126,5
25.002000000000407,6.163,5.43429,Clear,0,694.101,93.127,6
25.101000000000113,6.208,5.47909,Clear,0,694.274,93.141,5
25.102000000000317,6.26,5.53107,Clear,0,694.276,93.141,6
25.201000000000022,6.239,5.51087,Clear,0,694.449,93.155,5
25.202000000000226,6.266,5.53781,Clear,0,694.451,93.155,6
25.301000000000386,6.265,5.53757,Clear,0,694.626,93.17,5
25.302000000000135,6.347,5.6199,Clear,0,694.628,93.17,6
25.401000000000295,6.307,5.58076,Clear,0,694.803,93.184,5
25.402000000000044,6.386,5.65965,Clear,0,694.805,93.184,6
25.501000000000204,6.385,5.66019,Clear,0,694.981,93.198,5
25.502000000000407,6.422,5.6965,Clear,0,694.982,93.199,6
25.601000000000113,6.378,5.65434,Clear,0,695.159,93.213,5
25.602000000000317,6.46,5.73552,Clear,0,695.161,93.213,6
25.701000000000022,6.483,5.75938,Clear,0,695.338,93.227,5
25.702000000000226,6.513,5.78849,Clear,0,695.34,93.227,6
25.801000000000386,6.443,5.72044,Clear,0,695.518,93.242,5
25.802000000000135,6.501,5.77781,Clear,0,695.52,93.242,6
25.902000000000044,6.532,5.8101,Clear,0,695.701,93.256,6
26.001000000000204,6.5,5.77915,Clear,0,695.88,93.27,5
26.002000000000407,6.537,5.81568,Clear,0,695.882,93.27,6
26.101000000000113,6.478,5.7575,Clear,0,696.063,93.285,5
26.102000000000317,6.557,5.83671,Clear,0,696.064,93.285,6
26.201000000000022,6.505,5.78623,Clear,0,696.245,93.299,5
26.202000000000226,6.584,5.86466,Clear,0,696.247,93.299,6
26.301000000000386,6.491,5.77253,Clear,0,696.429,93.313,5
26.302000000000135,6.552,5.83345,Clear,0,696.431,93.313,6
26.401000000000295,6.574,5.85627,Clear,0,696.613,93.328,5
