satellite, 2657 ESSA 4 (TOS-B) / US
catalogue, 1 NORAD
track, 1862929
variability, 1 Aperiodic
variability_period, 0.0
npoints, 707
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
0.0,4.827,7.11914,Clear,0,2254.428,112.51,7
0.09999999999990905,5.258,7.54871,Clear,0,2253.923,112.497,7
0.1999999999998181,4.957,7.24718,Clear,0,2253.418,112.485,7
0.29999999999972715,5.13,7.41857,Clear,0,2252.914,112.472,7
0.40000000000009095,4.822,7.11041,Clear,0,2252.409,112.46,7
0.5,5.182,7.47013,Clear,0,2251.904,112.447,7
0.599999999999909,4.845,7.13164,Clear,0,2251.4,112.435,7
0.6999999999998181,4.73,7.01628,Clear,0,2250.895,112.422,7
0.7999999999997272,4.795,7.07961,Clear,0,2250.391,112.409,7
0.900000000000091,4.676,6.95965,Clear,0,2249.887,112.397,7
1.0,5.036,7.31854,Clear,0,2249.382,112.384,7
1.099999999999909,4.823,7.1046,Clear,0,2248.878,112.372,7
1.199999999999818,4.93,7.21217,Clear,0,2248.374,112.359,7
1.2999999999997272,4.928,7.20853,Clear,0,2247.87,112.346,7
1.400000000000091,4.891,7.17069,Clear,0,2247.366,112.334,7
1.5,5.015,7.2943,Clear,0,2246.863,112.321,7
1.599999999999909,4.938,7.21604,Clear,0,2246.359,112.309,7
1.699999999999818,4.996,7.27263,Clear,0,2245.855,112.296,7
1.7999999999997272,5.04,7.3171,Clear,0,2245.352,112.283,7
1.900000000000091,5.062,7.33801,Clear,0,2244.848,112.271,7
2.0,5.194,7.46885,Clear,0,2244.345,112.258,7
2.099999999999909,5.103,7.37705,Clear,0,2243.842,112.245,7
2.199999999999818,5.088,7.36049,Clear,0,2243.338,112.233,7
2.299999999999727,5.055,7.3266,Clear,0,2242.835,112.22,7
2.400000000000091,5.578,7.84963,Clear,0,2242.332,112.207,7
2.5,5.368,7.63881,Clear,0,2241.829,112.195,7
2.599999999999909,5.298,7.56797,Clear,0,2241.326,112.182,7
2.699999999999818,5.543,7.81145,Clear,0,2240.823,112.169,7
2.799999999999727,5.524,7.79163,Clear,0,2240.321,112.157,7
2.900000000000091,5.764,8.03057,Clear,0,2239.818,112.144,7
3.0,5.649,7.91448,Clear,0,2239.315,112.131,7
3.099999999999909,5.962,8.22801,Clear,0,2238.813,112.119,7
3.199999999999818,6.04,8.30463,Clear,0,2238.311,112.106,7
3.299999999999727,5.959,8.2234,Clear,0,2237.808,112.093,7
3.400000000000091,6.205,8.46819,Clear,0,2237.306,112.081,7
3.5,6.15,8.41145,Clear,0,2236.804,112.068,7
3.599999999999909,7.1,9.3608,Clear,0,2236.302,112.055,7
3.699999999999818,6.477,8.73747,Clear,0,2235.8,112.042,7
3.900000000000091,6.211,8.46965,Clear,0,2234.796,112.017,7
4.0,7.14,9.39821,Clear,0,2234.294,112.004,7
4.199999999999818,6.381,8.63678,Clear,0,2233.291,111.979,7
4.299999999999727,7.568,9.82282,Clear,0,2232.789,111.966,7
4.5,6.136,8.38965,Clear,0,2231.787,111.94,7
4.699999999999818,7.625,9.8767,Clear,0,2230.784,111.915,7
4.900000000000091,6.738,8.98749,Clear,0,2229.782,111.889,7
5.0,6.902,9.15155,Clear,0,2229.281,111.876,7
5.400000000000091,6.975,9.22092,Clear,0,2227.278,111.825,7
5.599999999999909,7.273,9.51648,Clear,0,2226.278,111.8,7
5.699999999999818,7.091,9.33469,Clear,0,2225.777,111.787,7
5.799999999999727,7.31,9.55344,Clear,0,2225.277,111.774,7
5.900000000000091,6.878,9.11948,Clear,0,2224.777,111.761,7
6.099999999999909,7.003,9.24276,Clear,0,2223.777,111.735,7
6.400000000000091,6.517,8.75457,Clear,0,2222.277,111.697,7
6.5,7.407,9.64409,Clear,0,2221.778,111.684,7
6.599999999999909,6.945,9.18088,Clear,0,2221.278,111.671,7
6.699999999999818,7.323,9.55758,Clear,0,2220.779,111.658,7
6.799999999999727,6.97,9.20366,Clear,0,2220.279,111.645,7
7.299999999999727,7.297,9.52731,Clear,0,2217.783,111.581,7
7.699999999999818,7.45,9.67662,Clear,0,2215.788,111.529,7
7.799999999999727,7.544,9.77007,Clear,0,2215.29,111.516,7
7.900000000000091,7.04,9.26507,Clear,0,2214.791,111.503,7
8.099999999999909,7.499,9.7223,Clear,0,2213.795,111.477,7
8.299999999999727,7.492,9.71358,Clear,0,2212.798,111.451,7
8.5,7.015,9.23452,Clear,0,2211.802,111.425,7
8.599999999999909,7.655,9.87444,Clear,0,2211.304,111.412,7
8.900000000000091,7.213,9.42929,Clear,0,2209.811,111.373,7
9.099999999999909,6.91,9.12521,Clear,0,2208.816,111.347,7
9.199999999999818,7.292,9.50577,Clear,0,2208.319,111.334,7
9.299999999999727,7.171,9.38372,Clear,0,2207.822,111.321,7
9.400000000000091,7.246,9.45793,Clear,0,2207.324,111.308,7
9.5,7.566,9.77671,Clear,0,2206.827,111.295,7
9.799999999999727,7.295,9.5038,Clear,0,2205.336,111.256,7
10.0,6.83,9.03676,Clear,0,2204.343,111.23,7
10.099999999999909,6.525,8.73098,Clear,0,2203.846,111.217,7
10.299999999999727,7.339,9.54397,Clear,0,2202.853,111.191,7
10.400000000000091,7.16,9.36353,Clear,0,2202.357,111.178,7
10.699999999999818,7.102,9.3025,Clear,0,2200.869,111.139,7
10.799999999999727,6.765,8.965,Clear,0,2200.373,111.125,7
10.900000000000091,7.11,9.30873,Clear,0,2199.877,111.112,7
11.0,6.733,8.93176,Clear,0,2199.381,111.099,7
11.099999999999909,7.545,9.74334,Clear,0,2198.885,111.086,7
11.199999999999818,7.713,9.91031,Clear,0,2198.39,111.073,7
11.5,6.925,9.11923,Clear,0,2196.903,111.034,7
11.599999999999909,6.864,9.05647,Clear,0,2196.408,111.02,7
11.699999999999818,6.959,9.15153,Clear,0,2195.913,111.007,7
11.799999999999727,7.169,9.36058,Clear,0,2195.418,110.994,7
12.0,7.883,10.0734,Clear,0,2194.428,110.968,7
12.199999999999818,7.14,9.32764,Clear,0,2193.438,110.942,7
12.299999999999727,7.282,9.47008,Clear,0,2192.943,110.928,7
12.400000000000091,6.669,8.85601,Clear,0,2192.449,110.915,7
12.5,7.678,9.86376,Clear,0,2191.954,110.902,7
12.599999999999909,7.564,9.74855,Clear,0,2191.46,110.889,7
12.699999999999818,6.908,9.0922,Clear,0,2190.966,110.876,7
12.799999999999727,6.812,8.99539,Clear,0,2190.471,110.862,7
13.0,6.731,8.91252,Clear,0,2189.483,110.836,7
13.099999999999909,6.475,8.65619,Clear,0,2188.989,110.823,7
13.199999999999818,6.864,9.04353,Clear,0,2188.495,110.81,7
13.299999999999727,7.601,9.77985,Clear,0,2188.002,110.796,7
13.400000000000091,7.042,9.22014,Clear,0,2187.508,110.783,7
13.5,7.112,9.28893,Clear,0,2187.014,110.77,7
13.599999999999909,7.43,9.60549,Clear,0,2186.521,110.757,7
13.699999999999818,6.96,9.13631,Clear,0,2186.027,110.743,7
13.799999999999727,7.042,9.21727,Clear,0,2185.534,110.73,7
13.900000000000091,7.678,9.85218,Clear,0,2185.041,110.717,7
14.0,6.262,8.43479,Clear,0,2184.548,110.704,7
14.099999999999909,6.854,9.02572,Clear,0,2184.055,110.69,7
14.199999999999818,6.848,9.01906,Clear,0,2183.562,110.677,7
14.299999999999727,6.735,8.90526,Clear,0,2183.069,110.664,7
14.400000000000091,6.737,8.90654,Clear,0,2182.576,110.65,7
14.5,6.649,8.81754,Clear,0,2182.083,110.637,7
14.599999999999909,6.846,9.01386,Clear,0,2181.591,110.624,7
14.799999999999727,7.408,9.57368,Clear,0,2180.606,110.597,7
15.0,7.423,9.58661,Clear,0,2179.621,110.571,7
15.099999999999909,7.054,9.21842,Clear,0,2179.129,110.557,7
15.199999999999818,6.94,9.10318,Clear,0,2178.637,110.544,7
15.299999999999727,6.798,8.95961,Clear,0,2178.145,110.531,7
15.400000000000091,6.795,8.95604,Clear,0,2177.653,110.517,7
15.5,7.176,9.33561,Clear,0,2177.161,110.504,7
15.599999999999909,6.081,8.24029,Clear,0,2176.669,110.491,7
15.699999999999818,7.329,9.48659,Clear,0,2176.177,110.477,7
15.799999999999727,6.537,8.69466,Clear,0,2175.686,110.464,7
15.900000000000091,6.801,8.9576,Clear,0,2175.194,110.45,7
16.0,6.69,8.84571,Clear,0,2174.703,110.437,7
16.09999999999991,7.038,9.19266,Clear,0,2174.212,110.424,7
16.299999999999727,7.124,9.27735,Clear,0,2173.23,110.397,7
16.40000000000009,6.895,9.04717,Clear,0,2172.739,110.384,7
16.5,6.557,8.70921,Clear,0,2172.248,110.37,7
16.59999999999991,7.18,9.33082,Clear,0,2171.757,110.357,7
16.699999999999818,6.705,8.85479,Clear,0,2171.266,110.343,7
16.799999999999727,6.935,9.0841,Clear,0,2170.775,110.33,7
16.90000000000009,6.824,8.97201,Clear,0,2170.285,110.316,7
17.0,6.752,8.89847,Clear,0,2169.794,110.303,7
17.09999999999991,6.79,8.93657,Clear,0,2169.304,110.29,7
17.199999999999818,6.689,8.83471,Clear,0,2168.814,110.276,7
17.299999999999727,6.78,8.92458,Clear,0,2168.324,110.263,7
17.40000000000009,7.071,9.2147,Clear,0,2167.833,110.249,7
17.5,7.189,9.33178,Clear,0,2167.343,110.236,7
17.699999999999818,6.771,8.91209,Clear,0,2166.364,110.209,7
17.799999999999727,6.822,8.96253,Clear,0,2165.874,110.195,7
17.90000000000009,6.868,9.00775,Clear,0,2165.384,110.182,7
18.0,6.843,8.98157,Clear,0,2164.895,110.168,7
18.09999999999991,7.308,9.44561,Clear,0,2164.405,110.155,7
18.199999999999818,7.299,9.43605,Clear,0,2163.916,110.141,7
18.299999999999727,4.994,7.12997,Clear,0,2163.427,110.128,7
18.40000000000009,5.424,7.55862,Clear,0,2162.937,110.114,7
18.5,5.888,8.0225,Clear,0,2162.448,110.101,7
18.59999999999991,6.944,9.07831,Clear,0,2161.959,110.087,7
18.699999999999818,6.784,8.91724,Clear,0,2161.47,110.074,7
18.799999999999727,6.867,8.99934,Clear,0,2160.982,110.06,7
18.90000000000009,6.805,8.93569,Clear,0,2160.493,110.047,7
19.0,6.601,8.73098,Clear,0,2160.004,110.033,7
19.09999999999991,6.522,8.6505,Clear,0,2159.516,110.02,7
19.199999999999818,7.025,9.15368,Clear,0,2159.027,110.006,7
19.299999999999727,6.524,8.65217,Clear,0,2158.539,109.993,7
19.40000000000009,6.393,8.52017,Clear,0,2158.051,109.979,7
19.5,6.806,8.93241,Clear,0,2157.562,109.966,7
19.59999999999991,6.543,8.66767,Clear,0,2157.074,109.952,7
19.699999999999818,7.051,9.17464,Clear,0,2156.586,109.938,7
19.799999999999727,6.615,8.73821,Clear,0,2156.099,109.925,7
19.90000000000009,6.53,8.6515,Clear,0,2155.611,109.911,7
20.0,6.229,8.35129,Clear,0,2155.123,109.898,7
20.09999999999991,6.34,8.46065,Clear,0,2154.635,109.884,7
20.199999999999818,6.932,9.05214,Clear,0,2154.148,109.87,7
20.299999999999727,6.388,8.50729,Clear,0,2153.66,109.857,7
20.40000000000009,6.863,8.98075,Clear,0,2153.173,109.843,7
20.5,6.314,8.43053,Clear,0,2152.686,109.83,7
20.59999999999991,6.751,8.86662,Clear,0,2152.199,109.816,7
20.699999999999818,6.591,8.70716,Clear,0,2151.712,109.802,7
20.799999999999727,6.925,9.04014,Clear,0,2151.225,109.789,7
20.90000000000009,6.415,8.52889,Clear,0,2150.738,109.775,7
21.0,6.812,8.92493,Clear,0,2150.251,109.761,7
21.09999999999991,6.458,8.57024,Clear,0,2149.764,109.748,7
21.199999999999818,6.495,8.60578,Clear,0,2149.278,109.734,7
21.299999999999727,6.557,8.66645,Clear,0,2148.791,109.72,7
21.40000000000009,6.935,9.04541,Clear,0,2148.305,109.707,7
21.5,6.766,8.87496,Clear,0,2147.819,109.693,7
21.59999999999991,6.488,8.59615,Clear,0,2147.332,109.679,7
21.699999999999818,7.415,9.52148,Clear,0,2146.846,109.666,7
21.799999999999727,6.611,8.71645,Clear,0,2146.36,109.652,7
21.90000000000009,6.487,8.59176,Clear,0,2145.874,109.638,7
22.0,6.582,8.68575,Clear,0,2145.388,109.625,7
22.09999999999991,6.817,8.9213,Clear,0,2144.903,109.611,7
22.199999999999818,6.57,8.67267,Clear,0,2144.417,109.597,7
22.299999999999727,6.771,8.87271,Clear,0,2143.932,109.583,7
22.40000000000009,6.89,8.99095,Clear,0,2143.446,109.57,7
22.5,6.541,8.64075,Clear,0,2142.961,109.556,7
22.59999999999991,7.023,9.1217,Clear,0,2142.475,109.542,7
22.699999999999818,6.635,8.73258,Clear,0,2141.99,109.528,7
22.799999999999727,6.691,8.78926,Clear,0,2141.505,109.515,7
22.90000000000009,6.481,8.57839,Clear,0,2141.02,109.501,7
23.0,6.879,8.97468,Clear,0,2140.535,109.487,7
23.09999999999991,6.688,8.78324,Clear,0,2140.051,109.473,7
23.199999999999818,6.577,8.67099,Clear,0,2139.566,109.46,7
23.299999999999727,6.451,8.54419,Clear,0,2139.081,109.446,7
23.40000000000009,6.511,8.60293,Clear,0,2138.597,109.432,7
23.5,6.701,8.79246,Clear,0,2138.112,109.418,7
23.59999999999991,6.488,8.5787,Clear,0,2137.628,109.405,7
23.699999999999818,6.35,8.44038,Clear,0,2137.144,109.391,7
23.799999999999727,6.751,8.8402,Clear,0,2136.66,109.377,7
23.90000000000009,6.614,8.70177,Clear,0,2136.176,109.363,7
24.0,7.059,9.1462,Clear,0,2135.692,109.349,7
24.09999999999991,6.859,8.94525,Clear,0,2135.208,109.335,7
24.199999999999818,6.355,8.4412,Clear,0,2134.724,109.322,7
24.299999999999727,6.358,8.44296,Clear,0,2134.24,109.308,7
24.40000000000009,6.568,8.65145,Clear,0,2133.757,109.294,7
24.59999999999991,7.289,9.3712,Clear,0,2132.79,109.266,7
24.699999999999818,6.677,8.75788,Clear,0,2132.307,109.252,7
24.799999999999727,6.892,8.97243,Clear,0,2131.824,109.239,7
24.90000000000009,6.46,8.53852,Clear,0,2131.341,109.225,7
25.0,6.598,8.6769,Clear,0,2130.858,109.211,7
25.09999999999991,6.341,8.4185,Clear,0,2130.375,109.197,7
25.199999999999818,6.514,8.59114,Clear,0,2129.892,109.183,7
25.299999999999727,6.533,8.60943,Clear,0,2129.409,109.169,7
25.40000000000009,6.553,8.62788,Clear,0,2128.927,109.155,7
25.5,6.57,8.64386,Clear,0,2128.444,109.141,7
25.59999999999991,6.308,8.38128,Clear,0,2127.962,109.127,7
25.699999999999818,6.523,8.59599,Clear,0,2127.48,109.114,7
25.799999999999727,6.428,8.50024,Clear,0,2126.997,109.1,7
