satellite, 47694 OBJECT D / PRC
catalogue, 1 NORAD
track, 19048755
variability, 0 Not variable
variability_period, 0.0
npoints, 991
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2021-03-15,01:40:43.498000,5.802,6.26787,Clear,0,1487.756,63.581,3
2021-03-15,01:40:43.598000,5.858,6.32322,Clear,0,1487.319,63.581,3
2021-03-15,01:40:43.698000,5.925,6.38875,Clear,0,1486.881,63.581,3
2021-03-15,01:40:43.898000,5.904,6.36696,Clear,0,1486.007,63.581,3
2021-03-15,01:40:43.998000,5.878,6.33991,Clear,0,1485.57,63.581,3
2021-03-15,01:40:44.098000,5.824,6.28619,Clear,0,1485.133,63.581,3
2021-03-15,01:40:44.298000,5.922,6.38245,Clear,0,1484.26,63.581,3
2021-03-15,01:40:44.398000,5.876,6.33626,Clear,0,1483.823,63.581,3
2021-03-15,01:40:44.598000,5.682,6.14102,Clear,0,1482.951,63.581,3
2021-03-15,01:40:44.698000,5.705,6.16259,Clear,0,1482.515,63.581,3
2021-03-15,01:40:44.798000,5.718,6.17524,Clear,0,1482.08,63.581,3
2021-03-15,01:40:44.898000,5.722,6.17871,Clear,0,1481.644,63.581,3
2021-03-15,01:40:44.998000,5.671,6.12721,Clear,0,1481.209,63.581,3
2021-03-15,01:40:45.098000,5.777,6.2318,Clear,0,1480.773,63.581,3
2021-03-15,01:40:45.198000,5.699,6.15385,Clear,0,1480.338,63.581,3
2021-03-15,01:40:45.298000,5.808,6.26152,Clear,0,1479.903,63.581,3
2021-03-15,01:40:45.398000,5.843,6.29559,Clear,0,1479.468,63.581,3
2021-03-15,01:40:45.498000,5.846,6.29902,Clear,0,1479.034,63.581,3
2021-03-15,01:40:45.598000,5.822,6.27442,Clear,0,1478.599,63.581,3
2021-03-15,01:40:45.698000,5.793,6.24519,Clear,0,1478.165,63.581,3
2021-03-15,01:40:45.798000,5.61,6.06046,Clear,0,1477.731,63.581,3
2021-03-15,01:40:45.898000,5.742,6.19159,Clear,0,1477.297,63.581,3
2021-03-15,01:40:45.998000,5.743,6.19258,Clear,0,1476.863,63.581,3
2021-03-15,01:40:46.098000,5.705,6.15357,Clear,0,1476.429,63.581,3
2021-03-15,01:40:46.198000,5.8,6.24792,Clear,0,1475.996,63.581,3
2021-03-15,01:40:46.298000,5.76,6.2078,Clear,0,1475.562,63.582,3
2021-03-15,01:40:46.398000,5.737,6.18357,Clear,0,1475.129,63.582,3
2021-03-15,01:40:46.498000,5.803,6.24896,Clear,0,1474.696,63.582,3
2021-03-15,01:40:46.598000,5.686,6.13145,Clear,0,1474.263,63.582,3
2021-03-15,01:40:46.698000,5.744,6.18939,Clear,0,1473.83,63.582,3
2021-03-15,01:40:46.798000,5.619,6.06403,Clear,0,1473.398,63.582,3
2021-03-15,01:40:46.898000,5.714,6.15827,Clear,0,1472.965,63.582,3
2021-03-15,01:40:46.998000,5.812,6.25456,Clear,0,1472.533,63.582,3
2021-03-15,01:40:47.098000,5.888,6.33057,Clear,0,1472.101,63.582,3
2021-03-15,01:40:47.198000,5.756,6.19745,Clear,0,1471.669,63.583,3
2021-03-15,01:40:47.298000,5.839,6.28021,Clear,0,1471.237,63.583,3
2021-03-15,01:40:47.398000,5.791,6.23219,Clear,0,1470.805,63.583,3
2021-03-15,01:40:47.498000,5.795,6.23471,Clear,0,1470.374,63.583,3
2021-03-15,01:40:47.598000,5.765,6.20395,Clear,0,1469.943,63.583,3
2021-03-15,01:40:47.698000,5.823,6.26188,Clear,0,1469.512,63.583,3
2021-03-15,01:40:47.798000,5.856,6.29417,Clear,0,1469.081,63.583,3
2021-03-15,01:40:47.898000,5.689,6.12739,Clear,0,1468.65,63.584,3
2021-03-15,01:40:47.998000,5.724,6.16051,Clear,0,1468.219,63.584,3
2021-03-15,01:40:48.098000,5.785,6.22126,Clear,0,1467.788,63.584,3
2021-03-15,01:40:48.198000,5.807,6.24311,Clear,0,1467.358,63.584,3
2021-03-15,01:40:48.298000,5.653,6.08811,Clear,0,1466.928,63.584,3
2021-03-15,01:40:48.398000,5.749,6.18324,Clear,0,1466.498,63.584,3
2021-03-15,01:40:48.498000,5.778,6.21167,Clear,0,1466.068,63.585,3
