satellite, 42960 IRIDIUM 107 / US
catalogue, 1 NORAD
track, 19049380
variability, 0 Not variable
variability_period, 0.0
npoints, 561
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2021-03-18,16:23:37.498000,5.483,4.83913,Clear,0,954.755,49.173,2
2021-03-18,16:23:37.598000,5.407,4.76282,Clear,0,954.908,49.193,2
2021-03-18,16:23:37.698000,5.492,4.84929,Clear,0,955.061,49.214,2
2021-03-18,16:23:37.798000,5.508,4.86535,Clear,0,955.215,49.234,2
2021-03-18,16:23:37.898000,5.45,4.80773,Clear,0,955.369,49.255,2
2021-03-18,16:23:37.998000,5.494,4.85243,Clear,0,955.523,49.275,2
2021-03-18,16:23:38.098000,5.446,4.80451,Clear,0,955.679,49.296,2
2021-03-18,16:23:38.198000,5.396,4.7564,Clear,0,955.834,49.316,2
2021-03-18,16:23:38.298000,5.374,4.73413,Clear,0,955.99,49.337,2
2021-03-18,16:23:38.398000,5.444,4.80491,Clear,0,956.147,49.357,2
2021-03-18,16:23:38.498000,5.582,4.94274,Clear,0,956.304,49.378,2
2021-03-18,16:23:38.598000,5.58,4.94146,Clear,0,956.462,49.399,2
2021-03-18,16:23:38.698000,5.564,4.92578,Clear,0,956.62,49.419,2
2021-03-18,16:23:38.798000,5.49,4.8529,Clear,0,956.778,49.44,2
2021-03-18,16:23:38.898000,5.481,4.84398,Clear,0,956.937,49.46,2
2021-03-18,16:23:38.998000,5.559,4.92327,Clear,0,957.097,49.481,2
2021-03-18,16:23:39.098000,5.634,4.99765,Clear,0,957.257,49.502,2
2021-03-18,16:23:39.198000,5.501,4.86585,Clear,0,957.417,49.522,2
2021-03-18,16:23:39.298000,5.53,4.8946,Clear,0,957.578,49.543,2
2021-03-18,16:23:39.398000,5.583,4.94848,Clear,0,957.74,49.564,2
2021-03-18,16:23:39.498000,5.52,4.88741,Clear,0,957.902,49.585,2
2021-03-18,16:23:39.598000,5.5,4.86726,Clear,0,958.064,49.605,2
2021-03-18,16:23:39.698000,5.47,4.83768,Clear,0,958.227,49.626,2
2021-03-18,16:23:39.798000,5.628,4.99594,Clear,0,958.391,49.647,2
2021-03-18,16:23:39.898000,5.553,4.92242,Clear,0,958.555,49.668,2
2021-03-18,16:23:39.998000,5.509,4.87781,Clear,0,958.719,49.688,2
2021-03-18,16:23:40.098000,5.553,4.92311,Clear,0,958.884,49.709,2
2021-03-18,16:23:40.198000,5.719,5.0888,Clear,0,959.05,49.73,2
2021-03-18,16:23:40.298000,5.63,5.0009,Clear,0,959.216,49.751,2
2021-03-18,16:23:40.398000,5.671,5.04245,Clear,0,959.382,49.772,2
2021-03-18,16:23:40.498000,5.606,4.97751,Clear,0,959.549,49.793,2
2021-03-18,16:23:40.598000,5.596,4.96894,Clear,0,959.716,49.813,2
2021-03-18,16:23:40.698000,5.611,4.98385,Clear,0,959.884,49.834,2
2021-03-18,16:23:40.798000,5.586,4.96009,Clear,0,960.052,49.855,2
2021-03-18,16:23:40.898000,5.531,4.90457,Clear,0,960.221,49.876,2
2021-03-18,16:23:40.998000,5.483,4.85793,Clear,0,960.391,49.897,2
2021-03-18,16:23:41.098000,5.557,4.93256,Clear,0,960.56,49.918,2
2021-03-18,16:23:41.198000,5.637,5.01294,Clear,0,960.731,49.939,2
2021-03-18,16:23:41.298000,5.549,4.92618,Clear,0,960.902,49.96,2
2021-03-18,16:23:41.398000,5.699,5.07556,Clear,0,961.073,49.981,2
2021-03-18,16:23:41.498000,5.551,4.92915,Clear,0,961.245,50.002,2
2021-03-18,16:23:41.598000,5.511,4.88928,Clear,0,961.417,50.023,2
2021-03-18,16:23:41.698000,5.545,4.92427,Clear,0,961.59,50.044,2
2021-03-18,16:23:41.798000,5.714,5.09365,Clear,0,961.763,50.065,2
2021-03-18,16:23:41.898000,5.566,4.94582,Clear,0,961.936,50.086,2
2021-03-18,16:23:41.998000,5.505,4.88612,Clear,0,962.111,50.107,2
2021-03-18,16:23:42.098000,5.702,5.08291,Clear,0,962.285,50.128,2
2021-03-18,16:23:42.198000,5.639,5.02142,Clear,0,962.46,50.149,2
2021-03-18,16:23:42.799000,5.685,5.07031,Clear,0,963.523,50.276,2
2021-03-18,16:23:42.899000,5.479,4.86534,Clear,0,963.702,50.297,2
2021-03-18,16:23:42.999000,5.746,5.13308,Clear,0,963.881,50.318,2
2021-03-18,16:23:43.099000,5.782,5.16861,Clear,0,964.06,50.339,2
2021-03-18,16:23:43.199000,5.78,5.16844,Clear,0,964.24,50.361,2
2021-03-18,16:23:43.299000,5.687,5.07511,Clear,0,964.421,50.382,2
2021-03-18,16:23:43.399000,5.72,5.10865,Clear,0,964.601,50.403,2
2021-03-18,16:23:43.497000,5.383,4.77288,Clear,0,964.779,50.424,9
2021-03-18,16:23:43.499000,5.525,4.91535,Clear,0,964.783,50.424,2
2021-03-18,16:23:43.599000,5.571,4.96047,Clear,0,964.965,50.445,2
2021-03-18,16:23:43.697000,5.361,4.75191,Clear,0,965.143,50.466,9
2021-03-18,16:23:43.699000,5.73,5.12107,Clear,0,965.147,50.467,2
2021-03-18,16:23:43.797000,5.362,4.75256,Clear,0,965.326,50.487,9
2021-03-18,16:23:43.799000,5.716,5.10737,Clear,0,965.33,50.488,2
