satellite, 36414 YAOGAN 9B / PRC
catalogue, 1 NORAD
track, 19217473
variability, 1 Aperiodic
variability_period, 0.0
npoints, 886
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2021-05-14,00:22:32.997000,6.748,7.21877,Clear,0,1509.926,61.285,5
2021-05-14,00:22:33.097000,6.771,7.24207,Clear,0,1509.664,61.272,5
2021-05-14,00:22:33.197000,6.676,7.14584,Clear,0,1509.403,61.259,5
2021-05-14,00:22:33.297000,6.801,7.2714,Clear,0,1509.142,61.246,5
2021-05-14,00:22:33.397000,6.569,7.03755,Clear,0,1508.881,61.232,5
2021-05-14,00:22:33.497000,6.759,7.22833,Clear,0,1508.62,61.219,5
2021-05-14,00:22:33.597000,6.966,7.43443,Clear,0,1508.359,61.206,5
2021-05-14,00:22:33.697000,6.774,7.24194,Clear,0,1508.099,61.193,5
2021-05-14,00:22:33.797000,6.742,7.20854,Clear,0,1507.839,61.18,5
2021-05-14,00:22:33.897000,6.811,7.27746,Clear,0,1507.579,61.166,5
2021-05-14,00:22:33.997000,6.844,7.31023,Clear,0,1507.319,61.153,5
2021-05-14,00:22:34.097000,6.771,7.23645,Clear,0,1507.06,61.14,5
2021-05-14,00:22:34.197000,6.794,7.25845,Clear,0,1506.801,61.127,5
2021-05-14,00:22:34.297000,6.543,7.00805,Clear,0,1506.542,61.114,5
2021-05-14,00:22:34.397000,6.856,7.32036,Clear,0,1506.283,61.101,5
2021-05-14,00:22:34.497000,6.803,7.26707,Clear,0,1506.024,61.087,5
2021-05-14,00:22:34.597000,6.855,7.31844,Clear,0,1505.766,61.074,5
2021-05-14,00:22:34.697000,6.772,7.23404,Clear,0,1505.508,61.061,5
2021-05-14,00:22:34.797000,6.589,7.05088,Clear,0,1505.25,61.048,5
2021-05-14,00:22:34.897000,6.792,7.25288,Clear,0,1504.993,61.034,5
2021-05-14,00:22:34.997000,6.731,7.19204,Clear,0,1504.735,61.021,5
2021-05-14,00:22:35.097000,6.518,6.97752,Clear,0,1504.478,61.008,5
2021-05-14,00:22:35.197000,6.697,7.15679,Clear,0,1504.221,60.995,5
2021-05-14,00:22:35.297000,6.77,7.22935,Clear,0,1503.964,60.982,5
2021-05-14,00:22:35.397000,6.661,7.11945,Clear,0,1503.708,60.968,5
2021-05-14,00:22:35.497000,6.721,7.17867,Clear,0,1503.451,60.955,5
2021-05-14,00:22:35.597000,6.667,7.1245,Clear,0,1503.195,60.942,5
2021-05-14,00:22:35.697000,6.683,7.13965,Clear,0,1502.94,60.929,5
2021-05-14,00:22:35.797000,6.762,7.21877,Clear,0,1502.684,60.916,5
2021-05-14,00:22:35.897000,6.705,7.16071,Clear,0,1502.429,60.902,5
2021-05-14,00:22:35.997000,6.577,7.03257,Clear,0,1502.173,60.889,5
2021-05-14,00:22:36.097000,6.632,7.08679,Clear,0,1501.919,60.876,5
2021-05-14,00:22:36.197000,6.627,7.08214,Clear,0,1501.664,60.863,5
2021-05-14,00:22:36.297000,6.554,7.00764,Clear,0,1501.409,60.85,5
2021-05-14,00:22:36.397000,6.522,6.97572,Clear,0,1501.155,60.836,5
2021-05-14,00:22:36.497000,6.677,7.13002,Clear,0,1500.901,60.823,5
2021-05-14,00:22:36.597000,6.606,7.05886,Clear,0,1500.647,60.81,5
2021-05-14,00:22:36.697000,6.747,7.1989,Clear,0,1500.394,60.797,5
2021-05-14,00:22:36.797000,6.655,7.10672,Clear,0,1500.14,60.784,5
2021-05-14,00:22:36.897000,6.621,7.07224,Clear,0,1499.887,60.77,5
2021-05-14,00:22:36.997000,6.455,6.90598,Clear,0,1499.634,60.757,5
2021-05-14,00:22:37.097000,6.548,6.99778,Clear,0,1499.382,60.744,5
