satellite, 36415 YAOGAN 9C / PRC
catalogue, 1 NORAD
track, 19956780
variability, 1 Aperiodic
variability_period, 0.0
npoints, 944
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2021-11-17,02:56:24.294000,6.88,7.54018,Clear,0,1318.763,92.89,1
2021-11-17,02:56:24.394000,6.895,7.55453,Clear,0,1318.798,92.914,1
2021-11-17,02:56:24.494000,6.922,7.58293,Clear,0,1318.833,92.938,1
2021-11-17,02:56:24.594000,7.007,7.66837,Clear,0,1318.869,92.962,1
2021-11-17,02:56:24.694000,6.971,7.63309,Clear,0,1318.904,92.986,1
2021-11-17,02:56:24.794000,6.897,7.55912,Clear,0,1318.94,93.01,1
2021-11-17,02:56:24.894000,6.973,7.6362,Clear,0,1318.976,93.034,1
2021-11-17,02:56:24.994000,6.922,7.58486,Clear,0,1319.013,93.058,1
2021-11-17,02:56:25.094000,6.946,7.61014,Clear,0,1319.05,93.082,1
2021-11-17,02:56:25.194000,6.853,7.51695,Clear,0,1319.087,93.107,1
2021-11-17,02:56:25.294000,6.773,7.43767,Clear,0,1319.124,93.131,1
2021-11-17,02:56:25.394000,6.892,7.55776,Clear,0,1319.162,93.155,1
2021-11-17,02:56:25.494000,7.036,7.70191,Clear,0,1319.2,93.179,1
2021-11-17,02:56:25.594000,6.895,7.56203,Clear,0,1319.239,93.203,1
2021-11-17,02:56:25.694000,6.862,7.5285,Clear,0,1319.277,93.227,1
2021-11-17,02:56:25.794000,6.877,7.54522,Clear,0,1319.316,93.251,1
2021-11-17,02:56:25.894000,6.868,7.53616,Clear,0,1319.356,93.275,1
2021-11-17,02:56:25.994000,7.018,7.68703,Clear,0,1319.395,93.299,1
2021-11-17,02:56:26.094000,6.992,7.66141,Clear,0,1319.435,93.323,1
2021-11-17,02:56:26.194000,7.034,7.70367,Clear,0,1319.475,93.347,1
2021-11-17,02:56:26.294000,6.873,7.5427,Clear,0,1319.516,93.371,1
2021-11-17,02:56:26.394000,7.04,7.71051,Clear,0,1319.557,93.395,1
2021-11-17,02:56:26.494000,7.0,7.67215,Clear,0,1319.598,93.419,1
2021-11-17,02:56:26.594000,6.939,7.61067,Clear,0,1319.639,93.443,1
2021-11-17,02:56:26.694000,6.839,7.51154,Clear,0,1319.681,93.467,1
2021-11-17,02:56:26.794000,6.982,7.65543,Clear,0,1319.723,93.491,1
2021-11-17,02:56:26.894000,6.87,7.54438,Clear,0,1319.765,93.515,1
2021-11-17,02:56:26.994000,6.802,7.47635,Clear,0,1319.808,93.538,1
2021-11-17,02:56:27.094000,6.947,7.62219,Clear,0,1319.851,93.562,1
2021-11-17,02:56:27.194000,6.925,7.59963,Clear,0,1319.894,93.586,1
2021-11-17,02:56:27.294000,6.886,7.5622,Clear,0,1319.937,93.61,1
2021-11-17,02:56:27.394000,6.816,7.49324,Clear,0,1319.981,93.634,1
2021-11-17,02:56:27.494000,6.953,7.63036,Clear,0,1320.025,93.658,1
2021-11-17,02:56:27.594000,6.81,7.48811,Clear,0,1320.07,93.682,1
2021-11-17,02:56:27.694000,6.731,7.40891,Clear,0,1320.114,93.706,1
2021-11-17,02:56:27.794000,6.851,7.5295,Clear,0,1320.159,93.73,1
2021-11-17,02:56:27.894000,6.728,7.40698,Clear,0,1320.205,93.754,1
2021-11-17,02:56:27.994000,6.771,7.45134,Clear,0,1320.25,93.778,1
2021-11-17,02:56:28.094000,6.746,7.42583,Clear,0,1320.296,93.802,1
2021-11-17,02:56:28.194000,6.834,7.51531,Clear,0,1320.342,93.826,1
2021-11-17,02:56:28.294000,6.732,7.41382,Clear,0,1320.389,93.85,1
2021-11-17,02:56:28.394000,6.764,7.4464,Clear,0,1320.436,93.874,1
2021-11-17,02:56:28.494000,6.664,7.34654,Clear,0,1320.483,93.898,1
2021-11-17,02:56:28.594000,6.802,7.4854,Clear,0,1320.53,93.922,1
2021-11-17,02:56:28.694000,6.74,7.42372,Clear,0,1320.578,93.946,1
2021-11-17,02:56:28.794000,6.575,7.25857,Clear,0,1320.626,93.97,1
2021-11-17,02:56:28.894000,6.659,7.34415,Clear,0,1320.675,93.994,1
2021-11-17,02:56:28.994000,6.813,7.49888,Clear,0,1320.723,94.018,1
2021-11-17,02:56:29.094000,6.73,7.41637,Clear,0,1320.772,94.042,1
2021-11-17,02:56:29.194000,6.645,7.3319,Clear,0,1320.821,94.066,1
