satellite, 37253 FALCON 9 R/B / US
catalogue, 1 NORAD
track, 20121855
variability, 0 Not variable
variability_period, 0.0
npoints, 926
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2022-02-03,21:13:01.396000,3.318,8.07447,Clear,0,11583.179,47.024,7
2022-02-03,21:13:01.496000,2.865,7.62216,Clear,0,11583.136,47.023,7
2022-02-03,21:13:01.596000,2.661,7.41838,Clear,0,11583.093,47.022,7
2022-02-03,21:13:01.696000,2.529,7.28605,Clear,0,11583.05,47.021,7
2022-02-03,21:13:01.796000,2.643,7.40025,Clear,0,11583.008,47.019,7
2022-02-03,21:13:01.896000,2.984,7.74068,Clear,0,11582.965,47.018,7
2022-02-03,21:13:01.996000,3.306,8.06259,Clear,0,11582.922,47.017,7
2022-02-03,21:13:02.096000,2.621,7.378,Clear,0,11582.879,47.016,7
2022-02-03,21:13:02.196000,2.82,7.57702,Clear,0,11582.836,47.014,7
2022-02-03,21:13:02.296000,3.069,7.82612,Clear,0,11582.793,47.013,7
2022-02-03,21:13:02.396000,3.09,7.84724,Clear,0,11582.751,47.012,7
2022-02-03,21:13:02.496000,2.92,7.67669,Clear,0,11582.708,47.011,7
2022-02-03,21:13:02.596000,3.003,7.76019,Clear,0,11582.665,47.009,7
2022-02-03,21:13:02.696000,2.524,7.28057,Clear,0,11582.622,47.008,7
2022-02-03,21:13:02.796000,2.375,7.13189,Clear,0,11582.579,47.007,7
2022-02-03,21:13:02.896000,2.708,7.46509,Clear,0,11582.536,47.006,7
2022-02-03,21:13:02.996000,3.087,7.84434,Clear,0,11582.493,47.004,7
2022-02-03,21:13:03.096000,3.163,7.92042,Clear,0,11582.451,47.003,7
2022-02-03,21:13:03.196000,2.727,7.484,Clear,0,11582.408,47.002,7
2022-02-03,21:13:03.296000,2.589,7.34637,Clear,0,11582.365,47.001,7
2022-02-03,21:13:03.396000,2.817,7.57362,Clear,0,11582.322,46.999,7
2022-02-03,21:13:03.496000,2.643,7.40025,Clear,0,11582.279,46.998,7
2022-02-03,21:13:03.596000,2.688,7.44482,Clear,0,11582.236,46.997,7
2022-02-03,21:13:03.696000,3.082,7.83855,Clear,0,11582.193,46.996,7
2022-02-03,21:13:03.796000,3.473,8.23035,Clear,0,11582.151,46.994,7
2022-02-03,21:13:03.896000,3.331,8.0877,Clear,0,11582.108,46.993,7
2022-02-03,21:13:03.996000,3.23,7.98725,Clear,0,11582.065,46.992,7
2022-02-03,21:13:04.096000,2.606,7.36269,Clear,0,11582.022,46.991,7
2022-02-03,21:13:04.196000,3.266,8.02312,Clear,0,11581.979,46.989,7
2022-02-03,21:13:04.296000,2.781,7.53805,Clear,0,11581.936,46.988,7
2022-02-03,21:13:04.396000,3.248,8.00504,Clear,0,11581.893,46.987,7
2022-02-03,21:13:04.496000,2.72,7.47674,Clear,0,11581.85,46.986,7
2022-02-03,21:13:04.596000,2.959,7.71549,Clear,0,11581.807,46.984,7
2022-02-03,21:13:04.696000,2.897,7.65414,Clear,0,11581.764,46.983,7
2022-02-03,21:13:04.796000,3.15,7.90702,Clear,0,11581.722,46.982,7
2022-02-03,21:13:04.896000,2.598,7.35527,Clear,0,11581.679,46.981,7
