satellite, 51648 ONEWEB-0458 / UK
catalogue, 1 NORAD
track, 20848968
variability, 0 Not variable
variability_period, 0.0
npoints, 1173
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2022-07-29,22:24:28.388000,7.637,7.82609,Clear,0,1298.593,65.153,1
2022-07-29,22:24:28.488000,7.724,7.91357,Clear,0,1298.639,65.185,1
2022-07-29,22:24:28.588000,7.582,7.77225,Clear,0,1298.685,65.217,1
2022-07-29,22:24:28.688000,7.787,7.97679,Clear,0,1298.732,65.248,1
2022-07-29,22:24:28.788000,7.77,7.96105,Clear,0,1298.779,65.28,1
2022-07-29,22:24:28.888000,7.816,8.00699,Clear,0,1298.827,65.312,1
2022-07-29,22:24:28.988000,7.845,8.03704,Clear,0,1298.875,65.344,1
2022-07-29,22:24:29.088000,7.83,8.02216,Clear,0,1298.923,65.375,1
2022-07-29,22:24:29.188000,7.609,7.8021,Clear,0,1298.971,65.407,1
2022-07-29,22:24:29.288000,7.921,8.11384,Clear,0,1299.02,65.439,1
2022-07-29,22:24:29.388000,7.753,7.94694,Clear,0,1299.069,65.471,1
2022-07-29,22:24:29.488000,7.864,8.05806,Clear,0,1299.119,65.502,1
2022-07-29,22:24:29.588000,7.812,8.00724,Clear,0,1299.169,65.534,1
2022-07-29,22:24:29.688000,7.752,7.94717,Clear,0,1299.219,65.566,1
2022-07-29,22:24:29.788000,7.649,7.84465,Clear,0,1299.269,65.597,1
2022-07-29,22:24:29.888000,7.797,7.99252,Clear,0,1299.32,65.629,1
2022-07-29,22:24:29.988000,7.748,7.94484,Clear,0,1299.371,65.661,1
2022-07-29,22:24:30.088000,7.723,7.92039,Clear,0,1299.423,65.692,1
2022-07-29,22:24:30.188000,7.808,8.00502,Clear,0,1299.475,65.724,1
2022-07-29,22:24:30.288000,7.864,8.06195,Clear,0,1299.527,65.756,1
2022-07-29,22:24:30.388000,7.809,8.00674,Clear,0,1299.579,65.788,1
2022-07-29,22:24:30.488000,7.926,8.12479,Clear,0,1299.632,65.819,1
2022-07-29,22:24:30.588000,7.715,7.91425,Clear,0,1299.685,65.851,1
2022-07-29,22:24:30.688000,7.299,7.49895,Clear,0,1299.739,65.883,1
2022-07-29,22:24:30.788000,7.464,7.66402,Clear,0,1299.793,65.914,1
2022-07-29,22:24:30.888000,7.617,7.81755,Clear,0,1299.847,65.946,1
2022-07-29,22:24:30.988000,7.879,8.0795,Clear,0,1299.901,65.978,1
2022-07-29,22:24:31.088000,7.693,7.89448,Clear,0,1299.956,66.009,1
2022-07-29,22:24:31.188000,7.816,8.01816,Clear,0,1300.011,66.041,1
2022-07-29,22:24:31.288000,7.775,7.97823,Clear,0,1300.067,66.073,1
2022-07-29,22:24:31.388000,7.896,8.09922,Clear,0,1300.122,66.104,1
2022-07-29,22:24:31.488000,7.806,8.00971,Clear,0,1300.179,66.136,1
2022-07-29,22:24:31.588000,7.691,7.89514,Clear,0,1300.235,66.168,1
2022-07-29,22:24:31.688000,7.721,7.92634,Clear,0,1300.292,66.199,1
2022-07-29,22:24:31.788000,7.915,8.12012,Clear,0,1300.349,66.231,1
2022-07-29,22:24:31.888000,7.853,8.05884,Clear,0,1300.407,66.263,1
2022-07-29,22:24:31.988000,7.784,7.99008,Clear,0,1300.464,66.294,1
2022-07-29,22:24:32.088000,7.758,7.96484,Clear,0,1300.523,66.326,1
2022-07-29,22:24:32.188000,7.749,7.95633,Clear,0,1300.581,66.358,1
2022-07-29,22:24:32.288000,7.712,7.92016,Clear,0,1300.64,66.389,1
2022-07-29,22:24:32.388000,7.858,8.06612,Clear,0,1300.699,66.421,1
2022-07-29,22:24:32.488000,7.753,7.962,Clear,0,1300.758,66.453,1
2022-07-29,22:24:32.588000,7.699,7.90747,Clear,0,1300.818,66.484,1
2022-07-29,22:24:32.688000,7.729,7.93856,Clear,0,1300.878,66.516,1
2022-07-29,22:24:32.788000,7.901,8.11139,Clear,0,1300.939,66.547,1
2022-07-29,22:24:32.888000,7.713,7.92382,Clear,0,1301.0,66.579,1
2022-07-29,22:24:32.988000,7.762,7.97271,Clear,0,1301.061,66.611,1
2022-07-29,22:24:33.088000,7.997,8.2092,Clear,0,1301.122,66.642,1
2022-07-29,22:24:33.188000,7.795,8.00724,Clear,0,1301.184,66.674,1
2022-07-29,22:24:33.288000,7.821,8.03425,Clear,0,1301.246,66.706,1
2022-07-29,22:24:33.388000,7.733,7.94624,Clear,0,1301.309,66.737,1
2022-07-29,22:24:33.488000,7.739,7.95256,Clear,0,1301.371,66.769,1
2022-07-29,22:24:33.588000,7.877,8.09118,Clear,0,1301.434,66.8,1
2022-07-29,22:24:33.688000,7.824,8.03933,Clear,0,1301.498,66.832,1
2022-07-29,22:24:33.788000,7.608,7.82337,Clear,0,1301.562,66.864,1
2022-07-29,22:24:33.888000,7.789,8.00452,Clear,0,1301.626,66.895,1
2022-07-29,22:24:33.988000,7.67,7.88605,Clear,0,1301.69,66.927,1
2022-07-29,22:24:34.088000,7.797,8.01418,Clear,0,1301.755,66.958,1
2022-07-29,22:24:34.188000,7.791,8.00773,Clear,0,1301.82,66.99,1
2022-07-29,22:24:34.288000,7.831,8.0493,Clear,0,1301.886,67.022,1
2022-07-29,22:24:34.388000,7.768,7.98571,Clear,0,1301.951,67.053,1
2022-07-29,22:24:34.488000,7.719,7.93832,Clear,0,1302.017,67.085,1
2022-07-29,22:24:34.588000,7.92,8.1392,Clear,0,1302.084,67.116,1
2022-07-29,22:24:34.688000,7.807,8.02693,Clear,0,1302.151,67.148,1
2022-07-29,22:24:34.788000,7.821,8.0406,Clear,0,1302.218,67.179,1
2022-07-29,22:24:34.888000,7.746,7.96651,Clear,0,1302.285,67.211,1
