satellite, 20965 USA 67 R/B(2) / US
catalogue, 1 NORAD
track, 20852632
variability, 2 Periodic
variability_period, 7.886883225
npoints, 1672
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2022-07-30,22:45:37.099000,5.722,8.94574,Clear,0,5964.879,33.857,7
2022-07-30,22:45:37.199000,6.198,9.42203,Clear,0,5964.554,33.859,7
2022-07-30,22:45:37.299000,6.044,9.26842,Clear,0,5964.229,33.862,7
2022-07-30,22:45:37.399000,5.763,8.9874,Clear,0,5963.904,33.865,7
2022-07-30,22:45:37.499000,5.652,8.87557,Clear,0,5963.579,33.868,7
2022-07-30,22:45:37.599000,5.492,8.71587,Clear,0,5963.254,33.871,7
2022-07-30,22:45:37.699000,5.608,8.83235,Clear,0,5962.929,33.874,7
2022-07-30,22:45:37.799000,5.219,8.44211,Clear,0,5962.603,33.877,7
2022-07-30,22:45:37.899000,5.944,9.16645,Clear,0,5962.278,33.88,7
2022-07-30,22:45:37.999000,5.739,8.96205,Clear,0,5961.953,33.883,7
2022-07-30,22:45:38.099000,5.401,8.62437,Clear,0,5961.628,33.885,7
2022-07-30,22:45:38.199000,5.826,9.04922,Clear,0,5961.303,33.888,7
2022-07-30,22:45:38.299000,5.304,8.5268,Clear,0,5960.978,33.891,7
2022-07-30,22:45:38.399000,5.26,8.48312,Clear,0,5960.653,33.894,7
2022-07-30,22:45:38.499000,5.38,8.60335,Clear,0,5960.329,33.897,7
2022-07-30,22:45:38.599000,5.785,9.00762,Clear,0,5960.004,33.9,7
2022-07-30,22:45:38.699000,5.952,9.17498,Clear,0,5959.679,33.903,7
2022-07-30,22:45:38.799000,5.13,8.35189,Clear,0,5959.354,33.906,7
2022-07-30,22:45:38.899000,5.812,9.03406,Clear,0,5959.029,33.909,7
2022-07-30,22:45:38.999000,5.819,9.04077,Clear,0,5958.704,33.912,7
2022-07-30,22:45:39.099000,5.874,9.09602,Clear,0,5958.38,33.915,7
2022-07-30,22:45:39.199000,5.595,8.81717,Clear,0,5958.055,33.917,7
2022-07-30,22:45:39.299000,5.165,8.38727,Clear,0,5957.73,33.92,7
2022-07-30,22:45:39.399000,6.006,9.22767,Clear,0,5957.405,33.923,7
2022-07-30,22:45:39.499000,5.5,8.7215,Clear,0,5957.081,33.926,7
2022-07-30,22:45:39.599000,5.574,8.7956,Clear,0,5956.756,33.929,7
2022-07-30,22:45:39.699000,5.746,8.96814,Clear,0,5956.431,33.932,7
2022-07-30,22:45:39.799000,5.575,8.79628,Clear,0,5956.107,33.935,7
2022-07-30,22:45:39.899000,5.421,8.64149,Clear,0,5955.782,33.938,7
2022-07-30,22:45:39.999000,5.457,8.67771,Clear,0,5955.457,33.941,7
2022-07-30,22:45:40.099000,5.711,8.93168,Clear,0,5955.133,33.944,7
2022-07-30,22:45:40.199000,5.748,8.96893,Clear,0,5954.808,33.947,7
2022-07-30,22:45:40.299000,5.103,8.32375,Clear,0,5954.484,33.949,7
2022-07-30,22:45:40.399000,5.819,9.0399,Clear,0,5954.159,33.952,7
2022-07-30,22:45:40.499000,5.8,9.02068,Clear,0,5953.835,33.955,7
2022-07-30,22:45:40.599000,5.772,8.99288,Clear,0,5953.51,33.958,7
2022-07-30,22:45:40.699000,5.98,9.20138,Clear,0,5953.186,33.961,7
2022-07-30,22:45:40.799000,6.206,9.42547,Clear,0,5952.861,33.964,7
2022-07-30,22:45:40.899000,6.163,9.38303,Clear,0,5952.537,33.967,7
2022-07-30,22:45:40.999000,5.763,8.98324,Clear,0,5952.213,33.97,7
2022-07-30,22:45:41.099000,5.68,8.9001,Clear,0,5951.888,33.973,7
2022-07-30,22:45:41.199000,5.648,8.86797,Clear,0,5951.564,33.976,7
2022-07-30,22:45:41.299000,5.618,8.83746,Clear,0,5951.24,33.979,7
2022-07-30,22:45:41.399000,5.927,9.14701,Clear,0,5950.915,33.982,7
2022-07-30,22:45:41.499000,5.649,8.86941,Clear,0,5950.591,33.985,7
2022-07-30,22:45:41.599000,5.481,8.70091,Clear,0,5950.267,33.987,7
2022-07-30,22:45:41.699000,5.856,9.07589,Clear,0,5949.943,33.99,7
2022-07-30,22:45:41.799000,5.838,9.05689,Clear,0,5949.618,33.993,7
2022-07-30,22:45:41.899000,6.148,9.36696,Clear,0,5949.294,33.996,7
2022-07-30,22:45:41.999000,5.399,8.61838,Clear,0,5948.97,33.999,7
2022-07-30,22:45:42.099000,5.697,8.91577,Clear,0,5948.646,34.002,7
2022-07-30,22:45:42.199000,5.742,8.96106,Clear,0,5948.322,34.005,7
2022-07-30,22:45:42.299000,5.824,9.04328,Clear,0,5947.998,34.008,7
2022-07-30,22:45:42.399000,5.733,8.9517,Clear,0,5947.674,34.011,7
2022-07-30,22:45:42.499000,5.538,8.75725,Clear,0,5947.35,34.014,7
2022-07-30,22:45:42.599000,5.658,8.87736,Clear,0,5947.026,34.017,7
2022-07-30,22:45:42.699000,6.05,9.26898,Clear,0,5946.702,34.02,7
2022-07-30,22:45:42.799000,5.789,9.00669,Clear,0,5946.378,34.023,7
2022-07-30,22:45:42.899000,6.093,9.31144,Clear,0,5946.054,34.026,7
2022-07-30,22:45:42.999000,6.314,9.53148,Clear,0,5945.73,34.028,7
2022-07-30,22:45:43.099000,5.76,8.97765,Clear,0,5945.406,34.031,7
2022-07-30,22:45:43.199000,5.708,8.92559,Clear,0,5945.082,34.034,7
2022-07-30,22:45:43.299000,5.373,8.59072,Clear,0,5944.758,34.037,7
2022-07-30,22:45:43.399000,5.904,9.12218,Clear,0,5944.434,34.04,7
2022-07-30,22:45:43.499000,5.425,8.64324,Clear,0,5944.111,34.043,7
2022-07-30,22:45:43.599000,5.701,8.91878,Clear,0,5943.787,34.046,7
2022-07-30,22:45:43.799000,5.843,9.06032,Clear,0,5943.139,34.052,7
2022-07-30,22:45:43.899000,5.483,8.69967,Clear,0,5942.815,34.055,7
2022-07-30,22:45:43.999000,5.713,8.93015,Clear,0,5942.492,34.058,7
2022-07-30,22:45:44.099000,5.598,8.81462,Clear,0,5942.168,34.061,7
2022-07-30,22:45:44.199000,5.534,8.75142,Clear,0,5941.844,34.064,7
2022-07-30,22:45:44.299000,5.804,9.02068,Clear,0,5941.521,34.067,7
2022-07-30,22:45:44.399000,5.818,9.03485,Clear,0,5941.197,34.07,7
2022-07-30,22:45:44.499000,5.907,9.124,Clear,0,5940.874,34.073,7
2022-07-30,22:45:44.599000,6.23,9.44733,Clear,0,5940.55,34.076,7
2022-07-30,22:45:44.699000,6.094,9.31035,Clear,0,5940.226,34.079,7
2022-07-30,22:45:44.799000,5.745,8.96106,Clear,0,5939.903,34.081,7
2022-07-30,22:45:44.899000,5.744,8.96028,Clear,0,5939.579,34.084,7
2022-07-30,22:45:44.999000,6.095,9.31144,Clear,0,5939.256,34.087,7
2022-07-30,22:45:45.099000,5.653,8.86941,Clear,0,5938.932,34.09,7
2022-07-30,22:45:45.199000,5.636,8.85154,Clear,0,5938.609,34.093,7
2022-07-30,22:45:45.299000,5.97,9.18584,Clear,0,5938.286,34.096,7
2022-07-30,22:45:45.399000,5.432,8.64793,Clear,0,5937.962,34.099,7
2022-07-30,22:45:45.499000,5.904,9.11945,Clear,0,5937.639,34.102,7
2022-07-30,22:45:45.599000,5.431,8.64676,Clear,0,5937.315,34.105,7
2022-07-30,22:45:45.699000,5.704,8.91878,Clear,0,5936.992,34.108,7
2022-07-30,22:45:45.799000,5.565,8.77957,Clear,0,5936.669,34.111,7
2022-07-30,22:45:45.899000,5.538,8.75271,Clear,0,5936.345,34.114,7
2022-07-30,22:45:45.999000,5.242,8.45666,Clear,0,5936.022,34.117,7
2022-07-30,22:45:46.099000,5.895,9.11042,Clear,0,5935.699,34.12,7
2022-07-30,22:45:46.199000,5.384,8.59855,Clear,0,5935.376,34.123,7
2022-07-30,22:45:46.299000,5.346,8.56103,Clear,0,5935.053,34.126,7
2022-07-30,22:45:46.399000,5.366,8.58073,Clear,0,5934.729,34.129,7
2022-07-30,22:45:46.499000,5.613,8.82771,Clear,0,5934.406,34.132,7
2022-07-30,22:45:46.599000,5.634,8.84942,Clear,0,5934.083,34.135,7
2022-07-30,22:45:46.699000,5.347,8.56103,Clear,0,5933.76,34.138,7
2022-07-30,22:45:46.799000,5.299,8.51328,Clear,0,5933.437,34.141,7
2022-07-30,22:45:46.899000,5.548,8.76181,Clear,0,5933.114,34.144,7
2022-07-30,22:45:46.999000,5.602,8.81599,Clear,0,5932.791,34.147,7
2022-07-30,22:45:47.099000,5.277,8.49119,Clear,0,5932.468,34.15,7
2022-07-30,22:45:47.199000,5.524,8.73793,Clear,0,5932.145,34.152,7
2022-07-30,22:45:47.299000,5.757,8.9713,Clear,0,5931.822,34.155,7
2022-07-30,22:45:47.399000,5.22,8.43375,Clear,0,5931.499,34.158,7
2022-07-30,22:45:47.499000,5.67,8.88391,Clear,0,5931.176,34.161,7
2022-07-30,22:45:47.599000,5.59,8.80371,Clear,0,5930.853,34.164,7
2022-07-30,22:45:47.699000,5.606,8.81942,Clear,0,5930.53,34.167,7
2022-07-30,22:45:47.799000,5.892,9.10504,Clear,0,5930.207,34.17,7
2022-07-30,22:45:47.899000,5.443,8.6556,Clear,0,5929.884,34.173,7
2022-07-30,22:45:47.999000,5.707,8.91954,Clear,0,5929.562,34.176,7
2022-07-30,22:45:48.099000,5.616,8.8291,Clear,0,5929.239,34.179,7
2022-07-30,22:45:48.199000,5.096,8.30904,Clear,0,5928.916,34.182,7
2022-07-30,22:45:48.299000,5.691,8.90381,Clear,0,5928.593,34.185,7
2022-07-30,22:45:48.499000,5.696,8.90903,Clear,0,5927.948,34.191,7
2022-07-30,22:45:48.599000,5.775,8.98805,Clear,0,5927.625,34.194,7
2022-07-30,22:45:48.699000,5.684,8.89566,Clear,0,5927.303,34.197,7
2022-07-30,22:45:48.799000,5.927,9.13867,Clear,0,5926.98,34.2,7
2022-07-30,22:45:48.899000,5.728,8.9401,Clear,0,5926.657,34.203,7
2022-07-30,22:45:48.999000,5.945,9.15729,Clear,0,5926.335,34.206,7
2022-07-30,22:45:49.099000,5.43,8.64147,Clear,0,5926.012,34.209,7
2022-07-30,22:45:49.199000,5.905,9.11698,Clear,0,5925.69,34.212,7
2022-07-30,22:45:49.299000,5.683,8.89533,Clear,0,5925.367,34.215,7
2022-07-30,22:45:49.399000,5.591,8.80283,Clear,0,5925.045,34.218,7
2022-07-30,22:45:49.599000,5.808,9.02018,Clear,0,5924.4,34.224,7
2022-07-30,22:45:49.699000,5.331,8.54176,Clear,0,5924.077,34.227,7
2022-07-30,22:45:49.799000,5.497,8.70762,Clear,0,5923.755,34.23,7
2022-07-30,22:45:49.899000,5.555,8.76622,Clear,0,5923.432,34.233,7
2022-07-30,22:45:49.999000,5.91,9.1206,Clear,0,5923.11,34.236,7
2022-07-30,22:45:50.099000,5.684,8.89533,Clear,0,5922.788,34.239,7
2022-07-30,22:45:50.199000,5.72,8.93054,Clear,0,5922.465,34.242,7
2022-07-30,22:45:50.299000,5.88,9.09108,Clear,0,5922.143,34.245,7
2022-07-30,22:45:50.399000,6.016,9.22727,Clear,0,5921.821,34.248,7
2022-07-30,22:45:50.499000,5.773,8.98439,Clear,0,5921.499,34.251,7
2022-07-30,22:45:50.599000,5.668,8.87924,Clear,0,5921.176,34.254,7
2022-07-30,22:45:50.699000,5.875,9.08492,Clear,0,5920.854,34.257,7
2022-07-30,22:45:50.799000,5.503,8.7126,Clear,0,5920.532,34.26,7
2022-07-30,22:45:50.899000,5.705,8.91467,Clear,0,5920.21,34.263,7
2022-07-30,22:45:50.999000,5.863,9.0727,Clear,0,5919.888,34.266,7
2022-07-30,22:45:51.099000,5.552,8.7623,Clear,0,5919.565,34.269,7
2022-07-30,22:45:51.199000,5.666,8.87561,Clear,0,5919.243,34.272,7
2022-07-30,22:45:51.299000,5.703,8.91317,Clear,0,5918.921,34.275,7
