satellite, 37832 NOAA 12 DEB / US
catalogue, 1 NORAD
track, 21229995
variability, 2 Periodic
variability_period, 2.81204336
npoints, 805
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2022-08-23,17:37:31.092000,7.277,6.80986,Clear,0,1107.152,27.327,7
2022-08-23,17:37:31.192000,6.835,6.36729,Clear,0,1106.671,27.339,7
2022-08-23,17:37:31.292000,5.986,5.51776,Clear,0,1106.189,27.351,7
2022-08-23,17:37:31.392000,6.431,5.96215,Clear,0,1105.708,27.363,7
2022-08-23,17:37:31.492000,7.221,6.75091,Clear,0,1105.227,27.376,7
2022-08-23,17:37:31.592000,7.372,6.90111,Clear,0,1104.746,27.388,7
2022-08-23,17:37:31.692000,7.562,7.09026,Clear,0,1104.266,27.401,7
2022-08-23,17:37:31.792000,7.459,6.98563,Clear,0,1103.785,27.413,7
2022-08-23,17:37:31.892000,7.489,7.01481,Clear,0,1103.305,27.425,7
2022-08-23,17:37:31.992000,7.241,6.76622,Clear,0,1102.826,27.438,7
2022-08-23,17:37:32.092000,7.262,6.78621,Clear,0,1102.346,27.451,7
2022-08-23,17:37:32.192000,7.501,7.02505,Clear,0,1101.867,27.463,7
2022-08-23,17:37:32.292000,7.481,7.00369,Clear,0,1101.388,27.476,7
2022-08-23,17:37:32.392000,7.37,6.89185,Clear,0,1100.909,27.488,7
2022-08-23,17:37:32.492000,7.133,6.65424,Clear,0,1100.431,27.501,7
2022-08-23,17:37:32.592000,6.734,6.25427,Clear,0,1099.953,27.514,7
2022-08-23,17:37:32.692000,5.899,5.41808,Clear,0,1099.475,27.526,7
2022-08-23,17:37:32.792000,6.459,5.97734,Clear,0,1098.997,27.539,7
2022-08-23,17:37:32.892000,7.006,6.52273,Clear,0,1098.519,27.552,7
2022-08-23,17:37:32.992000,7.315,6.83175,Clear,0,1098.042,27.565,7
2022-08-23,17:37:33.092000,7.423,6.93911,Clear,0,1097.565,27.578,7
