satellite, 38771 METOP-B / EUME
catalogue, 1 NORAD
track, 21245816
variability, 0 Not variable
variability_period, 0.0
npoints, 881
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2022-08-30,17:48:12.099000,3.91,3.24019,Clear,0,967.502,42.392,7
2022-08-30,17:48:12.199000,3.835,3.16509,Clear,0,967.349,42.432,7
2022-08-30,17:48:12.299000,3.857,3.1869,Clear,0,967.197,42.471,7
2022-08-30,17:48:12.399000,3.889,3.21902,Clear,0,967.046,42.51,7
2022-08-30,17:48:12.499000,3.905,3.23476,Clear,0,966.895,42.55,7
2022-08-30,17:48:12.599000,3.922,3.25198,Clear,0,966.744,42.589,7
2022-08-30,17:48:12.699000,3.93,3.26003,Clear,0,966.594,42.629,7
2022-08-30,17:48:12.799000,3.97,3.30015,Clear,0,966.445,42.668,7
2022-08-30,17:48:12.899000,3.97,3.30012,Clear,0,966.295,42.708,7
2022-08-30,17:48:12.999000,3.937,3.26735,Clear,0,966.147,42.747,7
2022-08-30,17:48:13.099000,3.994,3.3241,Clear,0,965.999,42.786,7
2022-08-30,17:48:13.199000,3.965,3.29475,Clear,0,965.851,42.826,7
2022-08-30,17:48:13.299000,3.977,3.30724,Clear,0,965.704,42.866,7
2022-08-30,17:48:13.399000,3.933,3.26307,Clear,0,965.558,42.905,7
2022-08-30,17:48:13.499000,3.977,3.30698,Clear,0,965.411,42.945,7
2022-08-30,17:48:13.599000,3.97,3.30034,Clear,0,965.266,42.984,7
2022-08-30,17:48:13.699000,3.96,3.2904,Clear,0,965.121,43.024,7
2022-08-30,17:48:13.799000,4.034,3.36354,Clear,0,964.976,43.063,7
2022-08-30,17:48:13.899000,3.939,3.26899,Clear,0,964.832,43.103,7
2022-08-30,17:48:13.999000,3.962,3.29155,Clear,0,964.689,43.143,7
2022-08-30,17:48:14.099000,3.949,3.27888,Clear,0,964.545,43.182,7
2022-08-30,17:48:14.199000,3.982,3.31161,Clear,0,964.403,43.222,7
2022-08-30,17:48:14.299000,4.013,3.34274,Clear,0,964.261,43.262,7
2022-08-30,17:48:14.399000,3.978,3.30765,Clear,0,964.119,43.301,7
2022-08-30,17:48:14.499000,3.96,3.28955,Clear,0,963.978,43.341,7
2022-08-30,17:48:14.599000,3.989,3.31781,Clear,0,963.838,43.381,7
2022-08-30,17:48:14.699000,3.98,3.30895,Clear,0,963.698,43.421,7
2022-08-30,17:48:14.799000,3.917,3.24604,Clear,0,963.558,43.46,7
2022-08-30,17:48:14.899000,3.908,3.2372,Clear,0,963.419,43.5,7
2022-08-30,17:48:14.999000,3.977,3.30635,Clear,0,963.28,43.54,7
2022-08-30,17:48:15.099000,3.935,3.26378,Clear,0,963.142,43.58,7
2022-08-30,17:48:15.199000,3.979,3.30828,Clear,0,963.005,43.62,7
2022-08-30,17:48:15.299000,3.993,3.32194,Clear,0,962.868,43.66,7
2022-08-30,17:48:15.399000,4.004,3.33255,Clear,0,962.731,43.699,7
2022-08-30,17:48:15.499000,3.924,3.25307,Clear,0,962.595,43.739,7
2022-08-30,17:48:15.599000,4.071,3.40038,Clear,0,962.46,43.779,7
2022-08-30,17:48:15.699000,3.979,3.30805,Clear,0,962.325,43.819,7
2022-08-30,17:48:15.799000,3.965,3.2942,Clear,0,962.19,43.859,7
2022-08-30,17:48:15.899000,3.948,3.27661,Clear,0,962.056,43.899,7
2022-08-30,17:48:15.999000,3.964,3.29286,Clear,0,961.923,43.939,7
2022-08-30,17:48:16.099000,3.911,3.2403,Clear,0,961.79,43.979,7
2022-08-30,17:48:16.199000,3.995,3.32404,Clear,0,961.657,44.019,7
2022-08-30,17:48:16.299000,4.027,3.35575,Clear,0,961.525,44.059,7
2022-08-30,17:48:16.399000,3.977,3.30588,Clear,0,961.394,44.099,7
2022-08-30,17:48:16.499000,4.043,3.37242,Clear,0,961.263,44.139,7
2022-08-30,17:48:16.599000,4.079,3.40746,Clear,0,961.132,44.179,7
2022-08-30,17:48:16.699000,4.011,3.33988,Clear,0,961.002,44.219,7
2022-08-30,17:48:16.799000,4.015,3.34367,Clear,0,960.873,44.259,7
2022-08-30,17:48:16.899000,4.041,3.37111,Clear,0,960.744,44.299,7
2022-08-30,17:48:16.999000,3.993,3.32336,Clear,0,960.615,44.34,7
2022-08-30,17:48:17.099000,4.008,3.33775,Clear,0,960.487,44.38,7
2022-08-30,17:48:17.199000,4.076,3.40581,Clear,0,960.36,44.42,7
2022-08-30,17:48:17.299000,4.069,3.39863,Clear,0,960.233,44.46,7
2022-08-30,17:48:17.399000,4.031,3.36085,Clear,0,960.107,44.5,7
2022-08-30,17:48:17.499000,4.088,3.41814,Clear,0,959.981,44.54,7
2022-08-30,17:48:17.599000,4.05,3.3796,Clear,0,959.855,44.581,7
2022-08-30,17:48:17.699000,4.103,3.43302,Clear,0,959.73,44.621,7
2022-08-30,17:48:17.899000,4.062,3.39208,Clear,0,959.482,44.701,7
2022-08-30,17:48:17.999000,4.104,3.43347,Clear,0,959.359,44.742,7
2022-08-30,17:48:18.099000,4.064,3.39403,Clear,0,959.236,44.782,7
2022-08-30,17:48:18.199000,3.972,3.30243,Clear,0,959.114,44.822,7
2022-08-30,17:48:18.299000,4.012,3.34227,Clear,0,958.992,44.863,7
2022-08-30,17:48:18.399000,4.038,3.36784,Clear,0,958.871,44.903,7
2022-08-30,17:48:18.499000,4.028,3.35818,Clear,0,958.75,44.943,7
2022-08-30,17:48:18.599000,4.015,3.34531,Clear,0,958.629,44.984,7
2022-08-30,17:48:18.699000,3.943,3.27283,Clear,0,958.51,45.024,7
2022-08-30,17:48:18.799000,4.075,3.40511,Clear,0,958.39,45.064,7
2022-08-30,17:48:18.899000,4.058,3.38836,Clear,0,958.272,45.105,7
2022-08-30,17:48:18.999000,4.067,3.39662,Clear,0,958.153,45.145,7
2022-08-30,17:48:19.099000,4.077,3.40676,Clear,0,958.036,45.186,7
2022-08-30,17:48:19.199000,3.983,3.31332,Clear,0,957.918,45.226,7
2022-08-30,17:48:19.299000,4.035,3.36523,Clear,0,957.802,45.267,7
2022-08-30,17:48:19.399000,4.064,3.39382,Clear,0,957.686,45.307,7
2022-08-30,17:48:19.499000,4.049,3.37978,Clear,0,957.57,45.348,7
2022-08-30,17:48:19.599000,4.063,3.39389,Clear,0,957.455,45.388,7
2022-08-30,17:48:19.699000,4.013,3.3435,Clear,0,957.34,45.429,7
2022-08-30,17:48:19.799000,4.106,3.43647,Clear,0,957.226,45.469,7
