satellite, 48149 STARLINK-2492 / US
catalogue, 1 NORAD
track, 21626002
variability, 0 Not variable
variability_period, 0.0
npoints, 503
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2022-10-14,02:26:39.592000,7.755,6.36868,Clear,0,602.864,72.22,3
2022-10-14,02:26:39.692000,7.771,6.38478,Clear,0,602.642,72.273,3
2022-10-14,02:26:39.792000,7.687,6.30109,Clear,0,602.421,72.326,3
2022-10-14,02:26:39.892000,7.761,6.37457,Clear,0,602.201,72.379,3
2022-10-14,02:26:39.992000,7.666,6.28037,Clear,0,601.981,72.432,3
2022-10-14,02:26:40.092000,7.734,6.34842,Clear,0,601.762,72.485,3
2022-10-14,02:26:40.192000,7.753,6.36717,Clear,0,601.543,72.538,3
2022-10-14,02:26:40.292000,7.657,6.27114,Clear,0,601.326,72.591,3
2022-10-14,02:26:40.392000,7.691,6.30536,Clear,0,601.109,72.645,3
2022-10-14,02:26:40.492000,7.635,6.24905,Clear,0,600.893,72.698,3
2022-10-14,02:26:40.592000,7.557,6.17108,Clear,0,600.677,72.751,3
2022-10-14,02:26:40.692000,7.665,6.27909,Clear,0,600.463,72.805,3
2022-10-14,02:26:40.792000,7.657,6.27119,Clear,0,600.249,72.858,3
2022-10-14,02:26:40.892000,7.526,6.13975,Clear,0,600.035,72.912,3
2022-10-14,02:26:40.992000,7.493,6.10729,Clear,0,599.823,72.966,3
2022-10-14,02:26:41.092000,7.762,6.37574,Clear,0,599.611,73.019,3
2022-10-14,02:26:41.192000,7.542,6.15607,Clear,0,599.4,73.073,3
2022-10-14,02:26:41.292000,7.6,6.21412,Clear,0,599.19,73.127,3
2022-10-14,02:26:41.392000,7.526,6.13952,Clear,0,598.981,73.18,3
2022-10-14,02:26:41.492000,7.472,6.08639,Clear,0,598.772,73.234,3
2022-10-14,02:26:41.592000,7.458,6.07183,Clear,0,598.564,73.288,3
2022-10-14,02:26:41.692000,7.571,6.18542,Clear,0,598.356,73.342,3
2022-10-14,02:26:41.792000,7.405,6.01923,Clear,0,598.15,73.396,3
2022-10-14,02:26:41.892000,7.489,6.10296,Clear,0,597.944,73.45,3
2022-10-14,02:26:41.992000,7.513,6.1273,Clear,0,597.739,73.504,3
2022-10-14,02:26:42.092000,7.528,6.14187,Clear,0,597.535,73.558,3
2022-10-14,02:26:42.192000,7.467,6.08089,Clear,0,597.331,73.612,3
2022-10-14,02:26:42.292000,7.485,6.09906,Clear,0,597.128,73.666,3
2022-10-14,02:26:42.392000,7.451,6.06522,Clear,0,596.926,73.72,3
2022-10-14,02:26:42.492000,7.381,5.99474,Clear,0,596.725,73.775,3
2022-10-14,02:26:42.592000,7.463,6.07689,Clear,0,596.525,73.829,3
2022-10-14,02:26:42.692000,7.393,6.00721,Clear,0,596.325,73.883,3
2022-10-14,02:26:42.792000,7.46,6.07387,Clear,0,596.126,73.938,3
2022-10-14,02:26:42.892000,7.494,6.10793,Clear,0,595.927,73.992,3
2022-10-14,02:26:42.992000,7.41,6.02375,Clear,0,595.73,74.047,3
2022-10-14,02:26:43.092000,7.445,6.05917,Clear,0,595.533,74.101,3
2022-10-14,02:26:43.192000,7.525,6.13938,Clear,0,595.337,74.156,3
2022-10-14,02:26:43.292000,7.53,6.14395,Clear,0,595.142,74.21,3
2022-10-14,02:26:43.392000,7.475,6.08859,Clear,0,594.947,74.265,3
2022-10-14,02:26:43.492000,7.512,6.12661,Clear,0,594.753,74.32,3
2022-10-14,02:26:43.592000,7.495,6.10985,Clear,0,594.56,74.374,3
2022-10-14,02:26:43.692000,7.456,6.0713,Clear,0,594.368,74.429,3
2022-10-14,02:26:43.792000,7.597,6.2115,Clear,0,594.177,74.484,3
2022-10-14,02:26:43.892000,7.505,6.1203,Clear,0,593.986,74.539,3
2022-10-14,02:26:43.992000,7.567,6.18184,Clear,0,593.796,74.594,3
2022-10-14,02:26:44.092000,7.482,6.09715,Clear,0,593.607,74.649,3
2022-10-14,02:26:44.192000,7.452,6.06672,Clear,0,593.418,74.704,3
2022-10-14,02:26:44.292000,7.457,6.07197,Clear,0,593.231,74.759,3
2022-10-14,02:26:44.392000,7.493,6.10761,Clear,0,593.044,74.814,3
2022-10-14,02:26:44.492000,7.595,6.2111,Clear,0,592.858,74.869,3
2022-10-14,02:26:44.592000,7.484,6.10042,Clear,0,592.672,74.924,3
2022-10-14,02:26:44.692000,7.513,6.12875,Clear,0,592.487,74.979,3
2022-10-14,02:26:44.792000,7.465,6.08094,Clear,0,592.304,75.035,3
2022-10-14,02:26:44.892000,7.51,6.12572,Clear,0,592.121,75.09,3
2022-10-14,02:26:44.992000,7.523,6.13923,Clear,0,591.938,75.145,3
2022-10-14,02:26:45.092000,7.507,6.12289,Clear,0,591.757,75.2,3
2022-10-14,02:26:45.192000,7.507,6.12275,Clear,0,591.576,75.256,3
2022-10-14,02:26:45.292000,7.509,6.12582,Clear,0,591.396,75.311,3
2022-10-14,02:26:45.392000,7.56,6.1771,Clear,0,591.217,75.367,3
2022-10-14,02:26:45.492000,7.57,6.18714,Clear,0,591.038,75.422,3
2022-10-14,02:26:45.592000,7.563,6.17974,Clear,0,590.86,75.478,3
2022-10-14,02:26:45.692000,7.537,6.15378,Clear,0,590.683,75.534,3
2022-10-14,02:26:45.792000,7.523,6.14022,Clear,0,590.507,75.589,3
2022-10-14,02:26:45.892000,7.596,6.21412,Clear,0,590.332,75.645,3
2022-10-14,02:26:45.992000,7.61,6.22746,Clear,0,590.157,75.701,3
2022-10-14,02:26:46.092000,7.521,6.13919,Clear,0,589.983,75.756,3
2022-10-14,02:26:46.192000,7.551,6.16847,Clear,0,589.81,75.812,3
2022-10-14,02:26:46.292000,7.607,6.22476,Clear,0,589.638,75.868,3
2022-10-14,02:26:46.392000,7.585,6.20383,Clear,0,589.467,75.924,3
2022-10-14,02:26:46.492000,7.688,6.30673,Clear,0,589.296,75.98,3
2022-10-14,02:26:46.592000,7.54,6.15889,Clear,0,589.126,76.036,3
2022-10-14,02:26:46.692000,7.662,6.28075,Clear,0,588.957,76.092,3
2022-10-14,02:26:46.792000,7.685,6.30399,Clear,0,588.788,76.148,3
2022-10-14,02:26:46.892000,7.611,6.23134,Clear,0,588.621,76.204,3
2022-10-14,02:26:46.992000,7.743,6.36306,Clear,0,588.454,76.26,3
2022-10-14,02:26:47.092000,7.635,6.25506,Clear,0,588.288,76.316,3
2022-10-14,02:26:47.192000,7.669,6.28903,Clear,0,588.123,76.373,3
2022-10-14,02:26:47.292000,7.733,6.35253,Clear,0,587.958,76.429,3
2022-10-14,02:26:47.392000,7.647,6.26757,Clear,0,587.794,76.485,3
2022-10-14,02:26:47.492000,7.705,6.32594,Clear,0,587.632,76.541,3
2022-10-14,02:26:47.592000,7.69,6.3106,Clear,0,587.469,76.598,3
2022-10-14,02:26:47.692000,7.732,6.35275,Clear,0,587.308,76.654,3
2022-10-14,02:26:47.792000,7.696,6.31785,Clear,0,587.148,76.711,3
2022-10-14,02:26:47.892000,7.56,6.1817,Clear,0,586.988,76.767,3
2022-10-14,02:26:47.992000,7.784,6.40616,Clear,0,586.829,76.824,3
2022-10-14,02:26:48.092000,7.649,6.2714,Clear,0,586.671,76.88,3
2022-10-14,02:26:48.192000,7.701,6.32365,Clear,0,586.513,76.937,3
2022-10-14,02:26:48.292000,7.631,6.25428,Clear,0,586.357,76.993,3
2022-10-14,02:26:48.392000,7.618,6.2412,Clear,0,586.201,77.05,3
2022-10-14,02:26:48.492000,7.7,6.32382,Clear,0,586.046,77.107,3
2022-10-14,02:26:48.592000,7.769,6.39316,Clear,0,585.891,77.163,3
