satellite, 23940 TOMS EP / US
catalogue, 1 NORAD
track, 2182895
variability, 1 Aperiodic
variability_period, 0.0
npoints, 916
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-09-06,01:04:58.308000,5.821,5.37837,Clear,0,902.892,76.786,6
2014-09-06,01:04:58.408000,5.876,5.43515,Clear,0,903.295,76.806,6
2014-09-06,01:04:58.508000,5.868,5.42769,Clear,0,903.697,76.826,6
2014-09-06,01:04:58.608000,5.757,5.31793,Clear,0,904.101,76.845,6
2014-09-06,01:04:58.708000,5.782,5.34386,Clear,0,904.504,76.865,6
2014-09-06,01:04:58.808000,5.7,5.26415,Clear,0,904.908,76.885,6
2014-09-06,01:04:58.908000,5.664,5.22882,Clear,0,905.312,76.904,6
2014-09-06,01:04:59.008000,5.599,5.16485,Clear,0,905.717,76.924,6
2014-09-06,01:04:59.108000,5.621,5.18764,Clear,0,906.122,76.944,6
2014-09-06,01:04:59.208000,5.738,5.30743,Clear,0,906.527,76.964,6
2014-09-06,01:04:59.308000,5.731,5.30058,Clear,0,906.933,76.983,6
2014-09-06,01:04:59.408000,5.821,5.39242,Clear,0,907.339,77.003,6
2014-09-06,01:04:59.508000,5.777,5.3491,Clear,0,907.746,77.022,6
2014-09-06,01:04:59.608000,5.908,5.48147,Clear,0,908.153,77.042,6
2014-09-06,01:04:59.708000,5.985,5.55997,Clear,0,908.56,77.062,6
2014-09-06,01:04:59.808000,6.012,5.58793,Clear,0,908.968,77.081,6
2014-09-06,01:04:59.908000,6.01,5.58812,Clear,0,909.376,77.101,6
2014-09-06,01:05:00.008000,6.071,5.6502,Clear,0,909.784,77.121,6
2014-09-06,01:05:00.108000,6.142,5.72206,Clear,0,910.193,77.14,6
2014-09-06,01:05:00.208000,6.188,5.76858,Clear,0,910.602,77.16,6
2014-09-06,01:05:00.308000,6.095,5.67832,Clear,0,911.012,77.179,6
2014-09-06,01:05:00.408000,6.203,5.78701,Clear,0,911.422,77.199,6
2014-09-06,01:05:00.508000,6.26,5.84505,Clear,0,911.832,77.218,6
2014-09-06,01:05:00.608000,6.316,5.90152,Clear,0,912.243,77.238,6
2014-09-06,01:05:00.708000,6.281,5.86933,Clear,0,912.654,77.257,6
2014-09-06,01:05:00.808000,6.29,5.87933,Clear,0,913.065,77.277,6
2014-09-06,01:05:00.908000,6.36,5.95019,Clear,0,913.477,77.296,6
2014-09-06,01:05:01.008000,6.348,5.93997,Clear,0,913.889,77.316,6
2014-09-06,01:05:01.108000,6.374,5.96707,Clear,0,914.302,77.335,6
2014-09-06,01:05:01.208000,6.321,5.91487,Clear,0,914.715,77.355,6
2014-09-06,01:05:01.308000,6.368,5.96261,Clear,0,915.128,77.374,6
2014-09-06,01:05:01.408000,6.415,6.01165,Clear,0,915.542,77.393,6
2014-09-06,01:05:01.508000,6.349,5.94724,Clear,0,915.956,77.413,6
2014-09-06,01:05:01.608000,6.354,5.95251,Clear,0,916.37,77.432,6
2014-09-06,01:05:01.708000,6.327,5.927,Clear,0,916.785,77.452,6
2014-09-06,01:05:01.808000,6.281,5.88295,Clear,0,917.2,77.471,6
2014-09-06,01:05:01.908000,6.359,5.96234,Clear,0,917.616,77.49,6
2014-09-06,01:05:02.008000,6.442,6.04562,Clear,0,918.032,77.51,6
2014-09-06,01:05:02.108000,6.343,5.94884,Clear,0,918.448,77.529,6
2014-09-06,01:05:02.208000,6.352,5.95939,Clear,0,918.865,77.548,6
2014-09-06,01:05:02.308000,6.407,6.01497,Clear,0,919.282,77.568,6
2014-09-06,01:05:02.408000,6.518,6.12726,Clear,0,919.699,77.587,6
2014-09-06,01:05:02.508000,6.414,6.02513,Clear,0,920.117,77.606,6
2014-09-06,01:05:02.608000,6.418,6.0296,Clear,0,920.535,77.625,6
2014-09-06,01:05:02.708000,6.447,6.06015,Clear,0,920.953,77.645,6
2014-09-06,01:05:02.808000,6.464,6.07882,Clear,0,921.372,77.664,6
2014-09-06,01:05:02.908000,6.453,6.06936,Clear,0,921.791,77.683,6
2014-09-06,01:05:03.008000,6.385,6.00167,Clear,0,922.211,77.702,6
2014-09-06,01:05:03.108000,6.361,5.97871,Clear,0,922.631,77.722,6
2014-09-06,01:05:03.208000,6.388,6.00815,Clear,0,923.051,77.741,6
2014-09-06,01:05:03.308000,6.341,5.96184,Clear,0,923.471,77.76,6
2014-09-06,01:05:03.408000,6.341,5.96295,Clear,0,923.892,77.779,6
2014-09-06,01:05:03.508000,6.435,6.05844,Clear,0,924.314,77.798,6
2014-09-06,01:05:03.608000,6.402,6.02739,Clear,0,924.735,77.817,6
2014-09-06,01:05:03.708000,6.408,6.03347,Clear,0,925.158,77.836,6
2014-09-06,01:05:03.808000,6.417,6.04355,Clear,0,925.58,77.856,6
2014-09-06,01:05:03.908000,6.495,6.12401,Clear,0,926.003,77.875,6
2014-09-06,01:05:04.008000,6.493,6.12302,Clear,0,926.426,77.894,6
2014-09-06,01:05:04.108000,6.4,6.03138,Clear,0,926.849,77.913,6
2014-09-06,01:05:04.208000,6.509,6.14089,Clear,0,927.273,77.932,6
2014-09-06,01:05:04.308000,6.426,6.05987,Clear,0,927.697,77.951,6
2014-09-06,01:05:04.408000,6.497,6.1318,Clear,0,928.122,77.97,6
2014-09-06,01:05:04.508000,6.427,6.06313,Clear,0,928.547,77.989,6
2014-09-06,01:05:04.608000,6.402,6.04024,Clear,0,928.972,78.008,6
2014-09-06,01:05:04.708000,6.42,6.05897,Clear,0,929.398,78.027,6
2014-09-06,01:05:04.808000,6.317,5.95721,Clear,0,929.824,78.046,6
2014-09-06,01:05:04.908000,6.484,6.12483,Clear,0,930.25,78.065,6
2014-09-06,01:05:05.008000,6.453,6.09578,Clear,0,930.677,78.084,6
2014-09-06,01:05:05.108000,6.394,6.03752,Clear,0,931.104,78.103,6
2014-09-06,01:05:05.208000,6.375,6.02033,Clear,0,931.531,78.122,6
2014-09-06,01:05:05.308000,6.416,6.06333,Clear,0,931.959,78.141,6
2014-09-06,01:05:05.408000,6.384,6.0318,Clear,0,932.387,78.16,6
2014-09-06,01:05:05.508000,6.409,6.058,Clear,0,932.815,78.179,6
2014-09-06,01:05:05.608000,6.508,6.15842,Clear,0,933.244,78.197,6
2014-09-06,01:05:05.708000,6.43,6.08205,Clear,0,933.673,78.216,6
2014-09-06,01:05:05.808000,6.393,6.0461,Clear,0,934.103,78.235,6
2014-09-06,01:05:05.908000,6.373,6.02704,Clear,0,934.532,78.254,6
2014-09-06,01:05:06.008000,6.349,6.00496,Clear,0,934.963,78.273,6
2014-09-06,01:05:06.108000,6.366,6.02268,Clear,0,935.393,78.292,6
2014-09-06,01:05:06.208000,6.394,6.05171,Clear,0,935.824,78.311,6
2014-09-06,01:05:06.308000,6.344,6.0044,Clear,0,936.255,78.329,6
2014-09-06,01:05:06.408000,6.273,5.93389,Clear,0,936.687,78.348,6
2014-09-06,01:05:06.508000,6.386,6.04835,Clear,0,937.119,78.367,6
2014-09-06,01:05:06.608000,6.272,5.93537,Clear,0,937.551,78.386,6
2014-09-06,01:05:06.708000,6.332,5.99696,Clear,0,937.983,78.404,6
2014-09-06,01:05:06.808000,6.359,6.02468,Clear,0,938.416,78.423,6
2014-09-06,01:05:06.908000,6.286,5.95261,Clear,0,938.85,78.442,6
2014-09-06,01:05:07.008000,6.34,6.00921,Clear,0,939.283,78.461,6
2014-09-06,01:05:07.108000,6.299,5.96924,Clear,0,939.717,78.479,6
2014-09-06,01:05:07.208000,6.344,6.01456,Clear,0,940.152,78.498,6
2014-09-06,01:05:07.308000,6.264,5.93626,Clear,0,940.586,78.517,6
2014-09-06,01:05:07.408000,6.245,5.91943,Clear,0,941.021,78.535,6
2014-09-06,01:05:07.508000,6.212,5.88659,Clear,0,941.456,78.554,6
2014-09-06,01:05:07.608000,6.16,5.83568,Clear,0,941.892,78.572,6
2014-09-06,01:05:07.708000,6.247,5.92488,Clear,0,942.328,78.591,6
2014-09-06,01:05:07.808000,6.107,5.78585,Clear,0,942.764,78.61,6
2014-09-06,01:05:07.908000,6.288,5.96783,Clear,0,943.201,78.628,6
2014-09-06,01:05:08.008000,6.152,5.8329,Clear,0,943.638,78.647,6
2014-09-06,01:05:08.108000,6.126,5.80872,Clear,0,944.076,78.665,6
2014-09-06,01:05:08.208000,6.076,5.76003,Clear,0,944.513,78.684,6
2014-09-06,01:05:08.308000,6.019,5.70376,Clear,0,944.951,78.703,6
2014-09-06,01:05:08.408000,6.065,5.75155,Clear,0,945.39,78.721,6
2014-09-06,01:05:08.508000,6.107,5.79491,Clear,0,945.828,78.74,6
2014-09-06,01:05:08.608000,6.059,5.74755,Clear,0,946.267,78.758,6
2014-09-06,01:05:08.708000,6.104,5.79539,Clear,0,946.707,78.777,6
2014-09-06,01:05:08.808000,6.069,5.76101,Clear,0,947.146,78.795,6
2014-09-06,01:05:08.908000,5.992,5.68526,Clear,0,947.586,78.814,6
2014-09-06,01:05:09.008000,5.997,5.69128,Clear,0,948.027,78.832,6
2014-09-06,01:05:09.108000,5.926,5.62237,Clear,0,948.467,78.85,6
2014-09-06,01:05:09.208000,5.972,5.66884,Clear,0,948.908,78.869,6
2014-09-06,01:05:09.308000,5.987,5.68486,Clear,0,949.35,78.887,6
2014-09-06,01:05:09.408000,5.999,5.69867,Clear,0,949.792,78.906,6
2014-09-06,01:05:09.508000,5.972,5.67255,Clear,0,950.234,78.924,6
2014-09-06,01:05:09.608000,5.903,5.60479,Clear,0,950.676,78.942,6
2014-09-06,01:05:09.708000,5.938,5.6421,Clear,0,951.119,78.961,6
2014-09-06,01:05:09.808000,5.861,5.56595,Clear,0,951.562,78.979,6
2014-09-06,01:05:09.909000,5.924,5.63029,Clear,0,952.009,78.998,6
2014-09-06,01:05:10.009000,5.897,5.60426,Clear,0,952.453,79.016,6
2014-09-06,01:05:10.109000,5.848,5.55672,Clear,0,952.897,79.034,6
2014-09-06,01:05:10.209000,5.857,5.56649,Clear,0,953.341,79.053,6
2014-09-06,01:05:10.309000,5.9,5.61134,Clear,0,953.786,79.071,6
2014-09-06,01:05:10.409000,5.903,5.61546,Clear,0,954.231,79.089,6
2014-09-06,01:05:10.509000,5.907,5.62081,Clear,0,954.676,79.107,6
2014-09-06,01:05:10.609000,5.869,5.58443,Clear,0,955.122,79.126,6
2014-09-06,01:05:10.709000,5.782,5.4985,Clear,0,955.568,79.144,6
2014-09-06,01:05:10.809000,5.816,5.53411,Clear,0,956.014,79.162,6
2014-09-06,01:05:10.909000,5.839,5.55789,Clear,0,956.461,79.18,6
2014-09-06,01:05:11.009000,5.845,5.56503,Clear,0,956.908,79.198,6
2014-09-06,01:05:11.109000,5.83,5.55212,Clear,0,957.355,79.217,6
2014-09-06,01:05:11.209000,5.728,5.45111,Clear,0,957.803,79.235,6
2014-09-06,01:05:11.309000,5.677,5.40073,Clear,0,958.25,79.253,6
2014-09-06,01:05:11.409000,5.652,5.37814,Clear,0,958.699,79.271,6
2014-09-06,01:05:11.509000,5.643,5.37041,Clear,0,959.147,79.289,6
2014-09-06,01:05:11.609000,5.661,5.38845,Clear,0,959.596,79.307,6
2014-09-06,01:05:11.709000,5.663,5.39333,Clear,0,960.045,79.325,6
2014-09-06,01:05:11.809000,5.592,5.32315,Clear,0,960.495,79.344,6
2014-09-06,01:05:11.909000,5.615,5.34651,Clear,0,960.945,79.362,6
2014-09-06,01:05:12.009000,5.608,5.34127,Clear,0,961.395,79.38,6
2014-09-06,01:05:12.109000,5.421,5.15634,Clear,0,961.845,79.398,6
