satellite, 14506 OPS 1294 (DMSP 5D-2 F7) / US
catalogue, 1 NORAD
track, 22616531
variability, 1 Aperiodic
variability_period, 0.0
npoints, 690
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2023-01-01,02:10:21.897000,5.548,5.2326,Clear,0,915.113,82.967,9
2023-01-01,02:10:21.997000,5.497,5.18034,Clear,0,914.77,82.947,9
2023-01-01,02:10:22.097000,5.505,5.18645,Clear,0,914.427,82.928,9
2023-01-01,02:10:22.197000,5.557,5.23783,Clear,0,914.085,82.908,9
2023-01-01,02:10:22.297000,5.514,5.19415,Clear,0,913.743,82.888,9
2023-01-01,02:10:22.397000,5.489,5.16843,Clear,0,913.401,82.869,9
2023-01-01,02:10:22.497000,5.478,5.15609,Clear,0,913.06,82.849,9
2023-01-01,02:10:22.597000,5.457,5.1344,Clear,0,912.719,82.829,9
2023-01-01,02:10:22.697000,5.525,5.20032,Clear,0,912.379,82.809,9
2023-01-01,02:10:22.797000,5.485,5.15898,Clear,0,912.039,82.79,9
2023-01-01,02:10:22.897000,5.443,5.11596,Clear,0,911.7,82.77,9
2023-01-01,02:10:22.997000,5.531,5.20274,Clear,0,911.361,82.75,9
2023-01-01,02:10:23.097000,5.52,5.19091,Clear,0,911.022,82.73,9
2023-01-01,02:10:23.197000,5.516,5.18576,Clear,0,910.684,82.711,9
2023-01-01,02:10:23.297000,5.48,5.14937,Clear,0,910.346,82.691,9
2023-01-01,02:10:23.497000,5.554,5.2199,Clear,0,909.672,82.651,9
2023-01-01,02:10:23.597000,5.536,5.20139,Clear,0,909.336,82.632,9
2023-01-01,02:10:23.697000,5.534,5.19753,Clear,0,909.0,82.612,9
2023-01-01,02:10:23.797000,5.635,5.2984,Clear,0,908.664,82.592,9
2023-01-01,02:10:23.897000,5.57,5.2321,Clear,0,908.329,82.572,9
2023-01-01,02:10:23.997000,5.44,5.10083,Clear,0,907.994,82.552,9
2023-01-01,02:10:24.097000,5.537,5.19738,Clear,0,907.66,82.532,9
2023-01-01,02:10:24.197000,5.497,5.15544,Clear,0,907.326,82.513,9
2023-01-01,02:10:24.297000,5.529,5.18575,Clear,0,906.993,82.493,9
2023-01-01,02:10:24.397000,5.521,5.17724,Clear,0,906.66,82.473,9
2023-01-01,02:10:24.497000,5.575,5.23011,Clear,0,906.328,82.453,9
2023-01-01,02:10:24.597000,5.528,5.18209,Clear,0,905.995,82.433,9
2023-01-01,02:10:24.697000,5.532,5.18464,Clear,0,905.664,82.413,9
2023-01-01,02:10:24.797000,5.496,5.14776,Clear,0,905.333,82.393,9
2023-01-01,02:10:24.897000,5.526,5.17726,Clear,0,905.002,82.373,9
2023-01-01,02:10:24.997000,5.595,5.24354,Clear,0,904.672,82.353,9
2023-01-01,02:10:25.097000,5.51,5.158,Clear,0,904.342,82.333,9
2023-01-01,02:10:25.197000,5.496,5.14261,Clear,0,904.012,82.313,9
2023-01-01,02:10:25.297000,5.437,5.08291,Clear,0,903.683,82.293,9
2023-01-01,02:10:25.397000,5.422,5.06649,Clear,0,903.355,82.273,9
2023-01-01,02:10:25.497000,5.36,5.00376,Clear,0,903.027,82.253,9
2023-01-01,02:10:25.597000,5.341,4.98418,Clear,0,902.699,82.233,9
2023-01-01,02:10:25.697000,5.314,4.95643,Clear,0,902.372,82.213,9
2023-01-01,02:10:25.797000,5.305,4.94502,Clear,0,902.045,82.193,9
2023-01-01,02:10:25.897000,5.359,4.99782,Clear,0,901.719,82.173,9
2023-01-01,02:10:25.997000,5.294,4.93197,Clear,0,901.393,82.153,9
2023-01-01,02:10:26.097000,5.305,4.94219,Clear,0,901.067,82.133,9
2023-01-01,02:10:26.197000,5.369,5.00532,Clear,0,900.742,82.113,9
2023-01-01,02:10:26.297000,5.338,4.97331,Clear,0,900.418,82.093,9
2023-01-01,02:10:26.397000,5.38,5.01417,Clear,0,900.094,82.073,9
2023-01-01,02:10:26.497000,5.404,5.03653,Clear,0,899.77,82.053,9
2023-01-01,02:10:26.597000,5.351,4.98305,Clear,0,899.447,82.033,9
2023-01-01,02:10:26.697000,5.431,5.06089,Clear,0,899.124,82.013,9
2023-01-01,02:10:26.797000,5.383,5.01207,Clear,0,898.802,81.993,9
2023-01-01,02:10:26.897000,5.425,5.05299,Clear,0,898.48,81.973,9
2023-01-01,02:10:26.997000,5.362,4.98909,Clear,0,898.158,81.953,9
2023-01-01,02:10:27.097000,5.39,5.01595,Clear,0,897.837,81.932,9
2023-01-01,02:10:27.197000,5.339,4.96417,Clear,0,897.517,81.912,9
2023-01-01,02:10:27.297000,5.345,4.96855,Clear,0,897.197,81.892,9
2023-01-01,02:10:27.397000,5.33,4.95315,Clear,0,896.877,81.872,9
2023-01-01,02:10:27.497000,5.31,4.93229,Clear,0,896.558,81.852,9
2023-01-01,02:10:27.597000,5.302,4.92183,Clear,0,896.239,81.832,9
2023-01-01,02:10:27.697000,5.306,4.925,Clear,0,895.921,81.811,9
2023-01-01,02:10:27.797000,5.232,4.84987,Clear,0,895.603,81.791,9
2023-01-01,02:10:27.897000,5.271,4.88815,Clear,0,895.286,81.771,9
2023-01-01,02:10:27.997000,5.23,4.84614,Clear,0,894.969,81.751,9
2023-01-01,02:10:28.097000,5.241,4.85548,Clear,0,894.652,81.731,9
2023-01-01,02:10:28.197000,5.213,4.8266,Clear,0,894.336,81.71,9
2023-01-01,02:10:28.297000,5.171,4.78397,Clear,0,894.021,81.69,9
2023-01-01,02:10:28.397000,5.232,4.84418,Clear,0,893.706,81.67,9
2023-01-01,02:10:28.497000,5.231,4.84161,Clear,0,893.391,81.65,9
2023-01-01,02:10:28.597000,5.256,4.86463,Clear,0,893.077,81.629,9
2023-01-01,02:10:28.697000,5.226,4.83413,Clear,0,892.763,81.609,9
2023-01-01,02:10:28.797000,5.214,4.82079,Clear,0,892.45,81.589,9
2023-01-01,02:10:28.897000,5.155,4.76077,Clear,0,892.137,81.568,9
2023-01-01,02:10:28.997000,5.191,4.79602,Clear,0,891.825,81.548,9
2023-01-01,02:10:29.097000,5.209,4.81313,Clear,0,891.513,81.528,9
2023-01-01,02:10:29.197000,5.233,4.83615,Clear,0,891.201,81.507,9
2023-01-01,02:10:29.297000,5.242,4.84389,Clear,0,890.89,81.487,9
2023-01-01,02:10:29.397000,5.259,4.85951,Clear,0,890.58,81.467,9
2023-01-01,02:10:29.497000,5.263,4.86258,Clear,0,890.27,81.446,9
2023-01-01,02:10:29.597000,5.267,4.86636,Clear,0,889.96,81.426,9
2023-01-01,02:10:29.697000,5.243,4.84022,Clear,0,889.651,81.406,9
2023-01-01,02:10:29.797000,5.246,4.84155,Clear,0,889.342,81.385,9
2023-01-01,02:10:29.897000,5.235,4.82955,Clear,0,889.034,81.365,9
2023-01-01,02:10:29.997000,5.247,4.84113,Clear,0,888.726,81.345,9
2023-01-01,02:10:30.097000,5.2,4.79271,Clear,0,888.419,81.324,9
2023-01-01,02:10:30.197000,5.215,4.80729,Clear,0,888.112,81.304,9
2023-01-01,02:10:30.297000,5.233,4.8237,Clear,0,887.806,81.283,9
2023-01-01,02:10:30.397000,5.157,4.74647,Clear,0,887.5,81.263,9
2023-01-01,02:10:30.497000,5.172,4.76129,Clear,0,887.195,81.242,9
2023-01-01,02:10:30.597000,5.175,4.76263,Clear,0,886.89,81.222,9
2023-01-01,02:10:30.697000,5.133,4.71955,Clear,0,886.585,81.202,9
2023-01-01,02:10:30.797000,5.185,4.77134,Clear,0,886.281,81.181,9
2023-01-01,02:10:30.897000,5.156,4.73966,Clear,0,885.978,81.161,9
2023-01-01,02:10:30.997000,5.162,4.7448,Clear,0,885.675,81.14,9
2023-01-01,02:10:31.097000,5.122,4.70411,Clear,0,885.372,81.12,9
2023-01-01,02:10:31.197000,5.066,4.64672,Clear,0,885.07,81.099,9
2023-01-01,02:10:31.297000,5.034,4.61425,Clear,0,884.768,81.079,9
2023-01-01,02:10:31.397000,5.063,4.64157,Clear,0,884.467,81.058,9
2023-01-01,02:10:31.497000,5.03,4.60819,Clear,0,884.166,81.038,9
2023-01-01,02:10:31.597000,5.036,4.61303,Clear,0,883.866,81.017,9
2023-01-01,02:10:31.697000,4.997,4.57287,Clear,0,883.566,80.997,9
2023-01-01,02:10:31.797000,5.024,4.59859,Clear,0,883.267,80.976,9
2023-01-01,02:10:31.897000,5.046,4.62008,Clear,0,882.968,80.956,9
2023-01-01,02:10:31.997000,5.004,4.57738,Clear,0,882.669,80.935,9
2023-01-01,02:10:32.097000,5.064,4.63561,Clear,0,882.372,80.914,9
2023-01-01,02:10:32.197000,5.034,4.60502,Clear,0,882.074,80.894,9
2023-01-01,02:10:32.297000,4.995,4.56529,Clear,0,881.777,80.873,9
2023-01-01,02:10:32.397000,5.041,4.60898,Clear,0,881.481,80.853,9
2023-01-01,02:10:32.497000,4.983,4.54962,Clear,0,881.185,80.832,9
2023-01-01,02:10:32.597000,4.985,4.55065,Clear,0,880.889,80.811,9
2023-01-01,02:10:32.697000,5.014,4.57916,Clear,0,880.594,80.791,9
2023-01-01,02:10:32.797000,5.02,4.58408,Clear,0,880.299,80.77,9
2023-01-01,02:10:32.897000,4.971,4.53407,Clear,0,880.005,80.75,9
2023-01-01,02:10:32.997000,4.961,4.5228,Clear,0,879.712,80.729,9
2023-01-01,02:10:33.097000,4.977,4.53829,Clear,0,879.419,80.708,9
2023-01-01,02:10:33.197000,5.002,4.56196,Clear,0,879.126,80.688,9
2023-01-01,02:10:33.297000,4.972,4.53141,Clear,0,878.834,80.667,9
2023-01-01,02:10:33.397000,5.0,4.55807,Clear,0,878.542,80.646,9
2023-01-01,02:10:33.497000,5.027,4.58391,Clear,0,878.251,80.626,9
2023-01-01,02:10:33.597000,5.014,4.57033,Clear,0,877.96,80.605,9
2023-01-01,02:10:33.697000,5.059,4.61381,Clear,0,877.67,80.584,9
2023-01-01,02:10:33.797000,5.053,4.60682,Clear,0,877.38,80.564,9
2023-01-01,02:10:33.897000,5.068,4.62073,Clear,0,877.091,80.543,9
2023-01-01,02:10:33.997000,5.091,4.64302,Clear,0,876.802,80.522,9
2023-01-01,02:10:34.097000,5.156,4.70652,Clear,0,876.513,80.501,9
2023-01-01,02:10:34.197000,5.112,4.66074,Clear,0,876.226,80.481,9
2023-01-01,02:10:34.297000,5.139,4.6866,Clear,0,875.938,80.46,9
2023-01-01,02:10:34.397000,5.11,4.65685,Clear,0,875.651,80.439,9
2023-01-01,02:10:34.497000,5.178,4.7238,Clear,0,875.365,80.418,9
2023-01-01,02:10:34.597000,5.138,4.68319,Clear,0,875.079,80.398,9
2023-01-01,02:10:34.697000,5.159,4.70319,Clear,0,874.793,80.377,9
2023-01-01,02:10:34.797000,5.184,4.72717,Clear,0,874.509,80.356,9
2023-01-01,02:10:34.897000,5.155,4.69685,Clear,0,874.224,80.335,9
2023-01-01,02:10:34.997000,5.142,4.68332,Clear,0,873.94,80.315,9
2023-01-01,02:10:35.097000,5.17,4.71031,Clear,0,873.657,80.294,9
2023-01-01,02:10:35.197000,5.217,4.7559,Clear,0,873.374,80.273,9
2023-01-01,02:10:35.297000,5.106,4.64356,Clear,0,873.091,80.252,9
2023-01-01,02:10:35.397000,5.125,4.66244,Clear,0,872.809,80.231,9
2023-01-01,02:10:35.497000,5.129,4.66534,Clear,0,872.528,80.211,9
2023-01-01,02:10:35.597000,5.17,4.70453,Clear,0,872.246,80.19,9
2023-01-01,02:10:35.697000,5.08,4.61379,Clear,0,871.966,80.169,9
2023-01-01,02:10:35.797000,5.093,4.62587,Clear,0,871.686,80.148,9
2023-01-01,02:10:35.897000,5.083,4.61507,Clear,0,871.406,80.127,9
2023-01-01,02:10:35.997000,5.033,4.56397,Clear,0,871.127,80.106,9
2023-01-01,02:10:36.097000,5.081,4.61109,Clear,0,870.849,80.085,9
2023-01-01,02:10:36.197000,5.112,4.64058,Clear,0,870.571,80.065,9
2023-01-01,02:10:36.297000,5.178,4.70615,Clear,0,870.293,80.044,9
2023-01-01,02:10:36.397000,5.162,4.68907,Clear,0,870.016,80.023,9
2023-01-01,02:10:36.497000,5.149,4.67467,Clear,0,869.739,80.002,9
2023-01-01,02:10:36.597000,5.093,4.61762,Clear,0,869.463,79.981,9
2023-01-01,02:10:36.697000,5.102,4.62616,Clear,0,869.187,79.96,9
2023-01-01,02:10:36.797000,5.087,4.61036,Clear,0,868.912,79.939,9
2023-01-01,02:10:36.897000,5.091,4.61326,Clear,0,868.638,79.918,9
2023-01-01,02:10:36.997000,5.113,4.63413,Clear,0,868.364,79.897,9
2023-01-01,02:10:37.097000,5.044,4.56409,Clear,0,868.09,79.876,9
2023-01-01,02:10:37.197000,5.066,4.58456,Clear,0,867.817,79.856,9
2023-01-01,02:10:37.297000,5.038,4.55644,Clear,0,867.544,79.835,9
2023-01-01,02:10:37.397000,5.058,4.57472,Clear,0,867.272,79.814,9
2023-01-01,02:10:37.497000,4.966,4.4816,Clear,0,867.0,79.793,9
2023-01-01,02:10:37.597000,4.976,4.49064,Clear,0,866.729,79.772,9
2023-01-01,02:10:37.697000,4.95,4.46377,Clear,0,866.459,79.751,9
2023-01-01,02:10:37.797000,4.972,4.48446,Clear,0,866.188,79.73,9
2023-01-01,02:10:37.897000,4.974,4.48462,Clear,0,865.919,79.709,9
2023-01-01,02:10:37.997000,4.889,4.39874,Clear,0,865.65,79.688,9
2023-01-01,02:10:38.097000,4.828,4.3374,Clear,0,865.381,79.667,9
2023-01-01,02:10:38.197000,4.833,4.34104,Clear,0,865.113,79.646,9
2023-01-01,02:10:38.297000,4.759,4.26632,Clear,0,864.845,79.625,9
2023-01-01,02:10:38.397000,4.814,4.31975,Clear,0,864.578,79.604,9
2023-01-01,02:10:38.497000,4.732,4.23681,Clear,0,864.311,79.583,9
2023-01-01,02:10:38.597000,4.658,4.16183,Clear,0,864.045,79.562,9
2023-01-01,02:10:38.697000,4.638,4.14061,Clear,0,863.78,79.541,9
2023-01-01,02:10:38.797000,4.599,4.10048,Clear,0,863.515,79.52,9
2023-01-01,02:10:38.897000,4.552,4.05289,Clear,0,863.25,79.499,9
2023-01-01,02:10:38.997000,4.583,4.08317,Clear,0,862.986,79.478,9
2023-01-01,02:10:39.097000,4.54,4.03864,Clear,0,862.722,79.457,9
2023-01-01,02:10:39.197000,4.572,4.07008,Clear,0,862.459,79.436,9
2023-01-01,02:10:39.297000,4.588,4.0849,Clear,0,862.197,79.414,9
2023-01-01,02:10:39.397000,4.644,4.14134,Clear,0,861.934,79.393,9
2023-01-01,02:10:39.497000,4.624,4.11949,Clear,0,861.673,79.372,9
2023-01-01,02:10:39.597000,4.677,4.17185,Clear,0,861.412,79.351,9
2023-01-01,02:10:39.697000,4.702,4.19546,Clear,0,861.151,79.33,9
2023-01-01,02:10:39.797000,4.704,4.19676,Clear,0,860.891,79.309,9
2023-01-01,02:10:39.897000,4.694,4.18616,Clear,0,860.632,79.288,9
2023-01-01,02:10:39.997000,4.675,4.16566,Clear,0,860.373,79.267,9
2023-01-01,02:10:40.095000,4.745,4.23465,Clear,0,860.119,79.246,4
2023-01-01,02:10:40.097000,4.639,4.12888,Clear,0,860.114,79.246,9
2023-01-01,02:10:40.195000,4.59,4.07899,Clear,0,859.861,79.225,4
2023-01-01,02:10:40.197000,4.673,4.16196,Clear,0,859.856,79.225,9
2023-01-01,02:10:40.295000,4.624,4.11151,Clear,0,859.604,79.204,4
2023-01-01,02:10:40.297000,4.673,4.16092,Clear,0,859.599,79.204,9
2023-01-01,02:10:40.395000,4.618,4.10476,Clear,0,859.347,79.183,4
