satellite, 40112 CZ-4C R/B / PRC
catalogue, 1 NORAD
track, 2290141
variability, 1 Aperiodic
variability_period, 0.0
npoints, 643
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-09-12,01:18:32.068000,4.224,4.51282,Clear,0,1315.745,70.712,2
2014-09-12,01:18:32.168000,4.221,4.50866,Clear,0,1315.34,70.711,2
2014-09-12,01:18:32.268000,4.288,4.57456,Clear,0,1314.935,70.711,2
2014-09-12,01:18:32.368000,4.293,4.58024,Clear,0,1314.531,70.711,2
2014-09-12,01:18:32.468000,4.345,4.63073,Clear,0,1314.126,70.711,2
2014-09-12,01:18:32.568000,4.305,4.59034,Clear,0,1313.722,70.711,2
2014-09-12,01:18:32.668000,4.322,4.60683,Clear,0,1313.318,70.71,2
2014-09-12,01:18:32.768000,4.389,4.67324,Clear,0,1312.914,70.71,2
2014-09-12,01:18:32.868000,4.267,4.55042,Clear,0,1312.511,70.71,2
2014-09-12,01:18:32.968000,4.413,4.69614,Clear,0,1312.108,70.71,2
2014-09-12,01:18:33.068000,4.35,4.63147,Clear,0,1311.704,70.71,2
2014-09-12,01:18:33.168000,4.469,4.75031,Clear,0,1311.301,70.709,2
2014-09-12,01:18:33.268000,4.518,4.79766,Clear,0,1310.899,70.709,2
2014-09-12,01:18:33.368000,4.36,4.63951,Clear,0,1310.496,70.709,2
2014-09-12,01:18:33.468000,4.505,4.78357,Clear,0,1310.094,70.709,2
2014-09-12,01:18:33.568000,4.507,4.78472,Clear,0,1309.692,70.709,2
2014-09-12,01:18:33.668000,4.437,4.7147,Clear,0,1309.29,70.708,2
2014-09-12,01:18:33.768000,4.464,4.74074,Clear,0,1308.888,70.708,2
2014-09-12,01:18:33.868000,4.459,4.73465,Clear,0,1308.487,70.708,2
2014-09-12,01:18:33.968000,4.54,4.81611,Clear,0,1308.085,70.708,2
2014-09-12,01:18:34.068000,4.549,4.82369,Clear,0,1307.684,70.708,2
2014-09-12,01:18:34.168000,4.506,4.77945,Clear,0,1307.284,70.708,2
2014-09-12,01:18:34.268000,4.554,4.82815,Clear,0,1306.883,70.708,2
2014-09-12,01:18:34.368000,4.545,4.81756,Clear,0,1306.482,70.707,2
2014-09-12,01:18:34.468000,4.582,4.85419,Clear,0,1306.082,70.707,2
2014-09-12,01:18:34.568000,4.6,4.87223,Clear,0,1305.682,70.707,2
2014-09-12,01:18:34.668000,4.505,4.77571,Clear,0,1305.282,70.707,2
2014-09-12,01:18:34.768000,4.62,4.8895,Clear,0,1304.883,70.707,2
2014-09-12,01:18:34.868000,4.573,4.84344,Clear,0,1304.483,70.707,2
2014-09-12,01:18:34.968000,4.609,4.87784,Clear,0,1304.084,70.707,2
2014-09-12,01:18:35.068000,4.737,5.00479,Clear,0,1303.685,70.706,2
2014-09-12,01:18:35.168000,4.704,4.97193,Clear,0,1303.286,70.706,2
2014-09-12,01:18:35.268000,4.678,4.94488,Clear,0,1302.888,70.706,2
2014-09-12,01:18:35.368000,4.743,5.00911,Clear,0,1302.489,70.706,2
2014-09-12,01:18:35.468000,4.723,4.98852,Clear,0,1302.091,70.706,2
2014-09-12,01:18:35.568000,4.644,4.90867,Clear,0,1301.693,70.706,2
2014-09-12,01:18:35.668000,4.737,5.00067,Clear,0,1301.296,70.706,2
2014-09-12,01:18:35.768000,4.867,5.13096,Clear,0,1300.898,70.706,2
2014-09-12,01:18:35.868000,4.755,5.01839,Clear,0,1300.501,70.706,2
2014-09-12,01:18:35.968000,4.748,5.00967,Clear,0,1300.104,70.706,2
2014-09-12,01:18:36.068000,4.749,5.01114,Clear,0,1299.707,70.706,2
2014-09-12,01:18:36.168000,4.708,4.96877,Clear,0,1299.31,70.706,2
2014-09-12,01:18:36.268000,4.768,5.02861,Clear,0,1298.913,70.705,2
2014-09-12,01:18:36.368000,4.722,4.98159,Clear,0,1298.517,70.705,2
2014-09-12,01:18:36.468000,4.736,4.99526,Clear,0,1298.121,70.705,2
2014-09-12,01:18:36.568000,4.852,5.11055,Clear,0,1297.725,70.705,2
2014-09-12,01:18:36.668000,4.739,4.99695,Clear,0,1297.33,70.705,2
2014-09-12,01:18:36.768000,4.855,5.11242,Clear,0,1296.934,70.705,2
2014-09-12,01:18:36.868000,4.715,4.97238,Clear,0,1296.539,70.705,2
2014-09-12,01:18:36.968000,4.723,4.97892,Clear,0,1296.144,70.705,2
2014-09-12,01:18:37.068000,4.71,4.96474,Clear,0,1295.749,70.705,2
2014-09-12,01:18:37.168000,4.722,4.9774,Clear,0,1295.355,70.705,2
2014-09-12,01:18:37.268000,4.694,4.94766,Clear,0,1294.96,70.705,2
2014-09-12,01:18:37.368000,4.844,5.0966,Clear,0,1294.566,70.705,2
2014-09-12,01:18:37.468000,4.733,4.98619,Clear,0,1294.172,70.705,2
2014-09-12,01:18:37.568000,4.744,4.99635,Clear,0,1293.778,70.705,2
2014-09-12,01:18:37.668000,4.728,4.97876,Clear,0,1293.385,70.705,2
2014-09-12,01:18:37.768000,4.682,4.93338,Clear,0,1292.992,70.705,2
2014-09-12,01:18:37.868000,4.705,4.95457,Clear,0,1292.598,70.705,2
2014-09-12,01:18:37.968000,4.683,4.93161,Clear,0,1292.206,70.705,2
2014-09-12,01:18:38.068000,4.603,4.85177,Clear,0,1291.813,70.705,2
2014-09-12,01:18:38.168000,4.648,4.89551,Clear,0,1291.421,70.705,2
2014-09-12,01:18:38.268000,4.692,4.93881,Clear,0,1291.028,70.705,2
2014-09-12,01:18:38.368000,4.546,4.79266,Clear,0,1290.636,70.705,2
2014-09-12,01:18:38.468000,4.561,4.80685,Clear,0,1290.244,70.705,2
2014-09-12,01:18:38.568000,4.538,4.78323,Clear,0,1289.853,70.705,2
2014-09-12,01:18:38.668000,4.663,4.90835,Clear,0,1289.461,70.705,2
2014-09-12,01:18:38.768000,4.493,4.73685,Clear,0,1289.07,70.705,2
2014-09-12,01:18:38.868000,4.438,4.68125,Clear,0,1288.679,70.705,2
2014-09-12,01:18:38.968000,4.448,4.69112,Clear,0,1288.289,70.705,2
2014-09-12,01:18:39.068000,4.331,4.57327,Clear,0,1287.898,70.705,2
2014-09-12,01:18:39.168000,4.34,4.58085,Clear,0,1287.508,70.706,2
2014-09-12,01:18:39.268000,4.23,4.47048,Clear,0,1287.118,70.706,2
2014-09-12,01:18:39.368000,4.336,4.5763,Clear,0,1286.728,70.706,2
2014-09-12,01:18:39.468000,4.223,4.46229,Clear,0,1286.338,70.706,2
2014-09-12,01:18:39.568000,4.171,4.40972,Clear,0,1285.949,70.706,2
2014-09-12,01:18:39.668000,4.17,4.40835,Clear,0,1285.56,70.706,2
2014-09-12,01:18:39.768000,4.1,4.33664,Clear,0,1285.171,70.706,2
2014-09-12,01:18:39.868000,3.943,4.17983,Clear,0,1284.782,70.706,2
2014-09-12,01:18:39.968000,3.913,4.14908,Clear,0,1284.393,70.706,2
2014-09-12,01:18:40.068000,3.838,4.07318,Clear,0,1284.005,70.706,2
2014-09-12,01:18:40.168000,3.782,4.01744,Clear,0,1283.617,70.706,2
2014-09-12,01:18:40.268000,3.744,3.97757,Clear,0,1283.229,70.707,2
2014-09-12,01:18:40.368000,3.581,3.81432,Clear,0,1282.841,70.707,2
2014-09-12,01:18:40.468000,3.438,3.67118,Clear,0,1282.454,70.707,2
2014-09-12,01:18:40.568000,3.242,3.47407,Clear,0,1282.067,70.707,2
2014-09-12,01:18:40.668000,3.034,3.26633,Clear,0,1281.68,70.707,2
2014-09-12,01:18:40.768000,2.789,3.02014,Clear,0,1281.293,70.707,2
2014-09-12,01:18:40.868000,2.581,2.81078,Clear,0,1280.906,70.707,2
2014-09-12,01:18:40.968000,2.232,2.46187,Clear,0,1280.52,70.707,2
2014-09-12,01:18:41.068000,2.406,2.635,Clear,0,1280.134,70.708,2
2014-09-12,01:18:41.168000,2.757,2.98479,Clear,0,1279.748,70.708,2
2014-09-12,01:18:41.268000,3.082,3.31042,Clear,0,1279.362,70.708,2
2014-09-12,01:18:41.368000,3.249,3.47605,Clear,0,1278.976,70.708,2
2014-09-12,01:18:41.468000,3.378,3.60409,Clear,0,1278.591,70.708,2
2014-09-12,01:18:41.568000,3.45,3.67618,Clear,0,1278.206,70.708,2
2014-09-12,01:18:41.668000,3.618,3.84286,Clear,0,1277.821,70.709,2
2014-09-12,01:18:41.768000,3.738,3.96236,Clear,0,1277.437,70.709,2
2014-09-12,01:18:41.868000,3.845,4.06943,Clear,0,1277.052,70.709,2
2014-09-12,01:18:41.968000,3.855,4.07795,Clear,0,1276.668,70.709,2
2014-09-12,01:18:42.068000,3.999,4.22094,Clear,0,1276.284,70.709,2
2014-09-12,01:18:42.168000,3.989,4.21099,Clear,0,1275.901,70.71,2
2014-09-12,01:18:42.268000,4.075,4.29588,Clear,0,1275.517,70.71,2
2014-09-12,01:18:42.368000,4.088,4.30759,Clear,0,1275.134,70.71,2
2014-09-12,01:18:42.468000,4.17,4.39038,Clear,0,1274.751,70.71,2
2014-09-12,01:18:42.568000,4.179,4.39835,Clear,0,1274.368,70.71,2
2014-09-12,01:18:42.668000,4.257,4.47465,Clear,0,1273.985,70.711,2
2014-09-12,01:18:42.768000,4.308,4.52591,Clear,0,1273.603,70.711,2
2014-09-12,01:18:42.868000,4.254,4.47136,Clear,0,1273.221,70.711,2
2014-09-12,01:18:42.968000,4.294,4.5112,Clear,0,1272.839,70.711,2
2014-09-12,01:18:43.068000,4.328,4.54421,Clear,0,1272.457,70.712,2
2014-09-12,01:18:43.168000,4.304,4.51917,Clear,0,1272.076,70.712,2
2014-09-12,01:18:43.268000,4.422,4.63721,Clear,0,1271.694,70.712,2
2014-09-12,01:18:43.368000,4.362,4.5755,Clear,0,1271.313,70.712,2
2014-09-12,01:18:43.468000,4.491,4.70388,Clear,0,1270.933,70.713,2
2014-09-12,01:18:43.568000,4.41,4.62262,Clear,0,1270.552,70.713,2
2014-09-12,01:18:43.668000,4.561,4.77312,Clear,0,1270.172,70.713,2
2014-09-12,01:18:43.768000,4.564,4.77495,Clear,0,1269.792,70.713,2
2014-09-12,01:18:43.868000,4.484,4.69509,Clear,0,1269.412,70.714,2
2014-09-12,01:18:43.968000,4.485,4.69513,Clear,0,1269.032,70.714,2
2014-09-12,01:18:44.068000,4.516,4.72539,Clear,0,1268.652,70.714,2
2014-09-12,01:18:44.168000,4.571,4.7803,Clear,0,1268.273,70.715,2
2014-09-12,01:18:44.268000,4.622,4.82989,Clear,0,1267.894,70.715,2
2014-09-12,01:18:44.368000,4.518,4.72514,Clear,0,1267.515,70.715,2
2014-09-12,01:18:44.468000,4.635,4.84148,Clear,0,1267.137,70.715,2
