satellite, 26064 FALCONSAT / US
catalogue, 1 NORAD
track, 2322789
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1015
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
0.0,8.481,8.44449,Clear,0,926.645,96.344,8
0.09999999999990905,7.906,7.87108,Clear,0,926.836,96.353,8
0.20000000000004547,8.466,8.43243,Clear,0,927.027,96.361,8
0.2999999999999545,8.521,8.4874,Clear,0,927.219,96.37,8
0.40000000000009095,8.289,8.25607,Clear,0,927.411,96.379,8
0.5,7.966,7.93331,Clear,0,927.604,96.388,8
0.599999999999909,8.079,8.04673,Clear,0,927.798,96.397,8
0.7999999999999545,8.493,8.46228,Clear,0,928.186,96.414,8
0.900000000000091,8.078,8.04817,Clear,0,928.381,96.423,8
1.0,7.992,7.96331,Clear,0,928.576,96.432,8
1.2000000000000455,8.025,7.9972,Clear,0,928.969,96.45,8
1.2999999999999545,7.686,7.65865,Clear,0,929.166,96.459,8
1.400000000000091,7.946,7.91934,Clear,0,929.363,96.467,8
1.5,7.894,7.86772,Clear,0,929.561,96.476,8
1.599999999999909,8.336,8.31115,Clear,0,929.76,96.485,8
1.7000000000000455,8.105,8.07986,Clear,0,929.958,96.494,8
1.7999999999999545,8.031,8.00695,Clear,0,930.158,96.502,8
1.900000000000091,7.829,7.80566,Clear,0,930.358,96.511,8
2.0,8.413,8.38946,Clear,0,930.558,96.52,8
2.099999999999909,8.356,8.3339,Clear,0,930.759,96.529,8
2.2000000000000455,7.977,7.95543,Clear,0,930.961,96.538,8
2.2999999999999545,7.72,7.69852,Clear,0,931.163,96.546,8
2.5,8.051,8.03049,Clear,0,931.568,96.564,8
2.599999999999909,7.808,7.78875,Clear,0,931.772,96.572,8
2.7999999999999545,7.61,7.59196,Clear,0,932.18,96.59,8
2.900000000000091,7.911,7.89394,Clear,0,932.385,96.599,8
3.0,7.841,7.82518,Clear,0,932.591,96.607,8
3.2000000000000455,7.589,7.57439,Clear,0,933.003,96.625,8
3.2999999999999545,7.805,7.79067,Clear,0,933.21,96.633,8
3.400000000000091,8.422,8.40835,Clear,0,933.418,96.642,8
3.5,7.831,7.81843,Clear,0,933.626,96.651,8
3.599999999999909,7.698,7.68602,Clear,0,933.834,96.66,8
3.7000000000000455,7.746,7.73416,Clear,0,934.043,96.668,8
3.900000000000091,7.722,7.71198,Clear,0,934.463,96.686,8
4.0,7.775,7.76447,Clear,0,934.673,96.694,8
4.099999999999909,7.591,7.58155,Clear,0,934.884,96.703,8
4.2000000000000455,7.71,7.70234,Clear,0,935.096,96.711,8
4.2999999999999545,7.576,7.56808,Clear,0,935.308,96.72,8
4.400000000000091,7.48,7.47317,Clear,0,935.52,96.729,8
4.5,7.586,7.57998,Clear,0,935.733,96.737,8
4.599999999999909,7.513,7.50831,Clear,0,935.947,96.746,8
4.7000000000000455,7.438,7.43249,Clear,0,936.161,96.755,8
4.7999999999999545,7.923,7.91874,Clear,0,936.375,96.763,8
4.900000000000091,7.483,7.47951,Clear,0,936.59,96.772,8
5.0,7.625,7.62145,Clear,0,936.806,96.78,8
5.099999999999909,7.647,7.64518,Clear,0,937.022,96.789,8
5.2000000000000455,7.415,7.41444,Clear,0,937.238,96.798,8
5.2999999999999545,7.524,7.52249,Clear,0,937.455,96.806,8
5.400000000000091,7.446,7.44589,Clear,0,937.672,96.815,8
5.5,7.619,7.62005,Clear,0,937.89,96.823,8
5.599999999999909,7.486,7.48687,Clear,0,938.109,96.832,8
5.7000000000000455,7.679,7.68089,Clear,0,938.328,96.841,8
5.7999999999999545,7.729,7.73228,Clear,0,938.547,96.849,8
5.900000000000091,7.757,7.76016,Clear,0,938.767,96.858,8
6.0,7.645,7.64846,Clear,0,938.987,96.866,8
6.099999999999909,7.459,7.46437,Clear,0,939.208,96.875,8
6.2000000000000455,7.827,7.83157,Clear,0,939.429,96.883,8
6.2999999999999545,7.622,7.6277,Clear,0,939.651,96.892,8
6.400000000000091,7.702,7.7091,Clear,0,939.874,96.9,8
6.5,7.738,7.74575,Clear,0,940.096,96.909,8
6.599999999999909,7.558,7.56633,Clear,0,940.32,96.917,8
6.7000000000000455,7.544,7.55327,Clear,0,940.543,96.926,8
6.7999999999999545,7.542,7.55159,Clear,0,940.768,96.934,8
6.900000000000091,7.918,7.92755,Clear,0,940.992,96.943,8
7.0,7.689,7.7004,Clear,0,941.218,96.951,8
7.099999999999909,7.517,7.52939,Clear,0,941.443,96.96,8
7.2000000000000455,7.715,7.72704,Clear,0,941.67,96.968,8
7.2999999999999545,7.595,7.6084,Clear,0,941.896,96.977,8
7.400000000000091,7.894,7.90756,Clear,0,942.124,96.985,8
