satellite, 53109 AVUM R/B / TBD
catalogue, 1 NORAD
track, 23544753
variability, 2 Periodic
variability_period, 4.940173968
npoints, 1169
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2023-03-27,16:37:42.689000,5.755,9.38362,Clear,0,6464.914,61.283,1
2023-03-27,16:37:42.789000,6.135,9.76443,Clear,0,6464.93,61.278,1
2023-03-27,16:37:42.889000,5.907,9.53618,Clear,0,6464.946,61.273,1
2023-03-27,16:37:43.189000,5.827,9.45619,Clear,0,6464.994,61.259,1
2023-03-27,16:37:43.289000,5.512,9.14076,Clear,0,6465.01,61.254,1
2023-03-27,16:37:43.589000,5.432,9.06074,Clear,0,6465.059,61.24,1
2023-03-27,16:37:43.689000,6.246,9.87504,Clear,0,6465.075,61.235,1
2023-03-27,16:37:43.989000,6.036,9.66531,Clear,0,6465.124,61.221,1
2023-03-27,16:37:44.889000,6.034,9.66157,Clear,0,6465.271,61.179,1
2023-03-27,16:37:44.989000,5.963,9.59065,Clear,0,6465.287,61.174,1
2023-03-27,16:37:45.089000,5.832,9.46031,Clear,0,6465.304,61.169,1
2023-03-27,16:37:45.389000,5.817,9.44494,Clear,0,6465.353,61.155,1
2023-03-27,16:37:45.689000,6.019,9.64677,Clear,0,6465.403,61.141,1
2023-03-27,16:37:46.189000,6.265,9.89334,Clear,0,6465.487,61.117,1
2023-03-27,16:37:46.389000,5.71,9.33749,Clear,0,6465.52,61.108,1
2023-03-27,16:37:46.589000,5.491,9.11869,Clear,0,6465.554,61.098,1
2023-03-27,16:37:46.989000,6.12,9.74682,Clear,0,6465.621,61.079,1
2023-03-27,16:37:47.189000,5.673,9.29945,Clear,0,6465.655,61.07,1
2023-03-27,16:37:47.289000,5.966,9.59298,Clear,0,6465.672,61.065,1
2023-03-27,16:37:47.389000,5.665,9.29147,Clear,0,6465.689,61.06,1
2023-03-27,16:37:47.589000,5.741,9.36834,Clear,0,6465.723,61.051,1
2023-03-27,16:37:47.689000,5.615,9.24225,Clear,0,6465.74,61.046,1
2023-03-27,16:37:47.989000,5.959,9.586,Clear,0,6465.791,61.032,1
2023-03-27,16:37:48.089000,5.88,9.5067,Clear,0,6465.808,61.027,1
2023-03-27,16:37:48.189000,5.767,9.39425,Clear,0,6465.825,61.022,1
2023-03-27,16:37:48.389000,5.655,9.2818,Clear,0,6465.86,61.013,1
2023-03-27,16:37:48.589000,5.905,9.53176,Clear,0,6465.894,61.004,1
2023-03-27,16:37:48.789000,5.796,9.42178,Clear,0,6465.929,60.994,1
2023-03-27,16:37:49.489000,6.263,9.88874,Clear,0,6466.05,60.961,1
2023-03-27,16:37:49.689000,5.634,9.26012,Clear,0,6466.085,60.952,1
2023-03-27,16:37:49.989000,5.789,9.41483,Clear,0,6466.137,60.937,1
2023-03-27,16:37:50.089000,5.666,9.29147,Clear,0,6466.155,60.933,1
2023-03-27,16:37:50.189000,5.973,9.59882,Clear,0,6466.173,60.928,1
2023-03-27,16:37:50.289000,5.819,9.44494,Clear,0,6466.19,60.923,1
2023-03-27,16:37:50.389000,5.726,9.35234,Clear,0,6466.208,60.918,1
2023-03-27,16:37:50.489000,5.701,9.3274,Clear,0,6466.225,60.914,1
2023-03-27,16:37:50.589000,5.889,9.51535,Clear,0,6466.243,60.909,1
2023-03-27,16:37:50.789000,5.459,9.0853,Clear,0,6466.278,60.9,1
2023-03-27,16:37:50.889000,6.106,9.73214,Clear,0,6466.296,60.895,1
2023-03-27,16:37:51.089000,5.763,9.38747,Clear,0,6466.331,60.885,1
2023-03-27,16:37:51.289000,5.858,9.48326,Clear,0,6466.367,60.876,1
2023-03-27,16:37:51.389000,5.624,9.24902,Clear,0,6466.385,60.871,1
2023-03-27,16:37:51.789000,5.667,9.29169,Clear,0,6466.456,60.852,1
2023-03-27,16:37:52.089000,5.806,9.43112,Clear,0,6466.51,60.838,1
2023-03-27,16:37:52.289000,5.432,9.05651,Clear,0,6466.546,60.829,1
2023-03-27,16:37:52.489000,5.609,9.23401,Clear,0,6466.582,60.819,1
2023-03-27,16:37:52.789000,5.451,9.0759,Clear,0,6466.636,60.805,1
2023-03-27,16:37:52.889000,5.911,9.53551,Clear,0,6466.654,60.8,1
2023-03-27,16:37:53.089000,5.954,9.5784,Clear,0,6466.69,60.791,1
2023-03-27,16:37:53.289000,5.97,9.59348,Clear,0,6466.727,60.781,1
2023-03-27,16:37:53.389000,5.235,8.85915,Clear,0,6466.745,60.777,1
2023-03-27,16:37:53.489000,5.74,9.36388,Clear,0,6466.763,60.772,1
2023-03-27,16:37:53.589000,5.862,9.48576,Clear,0,6466.781,60.767,1
2023-03-27,16:37:53.689000,5.691,9.31492,Clear,0,6466.8,60.762,1
2023-03-27,16:37:53.989000,6.389,10.0129,Clear,0,6466.855,60.748,1
2023-03-27,16:37:54.289000,5.476,9.10009,Clear,0,6466.91,60.734,1
2023-03-27,16:37:54.689000,5.525,9.14859,Clear,0,6466.984,60.715,1
2023-03-27,16:37:54.989000,5.774,9.39844,Clear,0,6467.039,60.701,1
2023-03-27,16:37:55.089000,6.114,9.73812,Clear,0,6467.058,60.696,1
2023-03-27,16:37:55.189000,5.37,8.99358,Clear,0,6467.076,60.691,1
2023-03-27,16:37:55.289000,5.709,9.33222,Clear,0,6467.095,60.687,1
2023-03-27,16:37:55.389000,5.54,9.16341,Clear,0,6467.113,60.682,1
2023-03-27,16:37:55.489000,5.791,9.41417,Clear,0,6467.132,60.677,1
2023-03-27,16:37:55.589000,5.675,9.29789,Clear,0,6467.151,60.673,1
2023-03-27,16:37:55.689000,5.681,9.30414,Clear,0,6467.169,60.668,1
2023-03-27,16:37:55.789000,5.497,9.11953,Clear,0,6467.188,60.663,1
2023-03-27,16:37:55.989000,5.976,9.59933,Clear,0,6467.226,60.654,1
2023-03-27,16:37:56.189000,5.697,9.32035,Clear,0,6467.263,60.644,1
2023-03-27,16:37:56.289000,6.206,9.82848,Clear,0,6467.282,60.639,1
2023-03-27,16:37:56.389000,5.945,9.56809,Clear,0,6467.301,60.635,1
2023-03-27,16:37:56.889000,5.734,9.35729,Clear,0,6467.395,60.611,1
2023-03-27,16:37:57.289000,5.651,9.27415,Clear,0,6467.471,60.592,1
2023-03-27,16:37:57.489000,5.808,9.43012,Clear,0,6467.509,60.583,1
2023-03-27,16:37:57.589000,5.68,9.30235,Clear,0,6467.528,60.578,1
2023-03-27,16:37:57.689000,5.643,9.26462,Clear,0,6467.547,60.573,1
2023-03-27,16:37:57.889000,5.583,9.20505,Clear,0,6467.586,60.564,1
2023-03-27,16:37:57.989000,5.492,9.11351,Clear,0,6467.605,60.559,1
2023-03-27,16:37:58.089000,5.491,9.11276,Clear,0,6467.624,60.554,1
2023-03-27,16:37:58.189000,5.452,9.07373,Clear,0,6467.643,60.55,1
2023-03-27,16:37:58.289000,5.917,9.53884,Clear,0,6467.662,60.545,1
2023-03-27,16:37:58.389000,5.495,9.11652,Clear,0,6467.682,60.54,1
2023-03-27,16:37:58.489000,6.018,9.63999,Clear,0,6467.701,60.535,1
2023-03-27,16:37:58.589000,5.883,9.50495,Clear,0,6467.72,60.531,1
2023-03-27,16:37:58.889000,6.185,9.80695,Clear,0,6467.778,60.517,1
2023-03-27,16:37:59.189000,5.645,9.26721,Clear,0,6467.836,60.502,1
2023-03-27,16:37:59.489000,5.865,9.48681,Clear,0,6467.895,60.488,1
