satellite, 22739 NOAA 13 / US
catalogue, 1 NORAD
track, 23844153
variability, 2 Periodic
variability_period, 27.042807
npoints, 795
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2023-04-18,01:21:15.797000,5.363,4.69513,Clear,0,861.74,67.822,1
2023-04-18,01:21:15.897000,5.405,4.73664,Clear,0,861.834,67.789,1
2023-04-18,01:21:15.997000,5.331,4.66217,Clear,0,861.929,67.756,1
2023-04-18,01:21:16.097000,5.286,4.6171,Clear,0,862.024,67.723,1
2023-04-18,01:21:16.197000,5.165,4.4963,Clear,0,862.12,67.69,1
2023-04-18,01:21:16.297000,5.171,4.50233,Clear,0,862.216,67.658,1
2023-04-18,01:21:16.397000,5.206,4.53682,Clear,0,862.313,67.625,1
2023-04-18,01:21:16.497000,5.157,4.48794,Clear,0,862.41,67.592,1
2023-04-18,01:21:16.597000,5.125,4.45451,Clear,0,862.508,67.559,1
2023-04-18,01:21:16.697000,5.125,4.45481,Clear,0,862.607,67.527,1
2023-04-18,01:21:16.797000,5.018,4.34766,Clear,0,862.706,67.494,1
2023-04-18,01:21:16.897000,4.97,4.29987,Clear,0,862.806,67.461,1
2023-04-18,01:21:16.997000,4.948,4.27799,Clear,0,862.906,67.429,1
2023-04-18,01:21:17.097000,4.946,4.27624,Clear,0,863.007,67.396,1
2023-04-18,01:21:17.197000,4.921,4.24995,Clear,0,863.109,67.363,1
2023-04-18,01:21:17.297000,4.873,4.2024,Clear,0,863.211,67.331,1
2023-04-18,01:21:17.397000,4.829,4.15819,Clear,0,863.314,67.298,1
2023-04-18,01:21:17.497000,4.797,4.12582,Clear,0,863.417,67.265,1
2023-04-18,01:21:17.597000,4.735,4.06398,Clear,0,863.521,67.233,1
2023-04-18,01:21:17.697000,4.727,4.05582,Clear,0,863.625,67.2,1
2023-04-18,01:21:17.797000,4.699,4.02679,Clear,0,863.73,67.168,1
2023-04-18,01:21:17.897000,4.616,3.94438,Clear,0,863.835,67.135,1
2023-04-18,01:21:17.997000,4.561,3.88865,Clear,0,863.941,67.103,1
2023-04-18,01:21:18.097000,4.45,3.7776,Clear,0,864.048,67.07,1
2023-04-18,01:21:18.197000,4.406,3.73392,Clear,0,864.155,67.038,1
2023-04-18,01:21:18.297000,4.33,3.65796,Clear,0,864.263,67.005,1
2023-04-18,01:21:18.397000,4.264,3.59192,Clear,0,864.371,66.973,1
2023-04-18,01:21:18.497000,4.184,3.51124,Clear,0,864.48,66.94,1
2023-04-18,01:21:18.597000,4.169,3.4955,Clear,0,864.589,66.908,1
2023-04-18,01:21:18.697000,4.104,3.43102,Clear,0,864.699,66.876,1
2023-04-18,01:21:18.797000,4.169,3.49593,Clear,0,864.81,66.843,1
2023-04-18,01:21:18.897000,4.166,3.49338,Clear,0,864.921,66.811,1
2023-04-18,01:21:18.997000,4.183,3.51014,Clear,0,865.032,66.778,1
2023-04-18,01:21:19.097000,4.177,3.50444,Clear,0,865.145,66.746,1
2023-04-18,01:21:19.197000,4.185,3.51158,Clear,0,865.257,66.714,1
2023-04-18,01:21:19.297000,4.239,3.56532,Clear,0,865.371,66.682,1
2023-04-18,01:21:19.397000,4.215,3.5411,Clear,0,865.485,66.649,1
2023-04-18,01:21:19.497000,4.206,3.5318,Clear,0,865.599,66.617,1
