satellite, 39494 BREEZE-M R/B / None
catalogue, 1 NORAD
track, 25260177
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1919
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2023-08-05,22:36:56.298000,4.985,8.13767,Clear,0,5958.122,18.216,9
2023-08-05,22:36:56.398000,5.098,8.25057,Clear,0,5958.248,18.223,9
2023-08-05,22:36:56.498000,4.867,8.01968,Clear,0,5958.375,18.23,9
2023-08-05,22:36:56.598000,4.782,7.93472,Clear,0,5958.501,18.238,9
2023-08-05,22:36:56.698000,5.326,8.47943,Clear,0,5958.628,18.245,9
2023-08-05,22:36:56.798000,5.247,8.40001,Clear,0,5958.755,18.252,9
2023-08-05,22:36:56.898000,5.218,8.37216,Clear,0,5958.881,18.259,9
2023-08-05,22:36:56.998000,5.1,8.25409,Clear,0,5959.008,18.266,9
2023-08-05,22:36:57.098000,5.29,8.4437,Clear,0,5959.135,18.274,9
2023-08-05,22:36:57.198000,4.981,8.1349,Clear,0,5959.262,18.281,9
2023-08-05,22:36:57.298000,4.97,8.1243,Clear,0,5959.389,18.288,9
2023-08-05,22:36:57.398000,5.185,8.33927,Clear,0,5959.516,18.295,9
2023-08-05,22:36:57.498000,4.995,8.1492,Clear,0,5959.643,18.302,9
2023-08-05,22:36:57.598000,5.263,8.41728,Clear,0,5959.77,18.309,9
2023-08-05,22:36:57.698000,5.082,8.23574,Clear,0,5959.897,18.317,9
2023-08-05,22:36:57.798000,5.18,8.33404,Clear,0,5960.024,18.324,9
2023-08-05,22:36:57.898000,5.201,8.35462,Clear,0,5960.152,18.331,9
2023-08-05,22:36:57.998000,4.726,7.87999,Clear,0,5960.279,18.338,9
2023-08-05,22:36:58.098000,5.022,8.17551,Clear,0,5960.407,18.345,9
2023-08-05,22:36:58.198000,5.211,8.3653,Clear,0,5960.534,18.353,9
2023-08-05,22:36:58.298000,4.976,8.13018,Clear,0,5960.662,18.36,9
2023-08-05,22:36:58.398000,5.041,8.19578,Clear,0,5960.79,18.367,9
2023-08-05,22:36:58.498000,5.035,8.18953,Clear,0,5960.917,18.374,9
2023-08-05,22:36:58.598000,5.135,8.28945,Clear,0,5961.045,18.381,9
2023-08-05,22:36:58.698000,5.012,8.16654,Clear,0,5961.173,18.388,9
2023-08-05,22:36:58.798000,5.216,8.37069,Clear,0,5961.301,18.396,9
2023-08-05,22:36:58.898000,5.149,8.30365,Clear,0,5961.429,18.403,9
2023-08-05,22:36:58.998000,5.151,8.3055,Clear,0,5961.557,18.41,9
2023-08-05,22:36:59.098000,5.219,8.37363,Clear,0,5961.685,18.417,9
2023-08-05,22:36:59.198000,5.147,8.30181,Clear,0,5961.813,18.424,9
2023-08-05,22:36:59.298000,5.246,8.40102,Clear,0,5961.942,18.432,9
2023-08-05,22:36:59.398000,5.232,8.38699,Clear,0,5962.07,18.439,9
2023-08-05,22:36:59.498000,5.208,8.36287,Clear,0,5962.198,18.446,9
2023-08-05,22:36:59.598000,5.177,8.33167,Clear,0,5962.327,18.453,9
2023-08-05,22:36:59.698000,5.321,8.47564,Clear,0,5962.455,18.46,9
2023-08-05,22:36:59.798000,5.478,8.63288,Clear,0,5962.584,18.467,9
2023-08-05,22:36:59.898000,5.198,8.35414,Clear,0,5962.713,18.475,9
2023-08-05,22:36:59.998000,5.126,8.28174,Clear,0,5962.841,18.482,9
2023-08-05,22:37:00.098000,5.278,8.43378,Clear,0,5962.97,18.489,9
2023-08-05,22:37:00.198000,4.854,8.01014,Clear,0,5963.099,18.496,9
2023-08-05,22:37:00.298000,5.084,8.23965,Clear,0,5963.228,18.503,9
2023-08-05,22:37:00.398000,4.961,8.11651,Clear,0,5963.357,18.51,9
2023-08-05,22:37:00.498000,5.08,8.23574,Clear,0,5963.486,18.518,9
2023-08-05,22:37:00.598000,5.428,8.58405,Clear,0,5963.615,18.525,9
2023-08-05,22:37:00.698000,5.123,8.27859,Clear,0,5963.744,18.532,9
2023-08-05,22:37:00.798000,5.215,8.37069,Clear,0,5963.873,18.539,9
2023-08-05,22:37:00.898000,5.048,8.20416,Clear,0,5964.003,18.546,9
2023-08-05,22:37:00.998000,5.105,8.26116,Clear,0,5964.132,18.553,9
2023-08-05,22:37:01.098000,5.417,8.57277,Clear,0,5964.261,18.561,9
2023-08-05,22:37:01.198000,5.166,8.32225,Clear,0,5964.391,18.568,9
2023-08-05,22:37:01.298000,5.413,8.56982,Clear,0,5964.521,18.575,9
2023-08-05,22:37:01.398000,5.303,8.45955,Clear,0,5964.65,18.582,9
2023-08-05,22:37:01.498000,5.246,8.40253,Clear,0,5964.78,18.589,9
2023-08-05,22:37:01.598000,5.132,8.289,Clear,0,5964.91,18.597,9
2023-08-05,22:37:01.698000,5.207,8.36384,Clear,0,5965.039,18.604,9
2023-08-05,22:37:01.798000,5.142,8.29905,Clear,0,5965.169,18.611,9
2023-08-05,22:37:01.898000,5.274,8.43067,Clear,0,5965.299,18.618,9
2023-08-05,22:37:01.998000,5.129,8.28582,Clear,0,5965.429,18.625,9
2023-08-05,22:37:02.098000,5.051,8.20753,Clear,0,5965.559,18.632,9
2023-08-05,22:37:02.198000,5.068,8.22454,Clear,0,5965.689,18.64,9
2023-08-05,22:37:02.298000,5.123,8.27949,Clear,0,5965.82,18.647,9
2023-08-05,22:37:02.398000,5.276,8.43326,Clear,0,5965.95,18.654,9
2023-08-05,22:37:02.498000,5.2,8.35656,Clear,0,5966.08,18.661,9
2023-08-05,22:37:02.598000,5.027,8.18415,Clear,0,5966.211,18.668,9
2023-08-05,22:37:02.698000,5.426,8.58405,Clear,0,5966.341,18.675,9
2023-08-05,22:37:02.798000,5.214,8.37216,Clear,0,5966.472,18.683,9
2023-08-05,22:37:02.898000,5.106,8.26382,Clear,0,5966.602,18.69,9
2023-08-05,22:37:02.998000,5.232,8.38998,Clear,0,5966.733,18.697,9
2023-08-05,22:37:03.098000,5.032,8.19037,Clear,0,5966.864,18.704,9
2023-08-05,22:37:03.198000,5.4,8.55751,Clear,0,5966.995,18.711,9
2023-08-05,22:37:03.298000,5.0,8.15764,Clear,0,5967.125,18.718,9
2023-08-05,22:37:03.398000,5.282,8.43952,Clear,0,5967.256,18.725,9
2023-08-05,22:37:03.498000,5.039,8.19661,Clear,0,5967.387,18.733,9
2023-08-05,22:37:03.598000,5.274,8.43171,Clear,0,5967.518,18.74,9
2023-08-05,22:37:03.698000,5.242,8.40001,Clear,0,5967.649,18.747,9
2023-08-05,22:37:03.798000,4.929,8.08741,Clear,0,5967.781,18.754,9
2023-08-05,22:37:03.898000,5.265,8.42286,Clear,0,5967.912,18.761,9
2023-08-05,22:37:03.998000,5.441,8.59928,Clear,0,5968.043,18.768,9
2023-08-05,22:37:04.098000,5.013,8.17054,Clear,0,5968.175,18.776,9
2023-08-05,22:37:04.198000,5.161,8.32018,Clear,0,5968.306,18.783,9
2023-08-05,22:37:04.298000,5.186,8.34508,Clear,0,5968.438,18.79,9
2023-08-05,22:37:04.398000,5.172,8.33112,Clear,0,5968.569,18.797,9
2023-08-05,22:37:04.498000,5.049,8.20745,Clear,0,5968.701,18.804,9
2023-08-05,22:37:04.598000,5.302,8.46098,Clear,0,5968.832,18.811,9
2023-08-05,22:37:04.698000,5.04,8.19937,Clear,0,5968.964,18.819,9
2023-08-05,22:37:04.798000,5.356,8.51511,Clear,0,5969.096,18.826,9
